"date","id","status","family","config_summary","freeze_policy","purpose","clip_style","content_lpips","ec","hayao_clip_style","hayao_content_lpips","visual_gate","verified_claim","adjustment","artifacts"
"2026-05-28","tc01_m02_texton_carrier_push","completed_diagnostic","tokenizer_texton_carrier","m02 frozen; same carrier with stronger HP-SWD and high branch","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab plus token_texton_carrier_mapper only","test whether the new carrier can move toward 0.72+ while LPIPS remains below 0.50","0.7106213341","0.4069454408","","0.6058331524","0.4478909587","pass_neutral","stronger carrier recovers Hayao slightly but still below ag02 globally","reject simple texton-residual route; next carrier must be style-routed/prototype-based","exp/tokenizer_texton_carrier_calibration/tc01_m02_texton_carrier_push"
"2026-05-28","pc00_m02_prototype_carrier_anchor","completed_diagnostic","tokenizer_prototype_carrier","m02 frozen; grammar/band tokenizer plus zero-start prototype carrier sourced from style-routed style_feat","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab plus token_prototype_carrier_mapper only","test whether missing style energy is a source/routing problem rather than residual amplitude","0.7104679991","0.4068899509","","0.6051737770","0.4487430940","pass_neutral","prototype carrier has nonzero energy and safe grids, but does not beat ag02 or solve Hayao","reject amplitude/source-from-style_feat route; next source must be explicit target-style memory/prototype bank","exp/tokenizer_prototype_carrier_calibration/pc00_m02_prototype_carrier_anchor"
"2026-05-28","pc01_m02_prototype_carrier_push","completed_diagnostic","tokenizer_prototype_carrier","m02 frozen; same prototype carrier with stronger high-band allocation and lower anchor","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab plus token_prototype_carrier_mapper only","stress-test whether prototype source can move toward clip_style above 0.72 while LPIPS remains below 0.50","0.7102992752","0.4077410228","","0.6052203173","0.4499444197","pass_neutral","stronger prototype carrier has more carrier RMS but worse aggregate style/LPIPS","stop strengthening this branch; build data-derived style memory source instead","exp/tokenizer_prototype_carrier_calibration/pc01_m02_prototype_carrier_push"
"2026-05-28","mb00_body_mean_blend25","completed_diagnostic","style_memory_bank","m02 adapter with style_spatial_id_16 blended 25% toward training-set body-feature mean prototypes","freeze backbone/style_emb/tokenizer; edit only style_spatial_id_16 adapter source","test whether m02's style source is under-representing target style manifold","0.7106118271","0.4077620137","","0.6049482547","0.4494604624","pass_neutral","mean body prototype is safe but slightly below m02/ag02; averaged training-set source is too smooth","do not use single mean source; if memory is revisited it needs multi-prototype/token selection","exp/style_memory_bank_probe/mb00_body_mean_blend25"
"2026-05-28","mb02_body_exemplar_blend35","completed_diagnostic","style_memory_bank","m02 adapter with style_spatial_id_16 blended 35% toward high-texture body-feature exemplar prototypes","freeze backbone/style_emb/tokenizer; edit only style_spatial_id_16 adapter source","test whether mean prototypes are too smooth and a texture atlas source is needed","0.7105163396","0.4092221652","","0.6063503948","0.4553907608","pass_neutral","high-texture exemplar slightly lifts Hayao but hurts LPIPS and does not raise global style","single style_spatial replacement is not enough; next memory design must be token-selected multi-prototype, not one blended map","exp/style_memory_bank_probe/mb02_body_exemplar_blend35"
"2026-05-28","rm00_random_ref1","completed_diagnostic","reference_memory_generation","m02 adapter frozen; generation uses one random internal target-style latent as target_style_latent reference source","freeze checkpoint/style_adapter/tokenizer; no training and no loss change","test whether explicit internal style source breaks the id-only m02/tokenizer plateau","0.7151271268","0.4773132127","","0.6280456459","0.5192105935","pass_strong_reference_risk","internal reference source raises global style by +0.00440 vs m02 and Hayao by +0.02238, proving source quality is a bottleneck","build token-selected multi-prototype source; do not promote exemplar-guided inference as final id-only protocol","exp/reference_memory_generation_probe_full/rm00_random_ref1"
"2026-05-28","rm01_lowfreq_match_k8","completed_diagnostic","reference_memory_generation","m02 adapter frozen; target reference chosen from high-texture candidates by source low-frequency match","freeze checkpoint/style_adapter/tokenizer; no training and no loss change","test whether content-compatible reference selection improves the reference-memory gain","0.7154472952","0.4772199211","","0.6274154613","0.5192785217","pass_strong_reference_risk","low-frequency matching is only +0.00032 clip over random and slightly lower on Hayao; source existence matters more than this selector","next route should learn local/token-selected multi-prototype routing rather than hand-pick one global reference","exp/reference_memory_generation_probe_full/rm01_lowfreq_match_k8"
"2026-05-28","bm00_hightex_k4_blend65","completed_diagnostic","style_memory_bank_adapter","m02 frozen; adapter-side id-only style_memory_bank_16 uses 4 high-texture body-feature prototypes per style with blend=0.65","freeze checkpoint/style_emb/tokenizer; no loss change; build adapter source bank only","test whether explicit internal prototype sources can recover reference-memory style lift without test-time reference","0.7108540934","0.4073799848","","0.6054543895","0.4493654153","pass_neutral","high-texture multi-prototype bank loads and is safe but stays below ag02; static style-id mixture collapses back to m02 plateau","reject static bank; next source must be local/content-conditioned rather than one global style-id mixture","exp/style_memory_bank_adapter_probe/bm00_hightex_k4_blend65"
"2026-05-28","bm01_diverse_k4_blend65","completed_diagnostic","style_memory_bank_adapter","m02 frozen; adapter-side id-only style_memory_bank_16 uses 4 low-frequency diverse body-feature prototypes per style with blend=0.65","freeze checkpoint/style_emb/tokenizer; no loss change; build adapter source bank only","test whether prototype diversity fixes centroid smoothing in id-only memory source","0.7106763883","0.4074077279","","0.6053441465","0.4491922173","pass_neutral","diverse prototypes also remain on the m02 plateau; image-level/static diversity is not enough","reject global diverse mixture; routing must be spatially adaptive","exp/style_memory_bank_adapter_probe/bm01_diverse_k4_blend65"
"2026-05-28","bm02_hightex_k4_boost_blend75","completed_diagnostic","style_memory_bank_adapter","m02 frozen; high-texture k4 bank with highpass_boost=1.12 and blend=0.75","freeze checkpoint/style_emb/tokenizer; no loss change; strengthen adapter source bank only","stress-test whether stronger prototype texture can approach the rm01 diagnostic lift","0.7106926669","0.4073967283","","0.6051883010","0.4492658887","pass_neutral","stronger texture/blend does not raise style and slightly weakens Hayao; the bottleneck is routing not source amplitude","stop static-bank amplitude pushes; move prototype selection into local actuator/routing path","exp/style_memory_bank_adapter_probe/bm02_hightex_k4_boost_blend75"
"2026-05-28","br00_route_hightex_k4_s45","completed_diagnostic","local_route_memory_bank","m02 frozen; high-texture prototype bank selected by local content-token attention before style-map actuator, route_strength=0.45","freeze checkpoint/style_emb/tokenizer; no loss change; route source bank locally at inference","test whether content-conditioned local prototype routing recovers reference-memory style without test-time reference","0.7105298487","0.4074017320","","0.6048251765","0.4493619321","pass_neutral","local token attention changes outputs but remains below ag02; inserting routing before the frozen style-map actuator is insufficient","reject route-only adapter; router must enter a trainable actuator or be present during backbone training","exp/style_memory_bank_adapter_route_probe/br00_route_hightex_k4_s45"
"2026-05-28","br01_route_hightex_k4_s65","completed_diagnostic","local_route_memory_bank","m02 frozen; high-texture prototype bank selected by local content-token attention before style-map actuator, route_strength=0.65","freeze checkpoint/style_emb/tokenizer; no loss change; route source bank locally at inference","stress-test whether stronger local routing can lift clip_style while LPIPS stays below 0.50","0.7106086806","0.4074083600","","0.6045835257","0.4492410801","pass_neutral","stronger local route still remains below ag02 and weakens Hayao; temperature/strength sweeps are not justified","stop route-only adapter branch; train a router-aware actuator/backbone instead of sweeping route amplitude","exp/style_memory_bank_adapter_route_probe/br01_route_hightex_k4_s65"
"2026-05-28","ra00_route_actuator_s45_e2","completed_diagnostic","router_aware_backbone","fixed br00 local router source; train body/blender/decoder/output_head for 2 epochs from m02 epoch6","freeze style_emb/style_spatial_id_16/style_tokenizer; train actuator/backbone consumer only","test whether the frozen route-only failure is due to actuator not learning the routed source","0.7103358968","0.4358378609","","0.6140818814","0.4943548432","pass_structural_but_style_negative","training the old style-map interface raises Hayao but drops global style and worsens LPIPS; the interface is still too entangled","do not continue route-strength sweeps; prototype source needs a separate constrained field, not just trained consumption of the old map","exp/router_aware_backbone_probe/ra00_route_actuator_s45_e2"
"2026-05-28","rs00_memory_residual_s22_e2","completed_diagnostic","memory_residual_backbone","high-texture K4 prototype bank; route_strength=0; residual source = routed_memory - base_map; residual_strength=0.22; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","test whether prototype source works when it bypasses the collapsed style-map interface as a body residual","0.7070731988","0.4322374799","","0.6067586313","0.4833078018","pass_but_style_negative","residual source is numerically active and non-hazy, but global style falls far below ag02; untyped memory residual behaves like average perturbation","reject unconstrained residual injection; next source must be style-field typed or OT-aligned before entering the backbone","exp/memory_residual_backbone_probe/rs00_memory_residual_s22_e2"
"2026-05-28","rs01_memory_residual_hp_s32_e2","completed_diagnostic","memory_residual_backbone","high-texture K4 prototype bank; residual source highpass kernel 5 + support gate gamma 4; residual_strength=0.32; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","test whether highpass-gated prototype residual can add texton energy without color fog","0.7073577214","0.4295012641","","0.6061270667","0.4819716572","pass_but_style_negative","highpass residual is cleaner than rs00 on LPIPS but still lowers style; simply injecting texton energy is not a valid tokenizer representation","reject residual-strength/highpass sweeps; route must be supervised by style-field semantics or a contrastive prototype assignment","exp/memory_residual_backbone_probe/rs01_memory_residual_hp_s32_e2"
"2026-05-28","rt00_typed_fet_s18_e2","completed_diagnostic","typed_memory_backbone","typed flat/edge/texton prototype bank; content-nearest routing; residual_strength=0.18; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","test whether explicit flat/edge/texton memory roles fix untyped residual collapse","0.7080615617","0.4322469301","","0.6089916845","0.4777451807","pass_but_style_negative","typed gates are finite and active, but global style still drops below ag02; content-local typing alone is insufficient","reject typed/content-nearest residual as promotion; prototype assignment must be style-measure aligned before dynamics","exp/typed_memory_backbone_probe/rt00_typed_fet_s18_e2"
"2026-05-28","rt01_typed_fet_hp_s24_e2","completed_diagnostic","typed_memory_backbone","typed flat/edge/texton prototype bank; highpass support; residual_strength=0.24; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","test whether highpass support makes typed residual add texture without content drift","0.7066462107","0.4312611946","","0.6071024363","0.4836499491","pass_but_style_negative","highpass typed residual is finite but loses more style than rt00 while only slightly improving LPIPS","reject highpass/strength sweep for typed residual; missing constraint is style-discriminative assignment","exp/typed_memory_backbone_probe/rt01_typed_fet_hp_s24_e2"
"2026-05-28","rt02_typed_uniform_s20_e2","completed_diagnostic","typed_uniform_memory_backbone","typed bank with uniform within-type routing; residual_strength=0.20; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","test whether content-nearest selection inside each type caused style dilution","0.7068972998","0.4278924117","","0.6075241740","0.4800053986","pass_but_style_negative","uniform within type improves LPIPS relative to rt00 but remains well below ag02 on style","reject uniform typing; style atoms need OT/contrastive target-style selection, not type averaging","exp/typed_uniform_memory_backbone_probe/rt02_typed_uniform_s20_e2"
"2026-05-28","rt03_typed_uniform_hp_s24_e2","completed_diagnostic","typed_uniform_memory_backbone","typed bank with uniform within-type routing plus highpass support; residual_strength=0.24; train actuator 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train body/blender/skip_fusion/decoder/output_head","stress-test typed uniform highpass route after rt02","0.7072698704","0.4289610676","","0.6079338640","0.4778688406","pass_but_style_negative","best typed variant is still below ag02 and below the diagnostic reference; typing is active but not style-aligned","stop typed residual variants; next route must optimize prototype assignment against target style measure before injection","exp/typed_uniform_memory_backbone_probe/rt03_typed_uniform_hp_s24_e2"
"2026-05-28","mf00_fisher_k6_s20","completed_diagnostic","fisher_style_memory_adapter","adapter-only Fisher style projection; 6 prototypes per style; residual source strength 0.20","freeze checkpoint/backbone/tokenizer; build adapter source bank only","test whether raw style descriptor inseparability caused style-average prototype selection","","","","","","not_applicable_adapter_only","Fisher projection makes prototype purity separable: abs_mean 1.063 vs raw ma00 0.0015","promote only to consumer test; not a scored generation result","exp/fisher_style_memory_adapter_probe/mf00_fisher_k6_s20"
"2026-05-28","mf01_typed_fisher_k9_s22","completed_diagnostic","fisher_style_memory_adapter","adapter-only Fisher style projection plus flat/edge/texton roles; 9 prototypes per style; residual strength 0.22","freeze checkpoint/backbone/tokenizer; build typed adapter source bank only","test whether typed atoms become style-discriminative after Fisher projection","","","","","","not_applicable_adapter_only","Fisher projection makes typed prototype purity separable: abs_mean 0.913 vs raw ma01 0.0043","promote only to consumer test; not a scored generation result","exp/fisher_style_memory_adapter_probe/mf01_typed_fisher_k9_s22"
"2026-05-28","rf00_fisher_stylepure_s20_e2","completed_diagnostic","fisher_memory_backbone","fixed mf00 Fisher-selected source; train body/blender/skip_fusion/decoder/output_head for 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train actuator/backbone consumer only","test whether separable style atoms recover reference-memory lift when consumed by the current residual actuator","0.7078542809","0.4355299168","","0.6082285685","0.4902797784","pass_but_style_negative","Fisher selection is separable but the current residual actuator consumes it as non-style perturbation; below ag02","reject residual-bank consumption; next route needs operator-bound style source or tokenizer-to-operator binding","exp/fisher_style_backbone_probe/rf00_fisher_stylepure_s20_e2"
"2026-05-28","rf01_typed_fisher_s22_e2","completed_diagnostic","fisher_memory_backbone","fixed mf01 typed Fisher source; train body/blender/skip_fusion/decoder/output_head for 2 epochs","freeze style_emb/style_spatial_id_16/style_tokenizer; train actuator/backbone consumer only","test whether typed roles plus Fisher style projection fix typed residual collapse","0.7066295392","0.4315580207","","0.6067117475","0.4825463470","pass_but_style_negative","typed Fisher atoms are separable but still lower global style than ag02 and rt00","stop residual-bank variants; bind style coordinates directly to executable operators before full eval","exp/fisher_style_backbone_probe/rf01_typed_fisher_s22_e2"
"2026-05-28","fo00_fisher_operator_readout","completed_diagnostic","fisher_operator_tokenizer","no training; Fisher axes aligned to measured mid/high energy and written into band[0:3], grammar[1,5,6,7]","freeze m02 checkpoint and m02 style adapter; no optimizer; main OMF loss unchanged","test whether discriminative Fisher coordinates become executable when bound directly to transport-AdaIN tokenizer fields","","","","","","operator_readout_promote","preview endpoint_rms=0.01036, detail_over_low=1.160, high_fraction=0.430; grammar_mid perturb active endpoint_rms=0.00222","promote to tokenizer-only training; continue to reject residual-bank consumption","exp/diagnostics/fisher_operator_tokenizer_probe/fo00_readout"
"2026-05-28","fo01_fisher_operator_token_swd80","completed_diagnostic","fisher_operator_tokenizer","Fisher-token initialized grammar/band fields; train only tokenizer for 80 iters per target style; SWD+HP-SWD with m02 anchor","freeze m02 backbone, style_emb, style_spatial_id_16, decoder and all non-tokenizer params; train grammar_vocab and band_vocab only","test whether executable Fisher-bound tokenizer fields can raise style without fog or residual-bank drift","0.7103014820","0.4087495668","","0.6046121798","0.4477556644","pass_safe_but_style_negative","training stayed visually safe but style fell below ag02=0.710955 and token values barely moved; SWD gradient is too indirect for these scalar gates","do not continue scalar-gate SWD sweeps; next route needs a stronger executable operator such as depthwise kernel or direct style-measure target for tokenizer","exp/fisher_operator_tokenizer_probe/fo01_fisher_operator_token_swd80"
"2026-05-28","fo10_depthwise_operator_readout","completed_diagnostic","fisher_operator_tokenizer","no training; grammar[8:15] controls fixed 3x3 depthwise filter bank on transport-AdaIN detail residual","freeze m02 checkpoint and m02 style adapter; no optimizer; main OMF loss unchanged","test whether grammar-bound spatial filters provide a higher-capacity executable style operator than scalar gates","","","","","","operator_readout_promote","preview endpoint_rms=0.01087, detail_over_low=1.261, high_fraction=0.432; filter perturbations are detail-dominant but small","promote to tokenizer-only training; if metrics remain flat, switch to backbone/actuator consumer training","exp/diagnostics/fisher_operator_tokenizer_probe/fo10_depthwise_readout"
"2026-05-28","fo11_depthwise_filter_swd80","completed_diagnostic","fisher_operator_tokenizer","Fisher-token init plus grammar[8:15] fixed depthwise filter bank; train only tokenizer for 80 iters per target style","freeze m02 backbone, style_emb, style_spatial_id_16, decoder and all non-tokenizer params; train grammar_vocab and band_vocab only","test whether higher-capacity grammar-bound spatial filters can break the m02/ag02 style plateau","0.7103006665","0.4087723064","","0.6047181934","0.4478776133","pass_safe_but_style_negative","depthwise filter delta is active (Hayao dw about 0.024) and grid is safe, but metrics are unchanged vs fo01 and below ag02","stop tokenizer-only operator tuning here; next spiral step is freeze tokenizer and train the backbone/actuator to consume this operator","exp/fisher_operator_tokenizer_probe/fo11_depthwise_filter_swd80"
"2026-05-28","fo12_depthwise_consumer_guard_e2","completed_diagnostic","fisher_operator_consumer","resume fo11 checkpoint; frozen Fisher/depthwise tokenizer; train body/blender/skip_fusion/decoder/output_head for 2 epochs","freeze style_emb, style_spatial_id_16, style_tokenizer; train actuator/backbone consumer only","test whether the frozen-m02 bottleneck is consumer learning rather than tokenizer expressivity","0.7073080493","0.4338301027","","0.6091394074","0.4746694980","pass_but_style_negative","Full consumer-path training moves Hayao slightly but lowers global style and worsens LPIPS versus ag02; the trainable set is too broad and consumes the operator as repaint/drift.","reject broad consumer-only route; next test should train a narrow operator interface such as blender-only or add a tiny zero-init operator gate","exp/fisher_operator_consumer_probe/fo12_depthwise_consumer_guard_e2"
"2026-05-28","fo14_depthwise_blender_only_e2","failed_diagnostic","fisher_operator_consumer","resume fo11 checkpoint; frozen Fisher/depthwise tokenizer; train only StyleBlender for 2 epochs","freeze style_emb, style_spatial_id_16, style_tokenizer, body, skip, decoder and output_head; train blender only","test whether the depthwise grammar operator can be consumed through the narrow operator interface without fo12 repaint drift","","","","","","no_grad_path","StyleBlender transport_adain mode does not use blender alpha/conv/mod_mapper in the active loss path; selecting only blender parameters gives a loss with no grad_fn","replace blender-only with a real narrow interface: a learnable mid/high gate directly on the depthwise operator","exp/fisher_operator_consumer_probe/fo14_depthwise_blender_only_e2"
"2026-05-28","fo16_depthwise_gate_only_e2","completed_diagnostic","fisher_operator_consumer","resume fo11 checkpoint; enable two-scalar learnable mid/high gate on depthwise grammar operator; train gate only for 2 epochs","freeze fo11 tokenizer, style identity, body, skip, decoder and output_head; train token_depthwise_filter_gate_logits only","test whether the active depthwise grammar operator needs a tiny actuator gain rather than broad consumer retraining","0.7101345005","0.4087445182","","0.6043888281","0.4478058757","pass_safe_but_style_negative","The gate is connected and trainable, but two scalar mid/high gains are underpowered: global style and Hayao are slightly below fo11 and ag02 while LPIPS is unchanged","do not continue scalar gate-only; next minimal interface should be gate plus output_head or a per-style/per-basis depthwise gate","exp/fisher_operator_consumer_probe/fo16_depthwise_gate_only_e2"
"2026-05-28","fo17_depthwise_gate_head_e2","completed_diagnostic","fisher_operator_consumer","resume fo11 checkpoint; enable learnable mid/high depthwise gate; train gate plus output_head for 2 epochs with gate LR multiplier 50x","freeze fo11 tokenizer, style identity, body, skip and decoder; train token_depthwise_filter_gate_logits plus output_head only","test whether the smallest connected consumer surface can turn depthwise grammar transport into latent delta without fo12 repaint drift","0.7107819556","0.4380831373","","0.6142748557","0.4769103001","pass_hayao_but_content_negative","Output_head consumption raises Hayao strongly but fails global style and worsens LPIPS; learned gate stays near identity, so output_head absorbs the operator as target-specific repaint rather than clean style geometry","reject as mainline; next valid step is a per-style/per-basis depthwise operator gate or style-discriminative assignment, not broader output_head/body training","exp/fisher_operator_consumer_probe/fo17_depthwise_gate_head_e2"
"2026-05-28","fo18_depthwise_style_basis_gate_e2","completed_diagnostic","fisher_operator_consumer","resume fo11 checkpoint; add zero-init style-id x depthwise-basis gate inside grammar operator; train only that gate for 2 epochs","freeze fo11 tokenizer, style identity, body, skip, decoder and output_head; train token_depthwise_filter_style_basis_gate_logits only","test whether style-local basis allocation can move style without shared output_head repaint","0.7101517848","0.4088049620","","0.6047687603","0.4480076550","pass_safe_but_style_negative","Style-local depthwise basis gate is connected and learns nonzero per-style basis allocation without LPIPS drift, but global style and Hayao remain below ag02; fixed basis alphabet is underpowered.","stop fixed-basis gate-only; next operator route should jointly train tokenizer grammar/band with the style-local gate or replace the fixed depthwise basis with a learned style-discriminative alphabet","exp/fisher_operator_consumer_probe/fo18_depthwise_style_basis_gate_e2"
"2026-05-28","fo19_depthwise_style_basis_token_joint_e2","superseded_before_launch","fisher_operator_consumer","resume fo18 checkpoint; jointly train style-local depthwise basis gate plus tokenizer grammar/band fields for 2 epochs","freeze style identity source and full LANCET backbone/output head; train token_depthwise_filter_style_basis_gate_logits, style_tokenizer.grammar_vocab and style_tokenizer.band_vocab only","test whether fo18 is flat because frozen fo11 tokenizer coordinates point into the wrong depthwise basis directions","","","","","","superseded","This was too incremental after fo18; it still assumes the fixed Sobel/Laplace basis is adequate.","replace with fo20, which learns the style-local high-pass operator alphabet itself while keeping backbone/output head frozen","exp/fisher_operator_consumer_probe/fo19_depthwise_style_basis_token_joint_e2"
