period,method,dataset_or_setting,dataset_key,resolution,variant_or_run,scope,images,clip_style,content_lpips,clip_content,ssim_y,edge_f1,musiq,hf_patch_kid,plain_kid,aggregate_art_fid,train_time_value,train_time_unit,train_time_label,infer_time_value,infer_time_unit,infer_time_label,params_m,hardware,status,source_path,source_kind,note
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__saswd_semantic__seed42,full,,0.6963431751,0.3313274828,,,,,,,,,,train complete; per-epoch summaries collected on remote 3060,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_semantic.json,aaai2027_master_experiment_log,"Matched semantic-axis arm `SB_SASWD_H_SEM_S42` completed on remote 3060. Full: e1=0.6963431751/0.3313274828, e2=0.6987337865/0.3608344315, e3=0.6961391042/0.3415375931. Transfer: e1=0.6650688401/0.3391037583, e2=0.6684234888/0.3702646600, e3=0.6645665071/0.3506202180. Best full-view LPIPS/balance is e1; best raw style is e2. After the landed random-axis pair, this arm remains usable as one side of a negative closure packet, not as stand-alone evidence for semantic-axis superiority."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__saswd_random__seed42,full,,0.6860751852,0.2691072983,,,,,,,,971.7,s,runtime-anomalous completion; epoch walls include 971.7s at e1 and 882.4s at e3,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_random.json,aaai2027_master_experiment_log,"Matched random-axis arm `SB_SASWD_H_RAND_S42` completed and produced full-eval summaries for all three epochs. Full: e1=0.6860751852/0.2691072983, e2=0.6863345393/0.2706820921, e3=0.6863872107/0.2706962664. Transfer: e1=0.6506762915/0.2692665908, e2=0.6507716310/0.2710198916, e3=0.6508313735/0.2713293984. Best full-view LPIPS is e1. The arm is usable only as quality-only evidence because the run sustained severe throughput degradation throughout training; its runtime is inadmissible as normal formal-speed evidence. In the landed pair, this arm undercuts any clean positive semantic-axis superiority reading by retaining a much stronger LPIPS advantage."
2026-06-03,LBM_vs_SaMAM_vs_SaMST,distinct5_512,distinct5_512,512,time_to_parity_curve,full,,,,,,,,,,,,,training-only wall clock; see parity CSV,,,,3.91,single normalized full-scope timing packet,completed,SchrodingerBridge/docs/experiments/2026-06-03-time-to-parity/distinct5_time_to_parity_points.csv,aaai2027_master_experiment_log,"Same-scope Distinct5 full timing artifact generated. LBM is represented by reviewed operating-point records, SaMAM by the indexed partial curve, and SaMST by the current e15 operating-point record. This replaces mixed anecdotal speed prose, but the claim boundary remains narrow until reviewer recheck lands and SaMST has a matched curve."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__path_kinetic_base__seed42__clean_rerun,train,,0.6891,0.4272,,,,,,,,,,clean rerun launched 2026-06-03 15:16 +08:00; train complete 2026-06-03 15:25 +08:00,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/docs/experiments/2026-06-03-path-stability-launch-status.md,aaai2027_master_experiment_log,"The clean Distinct5 H-family base rerun is now fully landed with `remote_train.log`, `epoch_0001..0003.pt`, and `full_eval/epoch_0001..0003/summary.json`. Full metrics: e1=0.6891/0.4272, e2=0.6821/0.4198, e3=0.6887/0.4171 (clip_style/content_lpips). This closes the provenance hole for the base arm only; same-family packet closure still requires k025, k000, and the retained probe."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__path_kinetic_k025__seed42,train,,0.6825,0.4600,,,,,,,,,,launched at 2026-06-03 15:41 +08:00; train complete 2026-06-03 15:49 +08:00,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/path_kinetic_h_base_seed42_b44_k025.json,aaai2027_master_experiment_log,"Matched weakened-kinetic arm is now fully landed with `remote_train.log`, `epoch_0001..0003.pt`, and `full_eval/epoch_0001..0003/summary.json`. Full metrics: e1=0.6792/0.4977, e2=0.6825/0.4600, e3=0.6817/0.4668 (clip_style/content_lpips). The retained result is currently weaker than the clean base arm on both style and LPIPS, so this arm does not yet support a positive weakened-kinetic mechanism reading by itself."
2026-06-03,LBM,distinct5_512,distinct5_512,512,H_base__path_kinetic_k000__seed42,train,,0.6790,0.4862,,,,,,,,,,launched at 2026-06-03 15:52 +08:00; train complete 2026-06-03 16:01 +08:00,,,,3.91,remote RTX 3060,completed,SchrodingerBridge/configs/aaai2027/path_kinetic_h_base_seed42_b44_k000.json,aaai2027_master_experiment_log,"Matched no-kinetic arm is now fully landed with `remote_train.log`, `epoch_0001..0003.pt`, and `full_eval/epoch_0001..0003/summary.json`. Full metrics: e1=0.6761/0.5198, e2=0.6775/0.4862, e3=0.6790/0.5073 (clip_style/content_lpips). The retained result is materially weaker than the clean base arm and also weaker than `k025`, supporting the later same-family path-stability probe read that removing kinetic increases field magnitude while degrading the quality frontier."
,LANCET,Distinct5-512 / 1000 per style,distinct5_512,512,LANCET best-lpips (F e1),full,,0.696914507508278,0.31864464036,,,,,,,122.63254700962189,1.2,m,1.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Distinct5-512 / 1000 per style,distinct5_512,512,LANCET best-style (K e1),full,,0.7009949656327565,0.3622938977466666,,,,,,,157.1687499147529,1.2,m,1.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM best-lpips (2250),full,,0.5810966821114222,0.3538204092184702,,,,,,,146.07096815798894,7.6,h,7.6h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM best-style (2k),full,,0.5833460243542989,0.3621530055602391,,,,,,,152.2123439756121,6.8,h,6.8h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM closed 3k,full,,0.6978010030587514,0.3220869704133334,,,,,,,345.60174531483347,10.2,h,10.2h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\baseline_packet_status_20260604\packet_status.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,Distinct5-512 / 1000 per style,distinct5_512,512,SaMST e15,full,,0.7247245136102042,0.6255497488,,,,,,,395.71170712852535,5.8,h,5.8h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,Distinct5-512 / 1000 per style,distinct5_512,512,idt,full,,0.6801251527865727,0.0,,,,,,,216.50988095718216,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Distinct5-512 / 1000 per style,distinct5_512,512,LANCET best-lpips (F e1),transfer,,0.6643604030708471,0.3245282069166667,,,,,,,126.8257137813018,1.2,m,1.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Distinct5-512 / 1000 per style,distinct5_512,512,LANCET best-style (K e1),transfer,,0.6711669415235519,0.3722808781833334,,,,,,,161.95765747448172,1.2,m,1.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM best-lpips (2250),transfer,,0.5522515382866064,0.3604523678372304,,,,,,,148.20585228085082,7.6,h,7.6h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM best-style (2k),transfer,,0.5545786788066228,0.3691024965047836,,,,,,,154.25894735281716,6.8,h,6.8h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\artfid_metric_hacking\distinct5_aggregate_artfid_keypoints.remote.csv,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Distinct5-512 / 1000 per style,distinct5_512,512,SaMAM closed 3k,transfer,,0.6646182161569595,0.3270938639666667,,,,,,,394.76620834787985,10.2,h,10.2h,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\baseline_packet_status_20260604\packet_status.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,Distinct5-512 / 1000 per style,distinct5_512,512,SaMST e15,transfer,,0.69574123164018,0.6319495817333334,,,,,,,444.4870406090582,5.8,h,5.8h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,Distinct5-512 / 1000 per style,distinct5_512,512,idt,transfer,,0.6399224616587161,0.0,,,,,,,323.66084570519234,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Legacy256 / overfit50,legacy256_overfit50,256,LANCET archive e7,full,,0.703508348663648,0.4426572581466667,,,,,,,287.8303786488108,5.2,m,5.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\archives\old_experiment_dirs\grid_search_3epoch\S-none_K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Legacy256 / overfit50,legacy256_overfit50,256,LANCET archive e8,full,,0.7036010053555171,0.44816957577333333,,,,,,,293.018483138329,5.9,m,5.9m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\archives\old_experiment_dirs\grid_search_3epoch\S-none_K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Legacy256 / overfit50,legacy256_overfit50,256,SaMAM best-content (25k),full,,0.6938233523368835,0.39395823450666667,,,,,,,248.70793080820545,3.9,h,3.9h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Legacy256 / overfit50,legacy256_overfit50,256,SaMAM best-style (14k),full,,0.6968672373692193,0.43627805274666664,,,,,,,285.8129778113213,2.2,h,2.2h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,Legacy256 / overfit50,legacy256_overfit50,256,SaMST,full,,0.7253123044570288,0.53903856028,,,,,,,273.7965843550592,1.9,h,1.9h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst\protocol_a_800\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,Legacy256 / overfit50,legacy256_overfit50,256,idt,full,,0.6593609295606613,0.0,,,,,,,182.7174038755024,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Legacy256 / overfit50,legacy256_overfit50,256,LANCET archive e7,transfer,,0.6752455333371958,0.45385478981666666,,,,,,,310.06004445072676,5.2,m,5.2m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\archives\old_experiment_dirs\grid_search_3epoch\S-none_K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,Legacy256 / overfit50,legacy256_overfit50,256,LANCET archive e8,transfer,,0.6759850123027961,0.4594570128666667,,,,,,,313.84374996766155,5.9,m,5.9m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\archives\old_experiment_dirs\grid_search_3epoch\S-none_K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Legacy256 / overfit50,legacy256_overfit50,256,SaMAM best-content (25k),transfer,,0.6669773708780606,0.4021742742833333,,,,,,,277.2721633527835,3.9,h,3.9h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_continue17k_to25k\formal_eval_750\step_025000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,Legacy256 / overfit50,legacy256_overfit50,256,SaMAM best-style (14k),transfer,,0.671752924968799,0.4392484994666666,,,,,,,304.32280945149495,2.2,h,2.2h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_256_formal_750_eval\step_014000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,Legacy256 / overfit50,legacy256_overfit50,256,SaMST,transfer,,0.7034510732193787,0.5571298963833333,,,,,,,302.48498753747083,1.9,h,1.9h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst\protocol_a_800\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,Legacy256 / overfit50,legacy256_overfit50,256,idt,transfer,,0.613607810229063,0.0,,,,,,,265.57669131867476,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,WikiArt512 / 3600 per style,wikiart512_5style,512,LANCET hist b32 e8,full,,0.7922978092034658,0.3550378331343333,,,,,,,350.2084875218386,0.7,m,0.7m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMAM best-content (10k),full,,0.7850886265436807,0.16433595481733335,,,,,,,254.39062778771137,4.4,h,4.4h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMAM best-style (5k),full,,0.7912443998654684,0.28329175086666664,,,,,,,289.12667544442655,2.1,h,2.1h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_005000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e10,full,,0.7745031952063244,0.6108974266133333,,,,,,,426.19807589160456,8.3,h,8.3h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0010\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e15,full,,0.7767400147120159,0.6088616661733334,,,,,,,421.3698495410816,12.3,h,12.3h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_epoch15_generate750_png\epoch_0015\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e5,full,,0.773973307609558,0.6123956792533333,,,,,,,426.6529968076026,4.2,h,4.2h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0005\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,WikiArt512 / 3600 per style,wikiart512_5style,512,idt,full,,0.7815262297789255,0.0,,,,,,,211.60215436533116,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\wikiart512_5style\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,LANCET,WikiArt512 / 3600 per style,wikiart512_5style,512,LANCET hist b32 e8,transfer,,0.7852639506260554,0.3557362271596988,,,,,,,404.2144887592864,0.7,m,0.7m,,,,3.91,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMAM best-content (10k),transfer,,0.7773564200599988,0.16439261076166667,,,,,,,328.58145188042766,4.4,h,4.4h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMAM,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMAM best-style (5k),transfer,,0.7845889044801393,0.2833103877333334,,,,,,,343.37426300387875,2.1,h,2.1h,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_005000\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e10,transfer,,0.7688595057527224,0.6106467537666668,,,,,,,444.65943001870994,8.3,h,8.3h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0010\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e15,transfer,,0.7710875839988389,0.6085886559,,,,,,,441.68304609634197,12.3,h,12.3h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_epoch15_generate750_png\epoch_0015\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,SaMST,WikiArt512 / 3600 per style,wikiart512_5style,512,SaMST e5,transfer,,0.7687445387244225,0.6121340467499999,,,,,,,444.2399203067613,4.2,h,4.2h,,,,6,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\timing_20260602\samst_wikiart512_curve_midpoints\epoch_0005\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,idt,WikiArt512 / 3600 per style,wikiart512_5style,512,idt,transfer,,0.7730244772632916,0.0,,,,,,,312.6146369027132,,,ref,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\idt_eval_20260602\wikiart512_5style\idt_5x5\summary.json,artfid_comparison_points,ArtFID comparison point; train time preserved from train_time_label.
,AdaIN,run_511 / strict protocol timing probes,run511_5domain,256,adain_4g_bg,,,,,,,,,,,,6.045,s,6.045 s,,,,,,train=ok; infer=,Related_Works/results/metrics_summary/timing_summary.csv,Related_Works timing_summary.csv,
