case_id,comparison,src_style,tgt_style,src_image,panel_path,candidate_a_method,candidate_b_method,source_path,target_ref_path
10,knee_vs_seedream,Early_Renaissance,Minimalism,paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\010_knee_vs_seedream_Early_Renaissance_to_Minimalism.png,Seedream,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
11,knee_vs_seedream,Rococo,Minimalism,giovanni-domenico-tiepolo_the-new-world-1797.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\011_knee_vs_seedream_Rococo_to_Minimalism.png,LBM-Knee,Seedream,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__giovanni-domenico-tiepolo_the-new-world-1797.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
12,psv2_vs_samst,Rococo,Ukiyo_e,jean-marc-nattier_portrait-of-louis-tocqu-1762.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\012_psv2_vs_samst_Rococo_to_Ukiyo_e.png,LBM-PS-v2,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__hiroshige_hakone-kosuizu.jpg
13,psv2_vs_samst,Rococo,Impressionism,jean-marc-nattier_portrait-of-louis-tocqu-1762.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\013_psv2_vs_samst_Rococo_to_Impressionism.png,LBM-PS-v2,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
14,psv2_vs_samst,Rococo,Impressionism,louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\014_psv2_vs_samst_Rococo_to_Impressionism.png,SaMST,LBM-PS-v2,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
15,psv2_vs_samst,Rococo,Impressionism,thomas-gainsborough_robert-butcher-of-walthamstan.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\015_psv2_vs_samst_Rococo_to_Impressionism.png,SaMST,LBM-PS-v2,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__thomas-gainsborough_robert-butcher-of-walthamstan.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
16,psv2_vs_samst,Early_Renaissance,Impressionism,carlo-crivelli_saint-thomas-aquinas-1476.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\016_psv2_vs_samst_Early_Renaissance_to_Impressionism.png,SaMST,LBM-PS-v2,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
17,psv2_vs_samst,Impressionism,Minimalism,joaquã­n-sorolla_study-of-vineyard.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\017_psv2_vs_samst_Impressionism_to_Minimalism.png,SaMST,LBM-PS-v2,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
18,k_vs_idt,Rococo,Minimalism,canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\018_k_vs_idt_Rococo_to_Minimalism.png,IDT,LBM-K,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
19,k_vs_idt,Rococo,Minimalism,bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\019_k_vs_idt_Rococo_to_Minimalism.png,LBM-K,IDT,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
20,k_vs_idt,Rococo,Ukiyo_e,thomas-gainsborough_john-plampin.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\020_k_vs_idt_Rococo_to_Ukiyo_e.png,IDT,LBM-K,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__thomas-gainsborough_john-plampin.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__hiroshige_hakone-kosuizu.jpg
21,k_vs_idt,Ukiyo_e,Minimalism,kitagawa-utamaro_yama-uba-and-kintaro-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\021_k_vs_idt_Ukiyo_e_to_Minimalism.png,IDT,LBM-K,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
22,k_vs_idt,Rococo,Minimalism,antoine-watteau_head-of-a-man.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\022_k_vs_idt_Rococo_to_Minimalism.png,LBM-K,IDT,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__antoine-watteau_head-of-a-man.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
23,k_vs_idt,Minimalism,Impressionism,joan-hernandez-pijuan_untitled-120-1999.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\023_k_vs_idt_Minimalism_to_Impressionism.png,IDT,LBM-K,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__joan-hernandez-pijuan_untitled-120-1999.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
