=== M5 Local Cleanup Log - 07/02/2026 23:19:10 ===
[2026-07-02 23:19:12] DELETED scale | 18894MB | Old wikiart_1024 datasets from May 2026, no longer used (datasets now on /mnt/i/)
[2026-07-02 23:21:02] DELETED exp\_smoke_distinct5_512_ema_variant_i_dual_mix_local | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:03] DELETED exp\_smoke_distinct5_512_ema_variant_j_aux_hard_swd_local | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:03] DELETED exp\_smoke_distinct5_512_ema_variant_k_content_adaptive_local | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:03] DELETED exp\_smoke_distinct5_512_ema_variant_m_style_gated_local_windows | 0.5MB | smoke/probe cleanup
[2026-07-02 23:21:03] DELETED exp\_smoke_distinct5_profile_probe_b8_vlen001 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:04] DELETED exp\_smoke_distinct5_variant_a_latent_init | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:04] DELETED exp\_smoke_distinct5_variant_b_latent_init | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:04] DELETED exp\local_wsl_distinct5_512_ema_k_b16_step2min | 0.5MB | smoke/probe cleanup
[2026-07-02 23:21:05] DELETED exp\local_wsl_distinct5_512_ema_k_b16_step2min_v160 | 0.5MB | smoke/probe cleanup
[2026-07-02 23:21:05] DELETED exp\local_wsl_distinct5_512_ema_k_b16_stepcalib | 0.5MB | smoke/probe cleanup
[2026-07-02 23:21:05] DELETED exp\local_wsl_distinct5_512_ema_k_b32_e8 | 0.5MB | smoke/probe cleanup
[2026-07-02 23:21:05] DELETED exp\local_wsl_wikiart512_carrier_gate_from_hist_e3 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:06] DELETED exp\local_wsl_wikiart512_execution_budget_from_hist_e1 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:06] DELETED exp\local_wsl_wikiart512_full_b32_e8 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:06] DELETED exp\local_wsl_wikiart512_style_injection_delta_div_from_hist_e3 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\local_wsl_wikiart512_style_injection_delta_div_w05_from_hist_e3 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\local_wsl_wikiart512_style_injection_from_hist_e1 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\local_wsl_wikiart512_style_injection_from_hist_e3 | 0.4MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\probes_20260601 | 0MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\smoke_blockmask | 0MB | smoke/probe cleanup
[2026-07-02 23:21:07] DELETED exp\style_representation_residual_scale_sweep | 0.8MB | smoke/probe cleanup
[2026-07-02 23:21:08] DELETED exp\tmp_output_appearance_resume_smoke | 0.6MB | smoke/probe cleanup
[2026-07-02 23:21:08] DELETED exp\630_local_t15_llgqca_train.log | 0.08MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_local_t19b_dim96_train.log | 0.1MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_phase3_train.log | 0.28MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_phase4a2_adain_0_train.log | 0.07MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_phase4a2_extrap_0_train.log | 0.09MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_phase4b1_freq_a05_train.log | 0.09MB | loose file
[2026-07-02 23:21:08] DELETED exp\630_phase4b1_freq_a1_train.log | 0.09MB | loose file
[2026-07-02 23:21:08] DELETED exp\_eval_samam_unified.bat | 0MB | loose file
[2026-07-02 23:21:08] DELETED exp\_remote_scan_v2.py | 0.01MB | loose file
[2026-07-02 23:21:08] DELETED exp\ablation_log.md | 0MB | loose file
[2026-07-02 23:21:08] DELETED exp\analyze_task6_results.py | 0MB | loose file
[2026-07-02 23:21:09] DELETED exp\archive_manifest.json | 0.02MB | loose file
[2026-07-02 23:21:09] DELETED exp\baseline_err.log | 0MB | loose file
[2026-07-02 23:21:09] DELETED exp\baseline_train.log | 0MB | loose file
[2026-07-02 23:21:09] DELETED exp\clean_base_v2_relu2_train.log | 0.09MB | loose file
[2026-07-02 23:21:09] DELETED exp\gen_task6_configs.py | 0MB | loose file
[2026-07-02 23:21:09] DELETED exp\t5_err.log | 0.07MB | loose file
[2026-07-02 23:21:09] DELETED exp\t5_train.log | 0MB | loose file
[2026-07-02 23:21:09] DELETED exp\tuning_deepdive.zip | 0.03MB | loose file
[2026-07-02 23:21:09] DELETED exp\verify_task6_configs.py | 0MB | loose file
[2026-07-02 23:21:09] DELETED G:\GitHub\Latent_Style\SchrodingerBridge\exp\wikiart_stress1_Color_Field_Painting__High_Renaissance__Mannerism_Late_Renaissance__Pop_Art__Realism_variant_f_b44_remote | 0MB | old series deprecated
[2026-07-02 23:21:29] DELETED logs\phase4e_db2_lvl1_result.txt | 80.7MB | logs/ misnamed eval image dir
[2026-07-02 23:21:29] DELETED logs\phase4g1a_train.txt | 34.7MB | logs/ misnamed eval image dir
[2026-07-02 23:21:30] DELETED logs\phase4g1b_train.txt | 9.6MB | logs/ misnamed eval image dir

=== Phase 8-10 freed: 0.13 GB ===
