"timestamp","scope","exp_dir","remote_path","policy_action","live_total_files","live_total_mb","live_media_files","live_summary_json","live_csv","live_grid_media","live_weight_files","representative_summary_or_report","representative_csv_or_metrics","representative_grid_or_media","representative_checkpoint","manifest_decision","delete_whitelist","next_action"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","formal_eval_750","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\formal_eval_750","keep_cited_media","1506","22.082","1502","2","2","2","0","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80/summary.json; split_axis_geometry_derivgate_fieldbound_g005_120b/summary.json","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80/metrics.csv; split_axis_geometry_derivgate_fieldbound_g005_120b/metrics.csv","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80/summary_grid.png; split_axis_geometry_derivgate_fieldbound_g005_120b/images=750","", "retain_formal_750_eval_surface","no","preserve formal 750-row evidence paths"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","legacy","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\legacy","keep_cited_media","184","39.699","19","22","44","19","0","artifacts/full_eval/epoch_0040/summary.json; artifacts/full_eval/epoch_0040_adapter_style_branch/summary.json","artifacts/full_eval/epoch_0040/metrics.csv; artifacts/full_eval/epoch_0040_adapter_style_branch/metrics.csv","artifacts/full_eval/epoch_0040/summary_grid.png; horse2zebra_omf/full_eval_iclr/epoch_0080=1","", "retain_legacy_cited_surface","no","preserve historical comparison paths"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","orth12","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\orth12","keep_cited_media","152","83.217","30","34","45","30","0","fd20_g0_golden_pedestal_e15s1_b32/full_eval/batch_summary.json; fd20_g0_golden_pedestal_e15s1_b32/full_eval/epoch_0001/summary.json","fd20_g0_golden_pedestal/logs/training_20260510_005026.csv; fd20_g0_golden_pedestal_e15s1_b32/full_eval/batch_summary.csv","fd20_g0_golden_pedestal_e15s1_b32/full_eval/epoch_0001/summary_grid.png; full_eval/fd20_g0_golden_pedestal/epoch_0020=1","", "retain_orth12_cited_surface","no","preserve legacy phase-space evidence paths"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","pareto_probe_4","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pareto_probe_4","keep_cited_media","298","219.401","80","84","94","80","0","S-add__K-3_C-2_W-10_Col-15/full_eval/batch_summary.json; S-add__K-3_C-2_W-10_Col-15/full_eval/epoch_0001/summary.json","S-add__K-3_C-2_W-10_Col-15/full_eval/batch_summary.csv; S-add__K-3_C-2_W-10_Col-15/full_eval/epoch_0001/metrics.csv","S-add__K-3_C-2_W-10_Col-15/full_eval/epoch_0001/summary_grid.png; S-norm_K-3_C-2_W-10_Col-15/full_eval/epoch_0014=1","", "retain_pareto_probe_surface","no","preserve pareto probe summaries and grids"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","runs","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\runs","keep_cited_media","380","78.028","23","24","67","23","0","o10e/summary.json; o10l1/summary.json; o10l2/summary.json","2026-05-16_d0_resume_k05_p32/logs/training_20260516_120100.csv; o_debug_d3/logs/training_20260509_201127.csv","o10e/summary_grid.png; o20cahf=1; o20d1=1","", "retain_runs_cited_surface","no","preserve paper-hit run summaries and training logs"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","split_axis_geometry_derivgate_fieldbound_g005_120b","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_geometry_derivgate_fieldbound_g005_120b","keep_cited_media","169","89.254","151","1","2","1","1","quick_eval/summary.json","quick_eval/metrics.csv; logs/training_20260531_193803.csv","quick_eval/grid_first_per_class.png; quick_eval/generated=150","epoch_0001.pt","retain_quick_eval_and_checkpoint","no","preserve quick_eval generated evidence and epoch_0001 checkpoint"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_additive_base","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_additive_base","keep_cited_media","2284","388.860","2253","3","4","3","8","full_eval/epoch_0006/summary.json; full_eval/epoch_0007/summary.json; full_eval/epoch_0008/summary.json","full_eval/epoch_0006/metrics.csv; logs/training_20260530_162925.csv","full_eval/epoch_0006/summary_grid.png; full_eval/epoch_0006-0008/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_big_tokonly_from_backbone_e16","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_big_tokonly_from_backbone_e16","keep_cited_media","2286","222.402","2253","3","4","3","12","full_eval/epoch_0008/summary.json; full_eval/epoch_0010/summary.json; full_eval/epoch_0012/summary.json","full_eval/epoch_0008/metrics.csv; logs/training_20260530_173007.csv","full_eval/epoch_0008/summary_grid.png; full_eval/epoch_0008-0012/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_carrier_base_b176","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b176","keep_cited_media","2282","387.371","2253","3","4","3","8","full_eval/epoch_0006/summary.json; full_eval/epoch_0007/summary.json; full_eval/epoch_0008/summary.json","full_eval/epoch_0006/metrics.csv; logs/training_20260530_165354.csv","full_eval/epoch_0006/summary_grid.png; full_eval/epoch_0006-0008/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_carrier_base_b176_e16","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_carrier_base_b176_e16","keep_cited_media","2290","739.909","2253","3","4","3","16","full_eval/epoch_0012/summary.json; full_eval/epoch_0014/summary.json; full_eval/epoch_0016/summary.json","full_eval/epoch_0012/metrics.csv; logs/training_20260530_170833.csv","full_eval/epoch_0012/summary_grid.png; full_eval/epoch_0012-0016/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_concept_atoms_tokonly_from_backbone_e16","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_concept_atoms_tokonly_from_backbone_e16","keep_cited_media","2298","400.253","2253","3","4","3","24","full_eval/epoch_0008/summary.json; full_eval/epoch_0016/summary.json; full_eval/epoch_0024/summary.json","full_eval/epoch_0008/metrics.csv; logs/training_20260530_195242.csv","full_eval/epoch_0008/summary_grid.png; full_eval/epoch_0008-0024/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_factorized_backbone_e16","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_factorized_backbone_e16","keep_cited_media","773","187.843","751","1","3","1","4","full_eval/epoch_0016/summary.json","full_eval/epoch_0016/metrics.csv; logs/training_20260530_161045.csv; logs/training_20260530_161215.csv","full_eval/epoch_0016/summary_grid.png; full_eval/epoch_0016/images=750","epoch_0013.pt; epoch_0014.pt; epoch_0015.pt; epoch_0016.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_factorized_base","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_factorized_base","keep_cited_media","2284","387.434","2253","3","4","3","8","full_eval/epoch_0006/summary.json; full_eval/epoch_0007/summary.json; full_eval/epoch_0008/summary.json","full_eval/epoch_0006/metrics.csv; logs/training_20260530_154500.csv","full_eval/epoch_0006/summary_grid.png; full_eval/epoch_0006-0008/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt; epoch_0004.pt; epoch_0005.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","tokenizer_t01_factorized_tokonly_e12","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_t01_factorized_tokonly_e12","keep_cited_media","772","73.518","751","1","2","1","4","full_eval/epoch_0012/summary.json","full_eval/epoch_0012/metrics.csv; logs/training_20260530_160527.csv","full_eval/epoch_0012/summary_grid.png; full_eval/epoch_0012/images=750","epoch_0009.pt; epoch_0010.pt; epoch_0011.pt; epoch_0012.pt","retain_tokenizer_t01_cited_packet","no","preserve final eval packet until archive selection"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","wikiart512_ema_lowcell_weighted_from_0790_e1_b48","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowcell_weighted_from_0790_e1_b48","keep_cited_media","169","48.303","151","1","2","1","1","eval_quick_n6/summary.json","eval_quick_n6/metrics.csv; logs/training_20260601_100226.csv","eval_quick_n6/summary_grid.png; eval_quick_n6/images=150","epoch_0001.pt","retain_quick_eval_and_checkpoint","no","preserve quick eval evidence and checkpoint"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","wikiart512_ema_spectral_stat_full_adapt_e2_b48","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_adapt_e2_b48","keep_cited_media","3647","2111.208","3608","8","9","8","8","eval_quick_n6_strength1p25/summary.json; full_eval_epoch0002_b4/summary.json; full_eval_gain2_b4/summary.json","eval_quick_n6_strength1p25/metrics.csv; full_eval_epoch0002_b4/metrics.csv; full_eval_gain2_b4/metrics.csv","eval_quick_n6_strength1p25/grid_first_per_class.png; full_eval_epoch0002_b4/generated=750; full_eval_gain2_b4/generated=750","epoch_0001.pt; epoch_0002.pt; probe_gain1.pt; probe_gain2.pt; probe_gain4.pt","retain_large_cited_model_packet","no","build representative image set before any bulk media migration"
