"scope","location","path","period_start","period_end","top_level_or_family","dataset_or_setting","method_or_component","weight_file_count","weight_size_mb","evidence_class","cleanup_status","opened_evidence","note"
"remote","I","I:/Github/Latent_Style/latent-256-sdxl-fp32","2026-05-25","2026-05-25","remote latent backend cache","legacy 5-style","SDXL fp32 latent backend","10361","1310.264","latent backend cache","keep","remote count by root","Backend latent cache."
"remote","I","I:/Github/Latent_Style/eval_cache","2026-05-16","2026-06-04","remote metric/model cache","eval dependencies","CLIP / VAE / ArtFID","29","6077.946","cache/pretrained dependency","keep","Get-ChildItem eval_cache; exact count","Large cache, not experiment checkpoint cleanup."
"remote","I","I:/Github/Latent_Style/SchrodingerBridge","2026-05-08","2026-06-05","remote SchrodingerBridge root","Distinct5-512; WikiArt512; legacy strict750","LANCET / LBM","11469","9441.059","mixed current evidence plus cache/data","split by first-level before judging","first-level weight grouping","Raw total includes exp, scale datasets, historical S-add, review extras, and eval cache; do not interpret as all training ckpts."
"remote","I","I:/Github/Latent_Style/SchrodingerBridge/exp","2026-05-28","2026-06-03","remote current exp root","Distinct5-512","LANCET / LBM","101","5945.063","current and lineage evidence","retain pending retention policy","remote exp per-run grouping","Current/lineage evidence: B44 variants A-E/J/K/L/M, longer F/K, path kinetic H, SADD repro. No new deletion in this pass."
"remote","I","I:/Github/Latent_Style/SchrodingerBridge/scale/datasets","2026-05-18","2026-05-18","scale dataset tensors","scale datasets","latent/data support","11349","2859.902","dataset tensors","keep","Get-ChildItem scale; first-level grouping","Data carrier, not training checkpoint cleanup."
"remote","I","I:/Github/Latent_Style/SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0","2026-05-13","2026-05-16","historical strict750 root","legacy256_overfit50","S-add / LBM historical","8","345.642","historical benchmark gate","keep","first-level grouping","Historical gate and timing anchor."
"remote","I","I:/Github/Latent_Style/SchrodingerBridge/review_additional_experiments","2026-05-13","2026-05-14","review additional experiments","legacy256","review ablations","9","289.8","historical evidence","keep pending archive policy","first-level grouping","Referenced historical evidence; not deleted."
"remote","I","I:/Github/Latent_Style/Related_Works","2026-03-25","2026-06-03","remote baselines","Distinct5-512; legacy256","SaMAM / SaMST / CUT / StarGAN / dependencies","27","5394.883","baseline evidence plus dependencies","clean under current retention","Get-ChildItem Related_Works; weight detail","19 SaMAM central step_checkpoints remain plus VGG/LPIPS deps and fake placeholders."
"remote","I","I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","2026-06-01","2026-06-03","SaMAM central curve","Distinct5-512","SaMAM","19","5242.0","current baseline timing/quality evidence","keep","remote Related_Works weight detail","Central SaMAM diag checkpoint series; not deleted because comparison/timing evidence depends on it."
"remote","I","I:/Github/Latent_Style/Cycle-NCE","2026-02-27","2026-06-05","historical Cycle-NCE root","legacy256; Ukiyo-e","Cycle-NCE","37","937.553","historical archive plus caches/deps","keep pending archive policy","Get-ChildItem Cycle-NCE; weight detail","Large historical area with rar/zips; remaining .pt include CLIP/VAE/cache/classifier/venv deps, not current paper ckpt cleanup."
"remote","I","I:/Github/Latent_Style/StarGAN","2026-03-25","2026-05-29","StarGAN baseline root","legacy256","StarGAN","4","0.006","baseline eval placeholders","keep or delete only with placeholder policy","Get-ChildItem StarGAN; weight detail","Only fake_eval_checkpoint.pt placeholders in full_eval dirs."
"remote","I","I:/Github/Latent_Style/experiments","2026-02-13","2026-04-09","legacy experiment archive","legacy256","early latent/style experiments","3","319.141","historical archive/cache","keep pending archive policy","Get-ChildItem experiments; weight detail","Huge old experiment tree; only counted weights are VAE/cache style files, not fresh train ckpt cleanup."
"remote","I","I:/Github/Latent_Style/exp","2026-05-18","2026-05-20","remote highres root","highres","probe output","0","0","probe output","keep","Get-ChildItem exp; exact count","Only highres directory at opened level; no weights."
"remote","I","I:/Github/Latent_Style/seedream45_api","2026-05-29","2026-05-29","Seedream output root","protocol_a_800","Seedream API baseline","1","0.00146","tiny eval placeholder","keep or delete only with placeholder policy","exact remote count","Only fake_eval_checkpoint.pt."
"remote","I","I:/Github/Latent_Style_TokenizerClean","2026-05-30","2026-06-05","remote clean checkout","Distinct5-512; WikiArt512 tokenizer lines","clean worktree / tokenizer evidence","","","current remote worktree","keep","Get-ChildItem TokenizerClean","Separate clean remote checkout, not trash."
"remote","I","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge","2026-05-30","2026-06-03","TokenizerClean SchrodingerBridge","Distinct5-512; WikiArt512","LANCET / tokenizer / AAAI2027","334","11822.873","current tokenizer/AAAI evidence","keep under docs policy","first-level grouping; docs opened","Current docs classify exp surface; mass move/delete is unsafe while docs/master log cite paths."
"remote","I","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp","2026-05-31","2026-06-05","TokenizerClean exp","Distinct5-512; WikiArt512","tokenizer / spectral-stat / endpoint metric / SA-SWD","326","11375.355","current and frozen evidence","keep pending retention policy","top 40 run grouping; exp surface docs","Contains tokenizer, WikiArt spectral-stat, AAAI flow/endpoint/SASWD/localization chains."
"remote","I","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp displayed as exp?saswd*","2026-06-03","2026-06-03","special-path SA-SWD evidence","Distinct5-512","SA-SWD semantic/random","6","403.558","current evidence with path display anomaly","keep","first-level grouping; SA-SWD README","These display as exp?saswd... because separator char code is 61532; normal exp/saswd dirs are launch/log surfaces."
"remote","I","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/docs/experiments","2026-05-30","2026-06-03","TokenizerClean docs","AAAI2027 Distinct5/WikiArt","experiment ledger and reviews","","","primary remote source surface","keep","docs listing; aaai2027_master_experiment_log.csv; exp classification docs","Defines active/frozen/retired classes and which run paths are still cited."
"remote","I","I:/Github/Latent_Style_TokenizerClean/Related_Works","2026-05-30","2026-05-30","mirrored baseline root","legacy baselines","Related_Works","0","0","mirror/no weights in this checkout","keep","TokenizerClean top-level weight count","No weight files found under this checkout root."
"remote","I","I:/Github/Latent_Style_TokenizerClean/Cycle-NCE","2026-05-30","2026-05-30","mirrored historical root","legacy","Cycle-NCE","0","0","mirror/no weights in this checkout","keep","TokenizerClean top-level weight count","No weight files found under this checkout root."
"remote","I","I:/Github/Latent_Style_TokenizerClean/lambda_grid and step_count_sweep","2026-05-30","2026-05-30","mirrored dry-run roots","legacy","dry-run sweeps","0","0","dry-run mirror","keep as negative evidence","TokenizerClean top-level weight count","No weights; inherit dry-run interpretation from main local manifest."
