dataset_key,checked_file,rows,local_rows,remote_rows,period_range,main_methods,metric_rows,train_timing_rows,infer_timing_rows,representative_sources,evidence_grade,formal_claim_use,timing_use,cleanup_boundary,missing_or_next_action,manual_note
schrodingerbridge_root_legacy,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_root_legacy.csv,197,72,125,2026-05-07..2026-06-04,LANCET/LBM:197,64,0,14,"SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/batch_summary.csv | theory_switch_validation CSVs","root_legacy_anchor_surface","可作为 S-add__K-1_C-0_W-20_Col-0 和 theory switch 历史 anchor；不是新实验主表。","有 14 条 infer timing，无 train timing。","root legacy anchor 不可删除；旧 theory_switch_validation 需迁移指标后再定清理。","需要明确哪些 root legacy 行仍是 baseline gate。","逐项打开确认 batch_summary 有指标，remote logs/summary 补充历史。"
legacy256_overfit50,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/legacy256_overfit50.csv,131,126,5,2026-03-20..2026-06-03,"LANCET:53; SaMAM:49; No-op:11; SaMST:5; idt:4",123,15,5,"SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/.../summary.json | noop_comparison CSVs | training_times_documentation.md","legacy_baseline_with_some_timing","可用于 Legacy256/overfit50 历史对照，不能与 512 formal 直接混表。","有少量训练/推理 timing，可作为历史成本上下文。","archives/old_experiment_dirs 保留到指标/summary 已完全迁移。","需要把 256 与 512 的分辨率边界写入后续论文表。","逐项打开确认有 metric_evidence 和 timing_evidence 混合，分辨率为 256。"
run511_5domain,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/run511_5domain.csv,120,48,72,2026-05-30..2026-05-30,"StyTr2:27; CAST:25; AdaIN:24; AesPA-Net:13; AesFA:12; SaMST:6; S2WAT:3",3,40,25,"Related_Works/results/metrics_summary/timing_summary.csv | Related_Works/run_511/outputs/* | remote summaries","related_works_timing_surface","可用于 Related_Works baseline timing/protocol脉络；质量指标很少，不能当完整性能表。","这是 Related_Works timing 的主要来源之一；有失败/视觉无效说明时要保留 note。","run_511 outputs 是协议证据，不按无 ckpt 或图片删除；清理需迁移代表图和 timing_summary。","需要把成功、失败、视觉无效、full train+strict 750 分类。","逐项打开看到 AdaIN invalid visual note，说明 timing 与有效质量必须分离。"
schrodingerbridge_aaai2027,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_aaai2027.csv,87,0,87,2026-06-03..2026-06-05,LANCET/LBM:87,0,0,49,"I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0001\summary.json","remote_full_eval_timing_surface","当前只用于 AAAI2027/TokenizerClean closing 的 wall-time 脉络；没有质量指标时不能宣传性能。","49 条 infer/full-eval 秒级记录；无 train timing。","远程 aaai2027 exp 是 closing surface，不能删 weight/media，除非 owner 给 archive/migration policy。","需要补质量指标或确认 summary 为什么只保留 timing。","逐项打开确认样本只有 infer_time_value，clip/content 为空。"
strict_protocol_750,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/strict_protocol_750.csv,79,77,2,2026-06-01..2026-06-02,"LANCET/LBM:46; StyleID:5; SaMST:4; AdaIN:3; AdaIN v32k:2; AdaIN vgg19:2",53,15,24,"Related_Works/run_511/complete_750/* | SchrodingerBridge/archives/old_root_files/training_times_documentation.md | ablation_destructive paths","formal_protocol_surface","最接近可复用的跨方法 strict-750 证据层，可用于后续标定，但要去重和分组。","有 train 和 infer timing；需要逐行保持原始单位。","complete_750 和 ablation anchors 不能删；可清理 only after summary/timing/representative outputs confirmed。","需要拆分 baseline 方法、LANCET ablation、summary duplicate。","逐项打开确认 53 metric、15 train、24 infer，是 timing promotion 候选。"
path_family_final_works,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/path_family_final_works.csv,75,75,0,,unknown:75,75,0,0,"final_works/trial_0016/full_eval/epoch_0060_grid5/grid_metrics.csv | trial_0019 | trial_0044","historical_path_family_metrics","只作为 final_works 历史路径族指标，不能当未命名方法主结果。","没有 timing。","final_works 需保留，尤其 trial_0016/0019/0044 对应 curated remote evidence。","需要补 method/run lineage。","逐项打开确认只有 generic CSV metric rows。"
photo_monet_5x5,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/photo_monet_5x5.csv,42,17,25,2026-05-30..2026-06-03,"CUT:18; SDEdit:9; LANCET/LBM:8; CycleGAN:3; S2WAT:2; SD-Turbo:2",0,0,2,"Related_Works/runs/cut_5x5/checkpoints/*/web/images | Related_Works/runs/cut_5x5/infer_5x5/images | remote summaries","qualitative_and_summary_surface","主要用于 Photo-Monet/CUT 5x5 qualitative/repro inventory；不是指标性能表。","只有 2 条 infer timing，无 train timing。","CUT infer/web images 不能直接删；需要 owner 决定代表样本保留或迁移。","需要补 CUT/SDEdit/CycleGAN 的真实 metrics 或明确只作为 qualitative。","逐项打开确认 source 多为 image inventory，缺 summary/metrics/meta。"
schrodingerbridge_docs_experiments,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_docs_experiments.csv,13,13,0,,"AdaIN:6; Ours:3; SaMST:2; StyleID:2",0,0,0,"SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv | selected_style_metrics_historical_merged.csv","docs_index_only","只是 docs 选中方法索引，不单独支撑结果。","没有 timing。","docs/experiments 不删；这些文件是索引证据。","需要回连到真实 raw/eval source。","逐项打开确认 validity_class 为 indexed_curated_evidence，metric 字段为空。"
schrodingerbridge_destructive_ablation,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_destructive_ablation.csv,12,12,0,,"12 single-row ablation methods",12,12,12,"G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D*_*/full_eval\epoch_0007","clean_ablation_metric_timing_surface","可作为 destructive ablation 的干净小表，适合提升到 timing/metric candidates。","12 行全有 train_time 和 infer_time，单位 s。","ablation_destructive_7epoch 是 anchor；不要删 summary/epoch anchors。","需要确认这些 ablation 是否仍进入论文或只做 appendix。","逐项打开确认每行都有 clip/content/train/infer。"
unclassified_curated_experiments,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/unclassified_curated_experiments.csv,11,0,11,2026-03-25..2026-05-30,unknown:11,0,0,0,"I:\Github\Latent_Style\StarGAN\runs\stargan_v2_baseline_4070\... | I:\Github\Latent_Style_TokenizerClean\final_works\trial_0016\...","unclassified_remote_context","只作为未分类 remote curated evidence，不能用于主结果。","没有 timing。","不删除，直到 StarGAN/final_works 是否已并入对应 dataset 被确认。","需要把 StarGAN 与 final_works trial 归回 related_works/path_family。","逐项打开确认全部 remote summary/log，未归类。"
schrodingerbridge_review_additional,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_review_additional.csv,10,5,5,2026-05-30..2026-05-30,LANCET/LBM:10,0,0,5,"SchrodingerBridge/exp/review_additional_experiments/.../step_count_sweep/status.csv | remote steps_01..16 summary.json","review_additional_timing_surface","只用于 review_additional step-count sweep 脉络，不是质量表。","5 条 infer timing；status.csv 需避免误读。","review_additional_experiments.rar 仍未证明可删；同名目录存在但 archive listing proof 缺失。","需要 remote RAR listing/extract proof。","逐项打开确认本表核心是 step_count_sweep。"
related_works_baselines,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/related_works_baselines.csv,5,0,5,2026-03-25..2026-05-30,"unknown:4; S2WAT:1",0,0,0,"I:\Github\Latent_Style\Related_Works\external\StarGAN\runs\stargan_v2_baseline_4070\... | TokenizerClean S2WAT summary","remote_related_works_summary_context","只保留为 StarGAN/S2WAT remote baseline summary context。","没有 timing。","remote related work baseline 不删，直到 source repo/output 已迁移。","需要补 method 字段和真实 baseline provenance。","逐项打开确认 5 行全是 remote summary evidence。"
path_family_run_summary.csv,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/path_family_run_summary.csv.csv,4,4,0,,unknown:4,0,2,2,run_summary.csv,"path_status_timing_only","只作为 root run_summary timing/status 记录，不能作为方法结果。","有 2 条 train 和 2 条 infer timing。","run_summary.csv 保留为索引。","需要查明 run_summary 对应的真实 run。","逐项打开确认 4 行都来自 run_summary.csv，variant 为 Latent_Style。"
s2wat,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/s2wat.csv,3,3,0,,S2WAT:3,0,0,0,"Related_Works/runs/s2wat_bs1_safe_e2000_full_eval/images | selected_style_metrics CSVs","s2wat_index_only","只作为 S2WAT 本地索引/selected metrics 引用，不支撑完整质量或 timing。","没有 timing。","S2WAT images 需等代表样本/summary 确认后再考虑清理。","需要补 summary metrics 和训练/推理时间。","逐项打开确认只有 indexed_curated_evidence。"
path_family_step_count_sweep,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/path_family_step_count_sweep.csv,2,2,0,,unknown:2,0,0,2,step_count_sweep/status.csv,"path_status_timing_only","只作为 step-count status timing 记录，不作为质量表。","2 条 infer timing。","status.csv 保留；关联输出需另查。","需要回连到 review_additional step_count_sweep。","逐项打开确认无 metrics，仅 status timing。"
