dataset_key,rows,local_rows,remote_rows,first_period,last_period,method_counts_top,source_kind_counts_top,metric_rows,train_timing_rows,infer_timing_rows,timing_subset_rows,best_clip_style_evidence,best_content_lpips_evidence,train_time_samples,infer_time_samples,primary_source_paths,conclusion,gap
schrodingerbridge_aaai2027,87,0,87,2026-06-03,2026-06-05,LANCET/LBM:87,"remote_summary_json_curated:51, remote_training_log_curated:36",0,0,49,49,,,s,111.99988173399925 s timings_sec.wall_total; 121.9430976019994 s timings_sec.wall_total; 126.47379621800064 s timings_sec.wall_total; 130.40203274800115 s timings_sec.wall_total; 127.11739125399981 s timings_sec.wall_total,I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0001\summary.json | I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0002\summary.json | I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0003\summary.json | I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0004\summary.json | I:\Github\Latent_Style\SchrodingerBridge\exp\aaai2027_longer_train_f_seed42_b44_e8\full_eval\epoch_0005\summary.json,AAAI2027/??????????,? AAAI2026 ????????????
strict_protocol_750,79,77,2,2026-06-01,2026-06-02,"LANCET/LBM:46, StyleID:5, SaMST:4, AdaIN:3, AdaIN v32k:2, AdaIN vgg19:2, AdaIN bad:1, L2 matching cost:1","generic_csv:54, Related_Works repro_data_inventory.csv:13, summary.json:7, training_times_documentation.md:3, remote_summary_json_curated:2",53,15,24,24,clip_style=0.7933 [StyleID; styleid_750_refmatch; ; Related_Works/run_511/outputs/styleid_750_refmatch],content_lpips=0.349 [w/o terminal SWD; D1_no_terminal_swd; ; G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007],9220.39 s; 262.78 s; 311.098 s; 290.650 s; training-free,9.28 s; 9.10 s; 59.323 s; 60.034 s; 39.826 s,SchrodingerBridge/archives/old_root_files/training_times_documentation.md | Related_Works/run_511/complete_750/adain_bad | Related_Works/run_511/complete_750/adain_v32k | Related_Works/run_511/complete_750/adain_vgg19 | G:\GitHub\Latent_Style\Related_Works\run_511\complete_750\adain_bad,?? 750 ?????????????????,???????? full metric/timing?
path_family_final_works,75,75,0,,,unknown:75,generic_csv:75,75,0,0,0,clip_style=0.866565 [unknown; epoch_0060_grid5; ; final_works/trial_0044/full_eval/epoch_0060_grid5/grid_metrics.csv],content_lpips=0.227213 [unknown; epoch_0060_grid5; ; final_works/trial_0019/full_eval/epoch_0060_grid5/grid_metrics.csv],,,final_works/trial_0016/full_eval/epoch_0060_grid5/grid_metrics.csv | final_works/trial_0019/full_eval/epoch_0060_grid5/grid_metrics.csv | final_works/trial_0044/full_eval/epoch_0060_grid5/grid_metrics.csv,??????? final works ???,???????????
photo_monet_5x5,42,17,25,2026-05-30,2026-06-03,"CUT:18, SDEdit:9, LANCET/LBM:8, CycleGAN:3, S2WAT:2, SD-Turbo:2","remote_summary_json_curated:17, Related_Works repro_data_inventory.csv:16, remote_training_log_curated:8, summary.json:1",0,0,2,2,,,s,46.0305015000049 s internal timings_sec.wall_total; 46.0305015000049 s timings_sec.wall_total,Related_Works/runs/cut_5x5/checkpoints/cut_to_Hayao/web/images | Related_Works/runs/cut_5x5/checkpoints/cut_to_cezanne/web/images | Related_Works/runs/cut_5x5/checkpoints/cut_to_monet/web/images | Related_Works/runs/cut_5x5/checkpoints/cut_to_photo/web/images | Related_Works/runs/cut_5x5/checkpoints/cut_to_vangogh/web/images,Photo-Monet 5x5 ???/????????,????????????????
schrodingerbridge_docs_experiments,13,13,0,,,"AdaIN:6, Ours:3, SaMST:2, StyleID:2",generic_csv:13,0,0,0,0,,,,,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv | SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv,docs/experiments ???????????? raw log ????????,??????? CSV/summary ?????
schrodingerbridge_destructive_ablation,12,12,0,,,"L2 matching cost:1, Ours D0 full:1, conv body, no global attention:1, disable routed skip path:1, disable spatial style prior:1, micro high-frequency SWD:1, no residual path:1, single terminal step:1",generic_csv:12,12,12,12,12,clip_style=0.7159 [w/o kinetic; D2_no_kinetic; ; G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007],content_lpips=0.349 [w/o terminal SWD; D1_no_terminal_swd; ; G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007],311.098 s; 290.650 s; 295.498 s; 294.609 s; 305.783 s,59.323 s; 60.034 s; 78.771 s; 61.995 s; 61.803 s,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007 | G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007 | G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007 | G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007 | G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007,???/???????????????????,??????????????/????
unclassified_curated_experiments,11,0,11,2026-03-25,2026-05-30,unknown:11,"remote_summary_json_curated:7, remote_training_log_curated:4",0,0,0,0,,,s,,I:\Github\Latent_Style\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_100000\summary.json | I:\Github\Latent_Style\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000\summary.json | I:\Github\Latent_Style\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000_openai_full\summary.json | I:\Github\Latent_Style\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000_openai_full_matched\summary.json | I:\Github\Latent_Style_TokenizerClean\final_works\trial_0016\full_eval\epoch_0060\summary.json,??? curated ???/?????????????,?????? source_path?
schrodingerbridge_review_additional,10,5,5,2026-05-30,2026-05-30,LANCET/LBM:10,"generic_csv:5, remote_summary_json_curated:5",0,0,5,5,,,,88.994 s; 78.625 s; 78.925 s; 80.292 s; 79.579 s,SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/step_count_sweep/status.csv | I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_01\summary.json | I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_04\summary.json | I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_08\summary.json | I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_12\summary.json,review/additional evidence?????????,?? rebuttal/appendix claim ???
related_works_baselines,5,0,5,2026-03-25,2026-05-30,"unknown:4, S2WAT:1",remote_summary_json_curated:5,0,0,0,0,,,,,I:\Github\Latent_Style\Related_Works\external\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_100000\summary.json | I:\Github\Latent_Style\Related_Works\external\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000\summary.json | I:\Github\Latent_Style\Related_Works\external\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000_openai_full\summary.json | I:\Github\Latent_Style\Related_Works\external\StarGAN\runs\stargan_v2_baseline_4070\full_eval\epoch_10000_openai_full_matched\summary.json | I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\s2wat_bs1_safe_e2000_full_eval\summary.json,Related_Works baseline ???????????????????,baseline timing ?????????????????
path_family_run_summary.csv,4,4,0,,,unknown:4,generic_csv:4,0,2,2,4,,,0.001 s; 0.000 s,0.001 s; 0.000 s,run_summary.csv,run_summary ??????,??? .csv??????? dataset_key?
s2wat,3,3,0,,,S2WAT:3,"generic_csv:2, Related_Works repro_data_inventory.csv:1",0,0,0,0,,,,,Related_Works/runs/s2wat_bs1_safe_e2000_full_eval/images | SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_extended.csv | SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv,S2WAT baseline ???,????timing/metric ??????????
path_family_step_count_sweep,2,2,0,,,unknown:2,generic_csv:2,0,0,2,2,,,,0.001 s; 0.000 s,step_count_sweep/status.csv,step-count sweep ??????,?????????
