"exp_dir","exists","total_mb","weight_count","weight_mb","weight_names","summary_count","config_exists","data_root","batch_size","num_epochs","objective_mode","loss_type","style_tokenizer","style_spatial_mode","notes","training_csv_count","latest_training_csv","latest_training_tail","remote_train_log_exists","remote_log_has_failure_marker","remote_log_has_completion_marker","params_raw","remote_train_head","remote_train_tail","top_level","review_class","recommended_action","reason"
"split_axis_color_channel_operator_120b_b80","True","15.490","1","15.045","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\split_axis_color_channel_operator_120b_b80\logs\training_20260531_225854.csv","1,10.494799613952637,0.0,0.25644105672836304,0.0,0.0,9.625,0.0009765625,0.07074841856956482,0.0,0.0,0.19833336770534515,1.0,0.36679932475090027,0.6045941114425659,3.062500238418579,13.561689376831055,0.001,1.3522968019824475,66.23164680041373,0.2799605985637754,0.13933690125122666,66.65094430022873,69.52848267555237,9600,138.0729109938646","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"split_axis_color_channel_operator_realism4_120b_b80","True","15.491","1","15.045","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\split_axis_color_channel_operator_realism4_120b_b80\logs\training_20260531_230445.csv","1,10.825846672058105,0.0,0.19914589822292328,0.0,0.0,10.0625,0.0009765625,0.07075116783380508,0.0,0.0,0.20572921633720398,1.0,0.32033827900886536,0.5981130003929138,2.972764492034912,13.166727066040039,0.001,1.398082000669092,66.25628520175815,0.2853462006896734,0.14306390075944364,66.68469530320726,69.6160626411438,9600,137.89920940352496","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"split_axis_high_channel_operator_120b_b80","True","15.498","1","15.049","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\split_axis_high_channel_operator_120b_b80\logs\training_20260531_232004.csv","1,10.834969520568848,0.0,0.3169255554676056,0.0,0.0,10.0,0.0009765625,0.07074841856956482,0.0,0.0,0.19833336770534515,1.0,0.39883527159690857,0.6146283745765686,3.46309757232666,13.551931381225586,0.001,1.3140730992890894,61.96318129939027,0.29672380117699504,0.13848860026337206,62.39839370083064,65.3318977355957,9600,146.94200433074968","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"split_axis_spatial_gate_channel_tokonly_120b","True","16.374","1","16.374","epoch_0001.pt","0","False","","","","","","","","","0","","","False","False","False","","","","epoch_0001.pt","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"tokenizer_t01_carrier_base_b160","True","87.826","2","87.408","epoch_0001.pt;epoch_0002.pt","0","True","../../Latent_Style/latent-256","160","8","omf","omf","factorized","","","1","exp\tokenizer_t01_carrier_base_b160\logs\training_20260530_165017.csv","2,7.463292598724365,0.0,0.2333114594221115,0.0,0.0,7.28125,0.00390625,0.07071981579065323,0.0,0.0,0.20458984375,1.0,0.3729565143585205,0.6108155846595764,2.5478515625,7.996269226074219,0.00019276855558857225,0.9216181996744126,15.578087500762194,1.9558965992182493,0.23876470094546676,17.77274880092591,38.54743432998657,10240,265.6467331221099","False","False","False","","","","config.json;epoch_0001.pt;epoch_0002.pt;logs;numeric_debug.jsonl;src;train.err.log;train.log","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart_distinct5_ema_lancet_spectralstat_e2_b80","True","87.691","2","87.258","epoch_0001.pt;epoch_0002.pt","0","True","I:/wikiart_distinct5_latents_512_ema","80","2","omf","omf","factorized","","","1","exp\wikiart_distinct5_ema_lancet_spectralstat_e2_b80\logs\training_20260601_133916.csv","2,10.951644897460938,0.0,0.43870267271995544,0.0,0.0,10.3125,0.0009765625,0.07071870565414429,0.0,0.0,0.19213709235191345,1.0,0.4852994382381439,0.638343334197998,3.7815020084381104,14.655633926391602,6.000000000000001e-05,0.09498089994303882,464.333452899009,1.9796756997238845,0.23289290070533752,466.5460214994382,809.759120464325,4960,6.125278338521066","False","False","False","","","","config.json;epoch_0001.pt;epoch_0002.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56","True","44.061","1","43.629","epoch_0001.pt","0","True","I:/wikiart_distinct5_latents_512_ema","56","16","omf","omf","factorized","","","1","exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56\logs\training_20260601_151943.csv","1,10.766971588134766,0.0,0.43109312653541565,0.0,0.0,10.1875,0.0009765625,0.0707482099533081,0.0,0.0,0.20465491712093353,1.0,0.4755334258079529,0.663962185382843,3.3518259525299072,13.214709281921387,0.0001,0.09935440076515079,35.53302500094287,4.9824430998414755,0.36300600063987076,40.87847410142422,109.10806441307068,4984,45.6794832426973","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart512_ema_direct_atom_residual_calib_b16","True","43.946","1","43.590","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","16","1","omf","omf","factorized","","","1","exp\wikiart512_ema_direct_atom_residual_calib_b16\logs\training_20260530_221634.csv","1,11.242790222167969,0.0,0.18028923869132996,0.0,0.0,11.0,0.0009765625,0.07068251073360443,0.0,0.0,0.21590909361839294,1.0,0.301746129989624,0.5920664668083191,3.278409242630005,11.559170722961426,0.0002,0.06533639947883785,7.695946100633591,2.2900065013673156,0.10118199978023767,10.087134601781145,14.127921104431152,352,24.915201422635135","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src;train_console.log","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"wikiart512_ema_direct_atom_residual_calib_b64","True","43.934","1","43.590","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","64","1","omf","omf","factorized","","","1","exp\wikiart512_ema_direct_atom_residual_calib_b64\logs\training_20260530_223319.csv","1,12.015682220458984,0.0,0.21568195521831512,0.0,0.0,11.75,0.0009765625,0.07068412750959396,0.0,0.0,0.17499999701976776,1.0,0.3294820785522461,0.6000361442565918,3.690624952316284,13.776904106140137,0.0002,0.06155249988660216,16.119737200206146,5.443522799992934,0.055156700080260634,21.61841670027934,33.31926894187927,320,9.604052254513583","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src;train_console.err.log;train_console.log","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"wikiart512_ema_direct_atom_residual_calib_b80","True","43.934","1","43.590","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\wikiart512_ema_direct_atom_residual_calib_b80\logs\training_20260530_222431.csv","1,12.153615951538086,0.0,0.1692412793636322,0.0,0.0,12.0,0.0009765625,0.0706833004951477,0.0,0.0,0.16875000298023224,1.0,0.2936588227748871,0.6001487970352173,2.94921875,14.35546875,0.0002,0.062072499888017774,75.30461300024763,131.1619552001357,0.045084199868142605,206.51165240025148,232.1916627883911,320,1.3781717920321428","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"wikiart512_ema_metric_profile_budget_decoder_120b_b80","True","15.069","1","15.057","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","0","","","False","False","False","","","","config.json;epoch_0001.pt","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"wikiart512_ema_pair_budget_tokonly_e1_b80","True","15.526","1","15.044","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\wikiart512_ema_pair_budget_tokonly_e1_b80\logs\training_20260601_103736.csv","1,10.040706634521484,0.0,0.18581150472164154,0.0,0.0,9.4375,0.0009765625,0.0707489475607872,0.0,0.0,0.19833336770534515,1.0,0.3212641775608063,0.6067410111427307,2.3935043811798096,13.728605270385742,0.001,0.1490649003535509,62.18776570004411,0.26696429890580475,0.13183029810898006,62.586560297058895,70.20254158973694,9600,136.74718582273445","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart512_ema_spectral_stat_full_e2_from_tok_b48","True","88.112","2","87.248","epoch_0001.pt;epoch_0002.pt","0","True","I:/wikiart_latents_512_ema","48","2","omf","omf","factorized","","","1","exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48\logs\training_20260531_035513.csv","2,10.140495300292969,0.0,0.2123185396194458,0.0,0.0,10.9375,0.0009765625,0.07073282450437546,0.0,0.0,0.20383337140083313,1.0,0.3536103069782257,0.5979054570198059,2.220104217529297,13.484318733215332,6.000000000000001e-05,2.4643538997042924,108.14450449752621,11.429423802066594,1.3679564993362874,120.9418847989291,264.62290501594543,18000,68.02132263991044","False","False","False","","","","config.json;epoch_0001.pt;epoch_0002.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48","True","15.534","1","15.110","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","48","1","omf","omf","factorized","","","1","exp\wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48\logs\training_20260531_123219.csv","1,9.926051139831543,0.0,0.18636897206306458,0.0,0.0,10.9375,0.0009765625,0.07074885070323944,0.0,0.0,0.19772221148014069,1.0,0.3223830461502075,0.6064916253089905,2.3406665325164795,12.73902416229248,0.0005,2.6123078952077776,123.84831270040013,7.332131201867014,0.4860518020577729,131.66649570432492,216.7813024520874,18000,83.03299129766197","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
"wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48","True","44.013","1","43.625","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","48","1","omf","omf","factorized","","","1","exp\wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48\logs\training_20260531_112600.csv","1,19.35453224182129,0.0,0.0635937824845314,0.0,0.0,21.875,0.0009765625,0.07074861228466034,0.0,0.0,0.19772221148014069,1.0,0.37859898805618286,0.6037622690200806,2.8921666145324707,12.372584342956543,6e-05,2.714587900787592,123.7212874989491,14.45633750082925,1.4844235002528876,139.66204850003123,295.77715969085693,18000,60.856626045139535","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","manual_review_required","keep_until_owner_review","No summary.json found, so the checkpoint may be the only payload."
