scope,location,path,period_start,period_end,dataset_or_setting,method_family,evidence_types,key_metrics,train_time_evidence,infer_time_evidence,checkpoint_state,cleanup_action,retained_evidence,note
local,G,"Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b2_e15_20260602",2026-06-02,2026-06-02,Distinct5-512,SaMST,"logs,summary.json,metrics.csv,artfid json","e15 transfer CLIP-S 0.6957412316 LPIPS 0.6319495817 targetwise ArtFID 444.4870","train 347.2567 min","same-run-root inference missing; eval wall in summary only","existing checkpoints retained","none","eval_epoch15/epoch_0015/summary.json; aggregate_targetwise_artfid.json","Closed metric point, but inference timing gap remains."
remote,I,"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag",2026-06-01,2026-06-04,Distinct5-512,SaMAM,"logs,metrics.csv,summary.json,ckpt","step_2250 manuscript-valid; step_3000 audit-only closed","step_2250 train 458.5503 min; step_3000 train 612.5845 min","same-scope pure inference missing for step_2250; step_3000 eval wall 4.8218 min from packet status","main step_checkpoints retained; duplicate segment/probe ckpts deleted","deleted 13 duplicate/probe/corrupt ckpts, 3310.769927 MB","eval_curve; segmented.log; step_checkpoints; cleanup/remote_manual_deleted_checkpoints_20260605.csv","Main remote SaMAM authority. Post-2250 remains audit history, not active manuscript path."
local,G,"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139",2026-06-05,2026-06-05,Distinct5-512,SaMAM calibration,"train.log,gpu_samples.csv,eval outputs","16-step timing/alignment calibration only","WALL_SECONDS 129.58","sb_eval_step16_timed_r1 present","all 3 local ckpts deleted","deleted 3 ckpts, 827.675407 MB","train.log; gpu_samples.csv; sb_eval_step16_timed_r1; cleanup/manual_deleted_checkpoints_20260605.csv","Non-mainline calibration weights deleted after manual log review."
local,G,"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822",2026-06-05,2026-06-05,Distinct5-512,SaMAM calibration,"train.log,gpu_samples.csv","17-step timing/alignment calibration only","WALL_SECONDS 143.70","not paper-facing inference","all 3 local ckpts deleted","deleted 3 ckpts, 827.675407 MB","train.log; gpu_samples.csv; cleanup/manual_deleted_checkpoints_20260605.csv","Non-mainline calibration weights deleted after manual log review."
local,G,"Cycle-NCE",2026-02-27,2026-05-29,legacy 5-style and Cycle-NCE evolution,LANCET/Cycle-NCE prototypes,"md,csv,json,log,pt","summary_aggregate.csv has March lineage; weight_exp4 epoch_0060 has CLIP/FID/ArtFID matrix","training csv example epoch_time_sec about 90s per epoch for weight_exp4","full_eval logs and summaries exist; no unified inference time table","3 local .pt files only; no deletion in this pass","none","ARCHAEOLOGY_*.md; summary/summary_aggregate.csv; weight_exp4*/logs/training_20260322_044742.csv","Large historical evidence area. Manual classification retained; not clean-delete."
remote,I,"I:/Github/Latent_Style/Cycle-NCE",2026-03-01,2026-05-22,legacy 5-style and ablation archive,Cycle-NCE/LANCET prototypes,"csv,json,pt,rar,md","Abla_412, Gate, Attn_48, full_eval_summary files present","not fully normalized in this pass","not fully normalized in this pass","many review candidates retained by previous cleanup","none","remote Cycle-NCE top-level listing; remote_i_curated/remote_i_deleted_checkpoints.csv","Requires a separate pass before deleting any remaining Cycle-NCE weights."
local,G,"final_works",2026-03-25,2026-05-27,legacy256_overfit50 and 5-style final comparisons,CUT SaMST StarGAN SDEdit LANCET trials,"csv,json,log","final_works_metrics.csv and overfit50 fair partial table contain CLIP/FID/ArtFID","trial_0044 training csv has epoch_time_sec around 83s after warmup","eval summaries only; no canonical inference timing","no weights found in file summary","none","final_works_metrics.csv; final_works_metrics_overfit50_fair_partial.csv; trial_0044 logs","Performance evidence retained; timing partial."
local,G,"lambda_grid",2026-05-27,2026-05-27,early SchrodingerBridge weight sweep,LANCET/LBM grid,"status.csv,logs,json","9 weight settings marked ok","status train_elapsed_sec is launcher placeholder 0-0.001s","status eval_elapsed_sec is launcher placeholder 0-0.001s","checkpoint paths referenced but not materialized locally","none","status.csv; logs/*.train.log; logs/*.eval.log","Do not use elapsed fields as real training or inference time."
local,G,"step_count_sweep",2026-05-27,2026-05-27,early SchrodingerBridge inference step sweep,LANCET/LBM step count,"status.csv,logs","steps 1,4,8,12,16 marked ok","no training","elapsed fields are launcher placeholders 0-0.001s","no weights","none","status.csv; logs/steps_*.log","Index only, not valid timing."
local,G,"G:/GitHub/Latent_Style/exp",2026-05-27,2026-06-01,misc root exp scratch,unknown,"jpg,log,pid,tar","mainly highres_eval/reference_memory images and empty launcher logs","none","none","no checkpoint deletion in this pass","none","top-level listing","Not a clean experiment evidence surface in this pass."
remote,I,"I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60",2026-05-09,2026-05-09,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",LANCET/LBM root phase-space sweep,"manifest.json,train_status.csv,config.json,training csv,pt","No full_eval summary or metric packet found in the run root","13 runs with 60-row training logs; total wall seconds recorded in manual_remote_phase_space_sweep_20260605.csv","not found","all 13 epoch_0060.pt weights deleted","deleted 13 legacy root sweep checkpoints, 550.929223 MB","manifest.json; train_status.csv; per-run config/log/src; TokenizerClean config copy","Manual open checked g0-g12 one by one. Timing CSV header is shifted, so timing uses the third-from-end row value."
remote,I,"I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep",2026-05-08,2026-05-09,"latent-256 5-style photo/Hayao/monet/vangogh/cezanne",LANCET/LBM root phase-space sweep,"manifest.json,train_status.csv,config.json,training csv,pt","No full_eval summary or metric packet found in the run root","g1 80-row log 4744.207s; g2 80-row log 4845.270s; g3 partial 43-row log 2713.465s","not found","3 legacy weights deleted","deleted g1 epoch_0080.pt, g2 epoch_0080.pt, g3 epoch_0040.pt, 127.137391 MB","manifest.json; train_status.csv; per-run config/log/src; TokenizerClean config copy","Manifest lists g1-g8 but only g1-g3 dirs exist here. g3 train_status is fail and checkpoint_exists NO, but epoch_0040.pt existed and was deleted after evidence capture."
local,G,"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync",2026-06-05,2026-06-05,Distinct5-512 EMA latents,LANCET/LBM local ckptsync calibration,"config.json,training csv,summary.json,png,pt","generation_only_step_000350_timed generated_count 750; metrics intentionally skipped","2-epoch training log total 100.500922s","generation-only wall_total 78.317428s for 750 images","all 3 local weights deleted","deleted epoch_0001.pt, epoch_0002.pt, step_000350.pt, 203.107647 MB","config.json; logs/training_20260605_061543.csv; generation_only_step_000350_timed/summary.json; generation_only_step_000350_timed/images","Non-mainline 2-epoch/350-step timing calibration. Summary checkpoint path points to step_000350.pt, but generated images and timing summary are retained."
