"remote_root","exp_dir","total_mb","media_count","media_mb","generated_media_count","generated_media_mb","grid_media_count","grid_media_mb","summary_count","csv_count","weight_count","docs_hit_count","master_log_hit_count","paper_hit_count","policy_action","deletion_scope","reason","largest_media_examples","citation_hit_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","armored_breakthrough_proper","0.001","0","0.000","0","0.000","0","0.000","0","0","0","1","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","","docs\logs\experiment_ledger.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","artfid_wikiart5_compare","0.008","0","0.000","0","0.000","0","0.000","1","0","0","0","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","90.266","0","0.000","0","0.000","0","0.000","0","0","6","0","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","configs","368.559","152","342.969","0","0.000","144","342.291","144","224","0","36","1","0","keep_cited_media","none","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration.","exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0160\summary_grid.png:2.913MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0100\summary_grid.png:2.834MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0140\summary_grid.png:2.823MB;exp\configs\experiments_root\full_eval\05_anchor_ot_mse_only\epoch_0060\summary_grid.png:2.803MB;exp\configs\experiments_root\full_eval\03_omf_swd_45\epoch_0020\summary_grid.png:2.802MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0080\summary_grid.png:2.791MB;exp\configs\experiments_root\full_eval\05_anchor_ot_mse_only\epoch_0140\summary_grid.png:2.785MB;exp\configs\experiments_root\01_omf_swd_15\full_eval\epoch_0100\summary_grid.png:2.785MB","docs\aaai2027_working_index_20260602.md;docs\cleanup\worktree_triage_20260603.md;docs\experiments\2026-05-09-black-dot-mitigation-report.md;docs\experiments\2026-05-16-phase1-diagnostic-launcher.md;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-distinct5-512-lancet-representation-speed.md;docs\experiments\2026-06-02-wikiart512-inference-speed.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_ablation_packet_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-repo-cleanup-and-archive-pass.md;docs\experiments\2026-06-03-saswd-axis-ablation\launch_manifest_20260603.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\experiment_registry.csv;docs\experiments\experiment_registry.json;docs\maths\05_style_transfer_problem_and_next_switches.md;docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md;docs\quickstart.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_gate_b_runtime_anomaly_policy_20260603.md;docs\reviews\aaai2027_theory_memo_table_20260603.md;docs\reviews\aaai2027_theory_owner_audit_20260603.md;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md;docs\reviews\aaai2027_weak_reject_pressure_memo_20260603.md;docs\reviews\endpoint_metric_review_gate_20260603.md;docs\reviews\README.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","decision_tree_clip_style","0.006","0","0.000","0","0.000","0","0.000","0","3","0","1","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","","docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","delta_freq_gain","147.184","302","147.012","300","142.519","2","4.493","2","2","0","0","0","0","delete_uncited_summary_backed_media","delete PNG/JPG/JPEG/WebP/GIF only; retain summary.json, metrics CSV, logs, configs, checkpoints if any","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts.","exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\grid_first_per_class.png:2.254MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\grid_first_per_class.png:2.239MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.602MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.597MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Post_Impressionism__henri-de-toulouse-lautrec_at-the-rat-mort-1899__to__Impressionism.png:0.580MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Post_Impressionism.png:0.575MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Post_Impressionism.png:0.574MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Post_Impressionism__henri-de-toulouse-lautrec_at-the-rat-mort-1899__to__Impressionism.png:0.571MB",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diagnostics","2,872.709","7723","2,868.443","5725","2,735.166","48","112.115","52","52","0","17","0","3","keep_cited_media","none","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration.","exp\diagnostics\spatial_gate_rank4_sameeval_n6\summary_grid.png:2.671MB;exp\diagnostics\pairrel_c120_g050_b020_from_spatial_gate_n6\summary_grid.png:2.632MB;exp\diagnostics\pairrel_signed_spatial_head_c120_g050_b020_120b_b80_n6\summary_grid.png:2.631MB;exp\diagnostics\pairrel_c120_g050_b020_spgain013_from_spatial_gate_n6\summary_grid.png:2.631MB;exp\diagnostics\pairrel_signed_spatial_head_geomstat_w005_120b_b80_n6\summary_grid.png:2.630MB;exp\diagnostics\pairrel_signed_spatial_head_geomstat_w020_120b_b80_n6\summary_grid.png:2.630MB;exp\diagnostics\pair_content_spatial_head_c120_g050_b020_120b_b80_n6\summary_grid.png:2.629MB;exp\diagnostics\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80_n6\summary_grid.png:2.628MB","aaai_submission\figures\captions.json;aaai_submission\final\paper.tex;aaai_submission\paper_aaai2026.tex;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-aaai2027-paper-update-plan.md;docs\experiments\2026-06-03-exploratory-image-prune.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\maths\04_tokenizer_lancet_representation.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md;docs\references\intro_related_claim_audit_20260603.md;docs\repro_report_zh\03_�����븴���嵥.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_scorecard_20260602_r2.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diffeomorphic_tangent_head_sweep","0.020","0","0.000","0","0.000","0","0.000","0","1","0","2","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","","docs\experiments\2026-05-20-256-diffeomorphic-tangent-progress.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","30.089","0","0.000","0","0.000","0","0.000","0","0","2","0","0","0","no_media","none","No PNG/JPG/WebP/GIF media files found.","",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_scale_probe","150.685","304","150.476","300","141.383","4","9.093","4","4","0","0","0","0","delete_uncited_summary_backed_media","delete PNG/JPG/JPEG/WebP/GIF only; retain summary.json, metrics CSV, logs, configs, checkpoints if any","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts.","exp\field_scale_probe\spectrum130_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\baseline_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\color140_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\geometry130_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\baseline_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\geometry130_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\spectrum130_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\color140_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","formal_eval_750","22.082","1502","21.727","0","0.000","2","4.848","2","2","0","6","0","0","keep_cited_media","none","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration.","exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\summary_grid.png:2.453MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\summary_grid.png:2.395MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Expressionism_max-beckmann_night-1918_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.019MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Expressionism_max-beckmann_night-1918_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Post_Impressionism.jpg:0.018MB","docs\experiments\comparison_20260602\artfid_comparison_points.csv;docs\experiments\comparison_20260602\artfid_comparison_points.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\metric_hacking_noop_20260602\noop_full_transfer_summary.csv;docs\experiments\metric_hacking_noop_20260602\README.md;docs\experiments\noop_comparison_across_datasets_20260602\dataset_artifact_mapping.csv"
