"remote_root","exp_dir","weight_count","weight_mb","summary_count","config_exists","training_csv_count","review_class","policy_action","deletion_scope","reason","weight_names","evidence_source"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_c120_g050_b020_120b_b80","1","15.552","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_geomstat_w005_120b_b80","1","15.552","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_geomstat_w020_120b_b80","1","15.552","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_color_channel_operator_120b_b80","1","15.045","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_color_channel_operator_realism4_120b_b80","1","15.045","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_high_channel_operator_120b_b80","1","15.049","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_spatial_gate_channel_tokonly_120b","1","16.374","0","False","0","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","tokenizer_t01_carrier_base_b160","2","87.408","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt;epoch_0002.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart_distinct5_ema_lancet_spectralstat_e2_b80","2","87.258","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt;epoch_0002.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56","1","43.629","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_direct_atom_residual_calib_b16","1","43.590","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_direct_atom_residual_calib_b64","1","43.590","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_direct_atom_residual_calib_b80","1","43.590","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_metric_profile_budget_decoder_120b_b80","1","15.057","0","True","0","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_pair_budget_tokonly_e1_b80","1","15.044","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_spectral_stat_full_e2_from_tok_b48","2","87.248","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt;epoch_0002.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48","1","15.110","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48","1","43.625","0","True","1","manual_review_required","keep_payload_until_summary_or_owner_review","none","No summary.json found, so the checkpoint may be the only payload.","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
