checked_at,scope,location,path,evidence_type,manual_action,finding,output_file
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b40_remote; b48_remote,manual_directory_open,opened,"B40/B48 are header-only starts with numeric_debug/config/log but no retained weights or full_eval timing.",manual_directory_classification_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote,manual_directory_open,opened,"A has 8 weights, training CSV, and full_eval epoch_0008 summary; timing row added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote,manual_directory_open,opened,"B has 8 weights, training CSV, and full_eval epoch_0008 summary; timing row added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote,manual_directory_open,opened,"C has 8 weights, training CSV, and full_eval epoch_0008 summary; timing row added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote,manual_directory_open,opened,"D has 8 weights, training CSV, and full_eval epoch_0008 summary; timing row added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote,manual_directory_open,opened,"E has 8 weights and two training CSVs; epochs 1-7 plus epoch 8 resume were summed for train time.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_g_stratified_prototype_ot_queue_e3_b44_remote; variant_i_dual_target_mix_queue_e3_b44_remote,manual_directory_open,opened,"G/I compact sibling dirs are config/log/src only with 408-byte header CSVs; no timing invented.",manual_directory_classification_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote; variant_k; variant_l; variant_m,manual_directory_open,opened,"J/K/L/M each have 3 retained weights and full_eval epoch_0003 summaries; audit timing rows added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44; k025; k000,manual_directory_open,opened,"Three path kinetic arms each have 3 weights, training CSVs, and full_eval summaries; timing rows added.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_stability_probe_h_base_seed42_b44_e1,manual_directory_open,opened,"Path-stability probe records 300-sample geometry metrics and references H_base/H_k025/H_k000 epoch_0001; not a train/infer timing row.",manual_directory_classification_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/sadd_repro_38f_8ep_20260528_225252; sadd_exact_e3_saddsrc_8ep_20260528_231954,manual_directory_open,opened,"Two SADD repro gates retain 8 weights each and full_eval summaries; only sadd_repro_38f had usable train timing.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag,post_delete_verification,opened,"Only 19 central step_checkpoints remain; non-central nested weights are gone after cleanup.",manual_remaining_weight_classes_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/Cycle-NCE,post_delete_verification,opened,"Deleted six historical non-mainline src .pt payloads earlier; remaining 37 weight-like files are caches/deps/venv metric files.",cleanup/remote_manual_deleted_checkpoints_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/docs/experiments/aaai2027_master_experiment_log.csv,doc_csv,opened,"Master log marks flow-loss trio unsafe, endpoint metric negative, SA-SWD random runtime inadmissible, and tokenizer packets required/keep.",manual_timing_evidence_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/docs/experiments/2026-06-03-timing-artifact-prune.md,doc_md,opened,"TokenizerClean timing prune policy preserves summaries/logs/configs and deletes generated image payloads only when zero-hit.",MANUAL_ARCHAEOLOGY_REPORT_20260605.md
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_mse_seed42_b44; endpoint_metric_l1; tokenizer_localization stylebranch/executoronly,manual_directory_open,opened,"Representative TokenizerClean current/negative packet dirs were opened; each retains logs, full_eval summaries, and checkpoints.",manual_directory_classification_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp<special-char>saswd_axis_h_base_seed42_b44_saswd_semantic; random,manual_directory_open,opened,"Special SASWD dirs have char code 61532 after exp; successful semantic/random evidence lives there, not in normal exp/saswd launch-log dirs.",manual_directory_classification_20260605.csv
