"path","scan_scope","file_count","weight_count","weight_mb","category","method_or_dataset","evidence_value","cleanup_decision","note"
"Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b1_20k_20260601_1710","result_subdir","5","0","0","samam_distinct5","SaMAM Distinct5","medium","keep","Distinct5 SaMAM run metadata/logs, no weights."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b1_20k_ckpt250_20260601_175723","result_subdir","5","0","0","samam_distinct5","SaMAM Distinct5","medium","keep","Distinct5 SaMAM ckpt250 reference metadata, no local weights."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b2_stepcalib_20260605_035957","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL calibration logs/summaries."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_step2min_20260605_041551","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL step2min logs/summaries."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign11_20260605_041937","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL stepalign11 logs/summaries."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139","result_subdir","759","0","0","samam_distinct5_eval","SaMAM Distinct5","high","keep","Stepalign16 eval/image evidence, no weights."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign17_20260605_042609","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL stepalign17 logs/summaries."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL stepalign17 ckpt metadata, no local weights."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepcalib_20260605_040108","result_subdir","4","0","0","samam_distinct5_calibration","SaMAM Distinct5","medium","keep","WSL stepcalib logs/summaries."
"Related_Works/baseline_pipeline/results/samam_distinct5_smoke20","result_subdir","2","0","0","samam_smoke","SaMAM Distinct5","low","keep","Smoke20 output, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_256_continue17k_to25k","result_subdir","1518","0","0","samam_256","SaMAM 256","medium","keep","Continue17k-to25k outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_256_formal_750_eval","result_subdir","4530","0","0","samam_formal_eval","SaMAM 256 strict750","high","keep","Formal 750 eval outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_noid_from17k_22k","result_subdir","8","0","0","samam_512","SaMAM 512","medium","keep","512 no-id run logs/summaries."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_scratch_b1_e5000","result_subdir","5","0","0","samam_512","SaMAM 512","medium","keep","512 scratch run metadata."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_scratch_clean_b1_20k","result_subdir","5","0","0","samam_512","SaMAM 512","medium","keep","512 scratch clean metadata."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_scratch_clean_silent_b1_20k","result_subdir","6058","0","0","samam_512_eval","SaMAM 512","high","keep","512 scratch clean silent eval outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_smoke_b1","result_subdir","2","0","0","samam_smoke","SaMAM 512","low","keep","Smoke b1 output."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_smoke_b1_fp32","result_subdir","2","0","0","samam_smoke","SaMAM 512","low","keep","Smoke b1 fp32 output."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_smoke_b1_noid","result_subdir","2","0","0","samam_smoke","SaMAM 512","low","keep","Smoke b1 no-id output."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_b2_15ep_15000","result_subdir","2707","0","0","samam_256_eval","SaMAM 256","medium","keep","Mamba b2 15ep outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_b2_30k_continue","result_subdir","265","0","0","samam_256","SaMAM 256","medium","keep","Mamba b2 30k continue outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_smoke_b1_20","result_subdir","4","0","0","samam_smoke","SaMAM","low","keep","Smoke b1 20."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_smoke_b2_10","result_subdir","4","0","0","samam_smoke","SaMAM","low","keep","Smoke b2 10."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_smoke_b3_8","result_subdir","4","0","0","samam_smoke","SaMAM","low","keep","Smoke b3 8."
"Related_Works/baseline_pipeline/results/samam_wsl_mamba_smoke_b4_2","result_subdir","4","0","0","samam_smoke","SaMAM","low","keep","Smoke b4 2."
"Related_Works/baseline_pipeline/results/samst","result_subdir","5365","0","0","samst_results","SaMST","medium","keep","SaMST baseline outputs, no weights."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_local_20260602_010735","result_subdir","3","0","0","samst_distinct5","SaMST Distinct5","medium","keep","Local Distinct5 SaMST logs/summaries."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603","result_subdir","780","0","0","samst_distinct5_eval","SaMST Distinct5","high","keep","Real b1 e5 eval outputs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b2_e15_20260602","result_subdir","773","0","0","samst_distinct5_eval","SaMST Distinct5","high","keep","Real b2 e15 eval outputs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b2_e5_20260603","result_subdir","5","0","0","samst_distinct5","SaMST Distinct5","medium","keep","Real b2 e5 metadata/logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b2_stepcalib_20260605_040336","result_subdir","5","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b2 stepcalib logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b2_stepcalib_venv_20260605_040525","result_subdir","5","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b2 venv stepcalib logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b4_stepcalib_venv_20260605_040614","result_subdir","5","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b4 venv stepcalib logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_step2min_20260605_041755","result_subdir","13","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b6 step2min timing/logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_stepalign19_20260605_042141","result_subdir","13","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b6 stepalign19 timing/logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_stepalign40_20260605_042334","result_subdir","13","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b6 stepalign40 timing/logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_stepalign40_r2_20260605","result_subdir","769","0","0","samst_distinct5_eval","SaMST Distinct5","high","keep","WSL b6 stepalign40 r2 eval outputs."
"Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_stepcalib_venv_20260605_040658","result_subdir","5","0","0","samst_distinct5_calibration","SaMST Distinct5","medium","keep","WSL b6 venv stepcalib logs."
"Related_Works/baseline_pipeline/results/samst_distinct5_local_fullsize_smoke_20260602","result_subdir","3","0","0","samst_smoke","SaMST Distinct5","low","keep","Local fullsize smoke."
"Related_Works/baseline_pipeline/results/samst_distinct5_local_smoke_20260602","result_subdir","3","0","0","samst_smoke","SaMST Distinct5","low","keep","Local smoke."
"Related_Works/baseline_pipeline/results/samst_step40_debug_one","result_subdir","3","0","0","samst_debug","SaMST","low","keep","Step40 debug one."
"Related_Works/baseline_pipeline/results/samst_step40_debug_one_256","result_subdir","4","0","0","samst_debug","SaMST 256","low","keep","Step40 debug one 256."
"Related_Works/baseline_pipeline/results/sdedit_str_0p10","result_subdir","1503","0","0","baseline_results","SDEdit","medium","keep","SDEdit strength 0.10 outputs."
"Related_Works/baseline_pipeline/results/sdedit_str_0p20","result_subdir","1503","0","0","baseline_results","SDEdit","medium","keep","SDEdit strength 0.20 outputs."
"Related_Works/baseline_pipeline/results/sdedit_str_0p35","result_subdir","1503","0","0","baseline_results","SDEdit","medium","keep","SDEdit strength 0.35 outputs."
"Related_Works/baseline_pipeline/results/sdedit_str_0p40","result_subdir","1503","0","0","baseline_results","SDEdit","medium","keep","SDEdit strength 0.40 outputs."
"Related_Works/baseline_pipeline/results/sdturbo","result_subdir","1503","0","0","baseline_results","SDTurbo","medium","keep","SDTurbo outputs, no weights."
"Related_Works/baseline_pipeline/results/seedream45_api","result_subdir","1607","0","0","seedream_api_results","Seedream 4.5","high","keep","Seedream API output/evidence surface."
"Related_Works/baseline_pipeline/results/style_aligned","result_subdir","1","0","0","baseline_results","Style-aligned","low","keep","Single style-aligned result file."
"Related_Works/baseline_pipeline/results/styleid","result_subdir","3538","0","0","baseline_results","StyleID","medium","keep","StyleID outputs, no weights."
"Related_Works/baseline_pipeline/results/timing_20260601","result_subdir","1657","0","0","timing_results","baseline timing","high","keep","Timing result surface; no weights."
"Related_Works/baseline_pipeline/results/timing_20260602","result_subdir","6777","0","0","timing_results","baseline timing","high","keep","Timing result surface; no weights."
"Related_Works/runs/benchmark_logs","run_subdir","1","0","0","logs","baseline runs","low","keep","Benchmark log."
"Related_Works/runs/cut_5x5","run_subdir","71879","4","0.006","baseline_run","CUT","medium","keep placeholders","CUT generated/eval outputs; remaining weights are tiny fake placeholders."
"Related_Works/runs/cyclegan_5x5","run_subdir","5","0","0","baseline_run","CycleGAN","medium","clean","Checkpoint target clean; no weights."
"Related_Works/runs/cyclegan_5x5_smoke","run_subdir","5","0","0","baseline_smoke","CycleGAN","low","clean","Smoke checkpoint target clean."
"Related_Works/runs/img2img_turbo_distinct5_smoke_auto","run_subdir","183","0","0","baseline_smoke","Img2Img Turbo Distinct5","low","keep","Smoke output; no weights."
"Related_Works/runs/img2img_turbo_distinct5_smoke_fp16_step1","run_subdir","183","0","0","baseline_smoke","Img2Img Turbo Distinct5","low","keep","Smoke output; no weights."
"Related_Works/runs/lbm_train_smoke_run","run_subdir","2","0","0","smoke","LBM","low","keep","Smoke logs only."
"Related_Works/runs/lbm_train_wds_smoke_photo_to_monet","run_subdir","4","0","0","smoke","LBM WDS photo-to-monet","low","keep","Smoke logs only."
"Related_Works/runs/s2wat_bs1_safe_e2000_5x5","run_subdir","25","0","0","baseline_run","S2WAT","medium","keep","S2WAT 5x5 outputs."
"Related_Works/runs/s2wat_bs1_safe_e2000_full_eval","run_subdir","1498","0","0","baseline_eval","S2WAT","medium","keep","S2WAT full_eval outputs."
"Related_Works/runs/s2wat_bs1_safe_e5_5x5","run_subdir","25","0","0","baseline_smoke","S2WAT","low","keep","S2WAT e5 5x5 outputs."
"Related_Works/runs/sd15_native_i2i","run_subdir","291","0","0","baseline_results","SD15 native i2i","medium","keep","SD15 native image-to-image outputs."
"Related_Works/runs/sdedit_multi","run_subdir","5021","4","0.006","baseline_results","SDEdit","medium","keep placeholders","SDEdit multi-strength outputs; remaining weights are tiny fake placeholders."
"Related_Works/runs/sdturbo_5x5","run_subdir","1255","1","0.001","baseline_results","SDTurbo","medium","keep placeholder","SDTurbo outputs; remaining weight is tiny fake placeholder."
"Related_Works/runs/server_new_baselines","run_subdir","19","0","0","launch_logs","baseline server","medium","keep","Server new baseline logs/configs."
"Related_Works/run_511/complete_750","run511_subdir","5320","0","0","strict750_outputs","run511 baselines","high","keep","Complete 750 baseline outputs."
"Related_Works/run_511/diagnostics","run511_subdir","4","0","0","diagnostics","run511 baselines","medium","keep","Run511 diagnostics."
"Related_Works/run_511/docs","run511_subdir","15","0","0","docs","run511 baselines","medium","keep","Run511 docs."
"Related_Works/run_511/eval","run511_subdir","7","0","0","eval_tools","run511 baselines","medium","keep","Eval helpers/configs."
"Related_Works/run_511/launchers","run511_subdir","24","0","0","launchers","run511 baselines","medium","keep","Launcher scripts."
"Related_Works/run_511/outputs","run511_subdir","22190","0","0","baseline_outputs","run511 baselines","high","keep","Generated outputs for run511 baselines."
"Related_Works/run_511/repos","run511_subdir","400","5","418.12","external_deps","run511 baselines","high","keep dependencies","Contains VGG/style pretrained deps for run511 baselines."
"Related_Works/run_511/summaries","run511_subdir","9","0","0","summaries","run511 baselines","high","keep","Run511 timing/metrics summaries."
"Related_Works/repos/AdaIN-style-official","repo_subdir","23","0","0","external_repo_metadata","AdaIN","low","keep","Contains only .git metadata in current scan; not deleted as empty directory."
"Related_Works/repos/AesFA","repo_subdir","14","1","76.392","external_repo_dep","AesFA","high","keep dependency","Contains vgg_normalised.pth dependency."
"Related_Works/repos/AesPA-Net","repo_subdir","15","1","76.392","external_repo_dep","AesPA-Net","high","keep dependency","Contains vgg_normalised_conv5_1.pth dependency."
"Related_Works/repos/ArtBank","repo_subdir","126","0","0","external_repo","ArtBank","medium","keep","No weights."
"Related_Works/repos/blora","repo_subdir","32","0","0","external_repo","BLora","medium","keep","No weights."
"Related_Works/repos/cyclegan_turbo","repo_subdir","60","1","91.179","external_repo_dep","CycleGAN Turbo","high","keep dependency","Contains Inception dependency."
"Related_Works/repos/Dreambooth-Stable-Diffusion-main","repo_subdir","98","0","0","external_repo","DreamBooth","medium","keep","No weights."
"Related_Works/repos/external","repo_subdir","12954","8","0.016","external_eval_outputs","CUT/SaMST/StarGAN/stargan-v2","medium","keep placeholders/deps","Mostly tiny fake placeholders and LPIPS ckpt."
"Related_Works/repos/pytorch-CycleGAN-and-pix2pix","repo_subdir","73","0","0","external_repo","CycleGAN/pix2pix","medium","keep","No weights."
"Related_Works/repos/S2WAT-main","repo_subdir","20765","1","76.399","external_repo_dep","S2WAT","high","keep dependency","Contains VGG dependency."
"Related_Works/repos/SaMam","repo_subdir","75","1","76.399","external_repo_dep","SaMAM","high","keep dependency","Contains VGG dependency."
"Related_Works/repos/SaMST-main","repo_subdir","972","0","0","external_repo_dirty","SaMST","high","do not touch user dirty files","Contains user-modified files; not staged/edited in archaeology pass."
"Related_Works/repos/StyTR-2","repo_subdir","16","0","0","external_repo","StyTR-2","medium","keep","No weights in local repos root."
"Related_Works/final_works/CUT","finalworks_subdir","unknown","1","0.001","final_baseline_placeholder","CUT","medium","keep placeholder","Tiny fake_eval_checkpoint only."
"Related_Works/final_works/SaMST-epoch_0100","finalworks_subdir","unknown","1","0.001","final_baseline_placeholder","SaMST","medium","keep placeholder","Tiny fake_eval_checkpoint only."
"Related_Works/final_works/Star-GAN-epoch_100000","finalworks_subdir","unknown","1","0.001","final_baseline_placeholder","StarGAN","medium","keep placeholder","Tiny fake_eval_checkpoint only."
"Related_Works/final_works/str_0.40","finalworks_subdir","unknown","1","0.001","final_baseline_placeholder","SDEdit","medium","keep placeholder","Tiny fake_eval_checkpoint only."
"Related_Works/final_works/trial_0016","finalworks_subdir","unknown","0","0","cleaned_trial","legacy final trial","medium","clean","Post-delete check clean."
"Related_Works/final_works/trial_0019","finalworks_subdir","unknown","0","0","cleaned_trial","legacy final trial","medium","clean","Post-delete check clean."
"Related_Works/final_works/trial_0044","finalworks_subdir","unknown","0","0","cleaned_trial","legacy final trial","medium","clean","Post-delete check clean."
