"scope","duplicate_key","file_count","roots","size_mb","all_hash_match","recommended_action","deletion_whitelist","reason","paths"
"remote","ref_feats_fa2d56e3a1_m256.pt|552940","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.527325","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m256.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m256.pt"
"remote","ref_feats_fa2d56e3a1_m80.pt|559570","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.533648","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\ref_feats_fa2d56e3a1_m80.pt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\ref_feats_fa2d56e3a1_m80.pt"
"remote","CACHEDIR.TAG|195","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000186","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\CACHEDIR.TAG | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\CACHEDIR.TAG"
"remote","adapter_config.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\adapter_config.json"
"remote","model.safetensors|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors"
"remote","model.safetensors.index.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\.no_exist\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\model.safetensors.index.json"
"remote","main|40","4","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","3.8E-05","False","retain_all_hash_mismatch","no","Same name/size but hash mismatch; not duplicate.","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main | I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\refs\main | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main"
"remote","config.json|4186","4","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.003992","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json | I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json"
"remote","diffusion_pytorch_model.safetensors.index.json|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json"
"remote","config.json|547","3","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000522","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json"
"remote","diffusion_pytorch_model.safetensors|334643276","3","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","319.140697","False","retain_all_hash_mismatch","no","Same name/size but hash mismatch; not duplicate.","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors | I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\diffusion_pytorch_model.safetensors | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors"
"remote","xet_20260507T163427665+0800_108712.log|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log"
"remote","xet_20260507T165049581+0800_112184.log|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log"
"remote","xet_20260507T170055075+0800_112032.log|0","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T170055075+0800_112032.log | I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T170055075+0800_112032.log"
"remote","merges.txt|524657","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.500352","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\merges.txt | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\merges.txt"
"remote","preprocessor_config.json|316","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000301","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json"
"remote","pytorch_model.bin|605247071","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","577.208587","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin"
"remote","special_tokens_map.json|389","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000371","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json"
"remote","tokenizer.json|2224041","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","2.121011","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer.json"
"remote","tokenizer_config.json|592","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.000565","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json"
"remote","vocab.json|862328","2","I:\Github\Latent_Style\eval_cache;I:\Github\Latent_Style\Cycle-NCE\eval_cache","0.82238","True","retain_all_pending_loader_path_audit","no","SHA256 duplicate, but cache-local path may be expected by remote eval/code or archive reproduction.","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\vocab.json | I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\vocab.json"
