"timestamp","scope","remote_path","exists","check_depth","dirs","files","size_mb","weights","summary_like","log_like","classification","decision","delete_whitelist","source_evidence","note","next_action"
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_256_faithful_p8_remote","yes","recursive","","4574","9.678","0","25","0","samam_256_metric_evidence","keep","no","remote recursive result-dir check; hourly_metrics.csv sample","Has 25 summary/metric-like files and no weights.","Keep as baseline metric evidence."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_256_faithful_p8_remote_debug","yes","recursive","","6","0.006","0","0","0","samam_debug_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny debug residue with no weights or metrics; negligible size.","Owner can decide whether to remove tiny debug dirs later."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_256_faithful_p8_remote_debug_foreground","yes","recursive","","21","0.062","0","5","0","samam_debug_metric_evidence","keep","no","remote recursive result-dir check; hourly_metrics.csv sample","Contains 5 metric-like files, no weights.","Keep as debug metric evidence unless owner prunes debug baselines."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_256_faithful_p8_remote_debug_idckpt","yes","recursive","","21","0.064","0","5","0","samam_debug_metric_evidence","keep","no","remote recursive result-dir check; hourly_metrics.csv sample","Contains 5 metric-like files, no weights.","Keep as debug metric evidence unless owner prunes debug baselines."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b1_20k_remote_wsl_20260601_1830","yes","recursive","","3","0.004","0","0","0","samam_distinct5_probe_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny probe result with no weights/metrics. Space release is negligible.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b1_20k_remote_wsl_20260601_1830b","yes","recursive","","5","0.006","0","0","0","samam_distinct5_probe_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny probe result with no weights/metrics. Space release is negligible.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_20k_remote_wsl_20260601_1900","yes","recursive","","9","0.363","0","0","0","samam_distinct5_probe_small","keep_low_priority","no","remote recursive result-dir check","Small probe result with no weights/metrics. Space release is small.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130","yes","recursive","","4","0.009","0","0","0","samam_distinct5_probe_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny probe result with no weights/metrics. Space release is negligible.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag","yes","recursive","","12128","7232.586","12","24","0","samam_distinct5_checkpoint_anchor","keep","no","remote recursive result-dir check; eval_curve/curve_metrics.csv and step_checkpoints sample","Large SaMAM diagnostic baseline with 12 ckpt files and 24 metric-like files. Prior SaMAM thinning retained step checkpoints as curve anchors.","Do not delete in this pass; any thinning needs separate SaMAM checkpoint policy."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b8_20k_remote_wsl_20260601_1850","yes","recursive","","8","0.005","0","0","0","samam_distinct5_probe_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny probe result with no weights/metrics. Space release is negligible.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b8_20k_remote_wsl_20260601_1910","yes","recursive","","4","0.411","0","0","0","samam_distinct5_probe_small","keep_low_priority","no","remote recursive result-dir check","Small probe result with no weights/metrics. Space release is small.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b8_seg250_remote_wsl_20260601_1935","yes","recursive","","6","0.636","0","0","0","samam_distinct5_probe_small","keep_low_priority","no","remote recursive result-dir check","Small probe result with no weights/metrics. Space release is small.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_remote_wsl_batch_probe_20260601_1840","yes","recursive","","24","0.403","0","0","0","samam_batch_probe_small","keep_low_priority","no","remote recursive result-dir check","Small batch probe result with no weights/metrics. Space release is small.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_prepared","yes","recursive","","1","0.004","0","0","0","samst_prepared_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny prepared marker/result with no weights/metrics. Space release is negligible.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\zimage_turbo","yes","recursive","","0","0","0","0","0","empty_result_dir","keep_low_priority","no","remote recursive result-dir check","Empty result directory. Deleting releases 0 MB.","Owner can prune later with exact whitelist if desired."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Cycle-NCE","yes","shallow","26","78","","","","","cycle_nce_history_surface","keep","no","remote Cycle-NCE top-level listing","Historical Cycle-NCE surface remains; many nonweight metrics/source/image artifacts exist.","Do not bulk delete historical evidence."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Cycle-NCE\45.rar","no","file","","","","","","","deleted_archive_verified_absent","already_deleted","no","remote exact path existence check","Original 45.rar is absent after prior curated extraction and deletion.","No further action for this archive."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Cycle-NCE\_curated_45_nonweight_20260605","yes","recursive","1","6086","145.512","0","","","curated_nonweight_package","keep","no","remote recursive curated package check; _curated_nonweight_manifest_20260605.csv; _removed_weight_files_20260605.csv","Curated package is present, has 6086 files, and has 0 weight-extension files. Actual manifest filenames were verified.","Keep curated nonweight package."
