"row_origin","source_row","method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","quality_class","claim_use","in_docs_timing_master","recommended_action","note"
"timing_quality_master_20260605.csv","44","LANCET/LBM WikiArt512 epoch8 generation-only","WikiArt512-5style","512","","","54.80","s","","SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/run_eval_png750_b12_v2_w8_nogrid/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","External wall 54.80s for 750 PNG outputs; summary internal wall_total is 46.791428548s. Metrics intentionally skipped."
"timing_quality_master_20260605.csv","45","LANCET/LBM WikiArt512 from-scratch e8","WikiArt512-5style","512","66.56","s","55.16","s","","SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_b32_e8; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_e8_generate750","train_and_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","From-scratch timing row: 8 epochs/88 steps train wall and generation-only 750 PNG wall. Direct full eval is separately recorded as 106.62s in the source note."
"timing_quality_master_20260605.csv","50","LANCET/LBM endpoint-metric Huber e1","Distinct5-512 TokenizerClean audit","512","291.682","s","97.276","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/logs/training_20260603_033401.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/full_eval/epoch_0001/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Completed repaired endpoint-metric packet. Ignore 2026-06-04 empty rerun CSV."
"timing_quality_master_20260605.csv","51","LANCET/LBM endpoint-metric L1 e3","Distinct5-512 TokenizerClean audit","512","290.102","s","100.001","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/logs/training_20260603_034931.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Completed repaired endpoint-metric packet; e3 is best LPIPS point per master log. Timing is eval wall_total."
"timing_quality_master_20260605.csv","52","LANCET/LBM tokenizer localization stylebranch e2","Distinct5-512 TokenizerClean audit","512","160.100","s","151.641","s","","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/logs/training_20260603_084805.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/full_eval/epoch_0002/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","AAAI2027 tokenizer-localization L-family packet. Current evidence; checkpoints retained."
"timing_quality_master_20260605.csv","53","LANCET/LBM tokenizer localization executoronly e3","Distinct5-512 TokenizerClean audit","512","179.850","s","87.606","s","","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/logs/training_20260603_092701.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","AAAI2027 tokenizer-localization L-family executor-only packet. Current evidence; checkpoints retained."
"timing_quality_master_20260605.csv","54","LANCET/LBM SA-SWD semantic e1","Distinct5-512 TokenizerClean audit","512","198.769","s","96.894","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_semantic/logs/training_20260603_042453.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_semantic/full_eval/epoch_0001/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Successful evidence lives in root-level exp<special-char>saswd directory, while normal exp/saswd has failed 2026-06-04 resume logs only."
"timing_quality_master_20260605.csv","56","LANCET/LBM baseline direct atom residual B44 e8","Distinct5-512 remote phase1 ablation","512","506.223088","s","94.800326","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/logs/training_20260602_043649.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open of B44 full 8-epoch ablation. B40/B48 sibling dirs were header-only starts with no full_eval summaries."
"timing_quality_master_20260605.csv","57","LANCET/LBM variant A class prototypes e8","Distinct5-512 remote phase1 ablation","512","507.093955","s","95.048373","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/logs/training_20260602_050656.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence not current compact manuscript anchor."
"timing_quality_master_20260605.csv","58","LANCET/LBM variant B global VQ e8","Distinct5-512 remote phase1 ablation","512","504.975628","s","95.204088","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/logs/training_20260602_054854.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"timing_quality_master_20260605.csv","59","LANCET/LBM variant C content guided spatial e8","Distinct5-512 remote phase1 ablation","512","512.740225","s","95.091221","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/logs/training_20260602_062216.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"timing_quality_master_20260605.csv","60","LANCET/LBM variant D VQ content guided e8","Distinct5-512 remote phase1 ablation","512","511.389258","s","95.947257","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/logs/training_20260602_065945.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"timing_quality_master_20260605.csv","61","LANCET/LBM variant E latent prototype OT queue e8","Distinct5-512 remote phase1 ablation","512","525.351942","s","95.381435","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_073021.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_074357.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Training spans two logs: epochs 1-7 plus epoch 8 resume log; sum preserves original seconds."
"timing_quality_master_20260605.csv","62","LANCET/LBM variant J aux hard SWD e3","Distinct5-512 remote compact ablation","512","200.378971","s","95.374295","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/logs/training_20260602_102114.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Three epoch weights retained; ablation evidence only."
"timing_quality_master_20260605.csv","63","LANCET/LBM variant K content adaptive e3","Distinct5-512 remote compact ablation","512","198.939151","s","95.610863","s","3.91","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/logs/training_20260602_104832.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. E1 is the current compact style anchor; this e3 row is retained as trajectory/audit timing."
"timing_quality_master_20260605.csv","64","LANCET/LBM variant L content adaptive annealed e3","Distinct5-512 remote compact ablation","512","198.993929","s","95.696412","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/logs/training_20260602_110907.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Three epoch weights retained; ablation evidence only."
"timing_quality_master_20260605.csv","65","LANCET/LBM variant M style gated router e3","Distinct5-512 remote compact ablation","512","199.461370","s","95.980974","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/logs/training_20260602_113035.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Three epoch weights retained; ablation evidence only."
"timing_quality_master_20260605.csv","67","LANCET/LBM path kinetic H k025 e3","Distinct5-512 remote path kinetic","512","199.039002","s","88.408188","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/logs/training_20260603_154105.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Path kinetic k025 packet; eval wall_total is full_eval not pure generation."
"timing_quality_master_20260605.csv","68","LANCET/LBM path kinetic H k000 e3","Distinct5-512 remote path kinetic","512","199.110301","s","88.439775","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/logs/training_20260603_155235.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/full_eval/epoch_0003/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manual remote open. Path kinetic k000 packet; eval wall_total is full_eval not pure generation."
"timing_quality_master_20260605.csv","1","LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","97.276","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.693; content_lpips=0.356; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","2","LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","95.334","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.692; content_lpips=0.365; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","3","LBM","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","512","","","95.555","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.691; content_lpips=0.350; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","4","LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","95.401","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.693; content_lpips=0.362; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","5","LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","95.285","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.693; content_lpips=0.372; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","6","LBM","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","512","","","100.001","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.691; content_lpips=0.355; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","7","LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","96.969","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.700; content_lpips=0.517; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","8","LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","95.339","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.697; content_lpips=0.548; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","9","LBM","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","512","","","96.254","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.699; content_lpips=0.520; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","10","LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","97.686","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.332; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","11","LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","95.699","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.699; content_lpips=0.356; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","12","LBM","aaai2027_flow_loss_h_base_huber_seed42_b44","512","","","95.273","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.341; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","13","LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","96.312","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.331; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","14","LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","95.579","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.699; content_lpips=0.361; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","15","LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","95.318","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.342; training_csv_count=2; remote_train.log exists"
"timing_quality_master_20260605.csv","16","LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","41.556","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.331; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","17","LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","94.714","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.699; content_lpips=0.359; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","18","LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","94.297","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.342; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","20","LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","21.335","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.322; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","21","LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","87.738","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0002\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.692; content_lpips=0.329; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","22","LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","87.606","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0003\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.696; content_lpips=0.335; training_csv_count=1; remote_train.log exists"
"timing_quality_master_20260605.csv","23","LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","512","","","93.352","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","clip_style=0.690; content_lpips=0.319; training_csv_count=1; remote_train.log exists"
