"method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","note","scope","period","manual_check_level","files","dirs","summary_json_count","metrics_csv_count","training_log_count","weight_like_count","weight_like_mb","best_metric","cleanup_action"
"Aline120","5 Aline120 variants","latent / style transfer","7151.486","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/Aline120.csv; Cycle-NCE/Aline120/Aline120_aline_01_oracle/logs/training_20260404_011547.csv","Opened CSV, child list and representative log. 5 child experiments with epoch 10/20/30 full_eval variants. Best CSV row Aline120_aline_03_ghost_wireframe epoch 20 transfer_clip_style 0.7146436547239621.","Cycle-NCE/Aline120","2026-04-04","opened CSV plus representative log","125","45","many","many","5","0","0","best transfer_clip_style 0.7146436547239621","retain evidence"
"arch ablations","10 Swin/Weaver/asym/WGW/CGW architecture ablations","latent / style transfer","57165.468","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/arch; Cycle-NCE/arch/arch_ablate_A1_swin_h2_g1_d2/logs/training_20260328_213955.csv","Opened child list and representative log. Logs include gradcos columns and full_eval_epoch logs. No local ckpt. This is architecture search evidence, not cleanup.","Cycle-NCE/arch","2026-03-28 to 2026-03-29","opened child list plus representative log","308","118","many","many","11","0","0","A1 representative epoch 1 epoch_time_sec 97.327, then 75.120 at epoch 2","retain evidence"
"eval classifier artifacts","style classifier reports and training log","latent classifier eval artifact","","","","","","Cycle-NCE/artifacts/eval_classifier/style_classifier_latent_strong.train.log; Cycle-NCE/artifacts/eval_classifier/*.report.json","Opened artifacts directory. Contains eval classifier reports and a classifier training log, no checkpoint. Useful to explain classifier metric history.","Cycle-NCE/artifacts","2026-03/04","opened file list","6","1","","","1 log","0","0","","retain evidence"
"Cycle-NCE docs","codebase guide and experiment-cycle reports","documentation","","","","","","Cycle-NCE/docs/CODEBASE_GUIDE.md; Cycle-NCE/docs/STYLE_ABLATION_PLAN.md; Cycle-NCE/docs/experiments_cycle; Cycle-NCE/docs/reports","Opened docs top-level. Documentation only; supports lineage, not timing/metrics by itself.","Cycle-NCE/docs","2026-03/04","opened file list","98","6","","","","0","0","","retain evidence"
"Cycle-NCE eval cache","reference feature cache","eval cache","","","","","","Cycle-NCE/eval_cache/ref_feats_6b7e3f5bca_m40.pt; Cycle-NCE/eval_cache/ref_feats_6b7e3f5bca_m8.pt; Cycle-NCE/eval_cache/ref_feats_6b7e3f5bca_m80.pt","Opened weight-like list. Only 3 .pt files are reference feature caches, total about 1.106 MB, not training ckpts. Empty eval_cache/hf was deleted separately and logged.","Cycle-NCE/eval_cache","2026-05-29","opened weight-like list","3","0","","","","3","1.106","cache only","delete empty hf subdir only"
"Cycle-NCE exp main archive","42/45/46/color/cross_attn/depth/style_oa and other legacy runs","latent / style transfer","","","","","","Cycle-NCE/exp; Cycle-NCE/exp.csv; Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/summary_history.json","Opened child list and exp.csv. 44 top-level subfamilies, 2668 files. exp.csv best opened row is style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10 epoch 100 with transfer_clip_style 0.729723026394844. No local ckpt files remain.","Cycle-NCE/exp","2026-02 to 2026-04","opened child list and aggregate CSV","2668","972","many","many","many","0","0","best transfer_clip_style 0.729723026394844","retain evidence"
"fewshot ukiyo-e runs","few-shot ukiyo-e style append/replace","256","","","","","","Cycle-NCE/fewshot_ukiyoe_runs/fewshot_ukiyo_e_sid5/meta.json; Cycle-NCE/fewshot_ukiyoe_runs/fewshot_ukiyo_e_sid5/full_eval_lpips_clip_style/summary.json","Opened meta and summary. meta references base and patched checkpoints, but local .pt payloads are absent; current directory retains meta, summary, metrics and images. Treat as evidence only, not restorable checkpoint storage.","Cycle-NCE/fewshot_ukiyoe_runs","2026-04-03","opened meta and summary","7","4","1","1","0","0","0","summary timestamp 2026-04-03 18:37:27","retain evidence"
"freq family","frequency/IDT/lancet variants","latent / style transfer","38299.961","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/freq.csv; Cycle-NCE/freq/freq_01_conservative_baseline/logs/training_20260405_075401.csv","Opened freq directory, CSV and representative log. 9 children under freq; separate top-level freq_01..freq_08 mirrors also exist. Best CSV row freq_04_no_idt_abyss epoch 80 transfer_clip_style 0.6453720057010651.","Cycle-NCE/freq","2026-04-05","opened directory, CSV and log","174","63","many","many","12","0","0","best transfer_clip_style 0.6453720057010651","retain evidence"
"freq_01..freq_08 top-level mirrors","frequency sweep copied/standalone dirs","latent / style transfer","","","","","","Cycle-NCE/freq_01_conservative_baseline through Cycle-NCE/freq_08_extreme_asymmetry","Opened top-level list. Each has 7-10 files and one dir, likely standalone copies of frequency sweep results. No ckpt. Keep until duplicate relation to Cycle-NCE/freq is formally proven.","Cycle-NCE/freq_01..freq_08","2026-04-05","opened top-level list","58","8","present","present","present","0","0","duplicates suspected but not deleted","retain evidence"
"grid5 batch reports","grid visualization reports","grid eval visualization","","","","","","Cycle-NCE/grid5_batch_reports","Opened top-level count. 361 files under one directory; grid report output, no ckpt. Useful visual evidence, not timing.","Cycle-NCE/grid5_batch_reports","2026-03/04","opened count","361","1","","grid metrics present","","0","0","","retain evidence"
"hf patch/high-frequency sweep","6 high-frequency patch variants","latent / style transfer","17542.58","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/hf.csv; Cycle-NCE/hf/p_base_hf_3p0/logs/training_20260330_172831.csv","Opened hf child list and evidence files. Six variants, config/full_eval/log pattern. Best CSV row p_base_hf_3p0_distill_epochs200_tokenized epoch 60 transfer_clip_style 0.6734027210871381. No local ckpt.","Cycle-NCE/hf","2026-03-30","opened child list and CSV","156","61","many","many","5","0","0","best transfer_clip_style 0.6734027210871381","retain evidence"
"history doc mirror","history report assets","documentation","","","","","","Cycle-NCE/his_doc; Cycle-NCE/History_Report.md; Cycle-NCE/History_Report.pdf","Opened top-level count. Documentation mirror only; retain for narrative provenance.","Cycle-NCE/his_doc","2026-04-03","opened file list","1","2","","","","0","0","","retain evidence"
"in-idt standalone","identity ablation standalone","latent / style transfer","","","","","","Cycle-NCE/in-idt","Opened directory count. Has config/full_eval/log structure, no ckpt. Standalone sibling of 46_in-idt lineage.","Cycle-NCE/in-idt","2026-04","opened count","16","4","present","present","present","0","0","","retain evidence"
"new4","small new4 probe","probe/smoke","","","","","","Cycle-NCE/new4","Opened count. Only 1 file under 3 dirs, likely incomplete/smoke; no ckpt. Keep as tiny evidence unless broader probe cleanup policy is approved.","Cycle-NCE/new4","2026-03/04","opened count","1","3","","","","0","0","incomplete tiny probe","retain"
"repuls","repulsive-loss family","latent / style transfer","","","","","","Cycle-NCE/repuls","Opened count. 77 files/25 dirs with result evidence, no ckpt. Keep as experiment family.","Cycle-NCE/repuls","2026-04","opened count","77","25","present","present","present","0","0","","retain evidence"
"scripts","analysis and launcher scripts","source/tooling","","","","","","Cycle-NCE/scripts","Opened scripts directory. 18 script files; source/tooling only. Do not delete in cleanup pass.","Cycle-NCE/scripts","2026-03/04","opened count","18","0","","","","0","0","","retain source"
"splash standalone","splash family standalone","latent / style transfer","","","","","","Cycle-NCE/splash","Opened count. 13 files/4 dirs with result evidence, no ckpt. Keep as experiment family.","Cycle-NCE/splash","2026-04","opened count","13","4","present","present","present","0","0","","retain evidence"
"Cycle-NCE source snapshot","source code, configs, history configs, probe assets","source/tooling","","","","","","Cycle-NCE/src; Cycle-NCE/src/history_configs; Cycle-NCE/src/model.py; Cycle-NCE/src/trainer.py","Opened src top-level. 289 files/6 dirs, includes model/trainer/losses, launcher .bat, history_configs and large probe JSON/CSV. Source/history evidence, not ckpt cleanup.","Cycle-NCE/src","2026-02 to 2026-04","opened file list","289","6","","","","0","0","source snapshot and history config layer","retain source"
"summary directory","history configs and summary aggregates","metrics summaries","","","","","","Cycle-NCE/summary/summary_aggregate.csv; Cycle-NCE/summary/*.json","Opened summary directory. 97 files, including 109-history-config style JSONs and summary_aggregate.csv. Aggregate row showed ablate_M1 latest transfer_clip_style 0.7169979644318423 at epoch 120.","Cycle-NCE/summary","2026-02 to 2026-03","opened file list and aggregate CSV","97","0","many","","","0","0","summary_aggregate ablate_M1 latest transfer_clip_style 0.7169979644318423","retain evidence"
"tmp_batch128_smoke","batch 128 smoke snapshot","smoke","","","","","","Cycle-NCE/tmp_batch128_smoke/logs/training_20260321_182535.csv","Opened tmp smoke directory and log. Log has header only/no usable epoch row in opened output; source snapshot files present, no ckpt. Tiny smoke evidence.","Cycle-NCE/tmp_batch128_smoke","2026-03-21","opened directory and log","8","1","","","1","0","0","smoke only","retain tiny evidence"
"tmp_batch128_smoke_newcode","batch 128 new-code smoke snapshot","smoke","","","","","","Cycle-NCE/tmp_batch128_smoke_newcode/logs/training_20260321_183254.csv","Opened tmp smoke directory. 8 files/1 dir, one tiny training log, no ckpt. Keep unless smoke probe cleanup policy is approved.","Cycle-NCE/tmp_batch128_smoke_newcode","2026-03-21","opened directory and log","8","1","","","1","0","0","smoke only","retain tiny evidence"
"tmp_batch96_smoke","batch 96 smoke snapshot","smoke","158.76438736915588","epoch_time_sec for one opened epoch","","","","Cycle-NCE/tmp_batch96_smoke/logs/training_20260321_182949.csv","Opened log. One epoch row shows epoch_time_sec 158.76438736915588, samples_seen 10272. Smoke/timing probe only, no ckpt.","Cycle-NCE/tmp_batch96_smoke","2026-03-21","opened directory and log","8","1","","","1","0","0","one-epoch smoke timing","retain tiny evidence"
"tmp_grad_probe_bs96_e2","gradient probe batch 96 e2","probe","880.876","summed epoch_time_sec across 2 training logs","","","","Cycle-NCE/tmp_grad_probe_bs96_e2/logs/training_20260325_110449.csv","Opened logs. training_20260325_110449.csv has two epoch rows with epoch_time_sec 443.104 and 437.772; gradcos columns present. Probe only, no ckpt.","Cycle-NCE/tmp_grad_probe_bs96_e2","2026-03-25","opened directory and log","9","1","","","2","0","0","epoch_time_sec 443.104 and 437.772 in opened log","retain probe evidence"
"video outputs","CUT/Cycle-NCE video outputs and summaries","video 179 frames 30 fps","","","","","","Cycle-NCE/video/summary.json","Opened video directory and summary. Summary references input head.mp4, 179 frames at 30 fps, five style outputs and grid video. This is inference/demo output, not training ckpt.","Cycle-NCE/video","2026-04-04","opened summary and file list","34","0","","","","0","0","179 frames at 30 fps, output paths under Related_Works/runs/cut_5x5","retain visual evidence"
"weight_exp4 latent adain","weight sweep exp4 swd60 tv00 id40 r16 e60","latent / style transfer","5446.28","summed epoch_time_sec in training_20260322_044742.csv","","","","Cycle-NCE/weight_exp4_latent_adain_swd60_tv00_id40_r16_e60/logs/training_20260322_044742.csv; Cycle-NCE/weight_exp4_latent_adain_swd60_tv00_id40_r16_e60/full_eval/summary_history.json","Opened evidence files. Despite name, no weight-like ckpt remains; contains source snapshot, config, log, epoch 30/60 full_eval and grid images. Keep as result evidence.","Cycle-NCE/weight_exp4_latent_adain_swd60_tv00_id40_r16_e60","2026-03-22","opened file list and timing aggregate","31","10","present","present","1","0","0","representative last epoch_time_sec 90.77570819854736","retain evidence"
"top-level media/docs","PDF/DOCX/MP4/PNG/HTML viewers","presentation and visualization","","","","","","Cycle-NCE/6M参数Latent模型.pdf; Cycle-NCE/LANCET.pdf; Cycle-NCE/head*.mp4; Cycle-NCE/csv_scatter_viewer_interactive.html; Cycle-NCE/train_log_viz.html","Opened top-level file list. Media/docs/viewers are explanatory artifacts; not ckpt or deletion targets.","Cycle-NCE top-level files","2026-03/04","opened file list","many top-level files","","","","","0","0","visualization and report assets","retain evidence"
