"remote_root","exp_dir","total_mb","weight_count","weight_mb","docs_hit_count","master_log_hit_count","review_doc_hit_count","paper_hit_count","summary_count","config_exists","training_csv_count","action","deletion_scope","reason","weight_names","summary_metrics","citation_hit_files","internal_evidence_source","citation_source"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","armored_breakthrough_proper","0.001","0","0.000","1","0","0","0","0","False","0","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","","docs\logs\experiment_ledger.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","artfid_wikiart5_compare","0.008","0","0.000","0","0","0","0","1","False","0","no_checkpoint_delete","none","no .pt/.ckpt/.pth files found; if space cleanup is desired this needs a generated-image/archive policy, not ckpt cleanup","","artfid_wikiart5_compare:clip=;lpips=;wall=","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","90.266","6","90.266","0","0","0","0","0","False","0","review_ckpt_candidate_no_summary","none in this pass","uncited weight directory but no summary.json found; checkpoint may be the only model artifact, so do not delete before deeper manual owner review","color_x150.pt;color_x250.pt;geometry_x125.pt;specgeo_x120.pt;spectrum_x125.pt;spectrum_x175.pt","","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","configs","368.559","0","0.000","36","1","9","0","144","False","28","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","epoch_0020:clip=0.705;lpips=0.487;wall= | epoch_0040:clip=0.705;lpips=0.503;wall= | epoch_0060:clip=0.708;lpips=0.511;wall= | epoch_0080:clip=0.708;lpips=0.513;wall= | epoch_0100:clip=0.707;lpips=0.510;wall= | epoch_0120:clip=0.713;lpips=0.534;wall= | epoch_0140:clip=0.713;lpips=0.543;wall= | epoch_0160:clip=0.713;lpips=0.551;wall= | epoch_0020:clip=0.705;lpips=0.487;wall= | epoch_0040:clip=0.705;lpips=0.503;wall= | epoch_0060:clip=0.708;lpips=0.511;wall= | epoch_0080:clip=0.708;lpips=0.513;wall= | epoch_0100:clip=0.707;lpips=0.510;wall= | epoch_0120:clip=0.712;lpips=0.534;wall= | epoch_0140:clip=0.713;lpips=0.543;wall= | epoch_0160:clip=0.713;lpips=0.551;wall= | epoch_0020:clip=0.707;lpips=0.509;wall= | epoch_0040:clip=0.713;lpips=0.537;wall= | epoch_0060:clip=0.713;lpips=0.540;wall= | epoch_0080:clip=0.716;lpips=0.558;wall= | epoch_0100:clip=0.717;lpips=0.570;wall= | epoch_0120:clip=0.717;lpips=0.579;wall= | epoch_0140:clip=0.718;lpips=0.576;wall= | epoch_0160:clip=0.720;lpips=0.584;wall= | epoch_0020:clip=0.712;lpips=0.519;wall= | epoch_0040:clip=0.713;lpips=0.543;wall= | epoch_0060:clip=0.715;lpips=0.557;wall= | epoch_0080:clip=0.716;lpips=0.552;wall= | epoch_0100:clip=0.716;lpips=0.573;wall= | epoch_0120:clip=0.716;lpips=0.566;wall= | epoch_0140:clip=0.718;lpips=0.584;wall= | epoch_0160:clip=0.715;lpips=0.589;wall= | epoch_0020:clip=0.698;lpips=0.438;wall= | epoch_0040:clip=0.703;lpips=0.453;wall= | epoch_0060:clip=0.706;lpips=0.457;wall= | epoch_0080:clip=0.706;lpips=0.472;wall= | epoch_0100:clip=0.710;lpips=0.482;wall= | epoch_0120:clip=0.711;lpips=0.499;wall= | epoch_0140:clip=0.713;lpips=0.509;wall= | epoch_0160:clip=0.712;lpips=0.503;wall= | epoch_0020:clip=0.696;lpips=0.723;wall= | epoch_0040:clip=0.685;lpips=0.738;wall= | epoch_0060:clip=0.684;lpips=0.747;wall= | epoch_0080:clip=0.683;lpips=0.760;wall= | epoch_0100:clip=0.683;lpips=0.757;wall= | epoch_0120:clip=0.684;lpips=0.764;wall= | epoch_0140:clip=0.682;lpips=0.764;wall= | epoch_0160:clip=0.682;lpips=0.762;wall= | epoch_0020:clip=0.737;lpips=0.845;wall= | epoch_0040:clip=0.730;lpips=0.844;wall= | epoch_0060:clip=0.721;lpips=0.842;wall= | epoch_0080:clip=0.731;lpips=0.868;wall= | epoch_0100:clip=0.725;lpips=0.857;wall= | epoch_0120:clip=0.725;lpips=0.871;wall= | epoch_0020:clip=0.723;lpips=0.663;wall= | epoch_0040:clip=0.722;lpips=0.679;wall= | epoch_0060:clip=0.724;lpips=0.681;wall= | epoch_0080:clip=0.718;lpips=0.698;wall= | epoch_0100:clip=0.719;lpips=0.733;wall= | epoch_0120:clip=0.713;lpips=0.753;wall= | epoch_0140:clip=0.715;lpips=0.761;wall= | epoch_0160:clip=0.709;lpips=0.760;wall= | epoch_0020:clip=0.724;lpips=0.672;wall= | epoch_0040:clip=0.726;lpips=0.689;wall= | epoch_0060:clip=0.727;lpips=0.722;wall= | epoch_0080:clip=0.730;lpips=0.720;wall= | epoch_0100:clip=0.728;lpips=0.723;wall= | epoch_0020:clip=0.689;lpips=0.383;wall= | epoch_0040:clip=0.690;lpips=0.389;wall= | epoch_0060:clip=0.696;lpips=0.415;wall= | epoch_0010:clip=0.672;lpips=0.316;wall= | epoch_0020:clip=0.672;lpips=0.324;wall= | epoch_0030:clip=0.673;lpips=0.324;wall= | epoch_0040:clip=0.673;lpips=0.323;wall= | epoch_0050:clip=0.673;lpips=0.327;wall= | epoch_0060:clip=0.672;lpips=0.319;wall= | epoch_0070:clip=0.674;lpips=0.330;wall= | epoch_0080:clip=0.675;lpips=0.331;wall= | epoch_0010:clip=0.684;lpips=0.356;wall= | epoch_0020:clip=0.683;lpips=0.354;wall= | epoch_0030:clip=0.686;lpips=0.374;wall= | epoch_0040:clip=0.686;lpips=0.368;wall= | epoch_0050:clip=0.685;lpips=0.368;wall= | epoch_0060:clip=0.686;lpips=0.369;wall= | epoch_0070:clip=0.685;lpips=0.368;wall= | epoch_0080:clip=0.685;lpips=0.368;wall= | epoch_0010:clip=0.675;lpips=0.326;wall= | epoch_0020:clip=0.675;lpips=0.325;wall= | epoch_0010:clip=0.678;lpips=0.351;wall= | epoch_0020:clip=0.679;lpips=0.351;wall= | epoch_0030:clip=0.683;lpips=0.359;wall= | epoch_0040:clip=0.681;lpips=0.353;wall= | epoch_0050:clip=0.682;lpips=0.360;wall= | epoch_0060:clip=0.682;lpips=0.356;wall= | epoch_0010:clip=0.685;lpips=0.387;wall= | epoch_0020:clip=0.683;lpips=0.408;wall= | epoch_0030:clip=0.685;lpips=0.397;wall= | epoch_0040:clip=0.685;lpips=0.416;wall= | epoch_0050:clip=0.686;lpips=0.411;wall= | epoch_0060:clip=0.688;lpips=0.418;wall= | epoch_0010:clip=0.671;lpips=0.316;wall= | epoch_0020:clip=0.670;lpips=0.319;wall= | epoch_0030:clip=0.670;lpips=0.316;wall= | epoch_0040:clip=0.671;lpips=0.317;wall= | epoch_0050:clip=0.672;lpips=0.323;wall= | epoch_0060:clip=0.672;lpips=0.321;wall= | epoch_0010:clip=0.689;lpips=0.397;wall= | epoch_0020:clip=0.692;lpips=0.406;wall= | epoch_0030:clip=0.692;lpips=0.412;wall= | epoch_0040:clip=0.693;lpips=0.431;wall= | epoch_0050:clip=0.693;lpips=0.429;wall= | epoch_0060:clip=0.693;lpips=0.427;wall= | epoch_0010:clip=0.665;lpips=0.304;wall= | epoch_0020:clip=0.667;lpips=0.307;wall= | epoch_0030:clip=0.667;lpips=0.309;wall= | epoch_0040:clip=0.667;lpips=0.310;wall= | epoch_0050:clip=0.667;lpips=0.308;wall= | epoch_0060:clip=0.667;lpips=0.310;wall= | epoch_0010:clip=0.668;lpips=0.322;wall= | epoch_0020:clip=0.671;lpips=0.324;wall= | epoch_0030:clip=0.672;lpips=0.333;wall= | epoch_0040:clip=0.672;lpips=0.332;wall= | epoch_0050:clip=0.673;lpips=0.338;wall= | epoch_0060:clip=0.674;lpips=0.339;wall= | epoch_0010:clip=0.686;lpips=0.365;wall= | epoch_0020:clip=0.688;lpips=0.371;wall= | epoch_0030:clip=0.687;lpips=0.373;wall= | epoch_0040:clip=0.686;lpips=0.372;wall= | epoch_0050:clip=0.687;lpips=0.373;wall= | epoch_0060:clip=0.688;lpips=0.374;wall= | epoch_0010:clip=0.682;lpips=0.362;wall= | epoch_0020:clip=0.684;lpips=0.374;wall= | epoch_0030:clip=0.685;lpips=0.375;wall= | epoch_0040:clip=0.685;lpips=0.387;wall= | epoch_0050:clip=0.685;lpips=0.386;wall= | epoch_0060:clip=0.685;lpips=0.383;wall= | epoch_0010:clip=0.671;lpips=0.327;wall= | epoch_0020:clip=0.674;lpips=0.335;wall= | epoch_0030:clip=0.675;lpips=0.340;wall= | epoch_0040:clip=0.676;lpips=0.338;wall= | epoch_0050:clip=0.677;lpips=0.343;wall= | epoch_0060:clip=0.676;lpips=0.344;wall= | epoch_0010:clip=0.676;lpips=0.339;wall= | epoch_0020:clip=0.678;lpips=0.340;wall=","docs\aaai2027_working_index_20260602.md;docs\cleanup\worktree_triage_20260603.md;docs\experiments\2026-05-09-black-dot-mitigation-report.md;docs\experiments\2026-05-16-phase1-diagnostic-launcher.md;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-distinct5-512-lancet-representation-speed.md;docs\experiments\2026-06-02-wikiart512-inference-speed.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_ablation_packet_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-repo-cleanup-and-archive-pass.md;docs\experiments\2026-06-03-saswd-axis-ablation\launch_manifest_20260603.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\experiment_registry.csv;docs\experiments\experiment_registry.json;docs\maths\05_style_transfer_problem_and_next_switches.md;docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md;docs\quickstart.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_gate_b_runtime_anomaly_policy_20260603.md;docs\reviews\aaai2027_theory_memo_table_20260603.md;docs\reviews\aaai2027_theory_owner_audit_20260603.md;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md;docs\reviews\aaai2027_weak_reject_pressure_memo_20260603.md;docs\reviews\endpoint_metric_review_gate_20260603.md;docs\reviews\README.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","decision_tree_clip_style","0.006","0","0.000","1","0","0","0","0","False","0","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","","docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","delta_freq_gain","278.071","3","130.887","0","0","0","0","2","False","0","delete_ckpt_candidate_uncited_with_summary","delete .pt/.ckpt/.pth only; retain config/log/summary/metrics/png/csv","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence","spectral_e2_low100_high050_k5.pt;spectral_e2_low125_high075_k5.pt;spectral_e2_low125_high100_k5.pt","eval_low100_high050_k5_quick_n6:clip=;lpips=;wall= | eval_low125_high075_k5_quick_n6:clip=;lpips=;wall=","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diagnostics","2,872.709","0","0.000","17","0","3","3","52","False","0","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","axis_scale_color_x150_n6:clip=;lpips=;wall= | axis_scale_color_x250_n6:clip=;lpips=;wall= | axis_scale_geometry_x125_n6:clip=;lpips=;wall= | axis_scale_specgeo_x120_n6:clip=;lpips=;wall= | axis_scale_spectrum_x125_n6:clip=;lpips=;wall= | axis_scale_spectrum_x175_n6:clip=;lpips=;wall= | budget_only_safety125_probe120_b80_lr2e4_n6:clip=;lpips=;wall= | budget_only_safety125_smoke_b80_n6:clip=;lpips=;wall= | budget_only_safety125_smoke_b80_smoke1:clip=;lpips=;wall= | color_channel_operator_120b_b80_n6:clip=;lpips=;wall= | color_channel_operator_realism4_120b_b80_n6:clip=;lpips=;wall= | edit_eff_base_spectral_e2_n6:clip=;lpips=;wall= | edit_eff_base_spectral_e2_n6_hf1:clip=;lpips=;wall= | edit_eff_centroid_e1_n6:clip=;lpips=;wall= | edit_eff_centroid_e1_n6_hf1:clip=;lpips=;wall= | field_budget_release_release_s100_n6:clip=;lpips=;wall= | field_budget_release_release_s150_n6:clip=;lpips=;wall= | fieldbound_budget_safety125_ckpt_n6:clip=;lpips=;wall= | fieldbound_restored_n6:clip=;lpips=;wall= | high_channel_operator_120b_b80_n6:clip=;lpips=;wall= | integral_grid_base_e2_steps2_s075_n6:clip=;lpips=;wall= | integral_grid_base_e2_steps4_s075_n6:clip=;lpips=;wall= | local_patch_org_content_relative_release_120b_b80_n6:clip=;lpips=;wall= | local_patch_org_content_relative_release_20b_b80_n6:clip=;lpips=;wall= | local_patch_org_expr_only_safety125_n6:clip=;lpips=;wall= | local_patch_org_geometry_filter_g003_120b_b48_n6:clip=;lpips=;wall= | local_patch_org_relative_spatial_rank4_120b_b80_n6:clip=;lpips=;wall= | local_patch_org_spatial_gate_rank4_g010_q070_120b_b48_n6:clip=;lpips=;wall= | local_patch_org_x1_safety125_n6:clip=;lpips=;wall= | local_patch_org_x2_safety125_n6:clip=;lpips=;wall= | local_patch_org_x5_safety125_n6:clip=;lpips=;wall= | metric_budget_decoder_safety125_probe120_b80_n6:clip=;lpips=;wall= | pair_content_spatial_head_c120_g050_b020_120b_b80_n6:clip=0.785;lpips=0.354;wall= | pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80_n6:clip=0.785;lpips=0.354;wall= | pairrel_c090_g100_b040_from_spatial_gate_n6:clip=0.772;lpips=0.384;wall= | pairrel_c120_g050_b020_from_spatial_gate_n6:clip=0.785;lpips=0.354;wall= | pairrel_c120_g050_b020_spgain013_from_spatial_gate_n6:clip=0.784;lpips=0.354;wall= | pairrel_signed_spatial_head_c120_g050_b020_120b_b80_n6:clip=0.785;lpips=0.354;wall= | pairrel_signed_spatial_head_geomstat_w005_120b_b80_n6:clip=0.784;lpips=0.354;wall= | pairrel_signed_spatial_head_geomstat_w020_120b_b80_n6:clip=0.785;lpips=0.354;wall= | spatial_gate_channel_tokonly_n6:clip=;lpips=;wall= | spatial_gate_rank4_sameeval_n6:clip=0.785;lpips=0.359;wall= | true_integrate_base_e2_steps4_s100_n6:clip=;lpips=;wall= | true_integrate_base_e2_steps4_s125_n6:clip=;lpips=;wall= | true_integrate_base_e2_steps4_s150_n6:clip=;lpips=;wall= | true_integrate_centroid_gain_e1_n6:clip=;lpips=;wall= | true_integrate_delta_highgain15_n6:clip=;lpips=;wall= | true_integrate_delta_low13_high08_n6:clip=;lpips=;wall= | true_integrate_delta_lowgain15_n6:clip=;lpips=;wall= | true_integrate_probe_gain4_n6:clip=;lpips=;wall= | true_integrate_relative_margin005_e1_steps4_s100_n6:clip=;lpips=;wall= | true_integrate_stylepush_tsw40_kin025_e1_n6:clip=;lpips=;wall=","aaai_submission\figures\captions.json;aaai_submission\final\paper.tex;aaai_submission\paper_aaai2026.tex;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-aaai2027-paper-update-plan.md;docs\experiments\2026-06-03-exploratory-image-prune.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\maths\04_tokenizer_lancet_representation.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md;docs\references\intro_related_claim_audit_20260603.md;docs\repro_report_zh\03_�����븴���嵥.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_scorecard_20260602_r2.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diffeomorphic_tangent_head_sweep","0.020","0","0.000","2","0","0","0","0","False","0","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","","docs\experiments\2026-05-20-256-diffeomorphic-tangent-progress.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","30.089","2","30.089","0","0","0","0","0","False","0","review_ckpt_candidate_no_summary","none in this pass","uncited weight directory but no summary.json found; checkpoint may be the only model artifact, so do not delete before deeper manual owner review","release_s100.pt;release_s150.pt","","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_scale_probe","150.685","0","0.000","0","0","0","0","4","False","0","no_checkpoint_delete","none","no .pt/.ckpt/.pth files found; if space cleanup is desired this needs a generated-image/archive policy, not ckpt cleanup","","baseline_n3:clip=;lpips=;wall= | color140_n3:clip=;lpips=;wall= | geometry130_n3:clip=;lpips=;wall= | spectrum130_n3:clip=;lpips=;wall=","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
