"path","scan_scope","file_count","weight_count","weight_mb","category","dataset_or_setting","evidence_value","cleanup_decision","note"
"SchrodingerBridge/exp/memory_residual_backbone_probe","topdir_recursive","9","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Memory residual backbone probe; no weights."
"SchrodingerBridge/exp/orth12","topdir_recursive","152","0","0","phase_space_sweep","legacy strict750","medium","keep/archive later","Orthogonal 12 family evidence; no weights."
"SchrodingerBridge/exp/paper","topdir_recursive","6750","0","0","paper_bundle","strict750/WikiArt","high","keep","Paper main 750 bundle outputs; no weights."
"SchrodingerBridge/exp/pareto_probe_4","topdir_recursive","298","0","0","pareto_probe","legacy strict750","medium","keep","Pareto probe full_eval evidence; no weights."
"SchrodingerBridge/exp/phase1_diagnostic_probes","topdir_recursive","44","0","0","diagnostic_configs","legacy","medium","keep","Phase1 diagnostic manifest/configs; no weights."
"SchrodingerBridge/exp/physical_loss_tree","topdir_recursive","2","0","0","analysis","legacy","medium","keep","Physical loss tree CSV/ledger only."
"SchrodingerBridge/exp/probes_20260601","topdir_recursive","11","0","0","probe","WikiArt512","medium","keep/freeze","Local hist e8 tokenizer probes; no weights."
"SchrodingerBridge/exp/reference_memory_generation_probe_full","topdir_recursive","5","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Reference memory generation results; no weights."
"SchrodingerBridge/exp/remote_factorized_tokenizer_pull","topdir_recursive","3","0","0","remote_pull_summary","WikiArt/tokenizer","medium","keep","Remote factorized tokenizer pulled summaries; no weights."
"SchrodingerBridge/exp/review_additional_experiments","topdir_recursive","329","0","0","review_sweeps","legacy strict750","medium","keep/archive later","Review lambda/additional experiments; no weights."
"SchrodingerBridge/exp/router_aware_backbone_probe","topdir_recursive","4","0","0","router_probe","legacy/WikiArt","medium","keep/freeze","Router-aware backbone results; no weights."
"SchrodingerBridge/exp/runs","topdir_recursive","380","0","0","legacy_runs","legacy","medium","archive policy","Old run families and outputs; no weights."
"SchrodingerBridge/exp/scripts","topdir_recursive","19","0","0","tooling","mixed","low","keep","Archived scripts/bats, not experiment payload."
"SchrodingerBridge/exp/seedream_distill_adapter","topdir_recursive","0","0","0","seedream_probe","Seedream/API","low","deleted empty directory tree","Deleted in empty-directory cleanup; recursive file count was 0 and git tracked count was 0."
"SchrodingerBridge/exp/style_embedding_mainline_calibration","topdir_recursive","0","0","0","calibration","legacy/WikiArt","low","deleted empty directory tree","Deleted in empty-directory cleanup; recursive file count was 0 and git tracked count was 0."
"SchrodingerBridge/exp/style_memory_bank_adapter_probe","topdir_recursive","10","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Style memory adapter probe summaries; no weights."
"SchrodingerBridge/exp/style_memory_bank_adapter_route_probe","topdir_recursive","7","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Style memory route probe summaries; no weights."
"SchrodingerBridge/exp/style_memory_bank_probe","topdir_recursive","5","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Style memory bank probe summaries; no weights."
"SchrodingerBridge/exp/style_memory_typed_adapter_probe","topdir_recursive","5","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Typed style memory adapter probe summaries; no weights."
"SchrodingerBridge/exp/style_representation_actuator_probe","topdir_recursive","231","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Actuator/style representation probe evidence; no weights."
"SchrodingerBridge/exp/style_representation_adapter_probe","topdir_recursive","8","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Adapter probe variants; no weights."
"SchrodingerBridge/exp/style_representation_delta_band_gate_probe","topdir_recursive","95","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Delta band gate probe; no weights."
"SchrodingerBridge/exp/style_representation_early_cotrain_probe","topdir_recursive","161","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Early cotrain endpoint sensitivity evidence; no weights."
"SchrodingerBridge/exp/style_representation_edge_flatness_probe","topdir_recursive","81","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Edge flatness probe; no weights."
"SchrodingerBridge/exp/style_representation_fill_contour_probe","topdir_recursive","116","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Fill/contour probe; no weights."
"SchrodingerBridge/exp/style_representation_formation_probe","topdir_recursive","102","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Formation probe local smoke outputs; no weights."
"SchrodingerBridge/exp/style_representation_lowpass_allocator_probe","topdir_recursive","166","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Lowpass allocator probe; no weights."
"SchrodingerBridge/exp/style_representation_lowpass_basis_probe","topdir_recursive","170","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Lowpass basis probe; no weights."
"SchrodingerBridge/exp/style_representation_lowpass_gate_probe","topdir_recursive","83","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Lowpass learned gate probe; no weights."
"SchrodingerBridge/exp/style_representation_lowpass_support_probe","topdir_recursive","166","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Lowpass support probe; no weights."
"SchrodingerBridge/exp/style_representation_narrow_consumer_probe","topdir_recursive","150","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Narrow consumer probe; no weights."
"SchrodingerBridge/exp/style_representation_probe","topdir_recursive","266","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Original style representation probe family; no weights."
"SchrodingerBridge/exp/style_representation_residual_probe","topdir_recursive","281","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Residual atom probe; no weights."
"SchrodingerBridge/exp/style_representation_residual_scale_gate_probe","topdir_recursive","72","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Residual scale gate probe; no weights."
"SchrodingerBridge/exp/style_representation_residual_scale_sweep","topdir_recursive","50","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Residual scale sweep; no weights."
"SchrodingerBridge/exp/style_representation_safe_projection_probe","topdir_recursive","12","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Safe projection probe; no weights."
"SchrodingerBridge/exp/style_representation_spatial_vocab_probe","topdir_recursive","159","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Spatial vocab probe; no weights."
"SchrodingerBridge/exp/style_representation_structural_probe","topdir_recursive","428","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Structural representation probe and paper assets; no weights."
"SchrodingerBridge/exp/style_representation_style_aware_router_probe","topdir_recursive","10","0","0","style_representation_probe","WikiArt/Distinct5","medium","keep/freeze","Style-aware router probe; no weights."
"SchrodingerBridge/exp/style_tokenizer_projector_refit","topdir_recursive","4","0","0","tokenizer_probe","WikiArt/tokenizer","medium","keep","w36 epoch8 projector refit summary; no weights."
"SchrodingerBridge/exp/t01_local_base","topdir_recursive","6","0","0","local_probe","legacy/WikiArt","low","keep/freeze","Logs only; no weights."
"SchrodingerBridge/exp/temp_anneal_proper","topdir_recursive","6","0","0","legacy_config_probe","legacy","low","keep/freeze","Annealing configs only."
"SchrodingerBridge/exp/timing_20260601","topdir_recursive","781","0","0","timing_evidence","WikiArt512-5style","high","keep cited dirs","Timing surface; preserve summaries/logs/metrics, prune images only with citation check."
"SchrodingerBridge/exp/timing_20260602","topdir_recursive","3831","0","0","timing_evidence","WikiArt512-5style","high","keep cited dirs","Timing/from-scratch/generation surface; no weights."
"SchrodingerBridge/exp/tmp_genonly_autonogrid_probe","topdir_recursive","0","0","0","temporary_empty_probe","WikiArt512-5style","low","deleted empty directory tree","Deleted in empty-directory cleanup; recursive file count was 0 and git tracked count was 0."
"SchrodingerBridge/exp/tokenizer_adain_gate_calibration","topdir_recursive","14","0","0","tokenizer_calibration","legacy/WikiArt","medium","keep/freeze","AdaIN gate calibration summaries; no weights."
"SchrodingerBridge/exp/tokenizer_adain_texture_gate_calibration_rerun","topdir_recursive","4","0","0","tokenizer_calibration","legacy/WikiArt","medium","keep/freeze","Texture gate rerun; no weights."
"SchrodingerBridge/exp/tokenizer_bandgate_calibration","topdir_recursive","3","0","0","tokenizer_calibration","legacy/WikiArt","medium","keep/freeze","Bandgate calibration summaries; no weights."
"SchrodingerBridge/exp/tokenizer_prototype_carrier_calibration","topdir_recursive","4","0","0","tokenizer_calibration","legacy/WikiArt","medium","keep/freeze","Prototype carrier calibration; no weights."
"SchrodingerBridge/exp/tokenizer_stat_reader_probe","topdir_recursive","12","0","0","tokenizer_probe","legacy/WikiArt","medium","keep/freeze","Stat reader probe; no weights."
"SchrodingerBridge/exp/tokenizer_stat_vocab_probe","topdir_recursive","10","0","0","tokenizer_probe","legacy/WikiArt","medium","keep/freeze","Stat vocab probe; no weights."
"SchrodingerBridge/exp/tokenizer_texton_carrier_calibration","topdir_recursive","4","0","0","tokenizer_calibration","legacy/WikiArt","medium","keep/freeze","Texton carrier calibration; no weights."
"SchrodingerBridge/exp/typed_memory_backbone_probe","topdir_recursive","9","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Typed memory backbone probe; no weights."
"SchrodingerBridge/exp/typed_uniform_memory_backbone_probe","topdir_recursive","9","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Typed uniform memory backbone probe; no weights."
"SchrodingerBridge/exp/vae_backend","topdir_recursive","0","0","0","vae_backend_probe","legacy/WikiArt","low","deleted empty directory tree","Deleted in empty-directory cleanup; recursive file count was 0 and git tracked count was 0."
"SchrodingerBridge/exp/vae_backend_256_mse_controls","topdir_recursive","1","0","0","vae_backend_probe","legacy/WikiArt","medium","keep","VAE backend MSE control CSV; no weights."
"SchrodingerBridge/exp/vae_backend_256_probe","topdir_recursive","25","0","0","vae_backend_probe","legacy/WikiArt","medium","keep","VAE backend 256 probe summaries; no weights."
"SchrodingerBridge/exp/vae_backend_256_status","topdir_recursive","3","0","0","vae_backend_status","legacy/WikiArt","low","keep","Heartbeat/status files; no weights."
"SchrodingerBridge/exp/video","topdir_recursive","1","1","102.936","metric_dependency","video/art styles","dependency","keep","Contains ArtFID/Inception metric dependency under video_compare; not train ckpt."
"SchrodingerBridge/exp/weight_sweep_40","topdir_recursive","972","0","0","weight_sweep","legacy strict750","medium","keep/archive later","K1/K2 weight sweep summaries/configs/evals; no weights."
"SchrodingerBridge/exp/wikiart_512_encode_logs","topdir_recursive","4","0","0","wikiart_transfer_logs","WikiArt512-5style","low","keep","Encode logs only; no weights."
"SchrodingerBridge/exp/wikiart_512_transfer_logs","topdir_recursive","2","0","0","wikiart_transfer_logs","WikiArt512-5style","low","keep","Transfer scp logs only; no weights."
"SchrodingerBridge/exp/ablation_log.md","topdir_file","1","0","0","top_level_file","SchrodingerBridge exp","medium","keep","Top-level ablation log file."
"SchrodingerBridge/exp/archive_manifest.json","topdir_file","1","0","0","top_level_file","SchrodingerBridge exp","medium","keep","Top-level archive manifest."
"SchrodingerBridge/exp/wikiart512_epoch8_diag_summary.json","topdir_file","1","0","0","top_level_file","WikiArt512-5style","medium","keep","Top-level WikiArt512 epoch8 diagnostic summary."
"SchrodingerBridge/exp/wikiart512_epoch8_grid_first_per_class.png","topdir_file","1","0","0","top_level_file","WikiArt512-5style","medium","keep","Top-level diagnostic image, not cleanup target in this pass."
