"policy_action","exp_dir","resolved_scope","remote_path","media_count","media_mb","summary_like_count","csv_count","weight_count","docs_hit_count","paper_hit_count","manual_open_status","archive_migration_policy","delete_decision","note"
"keep_cited_media","formal_eval_750","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/formal_eval_750","1502","21.727","2","2","0","6","0","opened_remote_exact_dir","keep in place; future archive can preserve summaries, metrics, summary grids, and selected images under a formal_eval_750 manifest","keep_no_delete","Opened exact dir: 2 summary-like JSON, 2 CSV, 1502 media."
"keep_cited_media","legacy","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/legacy","19","34.226","22","44","0","39","1","opened_remote_exact_dir","keep in place; legacy media has paper/doc hits and should only move with citation-preserving manifest","keep_no_delete","Opened exact dir: 22 summary-like JSON, 44 CSV, 19 media, 1 paper hit."
"keep_cited_media","orth12","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/orth12","30","78.447","34","45","0","3","0","opened_remote_exact_dir","keep in place; archive migration needs summary-grid and full_eval mapping by run","keep_no_delete","Opened exact dir: 34 summary-like JSON, 45 CSV, 30 media."
"keep_cited_media","pareto_probe_4","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/pareto_probe_4","80","208.919","84","94","0","4","0","opened_remote_exact_dir","keep in place; probe grids are cited evidence and need manifest before migration","keep_no_delete","Opened exact dir: 84 summary-like JSON, 94 CSV, 80 media."
"keep_cited_media","runs","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/runs","23","60.356","24","67","0","52","2","opened_remote_exact_dir","keep in place; high citation count and paper hits require citation-preserving archive before movement","keep_no_delete","Opened exact dir: 24 summary-like JSON, 67 CSV, 23 media, 2 paper hits."
"keep_cited_media","split_axis_geometry_derivgate_fieldbound_g005_120b","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/split_axis_geometry_derivgate_fieldbound_g005_120b","151","73.656","1","2","1","1","0","opened_remote_exact_dir","keep in place; quick_eval generated media and one checkpoint are linked to cited evidence","keep_no_delete","Opened exact dir: quick_eval summary, 151 media, 1 weight."
"keep_cited_media","tokenizer_t01_additive_base","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_additive_base","2253","38.178","3","4","8","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 8 weights, 2253 media."
"keep_cited_media","tokenizer_t01_big_tokonly_from_backbone_e16","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_big_tokonly_from_backbone_e16","2253","37.575","3","4","12","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 12 weights, 2253 media."
"keep_cited_media","tokenizer_t01_carrier_base_b176","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_carrier_base_b176","2253","36.817","3","4","8","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 8 weights, 2253 media."
"keep_cited_media","tokenizer_t01_carrier_base_b176_e16","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_carrier_base_b176_e16","2253","39.473","3","4","16","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 16 weights, 2253 media."
"keep_cited_media","tokenizer_t01_concept_atoms_tokonly_from_backbone_e16","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_concept_atoms_tokonly_from_backbone_e16","2253","37.554","3","4","24","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 24 weights, 2253 media."
"keep_cited_media","tokenizer_t01_factorized_backbone_e16","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_factorized_backbone_e16","751","12.935","1","3","4","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 1 summary, 3 CSV, 4 weights, 751 media."
"keep_cited_media","tokenizer_t01_factorized_base","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_factorized_base","2253","36.943","3","4","8","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 3 summaries, 4 CSV, 8 weights, 2253 media."
"keep_cited_media","tokenizer_t01_factorized_tokonly_e12","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_factorized_tokonly_e12","751","12.281","1","2","4","1","0","opened_remote_exact_dir","keep in place; tokenizer_t01 historical packet needs owner archive decision before media movement","keep_no_delete","Opened exact dir: 1 summary, 2 CSV, 4 weights, 751 media."
"keep_cited_media","wikiart512_ema_lowcell_weighted_from_0790_e1_b48","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/wikiart512_ema_lowcell_weighted_from_0790_e1_b48","151","4.177","1","2","1","1","0","opened_remote_exact_dir","keep in place; cited WikiArt quick-eval media needs manifest before archive movement","keep_no_delete","Opened exact dir: eval_quick_n6 summary, 151 media, 1 weight."
"keep_cited_media","wikiart512_ema_spectral_stat_full_adapt_e2_b48","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/wikiart512_ema_spectral_stat_full_adapt_e2_b48","3608","1759.842","8","9","8","1","0","opened_remote_exact_dir","keep in place; large cited WikiArt media surface needs curated archive and representative set before any movement","keep_no_delete","Opened exact dir: 8 summary-like JSON, 9 CSV, 8 weights, 3608 media."
