scope,location,path,period_start,period_end,category,dataset_or_setting,method_family,evidence_opened,key_findings,weight_state,cleanup_decision,next_action,note
local,G,Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822,2026-06-05,2026-06-05,calibration_cleaned,Distinct5-512,SaMAM,"train.log; gpu_samples.csv; cleanup ledger","17-step local calibration WALL_SECONDS=143.70; model params 32.7M.","3 local ckpts deleted in prior pass","cleaned","none","Retain logs/gpu samples."
local,G,Cycle-NCE,2026-02-27,2026-05-29,historical_evidence_area,legacy 5-style,Cycle-NCE/LANCET prototypes,"summary/summary_aggregate.csv; ARCHAEOLOGY docs; weight_exp4 logs/full_eval; eval_cache listing","Local remaining .pt files are eval_cache ref_feats only; weight_exp4 has training logs/full_eval but no local checkpoint weights.","3 eval-cache .pt files","keep","none","Corrected from earlier mixed classification."
local,G,final_works,2026-03-25,2026-05-27,historical_metric_table,legacy256_overfit50,CUT/SaMST/StarGAN/SDEdit/LANCET,"final_works_metrics.csv; overfit50 fair partial CSV; trial_0044 logs","Historical metric tables and partial epoch timing; no authoritative modern timing row except representative epoch examples.","no weights opened/found in surface","keep","none","Evidence surface only."
local,G,lambda_grid,2026-05-27,2026-05-27,placeholder_sweep,early SchrodingerBridge,LANCET/LBM,"status.csv; directory listing","status elapsed fields are 0.000/0.001 launcher placeholders; referenced run/checkpoint dirs are missing locally.","no weights","keep index only","do not use as timing","Not real train/infer timing."
local,G,step_count_sweep,2026-05-27,2026-05-27,placeholder_sweep,early SchrodingerBridge,LANCET/LBM,"status.csv; directory listing","step sweep references S-add checkpoint but local output dirs are missing; elapsed fields are placeholders.","no weights","keep index only","do not use as timing","Not real train/infer timing."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8,2026-06-03,2026-06-05,current_mainline_ablation,Distinct5-512,LANCET/LBM K-longer,"directory listing; logs/training_20260603_233745.csv; full_eval_artfid/epoch_0008/summary.json","8 retained epoch weights; train cumulative 8.7826 min in timing CSV; eval wall_total 105.1828s.","8 epoch weights","keep","none","Current audit/mainline comparison surface."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8,2026-06-03,2026-06-03,current_mainline_ablation,Distinct5-512,LANCET/LBM F-longer,"directory listing; logs/training_20260603_223721.csv; full_eval/epoch_0008/summary.json","8 retained epoch weights; train cumulative 9.1058 min; eval wall_total 136.3843s.","8 epoch weights","keep","none","Longer F evidence retained."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM baseline direct atom,"directory listing; logs/training_20260602_043649.csv; full_eval/epoch_0008/summary.json","Full 8-epoch B44 baseline ablation. B40/B48 siblings were opened and are header-only starts with no full_eval summaries.","8 epoch weights","keep","none","Timing added to manual_timing_evidence; not current compact manuscript anchor."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM A,"directory listing; logs/training_20260602_050656.csv; full_eval/epoch_0008/summary.json","Full 8-epoch class-prototype ablation with retained summaries and weights.","8 epoch weights","keep","none","Timing added as audit evidence."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM B,"directory listing; logs/training_20260602_054854.csv; full_eval/epoch_0008/summary.json","Full 8-epoch global-VQ ablation with retained summaries and weights.","8 epoch weights","keep","none","Timing added as audit evidence."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM C,"directory listing; logs/training_20260602_062216.csv; full_eval/epoch_0008/summary.json","Full 8-epoch content-guided spatial ablation with retained summaries and weights.","8 epoch weights","keep","none","Timing added as audit evidence."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM D,"directory listing; logs/training_20260602_065945.csv; full_eval/epoch_0008/summary.json","Full 8-epoch VQ content-guided ablation with retained summaries and weights.","8 epoch weights","keep","none","Timing added as audit evidence."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote,2026-06-02,2026-06-02,closed_phase1_ablation,Distinct5-512,LANCET/LBM E,"directory listing; two training CSVs; full_eval/epoch_0008/summary.json","Full 8-epoch latent-prototype OT queue ablation. Training spans epochs 1-7 plus a one-row epoch-8 resume log.","8 epoch weights","keep","none","Timing added as audit evidence with both logs summed."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote,2026-06-02,2026-06-02,current_compact_anchor,Distinct5-512,LANCET/LBM K,"directory listing; local synced summary","Remote retains epoch_0001..0003; local summary has K e1 eval timing/metrics.","3 epoch weights","keep","none","Current compact K anchor."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote,2026-06-02,2026-06-02,synced_config_only,Distinct5-512,LANCET/LBM F,"directory listing; local synced summary","Remote compact F directory has config/log/src only; evidence is local synced full_eval and docs inventory.","0 weights","keep evidence","none","No remote ckpt cleanup needed."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_g_stratified_prototype_ot_queue_e3_b44_remote; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_i_dual_target_mix_queue_e3_b44_remote,2026-06-02,2026-06-02,synced_config_only,Distinct5-512,LANCET/LBM G/I,"directory listing; 408-byte training CSVs","G and I compact sibling dirs are config/log/src only after cleanup; no retained weights or full_eval summaries found in remote root.","0 weights","keep evidence only","none","Do not invent timing from header-only CSVs."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote,2026-06-02,2026-06-02,closed_compact_ablation,Distinct5-512,LANCET/LBM J/L/M,"directory listings; per-run training CSVs; full_eval/epoch_0003 summaries","J/L/M each retain 3 epoch weights and closed full_eval summaries. Timing rows added as audit evidence, not promoted above compact F/H/K anchors.","3 epoch weights per arm","keep","none","K e3 is also added to timing as trajectory/audit while K e1 remains compact style anchor."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000,2026-06-03,2026-06-03,path_kinetic_packet,Distinct5-512,LANCET/LBM path kinetic,"directory listings; per-run training CSVs; full_eval/epoch_0003 summaries; path_stability_probe summary/run_summary.csv","Three path-kinetic H-family runs completed 3 epochs with full_eval summaries. Separate path-stability probe records path geometry metrics, not train/infer wall time.","3 epoch weights per arm","keep","none","Timing added to manual_timing_evidence; eval wall_total is full_eval, not pure generation."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_stability_probe_h_base_seed42_b44_e1,2026-06-03,2026-06-03,path_metric_probe,Distinct5-512,LANCET/LBM path stability,"summary.json; run_summary.csv; per_time_stats.csv; fig_velocity_over_time.pdf","Path-stability probe references H_base/H_k025/H_k000 epoch_0001 checkpoints and records 300-sample path geometry metrics.","no weights","keep","none","Useful theory/probe evidence but not a train/infer timing row."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/sadd_repro_38f_8ep_20260528_225252; I:/Github/Latent_Style/SchrodingerBridge/exp/sadd_exact_e3_saddsrc_8ep_20260528_231954,2026-05-28,2026-05-28,legacy_reproduction_gate,legacy256/S-add,LANCET/LBM SADD,"directory listings; training CSVs; full_eval epoch_0007/epoch_0008 summaries","Two historical SADD reproduction dirs retain 8 weights each. sadd_repro_38f has train timing 334.912205s; summary files lack usable wall_total timing.","8 epoch weights per run","keep","none","Do not delete; reproduction/gate evidence."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60,2026-05-09,2026-05-09,cleaned_legacy_sweep,latent-256 5-style,LANCET/LBM,"manual_remote_phase_space_sweep CSV; post-delete verification","13 epoch_0060.pt weights deleted earlier; manifests/configs/logs/src retained.","0 weights","cleaned","none","Training timing retained; no full_eval summary found."
remote,I,I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep,2026-05-09,2026-05-09,cleaned_legacy_sweep,latent-256 5-style,LANCET/LBM,"manual_remote_phase_space_sweep CSV; post-delete verification","3 high-tension weights deleted earlier; config/log/src retained.","0 weights","cleaned","none","Partial/interrupted status preserved in timing CSV notes."
remote,I,I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag,2026-06-01,2026-06-04,current_baseline_anchor,Distinct5-512,SaMAM,"root listing; step_checkpoints listing; segmented.log; eval_curve summary lookup","19 authoritative central step checkpoints retained; duplicate/probe segment ckpts already deleted. step_3000 segmented.log has TRAIN_STEP_3000_WALL_SECONDS=3156.25 and EVAL_STEP_3000_WALL_SECONDS=289.31.","19 central ckpts","keep","locate missing step_2250 summary if needed","Current remote SaMAM authority. step_003000_artfid_reuse summary wall_total 67.58s is metric-reuse summary, not generation wall."
remote,I,I:/Github/Latent_Style/Cycle-NCE,2026-02-23,2026-06-05,historical_area_cleaned,legacy 5-style,Cycle-NCE/LANCET prototypes,"CONFIG_STATUS.md; Experiment_Summary.json; full_eval_summary_complete.csv; experiment_status.json; post-delete weight scan","Deleted 6 historical src .pt payloads after recording; remaining 37 weight-like files are eval/pretrained/cache/venv dependency files.","37 cache/dependency weights","cleaned_nonmainline_ckpts","do not delete caches/deps","Archives/rar/zip retained."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/docs,2026-06-02,2026-06-03,current_index_docs,Distinct5-512 AAAI2027,LANCET/LBM,"aaai2027_master_experiment_log.csv; aaai2027_working_index_20260602.md; timing-artifact-prune.md","Master log marks endpoint/SA-SWD/tokenizer packets required/keep and distinguishes unsafe/inadmissible rows.","docs only","keep","none","This is the canonical remote current-evidence map."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_*_seed42_b44,2026-06-03,2026-06-04,invalidated_audit_packet,Distinct5-512,LANCET/LBM,"master log; per-run logs listing; 6/3 training CSV; full_eval summaries","Flow-loss trio completed but master log invalidates the intended claim because config audit resolved objective_mode=omf and w_flow=0.0.","3 weights per arm retained","keep as audit evidence","do not cite as positive claim","Ignore 2026-06-04 empty rerun CSVs."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_*_seed42_b44,2026-06-03,2026-06-04,reviewed_negative_packet,Distinct5-512,LANCET/LBM,"master log; per-run logs listing; training CSVs; full_eval summaries","Repaired endpoint-metric MSE/Huber/L1 packet completed and reviewed as negative closure, not mainline replacement.","3 weights per arm retained","keep","none","Current AAAI2027 claim-boundary evidence."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_semantic,2026-06-03,2026-06-04,valid_evidence_mislocated_path,Distinct5-512,LANCET/LBM SA-SWD,"literal path listing; training CSV; full_eval summaries","Successful semantic SA-SWD evidence is in root-level exp<special-char> directory. Normal exp/saswd dir only has failed resume log.","3 weights retained","keep","document path anomaly","Path separator char code 61532 displayed as question mark."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_random,2026-06-03,2026-06-04,valid_evidence_runtime_anomaly,Distinct5-512,LANCET/LBM SA-SWD,"literal path listing; training CSV; full_eval summaries","Successful random SA-SWD evidence is runtime-anomalous: train seconds sum 2820.939 for 3 epochs; quality-only evidence per master log.","3 weights retained","keep","document runtime anomaly","Do not use random arm runtime as normal formal-speed evidence."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_*_seed42_b44,2026-06-03,2026-06-03,current_tokenizer_packet,Distinct5-512,LANCET/LBM tokenizer localization,"directory listing; training CSVs; full_eval summaries; master log","Stylebranch and executoronly packets completed with retained checkpoints and full_eval summaries.","3 weights per arm retained","keep","none","Current theory-validation evidence."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/wikiart_distinct5_ema_lancet_spectralstat_*,2026-06-01,2026-06-01,historical_current_bridge,WikiArt/Distinct5 bridge,LANCET/LBM,"weight group listing; logs listing","Large 6/1 chained spectralstat runs contain many retained epoch weights and full_eval dirs. Not deleted because they connect WikiArt tokenizer work to Distinct5 evidence.","many retained epoch weights","keep pending deeper tokenizer pass","manual checkpoint thinning possible later","Needs a separate thinning rule if user wants more space."
remote,I,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_*; exp/wikiart512_ema_*,2026-05-30,2026-06-01,tokenizer_exploration_archive,WikiArt512/tokenizer,LANCET/LBM tokenizer,"weight-group scan; docs working index","Exploratory tokenizer and WikiArt512 runs dominate TokenizerClean disk. They are not paper-mainline but may be lineage evidence.","many retained epoch weights","keep pending dedicated tokenizer cleanup","thin only after selecting canonical retained checkpoints","Do not mass-delete without a tokenizer-lineage pass."
