method,dataset_or_setting,resolution,train_time_value,train_time_unit,infer_time_value,infer_time_unit,params_m,source_path,note
"LANCET/LBM orthogonal g3_gravity_black_hole","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3462.183,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g3_gravity_black_hole/logs/training_20260509_060744.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g4_gravity_vacuum","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3457.994,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g4_gravity_vacuum/logs/training_20260509_070540.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g5_midfreq_strangulation","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3457.612,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g5_midfreq_strangulation/logs/training_20260509_080333.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g6_structure_amnesty","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3457.507,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g6_structure_amnesty/logs/training_20260509_090125.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g7_flesh_stripping","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,1764.245,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g7_flesh_stripping/logs/training_20260509_095916.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g8_absolute_nailgun","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3458.157,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g8_absolute_nailgun/logs/training_20260509_102853.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g9_cryogenic_hard_match","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3459.880,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g9_cryogenic_hard_match/logs/training_20260509_112646.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g10_thermal_soft_collapse","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3464.085,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g10_thermal_soft_collapse/logs/training_20260509_122441.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g11_blind_men_slicing","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3449.075,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g11_blind_men_slicing/logs/training_20260509_132239.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM orthogonal g12_limit_approximation","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,3473.644,s,,,,I:/Github/Latent_Style/SchrodingerBridge/orthogonal_phase_space_sweep_60/g12_limit_approximation/logs/training_20260509_142023.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM high_tension g1_high_tension_base","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,4744.207,s,,,,I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep/g1_high_tension_base/logs/training_20260508_233525.csv,"Manual remote audit. Used the 80-row log, not the adjacent 1-row warm/interrupted log. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM high_tension g2_swd_nuke","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,4845.270,s,,,,I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep/g2_swd_nuke/logs/training_20260509_005445.csv,"Manual remote audit. Sum of per-row wall seconds inferred from third-from-end CSV value because header is shifted. Checkpoint deleted; config/log retained; no full_eval summary."
"LANCET/LBM high_tension g3_kinetic_vise","latent-256 5-style photo/Hayao/monet/vangogh/cezanne",256,2713.465,s,,,,I:/Github/Latent_Style/SchrodingerBridge/high_tension_phase_space_sweep/g3_kinetic_vise/logs/training_20260509_021546.csv,"Manual remote audit. Partial/interrupted 43-row training log; only epoch_0040.pt existed and was deleted. No final full_eval summary."
"LANCET/LBM local ckptsync K step350","Distinct5-512 EMA latents",512,100.500922,s,78.317428,s,,SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/logs/training_20260605_061543.csv; SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/generation_only_step_000350_timed/summary.json,"2-epoch/350-step local WSL calibration. Inference is generation-only wall_total for 750 images with metrics skipped. Three non-mainline weights deleted; config/log/images retained."
"LANCET/LBM WikiArt512 epoch8 generation-only","WikiArt512-5style",512,,,54.80,s,,SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/run_eval_png750_b12_v2_w8_nogrid/summary.json,"External wall 54.80s for 750 PNG outputs; summary internal wall_total is 46.791428548s. Metrics intentionally skipped."
"LANCET/LBM WikiArt512 from-scratch e8","WikiArt512-5style",512,66.56,s,55.16,s,,SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_b32_e8; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_e8_generate750,"From-scratch timing row: 8 epochs/88 steps train wall and generation-only 750 PNG wall. Direct full eval is separately recorded as 106.62s in the source note."
"LANCET/LBM flow-loss MSE e2 invalidated","Distinct5-512 TokenizerClean audit",512,197.864,s,94.714,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_mse_seed42_b44/logs/training_20260603_011339.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_mse_seed42_b44/full_eval/epoch_0002/summary.json,"Audit row only. Master log marks flow-loss trio invalidated by config audit; keep timing for archaeology, not claim support."
"LANCET/LBM flow-loss Huber e2 invalidated","Distinct5-512 TokenizerClean audit",512,198.979,s,95.699,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_huber_seed42_b44/logs/training_20260603_015714.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_huber_seed42_b44/full_eval/epoch_0002/summary.json,"Audit row only. Ignore 2026-06-04 empty rerun CSV. Master log marks this arm non-probing."
"LANCET/LBM flow-loss L1 e2 invalidated","Distinct5-512 TokenizerClean audit",512,198.115,s,95.579,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_l1_seed42_b44/logs/training_20260603_021910.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_l1_seed42_b44/full_eval/epoch_0002/summary.json,"Audit row only. Ignore 2026-06-04 empty rerun CSV. Master log marks this arm non-probing."
"LANCET/LBM endpoint-metric MSE e1","Distinct5-512 TokenizerClean audit",512,292.633,s,96.969,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44/logs/training_20260603_031828.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44/full_eval/epoch_0001/summary.json,"Completed repaired endpoint-metric packet; quality is negative closure per master log. Timing is eval wall_total, not pure generation."
"LANCET/LBM endpoint-metric Huber e1","Distinct5-512 TokenizerClean audit",512,291.682,s,97.276,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/logs/training_20260603_033401.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/full_eval/epoch_0001/summary.json,"Completed repaired endpoint-metric packet. Ignore 2026-06-04 empty rerun CSV."
"LANCET/LBM endpoint-metric L1 e3","Distinct5-512 TokenizerClean audit",512,290.102,s,100.001,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/logs/training_20260603_034931.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/full_eval/epoch_0003/summary.json,"Completed repaired endpoint-metric packet; e3 is best LPIPS point per master log. Timing is eval wall_total."
"LANCET/LBM tokenizer localization stylebranch e2","Distinct5-512 TokenizerClean audit",512,160.100,s,151.641,s,,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/logs/training_20260603_084805.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/full_eval/epoch_0002/summary.json,"AAAI2027 tokenizer-localization L-family packet. Current evidence; checkpoints retained."
"LANCET/LBM tokenizer localization executoronly e3","Distinct5-512 TokenizerClean audit",512,179.850,s,87.606,s,,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/logs/training_20260603_092701.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/full_eval/epoch_0003/summary.json,"AAAI2027 tokenizer-localization L-family executor-only packet. Current evidence; checkpoints retained."
"LANCET/LBM SA-SWD semantic e1","Distinct5-512 TokenizerClean audit",512,198.769,s,96.894,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_semantic/logs/training_20260603_042453.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_semantic/full_eval/epoch_0001/summary.json,"Successful evidence lives in root-level exp<special-char>saswd directory, while normal exp/saswd has failed 2026-06-04 resume logs only."
"LANCET/LBM SA-SWD random e1 runtime-anomalous","Distinct5-512 TokenizerClean audit",512,2820.939,s,99.853,s,6.09,I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_random/logs/training_20260603_043934.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp?saswd_axis_h_base_seed42_b44_saswd_random/full_eval/epoch_0001/summary.json,"Runtime-anomalous quality-only arm. Master log states runtime is inadmissible as normal formal-speed evidence; keep for archaeology."
"LANCET/LBM baseline direct atom residual B44 e8","Distinct5-512 remote phase1 ablation",512,506.223088,s,94.800326,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/logs/training_20260602_043649.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open of B44 full 8-epoch ablation. B40/B48 sibling dirs were header-only starts with no full_eval summaries."
"LANCET/LBM variant A class prototypes e8","Distinct5-512 remote phase1 ablation",512,507.093955,s,95.048373,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/logs/training_20260602_050656.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence not current compact manuscript anchor."
"LANCET/LBM variant B global VQ e8","Distinct5-512 remote phase1 ablation",512,504.975628,s,95.204088,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/logs/training_20260602_054854.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"LANCET/LBM variant C content guided spatial e8","Distinct5-512 remote phase1 ablation",512,512.740225,s,95.091221,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/logs/training_20260602_062216.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"LANCET/LBM variant D VQ content guided e8","Distinct5-512 remote phase1 ablation",512,511.389258,s,95.947257,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/logs/training_20260602_065945.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open. Eight epoch weights and full_eval summaries retained; ablation evidence only."
"LANCET/LBM variant E latent prototype OT queue e8","Distinct5-512 remote phase1 ablation",512,525.351942,s,95.381435,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_073021.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_074357.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/full_eval/epoch_0008/summary.json,"Manual remote open. Training spans two logs: epochs 1-7 plus epoch 8 resume log; sum preserves original seconds."
"LANCET/LBM variant J aux hard SWD e3","Distinct5-512 remote compact ablation",512,200.378971,s,95.374295,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/logs/training_20260602_102114.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/full_eval/epoch_0003/summary.json,"Manual remote open. Three epoch weights retained; ablation evidence only."
"LANCET/LBM variant K content adaptive e3","Distinct5-512 remote compact ablation",512,198.939151,s,95.610863,s,3.91,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/logs/training_20260602_104832.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0003/summary.json,"Manual remote open. E1 is the current compact style anchor; this e3 row is retained as trajectory/audit timing."
"LANCET/LBM variant L content adaptive annealed e3","Distinct5-512 remote compact ablation",512,198.993929,s,95.696412,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/logs/training_20260602_110907.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/full_eval/epoch_0003/summary.json,"Manual remote open. Three epoch weights retained; ablation evidence only."
"LANCET/LBM variant M style gated router e3","Distinct5-512 remote compact ablation",512,199.461370,s,95.980974,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/logs/training_20260602_113035.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/full_eval/epoch_0003/summary.json,"Manual remote open. Three epoch weights retained; ablation evidence only."
"LANCET/LBM path kinetic H base e3","Distinct5-512 remote path kinetic",512,198.706799,s,87.371096,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44/logs/training_20260603_151707.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44/full_eval/epoch_0003/summary.json,"Manual remote open. Path kinetic packet has 3 retained epoch weights and separate path-stability probe summary; eval wall_total is full_eval not pure generation."
"LANCET/LBM path kinetic H k025 e3","Distinct5-512 remote path kinetic",512,199.039002,s,88.408188,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/logs/training_20260603_154105.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/full_eval/epoch_0003/summary.json,"Manual remote open. Path kinetic k025 packet; eval wall_total is full_eval not pure generation."
"LANCET/LBM path kinetic H k000 e3","Distinct5-512 remote path kinetic",512,199.110301,s,88.439775,s,,I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/logs/training_20260603_155235.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/full_eval/epoch_0003/summary.json,"Manual remote open. Path kinetic k000 packet; eval wall_total is full_eval not pure generation."
"LANCET/LBM SADD repro 38f e8","legacy SADD reproduction",256,334.912205,s,,,,I:/Github/Latent_Style/SchrodingerBridge/exp/sadd_repro_38f_8ep_20260528_225252/logs/training_20260528_225502.csv,"Manual remote open. Historical reproduction gate keeps epoch weights and full_eval summaries, but summary lacks usable wall_total timing."
