"source_row","method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","source_open_status","train_source_verified","infer_source_verified","metrics_verified","docs_promotion_decision","claim_use_after_source_open","note"
"51","LANCET/LBM endpoint-metric L1 e3","Distinct5-512 TokenizerClean audit","512","290.10184431076","s","100.00101462700059","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/logs/training_20260603_034931.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=290.10184431076","opened remote summary timings_sec.wall_total=100.00101462700059","analysis all_pairs_overview clip_style=0.6910941313505173 content_lpips=0.35521524370666663","owner_review_before_docs_promotion","current_audit_evidence_pending_owner","Completed repaired endpoint-metric packet. e3 is best LPIPS point per master log; timing is full_eval wall_total."
"52","LANCET/LBM tokenizer localization stylebranch e2","Distinct5-512 TokenizerClean audit","512","160.100493192673","s","151.64121619984508","s","","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/logs/training_20260603_084805.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44/full_eval/epoch_0002/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=160.100493192673","opened remote summary timings_sec.wall_total=151.64121619984508","analysis all_pairs_overview clip_style=0.6905754188696543 content_lpips=0.3195148776666667","owner_review_before_docs_promotion","current_audit_evidence_pending_owner","AAAI2027 tokenizer-localization L-family packet. Current evidence; checkpoints retained."
"53","LANCET/LBM tokenizer localization executoronly e3","Distinct5-512 TokenizerClean audit","512","179.849926233292","s","87.60610380000435","s","","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/logs/training_20260603_092701.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=179.849926233292","opened remote summary timings_sec.wall_total=87.60610380000435","analysis all_pairs_overview clip_style=0.6957186478773753 content_lpips=0.3353660955466667","owner_review_before_docs_promotion","current_audit_evidence_pending_owner","AAAI2027 tokenizer-localization L-family executor-only packet. Current evidence; checkpoints retained."
"54","LANCET/LBM SA-SWD semantic e1","Distinct5-512 TokenizerClean audit","512","198.769279003143","s","96.89431783699911","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp[U+F03C]saswd_axis_h_base_seed42_b44_saswd_semantic/logs/training_20260603_042453.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp[U+F03C]saswd_axis_h_base_seed42_b44_saswd_semantic/full_eval/epoch_0001/summary.json","opened_remote_exact_path_special_dir","opened remote training CSV rows=3 sum(epoch_time_sec)=198.769279003143; exact directory separator char code=61532, rendered as question mark by console","opened remote summary timings_sec.wall_total=96.89431783699911 via directory object path","analysis all_pairs_overview clip_style=0.6963431750933329 content_lpips=0.3313274828266667","owner_review_before_docs_promotion","current_audit_evidence_pending_owner","Successful evidence lives in root-level exp[U+F03C]saswd directory. Normal exp/saswd contains failed 2026-06-04 resume logs only."
"56","LANCET/LBM baseline direct atom residual B44 e8","Distinct5-512 remote phase1 ablation","512","506.223088264465","s","94.8003261089998","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/logs/training_20260602_043649.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened remote training CSV rows=8 sum(epoch_time_sec)=506.223088264465","opened remote summary timings_sec.wall_total=94.8003261089998","analysis all_pairs_overview clip_style=0.687648866891861 content_lpips=0.45274286515999995","retain_archaeology_only_trajectory_ablation","audit_only","B44 full 8-epoch ablation. B40/B48 sibling dirs were header-only starts with no full_eval summaries."
"57","LANCET/LBM variant A class prototypes e8","Distinct5-512 remote phase1 ablation","512","507.093955278397","s","95.04837335200136","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/logs/training_20260602_050656.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_a_class_prototypes_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened remote training CSV rows=8 sum(epoch_time_sec)=507.093955278397","opened remote summary timings_sec.wall_total=95.04837335200136","analysis all_pairs_overview clip_style=0.6849461014270782 content_lpips=0.46229617677333334","retain_archaeology_only_trajectory_ablation","audit_only","Eight epoch weights and full_eval summaries are retained; ablation evidence, not current compact manuscript anchor."
"58","LANCET/LBM variant B global VQ e8","Distinct5-512 remote phase1 ablation","512","504.975627660751","s","95.20408842699908","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/logs/training_20260602_054854.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_b_global_vq_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened remote training CSV rows=8 sum(epoch_time_sec)=504.975627660751","opened remote summary timings_sec.wall_total=95.20408842699908","analysis all_pairs_overview clip_style=0.687321089029312 content_lpips=0.44460011107999997","retain_archaeology_only_trajectory_ablation","audit_only","Eight epoch weights and full_eval summaries are retained; ablation evidence only."
"59","LANCET/LBM variant C content guided spatial e8","Distinct5-512 remote phase1 ablation","512","512.740225315094","s","95.09122094299892","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/logs/training_20260602_062216.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_c_content_guided_spatial_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened remote training CSV rows=8 sum(epoch_time_sec)=512.740225315094","opened remote summary timings_sec.wall_total=95.09122094299892","analysis all_pairs_overview clip_style=0.6890299293200175 content_lpips=0.4450634233866667","retain_archaeology_only_trajectory_ablation","audit_only","Eight epoch weights and full_eval summaries are retained; ablation evidence only."
"60","LANCET/LBM variant D VQ content guided e8","Distinct5-512 remote phase1 ablation","512","511.389257669449","s","95.94725668200044","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/logs/training_20260602_065945.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_d_vq_content_guided_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened remote training CSV rows=8 sum(epoch_time_sec)=511.389257669449","opened remote summary timings_sec.wall_total=95.94725668200044","analysis all_pairs_overview clip_style=0.6891492090622584 content_lpips=0.44326236296","retain_archaeology_only_trajectory_ablation","audit_only","Eight epoch weights and full_eval summaries are retained; ablation evidence only."
"61","LANCET/LBM variant E latent prototype OT queue e8","Distinct5-512 remote phase1 ablation","512","525.351942062378","s","95.38143512199895","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_073021.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/logs/training_20260602_074357.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_e_latent_prototype_ot_queue_b44_remote/full_eval/epoch_0008/summary.json","opened_remote_exact_path","opened two remote training CSVs; combined rows=8 sum(epoch_time_sec)=525.351942062378","opened remote summary timings_sec.wall_total=95.38143512199895","analysis all_pairs_overview clip_style=0.6970923771063486 content_lpips=0.35925581901333337","retain_archaeology_only_trajectory_ablation","audit_only","Training spans two logs: epochs 1-7 plus epoch 8 resume log. Sum preserves original seconds."
"62","LANCET/LBM variant J aux hard SWD e3","Distinct5-512 remote compact ablation","512","200.378971099854","s","95.3742954019981","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/logs/training_20260602_102114.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_j_aux_hard_swd_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=200.378971099854","opened remote summary timings_sec.wall_total=95.3742954019981","analysis all_pairs_overview clip_style=0.6948112870057425 content_lpips=0.34021655054666666","retain_archaeology_only_trajectory_ablation","audit_only","Three epoch weights retained; compact ablation trajectory evidence only."
"63","LANCET/LBM variant K content adaptive e3","Distinct5-512 remote compact ablation","512","198.939151287079","s","95.61086336899825","s","3.91","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/logs/training_20260602_104832.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=198.939151287079","opened remote summary timings_sec.wall_total=95.61086336899825","analysis all_pairs_overview clip_style=0.6985142537355423 content_lpips=0.36818666126666666","retain_archaeology_only_trajectory_ablation","audit_only","E1 is the current compact style anchor; this e3 row is retained as trajectory/audit timing."
"64","LANCET/LBM variant L content adaptive annealed e3","Distinct5-512 remote compact ablation","512","198.993928909302","s","95.69641234200026","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/logs/training_20260602_110907.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_l_content_adaptive_annealed_queue_e3_b44_remote/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=198.993928909302","opened remote summary timings_sec.wall_total=95.69641234200026","analysis all_pairs_overview clip_style=0.6966254591941832 content_lpips=0.36294960470666665","retain_archaeology_only_trajectory_ablation","audit_only","Three epoch weights retained; compact ablation trajectory evidence only."
"65","LANCET/LBM variant M style gated router e3","Distinct5-512 remote compact ablation","512","199.461369514465","s","95.98097363600027","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/logs/training_20260602_113035.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_m_style_gated_content_router_e3_b44_remote/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=199.461369514465","opened remote summary timings_sec.wall_total=95.98097363600027","analysis all_pairs_overview clip_style=0.6957354170878729 content_lpips=0.3458943149066666","retain_archaeology_only_trajectory_ablation","audit_only","Three epoch weights retained; compact ablation trajectory evidence only."
"67","LANCET/LBM path kinetic H k025 e3","Distinct5-512 remote path kinetic","512","199.039002180099","s","88.40818769996986","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/logs/training_20260603_154105.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k025/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=199.039002180099","opened remote summary timings_sec.wall_total=88.40818769996986","analysis all_pairs_overview clip_style=0.6817093665599825 content_lpips=0.46676262926666673","retain_archaeology_only_trajectory_ablation","audit_only","Path kinetic k025 packet. Eval wall_total is full_eval, not pure generation."
"68","LANCET/LBM path kinetic H k000 e3","Distinct5-512 remote path kinetic","512","199.110300779343","s","88.4397754999809","s","","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/logs/training_20260603_155235.csv; I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_h_base_seed42_b44_k000/full_eval/epoch_0003/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=199.110300779343","opened remote summary timings_sec.wall_total=88.4397754999809","analysis all_pairs_overview clip_style=0.6790328614314397 content_lpips=0.5073434180933333","retain_archaeology_only_trajectory_ablation","audit_only","Path kinetic k000 packet. Eval wall_total is full_eval, not pure generation."
