"policy_action","exp_dir","remaining_media_count","remaining_media_mb","remaining_summary_count","remaining_csv_count","weight_count","docs_hit_count","paper_hit_count","reason"
"delete_uncited_summary_backed_media","metric_tokenizer_init","0","0.000","10","10","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","moment_sweep_spectral_full","0","0.000","4","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"keep_cited_media","orth12","30","78.447","30","45","0","3","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","pair_content_spatial_head_c120_g050_b020_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pair_content_spatial_head_c120_g050_b020_120b_b80_smoke_b16_2b","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pair_relative_geometry_release_probe","0","0.000","0","0","3","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pairrel_signed_spatial_head_c120_g050_b020_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pairrel_signed_spatial_head_c120_g050_b020_120b_b80_smoke_b16_2b","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pairrel_signed_spatial_head_geomstat_w005_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pairrel_signed_spatial_head_geomstat_w005_smoke_b16_2b","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","pairrel_signed_spatial_head_geomstat_w020_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","pareto_probe_4","80","208.919","80","94","0","4","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","phase1_diagnostic_probes","0","0.000","0","1","0","1","0","No PNG/JPG/WebP/GIF media files found."
"no_media","physical_loss_tree","0","0.000","0","1","0","2","0","No PNG/JPG/WebP/GIF media files found."
"no_media","representation_probes","0","0.000","43","42","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","review_additional_experiments","0","0.000","78","109","0","8","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","runs","23","60.356","23","67","0","52","2","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","saswd_axis_h_base_seed42_b44_saswd_random","0","0.000","0","0","0","5","0","No PNG/JPG/WebP/GIF media files found."
"no_media","saswd_axis_h_base_seed42_b44_saswd_semantic","0","0.000","0","0","0","5","0","No PNG/JPG/WebP/GIF media files found."
"no_media","scripts","0","0.000","0","0","0","13","2","No PNG/JPG/WebP/GIF media files found."
"no_media","smoke_lowfreq_moment_hfguard_b48","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","spatial_prototype_init","0","0.000","7","7","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","split_axis_color_channel_operator_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","split_axis_color_channel_operator_realism4_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","split_axis_execdecoder_40b_lr2e4","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_execdecoder_bound070_120b_lr2e4","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_execdecoder_bound090_120b_lr2e4","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_execdecoder_fieldbound_c045_s090_g110_120b","0","0.000","2","5","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_execdecoder_tokprobe_e1_b32","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_geometry_derivative_filter_rank4_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"keep_cited_media","split_axis_geometry_derivgate_fieldbound_g005_120b","151","73.656","1","2","1","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"delete_uncited_summary_backed_media","split_axis_geometry_filter_rank4_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_geometry_spatial_rank4_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_geostat_execdecoder_fieldbound_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","split_axis_high_channel_operator_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","split_axis_spatial_gate_channel_tokonly_120b","0","0.000","0","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","split_axis_tokenizer_geomnorm_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_tokenizer_geostat_120b","0","0.000","1","3","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","split_axis_tokenizer_geostat_g005_120b","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","temp_anneal_proper","0","0.000","0","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","tokenizer_control_probes","0","0.000","52","45","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","tokenizer_directional_from_spectral_e120_b16","0","0.000","1","1","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","tokenizer_directional_metric_e300_b16","0","0.000","1","1","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","tokenizer_directional_metric_smoke_b16","0","0.000","1","1","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","tokenizer_directional_metric_smoke_b24","0","0.000","0","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","tokenizer_t01_additive_base","2253","38.178","3","4","8","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"keep_cited_media","tokenizer_t01_big_tokonly_from_backbone_e16","2253","37.575","3","4","12","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","tokenizer_t01_carrier_base_b160","0","0.000","0","1","2","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","tokenizer_t01_carrier_base_b176","2253","36.817","3","4","8","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"keep_cited_media","tokenizer_t01_carrier_base_b176_e16","2253","39.473","3","4","16","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","tokenizer_t01_concept_atoms_batch224_mem_smoke","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","tokenizer_t01_concept_atoms_batch288_mem_smoke","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","tokenizer_t01_concept_atoms_remote_smoke","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","tokenizer_t01_concept_atoms_tokonly_from_backbone_e16","2253","37.554","3","4","24","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","tokenizer_t01_direct_atom_residual_frozen_tok_fresh_lancet_e16","0","0.000","0","1","16","1","0","No PNG/JPG/WebP/GIF media files found."
"no_media","tokenizer_t01_direct_atom_residual_tokonly_from_backbone_e16","0","0.000","0","1","10","1","0","No PNG/JPG/WebP/GIF media files found."
"no_media","tokenizer_t01_direct_atom_residual_warmup_e2_from_backbone_e16","0","0.000","0","1","2","1","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","tokenizer_t01_factorized_backbone_e16","751","12.935","1","3","4","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"keep_cited_media","tokenizer_t01_factorized_base","2253","36.943","3","4","8","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","tokenizer_t01_factorized_smoke_b16","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","tokenizer_t01_factorized_tokonly_e12","751","12.281","1","2","4","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","weight_sweep_40","0","0.000","320","447","0","10","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart_distinct5_ema_lancet_spectralstat_e2_b80","0","0.000","0","1","2","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48","0","0.000","3","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64","0","0.000","3","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48","0","0.000","3","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b56","0","0.000","0","1","1","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_budget_only_safety125_probe120_b80_lr2e4","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_budget_only_safety125_smoke_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_centroid_gain_e1_from_spectral_b48","0","0.000","2","3","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_deltafreq_high05_recover_e2_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_direct_atom_residual_calib_b16","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_direct_atom_residual_calib_b64","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_direct_atom_residual_calib_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48","0","0.000","2","3","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_direct_atom_residual_e8_b48","0","0.000","5","6","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_direct_atom_residual_e8_b56","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_direct_atom_residual_e8_b64","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_lowcell_weighted_from_0790_e1_b160","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","wikiart512_ema_lowcell_weighted_from_0790_e1_b48","151","4.177","1","2","1","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","wikiart512_ema_lowcell_weighted_from_0790_e1_b64","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_lowcell_weighted_from_0790_e1_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_lowfreq_moment_hfguard_tsw12_e1_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_lowfreq_moment_hfguard_tsw8_e1_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_lowspatial_guard_e1_from_spectral_b48","0","0.000","2","3","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_metric_budget_decoder_safety125_probe120_b80","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_metric_profile_budget_decoder_120b_b80","0","0.000","0","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_pair_budget_tokonly_e1_b80","0","0.000","0","1","1","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_pair_budget_tokonly_smoke_b80","0","0.000","0","2","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_pair_content_release_from_0790_e1_b160","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_relative_margin_e1_from_spectral_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_relative_margin005_e1_from_spectral_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_spatial_atom_tokonly_e1_b32","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_spatial_proto_blend025_guard_e1_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_spectral_guard_from_spectral_e2_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"keep_cited_media","wikiart512_ema_spectral_stat_full_adapt_e2_b48","3608","1,759.842","8","9","8","1","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","wikiart512_ema_spectral_stat_full_e2_from_tok_b48","0","0.000","0","1","2","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_spectral_stat_gain4_adapt_e2_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_spectral_stat_tokonly_e4_from_e8_b64","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_spectral_stat_tokonly_smoke_b16","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","wikiart512_ema_spectral_stat_tokonly_smoke_b64","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_styleboost_guard_e4_from_e8_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_tokenbudget_gradfix_tokonly_e1_b16","0","0.000","2","3","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_tokenbudget_tokonly_e1_from_spectral_b48","0","0.000","0","1","1","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","wikiart512_ema_tokenizer_only_e4_from_e8_b48","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_tokenizer_owned_spatial_tokonly_e1_b32","0","0.000","1","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","wikiart512_ema_truegrad_tokenbudget_full_e1_b32","0","0.000","3","6","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","wikiart512_ema_trueint_stylepush_tsw40_kin025_e1_b48","0","0.000","0","1","1","0","0","No PNG/JPG/WebP/GIF media files found."
