src_style,src_image,safe_path
Early_Renaissance,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\f737f5039ae058ce973abee4f89aa742314e0e78.jpg
Early_Renaissance,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\ec4ea4ef57122c8afdaa0c439927c7180bf2e275.jpg
Early_Renaissance,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\b2bea5262d7e1a0901f3e09be65b96f12e9601c9.jpg
Early_Renaissance,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\4fe7e1d665793fc8ea999c4e36cf6f2bb00800a1.jpg
Early_Renaissance,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\be37e96c3fd4d72c41f5d0e46c00ffc6da0f696b.jpg
Early_Renaissance,Early_Renaissance__giovanni-bellini_virgin-and-child-1488.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\1707a0874c994628471cd1bd7404f1020ccf9b96.jpg
Early_Renaissance,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1).jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\54a9f3ccf9607337e7a9a7286b57df1bc99a0ec0.jpg
Early_Renaissance,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\ee7c93f3f2736861afa848427261525557afb271.jpg
Early_Renaissance,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\25f65387d48eae1db2db61e7b0d9b36c1cbbe979.jpg
Early_Renaissance,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\b9483cad6093ca99f080a8adc281aaf2d991ad9e.jpg
Early_Renaissance,Early_Renaissance__piero-della-francesca_portrait-of-a-boy.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\5d3f45d0d9d0c42bc40cdeb158f6625e86e49278.jpg
Early_Renaissance,Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\87027794aeba0319962a6b3fda59e231414ea043.jpg
Early_Renaissance,Early_Renaissance__pisanello_stork-1430.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\e629f86954436a158c701755d11e51db3d25a3b3.jpg
Early_Renaissance,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1).jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\01e6fcee26fd9ad55d1d8132e94b529f548e6978.jpg
Early_Renaissance,Early_Renaissance__sandro-botticelli_trinity(1).jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\ab39a697975b08af3605bbfff5bdd64211ca4f13.jpg
Impressionism,Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\7047ecd850044a6cee0e1e449d1a6c99864218f2.jpg
Impressionism,Impressionism__alfred-sisley_the-banks-of-the-oise-1878.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\a58968af864527ea5c79b7af4aacf89daf047a4e.jpg
Impressionism,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\be0ef9ae9c507a145f9b727e626d12073c6733a4.jpg
Impressionism,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\dff1a889da9e4947c281ba188b483974692c8956.jpg
Impressionism,Impressionism__augustus-john_proven-al-landscape.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\7ef8df2d9b03cf1df9691fd3a58aaddc903f9d2d.jpg
Impressionism,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\e395e05c8f612352bc5034adfab2439acb70e34f.jpg
Impressionism,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\ea71ee82788efb4cd857170f65150b916bac46ff.jpg
Impressionism,Impressionism__childe-hassam_september-moonrise.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\c486e1aa68ae5809e0e39b6817c508f6d463e046.jpg
Impressionism,Impressionism__claude-monet_bordighera-the-house-of-gardener.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\9ea53b5bb4371332161458cd9318427024eed6d1.jpg
Impressionism,Impressionism__claude-monet_palazzo-contarini-2.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\9dc982cff90e2f2dab411fc02964c7341c742a72.jpg
Impressionism,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\87db9cc3bbe98ce3b8f1c6ea7fc8e241b585c3f0.jpg
Impressionism,Impressionism__edgar-degas_ancer-with-red-stockings.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\ea2d16d7809f5361c23eb97d536498dbb6d9fd66.jpg
Impressionism,Impressionism__edgar-degas_study-of-gentile-bellini-1855.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\d98f3215108c3ff49b7213dbfcc7cd21e2b6f2f1.jpg
Impressionism,Impressionism__edouard-manet_tarring-the-boat-1873.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\4cda03b0533ba58a4080496a0539440e69631621.jpg
Impressionism,Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\692125d63829c367f0148709e8d1fa55c38bb212.jpg
Impressionism,Impressionism__eugene-boudin_the-port-ships-at-dock.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\5a39ab63ea79ff613e8a28827d45ac6627cf43d6.jpg
Impressionism,Impressionism__eugene-boudin_trouville-the-fish-market-1884.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\c493c88c4eca0714b65360677e56b058a9b3c61e.jpg
Impressionism,Impressionism__henri-matisse_brittany-also-known-as-boat-1896.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\17d404fad7c639f9f6f62bd93a40ef6abd299237.jpg
Impressionism,Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\93e3ed6932f502c065be43b614437ccd6aa52d74.jpg
Impressionism,Impressionism__john-singer-sargent_lake-in-the-tyrol.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\4cd6e32d442c2b9af2625083c31c580733fe095a.jpg
Impressionism,Impressionism__konstantin-korovin_arctic-ocean-1913.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\f0486170584d634f84ffcbe29f6c5041b4e8ebe1.jpg
Impressionism,Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\2553b5e28d00ddd27f3bcb3391545725251bbb7e.jpg
Impressionism,Impressionism__nicolae-vermont_rotterdam-port-1928.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\6b484aa8e5cfc92a558c6158b301d6d2c48efbf4.jpg
Impressionism,Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\2e6c865fe9cf8a8c87875fdc6ad8ed8257f72323.jpg
Impressionism,Impressionism__pierre-auguste-renoir_still-life-with-apples-and-pomegranates-1901.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\b81039f9a52c2a5c33b8678fa15486885f6d14db.jpg
Impressionism,Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\a7042260aa20aeb8eb0ce1ff1e8bdfe788f7616f.jpg
Impressionism,Impressionism__stefan-dimitrescu_cabaret.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\30196341a0945d50591de9b3ef9629bd345cfedf.jpg
Impressionism,Impressionism__william-merritt-chase_at-the-boat-landing.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\e37ad7094c60e6467d7266b1e62ecd6ad058f098.jpg
Impressionism,Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\50fc5cf609a0f3065a64c8c66b08e218918c3894.jpg
Impressionism,Impressionism__winston-churchill_distant-view-of-the-pyramids-1921-1(1).jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Impressionism\5ca17e660aa20f2c7c86c39c8b9dcf4fa419e315.jpg
Minimalism,Minimalism__agnes-martin_happy-valley-1967.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\4efaea87068884459be84a2099cf736a53d848fc.jpg
Minimalism,Minimalism__alvaro-lapa_criminals-and-their-properties-1974.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\3713d31e19257262d701f49ce082dc2fd6ad682f.jpg
Minimalism,Minimalism__brice-marden_joined-2011.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\355ff20b4cb2da77c733952aea7c72ceb77138e8.jpg
Minimalism,Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\0cdbdced838e40e62f5709b7816c23d0390e3c5a.jpg
Minimalism,Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\d22d6ecc2defe07835510389e5bedf5a6a302da6.jpg
Minimalism,Minimalism__ellsworth-kelly_diagonal-1951.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\890274a0f55fbec8bf8036b43172630112faba91.jpg
Minimalism,Minimalism__eva-hesse_expanded-expansion-1969.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\cb99f72ca59069b3c9fd7904405dbb9823095148.jpg
Minimalism,Minimalism__fernando-lanhas_o39-68-1968.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\e948d7ad6b69c00f78a72a06c74946c82cc085fc.jpg
Minimalism,Minimalism__frank-stella_gezira-from-black-series-ii-1967.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\5733bb6943626e77fd1ec36371e9ae920cad3cab.jpg
Minimalism,Minimalism__imi-knoebel_weiss-und-schwarz-4-2009.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\987d6b7f25b3e71fad6e01e8dd4d2bd3034ba2c7.jpg
Minimalism,Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\f60c7648a5892124fa969f7a0f265933c865e414.jpg
Minimalism,Minimalism__joan-hernandez-pijuan_untitled-120-1999.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\a7d00144b6084a47faae8cf86e62d90fd47bd17d.jpg
Minimalism,Minimalism__john-mclaughlin_number-13-1973.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\28c035ca7e17d10cf88d5a77f827651a5cf7c1d9.jpg
Minimalism,Minimalism__john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\9b26c1181c6650a0ba95fb85c63fbc21131a2b5c.jpg
Minimalism,Minimalism__judy-chicago_morning-fan-1971.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\46f76c88288cdc58be825371f118e207fe465031.jpg
Minimalism,Minimalism__mira-schendel_untitled-1984.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\a110b03efa3095101a4e92a2ebe535cedb6d3e4b.jpg
Minimalism,Minimalism__pino-pinelli_pittura-r-1993.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\87cce76f042380290ad954d10af19c55dcf197d5.jpg
Minimalism,Minimalism__richard-tuttle_relative-to-our-society-1990.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\3e7ee051fe0fe09b0ed82352bd2f79d07f0619bc.jpg
Minimalism,Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\70cd2af4c4514884a4af0a459f0a665e414c3de7.jpg
Minimalism,Minimalism__robert-mangold_untitled-fcpa-1995.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\c364dcaa7571876f321eaee79434177bb9fb27d9.jpg
Minimalism,Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\bfea0826fc2328c2b307736c559826fb6be1759d.jpg
Minimalism,Minimalism__robert-ryman_conversion-2003.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\24b85194910c318567bc610f170e977dd50d69ea.jpg
Minimalism,Minimalism__robert-ryman_surface-veil-1970.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\2b8d7cf3cd3e654aa16064fe19f59ffcdaa4b679.jpg
Minimalism,Minimalism__ronald-davis_zig-zag-times-two-1966.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\50a338b38f3195a57ff084a992fdcaf66bbdaad0.jpg
Minimalism,Minimalism__ruth-vollmer_trimer-monomer-dimer-1965.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\5da39941a1156ca5dd43fdc29fbff9b17bd97eb0.jpg
Minimalism,Minimalism__sean-scully_untitled-1973.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\7610e28b36907efc061426ccc4b7ec9b7369a313.jpg
Minimalism,Minimalism__tony-smith_die-1968.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\5df154b2c7ced9bb7b27bf70e85be28147cffe70.jpg
Minimalism,Minimalism__william-scott_bowl-white-on-grey-1962.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\1b89a2961d576b79db26780f4ae70dc360cfd678.jpg
Minimalism,Minimalism__yves-gaucher_traces-2000.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\ab04a30dca44035e47b0926c73f7a6a627b5ce30.jpg
Minimalism,Minimalism__yves-klein_untitled-yellow-monochrome-1956.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Minimalism\4bd1e501a40801c88dd3e9999e1f5fb2b81034db.jpg
Rococo,Rococo__antoine-pesne_carl-heinrich-graun.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\a4b4b9243bb31c8b22cdb2b48318680ed24dd3a0.jpg
Rococo,Rococo__antoine-watteau_head-of-a-man.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\b32feb9a3c5e50519fda81e23f1b7d5acc9ea716.jpg
Rococo,Rococo__antoine-watteau_the-delicate-musician.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\729107a3e1c8beac317aa2e83bdc5781922d5701.jpg
Rococo,Rococo__benjamin-west_self-portrait-1770.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\60d5c2077bf16815da268d8201001840d1d08507.jpg
Rococo,Rococo__benjamin-west_the-angel-of-the-lord-announcing-the-resurrection-1805.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\ea179b1a4fb3e218c7ec72c89f6badf717e71590.jpg
Rococo,Rococo__bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\d1ac82c25d1abe2a5bdbd8b5ab5451fd1fcb3cef.jpg
Rococo,Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\1bfc6545b39b9557350865e66a08205ad63f2dbb.jpg
Rococo,Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\6a162c2e4b0f378cc01328d77c33dc14ffdf0dc6.jpg
Rococo,Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\ca281faf67a4fba2f02363f721eeebc5115d43f0.jpg
Rococo,Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\6336d4494268d96685a15e0842fbe1c223ccd555.jpg
Rococo,Rococo__dmitry-levitzky_maria-feodorovna.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\973273b7d22946a23175d22ba261408716c00e1f.jpg
Rococo,Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\49c9ae4c1cdc05f327f1f64078fca942ec672b19.jpg
Rococo,Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\f0a5cae4bc574fbd7d45bef220eaf2647f016e0d.jpg
Rococo,Rococo__francois-boucher_portrait-of-madame-boucher-1745.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\1904ac0d0e32eb3045f73bdd490202de8c336fcc.jpg
Rococo,Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\17079f463b142b1015e369fd3c411f6daf7fa9e8.jpg
Rococo,Rococo__giovanni-domenico-tiepolo_the-new-world-1797.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\0516cdb293b40fc3526f580923aa357fc1799a28.jpg
Rococo,Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\1c40dce6e222fe0524248dbfb5ce7ae91044dee1.jpg
Rococo,Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\8ee05f0796042df123d39e6dc611ae0066b7423a.jpg
Rococo,Rococo__joseph-wright_mr-and-mrs-thomas-coltman.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\d10a5c9dcd6d362010b5e9dfc17a51de328b346f.jpg
Rococo,Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\321a1b26786f5ce46075eff93e3d722f215cb902.jpg
Rococo,Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\139c6ce81f174eae2c140802cdfe12a4d95da9ae.jpg
Rococo,Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\b90db91295677485d2fbb13303e82a56e15baf17.jpg
Rococo,Rococo__maurice-quentin-de-la-tour_marie-josephe-of-saxony-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\2f8026666b096de326a6381eaa07988e1f0b1492.jpg
Rococo,Rococo__maurice-quentin-de-la-tour_study-for-portrait-of-mademoiselle-dangeville-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Rococo\f3c3e10fc41d0790b1c4b26fc7c84ba32decce46.jpg
