"path","action","delete_class","size_mb","extension","last_write_time","deleted_at","reason","evidence_files","error"
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e1_atoms_band_gate\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.802699",".pt","2026-05-29 03:40:37","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e1_atoms_band_gate\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.802699",".pt","2026-05-29 03:40:39","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e2_atoms_token_reader\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.830244",".pt","2026-05-29 03:52:17","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e2_atoms_token_reader\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.830244",".pt","2026-05-29 03:52:19","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e2_atoms_token_reader\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.830244",".pt","2026-05-29 03:52:21","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e3_atoms_texton_carrier\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","27.565722",".pt","2026-05-29 03:48:29","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e3_atoms_texton_carrier\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","27.565722",".pt","2026-05-29 03:48:31","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e3_atoms_texton_carrier\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","27.565722",".pt","2026-05-29 03:48:33","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e4_atoms_depthwise_filter\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.805392",".pt","2026-05-29 03:45:37","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e4_atoms_depthwise_filter\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.805392",".pt","2026-05-29 03:45:39","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e4_atoms_depthwise_filter\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.805392",".pt","2026-05-29 03:45:41","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e5_atoms_decoder_feature_operator\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.249303",".pt","2026-05-29 03:44:30","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e5_atoms_decoder_feature_operator\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.249303",".pt","2026-05-29 03:44:32","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e5_atoms_decoder_feature_operator\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.249303",".pt","2026-05-29 03:44:34","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r2_delta_band_gate_train_noop\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620066",".pt","2026-05-29 07:17:49","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r2_delta_band_gate_train_noop\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620066",".pt","2026-05-29 07:17:50","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r2_delta_band_gate_train_noop\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620066",".pt","2026-05-29 07:17:51","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r3_delta_band_gate_train_safe_oracle\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620005",".pt","2026-05-29 07:18:44","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r3_delta_band_gate_train_safe_oracle\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620005",".pt","2026-05-29 07:18:45","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_delta_band_gate_probe\sp_r3_delta_band_gate_train_safe_oracle\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.620005",".pt","2026-05-29 07:18:46","2026-06-05 05:13:56","manual checked style_representation_delta_band_gate_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_delta_band_gate_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o0_m02_early_skip_router\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.345793",".pt","2026-05-29 06:20:48","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o0_m02_early_skip_router\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.345793",".pt","2026-05-29 06:20:50","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o0_m02_early_skip_router\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","22.345793",".pt","2026-05-29 06:20:52","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o1_m02_early_body_route\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.038076",".pt","2026-05-29 06:22:28","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o1_m02_early_body_route\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.038076",".pt","2026-05-29 06:22:30","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o1_m02_early_body_route\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.038076",".pt","2026-05-29 06:22:33","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o2_m02_early_skip_body\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.35602",".pt","2026-05-29 06:26:56","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o2_m02_early_skip_body\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.35602",".pt","2026-05-29 06:26:58","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o2_m02_early_skip_body\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","23.35602",".pt","2026-05-29 06:27:01","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o3_m02_early_hires_style_mod\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","24.938562",".pt","2026-05-29 06:23:41","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o3_m02_early_hires_style_mod\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","24.938562",".pt","2026-05-29 06:23:43","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_early_cotrain_probe\sp_o3_m02_early_hires_style_mod\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","24.938562",".pt","2026-05-29 06:23:46","2026-06-05 05:13:56","manual checked style_representation_early_cotrain_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_early_cotrain_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g0_direct_flat_zero_control\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.629778",".pt","2026-05-29 04:34:33","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g0_direct_flat_zero_control\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.629778",".pt","2026-05-29 04:34:35","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g0_direct_flat_zero_control\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.629778",".pt","2026-05-29 04:34:36","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g1_direct_flat_residual015\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.799836",".pt","2026-05-29 04:31:44","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g1_direct_flat_residual015\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.799836",".pt","2026-05-29 04:31:46","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_edge_flatness_probe\sp_g1_direct_flat_residual015\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.799836",".pt","2026-05-29 04:31:48","2026-06-05 05:13:56","manual checked style_representation_edge_flatness_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_edge_flatness_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h1_m02_lowpass_fill_affine\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.7759",".pt","2026-05-29 04:45:22","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h1_m02_lowpass_fill_affine\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.7759",".pt","2026-05-29 04:45:24","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h1_m02_lowpass_fill_affine\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.7759",".pt","2026-05-29 04:45:25","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h2_residual015_lowpass_fill_affine\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.935149",".pt","2026-05-29 04:46:53","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h2_residual015_lowpass_fill_affine\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.935149",".pt","2026-05-29 04:46:55","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h2_residual015_lowpass_fill_affine\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.935149",".pt","2026-05-29 04:46:57","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h4_residual015_fill_contour_midband\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","21.120772",".pt","2026-05-29 04:48:04","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h4_residual015_fill_contour_midband\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","21.120772",".pt","2026-05-29 04:48:06","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_fill_contour_probe\sp_h4_residual015_fill_contour_midband\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","21.120772",".pt","2026-05-29 04:48:08","2026-06-05 05:13:56","manual checked style_representation_fill_contour_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_fill_contour_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_lowpass_allocator_probe\sp_l0_residual015_lowpass_head_learned_allocator\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.938022",".pt","2026-05-29 05:39:11","2026-06-05 05:13:56","manual checked style_representation_lowpass_allocator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_lowpass_allocator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_lowpass_allocator_probe\sp_l0_residual015_lowpass_head_learned_allocator\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.938022",".pt","2026-05-29 05:39:13","2026-06-05 05:13:56","manual checked style_representation_lowpass_allocator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_lowpass_allocator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_lowpass_allocator_probe\sp_l0_residual015_lowpass_head_learned_allocator\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.938022",".pt","2026-05-29 05:39:15","2026-06-05 05:13:56","manual checked style_representation_lowpass_allocator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_lowpass_allocator_probe summary/log/config files retained",""
