case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e09_style_specificity,DualPathFresh_e09_structure_preservation,DualPathFresh_e09_artifact_control,DualPathFresh_e09_note
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses grid structure and color fidelity. Minimalist intent is obscured by excessive diffusion artifacts.,5,5,5,"Excellent preservation of source structure with clean, crisp edges. Color palette aligns well with minimalist aesthetic. No visible artifacts or distortions.",3,4,3,Structure preserved reasonably well but suffers from slight blurring and color desaturation. Some haloing around edges reduces clarity.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean, bold lines and flat color blocks reflect minimalism well; source structure preserved with no artifacts.",3,3,3,"Some minimalism via soft gradients, but lacks crispness; structure partially retained with mild smearing."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shift and vignette artifact.,5,5,5,Strong Rococo ornamental frame applied cleanly; source content (red ovals) preserved with high fidelity and no visible artifacts.,3,3,2,"Some Rococo color tones present but heavily blurred; structure is distorted and smudged, indicating poor artifact control."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure faintly preserved but obscured by artifacts.",5,5,5,"Clean geometric simplification, strong minimal aesthetic, clear structure retention, no visible artifacts.",3,3,3,Some stylization present but inconsistent; structure partially preserved with mild blurring and color smearing.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style transfer barely visible. Structure preserved but washed out. Heavy artifacts from over-smoothing.",5,5,5,"Excellent match to Early Renaissance fresco style: warm tones, aged texture, chiaroscuro modeling. Structure perfectly preserved. Minimal artifacts.",4,4,4,Good style transfer with appropriate aging and color palette. Slightly less refined than Seedream in texture detail. Minor haloing around figure edges.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Soft, hazy impressionistic blur applied; structure mostly preserved but lacks color richness and brushwork detail of true Impressionism.",5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and faithful preservation of original composition and details.",2,3,2,Overly washed-out and foggy; loses structural clarity and fails to convey Impressionist texture or vibrancy; significant artifacts in background and edges.
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; appears as a blurred, low-contrast version of the source with no stylistic reduction or simplification.",5,5,5,"Perfectly captures minimalism through flat colors, bold outlines, and simplified forms while preserving the subject’s pose and composition without artifacts.",2,3,2,"Similar to LBM — overly soft and hazy, lacking the clean, reduced aesthetic of minimalism; introduces visual noise and loss of detail."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance color and texture; structure preserved but overly blurred.",5,5,5,"Excellent Early Renaissance style: rich colors, soft glazing, atmospheric perspective; structure perfectly preserved; no visible artifacts.",3,4,3,Moderate style application with some Renaissance tones; structure mostly intact; slight smudging and uneven texture in sky/water.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, lacks Renaissance detail; structure is preserved but heavily degraded by blur; no clear stylistic transfer.",5,5,5,Excellent match to Early Renaissance portraiture style; structure perfectly preserved; no visible artifacts.,2,2,1,Extremely blurry and indistinct; structure is lost; severe artifacts; no meaningful style transfer.
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Poor style transfer; appears as a noisy, degraded version of source with no Rococo characteristics. Heavy artifacts and loss of detail.",5,5,5,"Excellent Rococo style application: soft pastels, ornate framing, delicate brushwork. Structure preserved well with minimal artifacts.",3,4,3,"Moderate style transfer with some Rococo elements (pastel tones, framing), but inconsistent application and visible artifacts. Structure mostly preserved."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, accurate structure retention, and no visible artifacts.",3,4,3,Moderate minimalism; structure mostly preserved but some softness and slight color bleeding present.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; appears washed out and lacks ornamental detail. Structure is preserved but colors are muted and unnatural. Heavy artifacts and loss of texture.,5,5,5,"Excellent Rococo style application with ornate gold framing, soft pastel tones, and decorative elements matching the target. Structure is perfectly preserved with no distortion. Clean output with minimal artifacts.",3,4,3,"Moderate Rococo influence with some pastel coloring and framing, but less ornate than Seedream. Structure is well preserved. Some blurring and slight color bleeding present, reducing clarity."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but applies almost no impressionist style; appears nearly identical to source.,5,4,4,Strongest impressionist rendering with visible brushwork and color blending; minor softening of edges but overall excellent style transfer.,3,4,3,Moderate style application with some smudging and halo artifacts around object boundaries; structure mostly preserved but less clean than others.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Completely washed out; no impressionistic texture or color variation. Structure barely preserved due to extreme brightness.,4,5,5,"Best among candidates: retains source structure and two dots, applies subtle warm-toned brushwork reminiscent of Impressionism without over-processing.",2,3,2,Slight textural noise applied but lacks coherent style; structure partially visible but obscured by blur-like artifacts.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,5,3,3,"Strongly applies Impressionist style with vibrant colors and loose brushwork, but distorts source structure (e.g., figure pose, background elements) and introduces artifacts like unnatural reflections.",3,4,4,"Moderately applies Impressionist style with soft blending and color shifts, preserves structure better than Seedream but less than LBM, and shows minor artifacts in texture and lighting."
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; image appears washed out and lacks Rococo ornamentation. Structure is somewhat preserved but heavily blurred. Significant artifacts from over-smoothing.,5,5,5,"Excellent Rococo style transfer with ornate frame, pastel colors, and decorative elements. Source structure is perfectly preserved. No visible artifacts.",3,4,3,"Moderate style transfer; some Rococo color palette and softness applied, but lacks ornamental detail. Structure is well preserved. Some smudging and loss of fine texture."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structural fidelity and minimal artifacts, but very weak Rococo style transfer — appears nearly unstyled.",5,3,3,"Strong Rococo aesthetic with ornate frame and soft palette; structure is somewhat distorted by framing and stylization, minor smudging in background.",3,4,2,"Moderate Rococo influence with pastel tones, but heavy blur and halo artifacts degrade quality; structure mostly preserved but visually muddy."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; impressionistic texture barely visible; structure preserved but overly blurred and low contrast.",5,5,5,Excellent impressionist brushwork and color palette; subject and background structure well preserved; no visible artifacts or distortions.,3,3,2,Some impressionistic blending present but inconsistent; structure partially lost in haze; noticeable smudging and ghosting artifacts.
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed-out; loses neon glow detail and minimalism intent. Structure preserved but style is diluted.,5,5,5,"Excellent minimalism: clean background, sharp neon text, no artifacts. Faithful to both source structure and target style.",3,4,3,Moderate minimalism with slight haze; structure mostly intact but color fidelity and clarity reduced compared to D.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Rococo style; output is a degraded, blurry version of the source with no ornamental detail or stylistic fidelity.",5,5,5,Perfectly applies Rococo style with ornate floral and scrollwork borders while preserving the original yellow canvas structure and color. No artifacts.,1,2,1,"Completely fails to transfer style or preserve structure; output is a noisy, abstract smear with no recognizable content or stylistic elements."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,DualPathFresh_e09,4,3,4,2,Moderate style transfer with visible artifacts and color bleeding; structure mostly preserved but edges are noisy.,4,5,3,Strong structural fidelity and good style match; minor smudging and slight loss of fine detail in figures.,5,4,5,"Excellent Early Renaissance style emulation with clean rendering, minimal artifacts, and well-preserved composition."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly washed out and blurry; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,Clean geometric abstraction with strong minimalism; excellent structure retention and no visible artifacts.,3,2,4,"Soft, dreamy effect with some minimalism but poor structure preservation; low artifacts but too diffuse."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low style transfer; appears as a faded grayscale version of source with minimal Ukiyo-e characteristics. Structure is preserved but lacks artistic stylization.,5,5,5,"Excellent Ukiyo-e style application: bold outlines, flat color blocks, and compositional framing match the reference. Structure is well-preserved with no visible artifacts.",3,3,2,"Partial style transfer with some color washes and line work, but suffers from heavy blurring and ghosting artifacts. Structure is distorted and details are lost."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Faint, washed-out impressionistic washes; structure partially preserved but details blurred; noticeable smudging and loss of edge definition.",4,5,5,Strong impressionist color palette and brushwork applied while preserving architectural and figure structure cleanly; minimal artifacts.,5,4,4,Most convincing impressionist rendering with visible brushstroke texture and atmospheric color; slight softening of fine edges but overall excellent balance.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks definition.",5,5,5,"Excellent minimalism with clean lines, precise structure, and no visible artifacts; best overall output.",3,4,4,Moderate minimalism; structure mostly preserved but slightly soft edges; minor artifacts in background blur.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with clear line art, flat color regions, and traditional composition; structure perfectly preserved; no visible artifacts.",3,4,3,Some stylistic elements present but overly smudged and indistinct; structure mostly intact but lacks crispness; mild artifacts from blending.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Strong minimalism with clean geometry, clear structure retention, and no visible artifacts.",3,3,3,Moderate minimalism attempt; some structural elements retained but hazy and indistinct.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity and artistic intent.",5,5,5,"Strong minimalism achieved through flat colors, geometric simplification, and clean composition while preserving subject structure and avoiding artifacts.",3,4,3,"Moderate stylistic adaptation with some abstraction; structure is mostly intact but suffers from soft blur and low contrast, reducing clarity."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; heavy blur and color wash obscure details. Structure is partially preserved but degraded by artifacts.,5,5,5,Excellent Rococo style integration with ornate frame and soft palette. Source structure perfectly preserved with no visible artifacts.,3,4,3,Moderate Rococo influence with some color shifts and haze. Structure is mostly intact but suffers from smudging and loss of fine detail.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low-contrast output; Ukiyo-e style is barely perceptible. Structure is preserved but lacks definition. Heavy blurring and loss of detail indicate poor artifact control.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color planes, and stylized shading. Structure is perfectly preserved with crisp edges. No visible artifacts; clean and faithful to both source content and target style.",3,4,3,"Moderate Ukiyo-e influence with some stylization, but colors are muted and outlines are soft. Structure is mostly preserved but slightly blurred. Minor smudging and haloing around figures indicate moderate artifact presence."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal impressionistic texture; overly smooth and flat rendering with muted colors. Structure preserved but lacks stylistic depth.,5,5,5,"Strong impressionist brushwork, vibrant color palette, and faithful structural retention. Clean output with no visible artifacts.",3,4,2,Some impressionist texture applied but inconsistent; noticeable blurring and halo artifacts around edges. Structure mostly preserved but degraded by noise.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal Ukiyo-e characteristics. Structure is preserved but lacks stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style application with clear line work, color palette, and texture matching the reference. Structure is well-preserved and no visible artifacts.",3,4,3,Moderate style transfer with some Ukiyo-e elements but overly soft and blurry. Structure is mostly intact but lacks crispness; minor smudging artifacts present.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean lines and reduced detail; source structure fully preserved; no visible artifacts.,3,4,3,Some minimalism achieved but hazy; structure mostly intact; mild artifacts and smudging present.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; heavy blur and loss of detail; structure partially preserved but degraded by artifacts.",5,5,5,"Excellent Early Renaissance style match with accurate color palette, brushwork texture, and compositional fidelity; minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance tones; structure mostly intact but suffers from smudging and color bleeding artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; structure is preserved but overly blurred and lacks detail. Heavy artifacts and poor color fidelity.,5,5,5,Excellent Rococo style transfer with ornate gold frame and soft pastel tones. Structure is perfectly preserved with sharp edges and accurate proportions. No visible artifacts.,3,2,2,"Some Rococo-like softness and color palette, but structure is heavily distorted and blurry. Significant smearing and loss of edge definition."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean geometry and flat colors; source structure well preserved; no visible artifacts.,3,3,2,Some minimalism in background but face and clothing remain painterly; structure partially retained; noticeable smudging and haze.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; retains source aesthetic with minimal Rococo influence. Heavy black borders and color distortion degrade quality.,5,5,5,Excellent Rococo style integration with ornate framing and soft pastel tones. Structure preserved faithfully; no visible artifacts.,3,4,3,Moderate style transfer with some Rococo elements but lacks ornamental detail. Slight blurring and color wash reduce clarity.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Minimal style transfer; mostly preserves source structure with faint Renaissance-like aging but lacks color, texture, or painterly qualities of target.",5,5,5,"Excellent fusion: retains source’s geometric diagram and text layout while applying Early Renaissance portraiture style (skin tones, lighting, brushwork) to the figure. Clean edges, no artifacts.",3,3,2,"Attempts style transfer with sepia washes and faded parchment effect, but introduces heavy vignetting, smudging, and loss of fine text detail. Structure is partially preserved but degraded."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; background remains flat and untextured. Structure preserved but lacks Renaissance architectural cues. Some color bleeding at edges.,5,5,5,"Excellent integration of Early Renaissance elements: arched architecture, column details, and warm chiaroscuro lighting. Source object (red ovals) retains shape and position. Clean boundaries, no visible artifacts.",3,3,2,Style applied too diffusely — background appears washed out and smudged. Structure of source object slightly distorted. Heavy blur and loss of edge definition reduce fidelity.
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and lacks Rococo characteristics. Structure is preserved but overly blurred.,5,5,5,Excellent Rococo style transfer with ornate background and soft lighting. Structure is perfectly preserved with no artifacts.,3,3,2,"Moderate style transfer with some Rococo elements, but structure is distorted and artifacts are visible in the background."
