case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and painterly; loses Renaissance detail and structure.,5,5,5,Excellent Early Renaissance style match with clean structure and minimal artifacts.,4,4,4,Good style and structure but slightly less refined than D in texture and edge control.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred; lacks clear Impressionist brushwork and color vibrancy.,4,5,5,Strong Impressionist palette and soft edges while preserving original composition cleanly.,5,3,4,"Vivid, expressive strokes capture Impressionism well but slightly distort facial structure."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and abstract; loses subject identity and stylistic intent.,5,5,5,Clean vector-like minimalism; preserves composition and removes noise effectively.,3,4,3,Sketchy texture introduces artifacts; structure retained but style is inconsistent.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,SaMST_e15,4,2,2,1,Extremely blurry and washed out; loses both style and structure.,3,5,4,"Clean structure and good color harmony, but lacks strong Ukiyo-e texture/line work.",5,4,5,"Strong Ukiyo-e aesthetic with visible grain, stylized shading, and clean edges; best overall balance."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very faded and indistinct; lacks clear Renaissance stylistic markers and structural clarity.,5,5,5,"Strong Early Renaissance style with accurate architectural perspective, figure composition, and color palette; minimal artifacts.",3,4,3,Moderate style match with some Renaissance elements but overly bright and slightly washed-out; minor structural softness.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic fidelity; appears as noise rather than minimalism.",5,5,5,Clean geometric abstraction with strong compositional integrity; exemplifies minimalism without distortion.,3,3,3,Textured grid pattern introduces visual noise; partially captures minimalism but lacks clarity and control.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMST_e15,SaMST_e15,4,2,2,1,Very blurry and indistinct; minimal Rococo detail or structure retained.,5,4,3,Strong Rococo aesthetic with ornate details and soft colors; some structural distortion but stylistically rich.,4,5,5,Excellent preservation of source structure with subtle Rococo styling; clean output with minimal artifacts.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural detail and style cues.,5,5,5,Excellent Impressionist brushwork while preserving architectural and figure structure cleanly.,4,4,4,Good style and structure but slightly less refined brushwork and minor color artifacts.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic fidelity; minimalism not achieved.",5,5,5,"Clean geometric simplification, preserves composition and figures, strong minimalist aesthetic with no artifacts.",3,3,3,Abstracted into sketch-like lines; partially captures minimalism but loses clarity and introduces noise.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; lacks Impressionist brushwork and color vibrancy.,5,5,5,Strong Impressionist palette and visible brushstrokes; preserves architectural structure cleanly with minimal artifacts.,4,4,3,"Vivid colors and loose strokes suggest Impressionism, but some areas show color bleeding and slight structural distortion."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Very low Ukiyo-e style; structure preserved but overly blurred and washed out.,5,4,5,Strong Ukiyo-e aesthetic with clear composition and minimal artifacts.,3,4,4,Moderate style transfer; retains structure but lacks strong Ukiyo-e characteristics.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and smearing obscure Renaissance details; structure partially preserved but style is diluted.,5,5,5,"Faithfully replicates Early Renaissance architectural framing, figure composition, and color palette with minimal artifacts.",4,4,4,"Good stylistic match and structure retention, but slight color shift and minor edge softening reduce precision."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and indistinct; fails to convey Rococo elegance or structure.,5,5,5,Excellent Rococo styling with clear architectural structure and clean rendering.,4,4,4,"Strong Rococo elements and structure, but slightly less refined than D."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimal Ukiyo-e style, poor structure retention, heavy artifacts.",5,5,5,Strong Ukiyo-e aesthetic with clean lines and flat color; perfectly preserves source structure; no visible artifacts.,4,4,4,Good Ukiyo-e influence and structure preservation; slight color bleeding and minor texture artifacts near edges.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out texture; lacks Renaissance detail and clarity; structure barely discernible.",5,5,5,"Strong Early Renaissance aesthetic with ornate frame, chiaroscuro, and period-appropriate portrait style; structure intact; no artifacts.",4,4,4,Good stylistic match with decorative elements and muted tones; slight over-saturation in purple hues; minor structural softening.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,No discernible style transfer; appears as noise or texture only.,5,5,5,Strong Impressionist brushwork and color palette while preserving source structure cleanly.,4,4,3,Good stylistic match but introduces color bleeding and slight structural distortion.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,Overly abstract; loses all structural and stylistic cues from source.,5,5,5,Clean minimalism with preserved structure and no artifacts.,3,4,4,Minimalist but retains too much detail; slight noise in background.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and indistinct; fails to convey Rococo elegance or structure.,5,5,5,"Excellent Rococo styling with ornate frames, soft pastel tones, and faithful preservation of source composition and detail.",4,4,4,"Strong Rococo aesthetic with detailed frame and portrait, but slightly less refined than D in texture and color harmony."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,No discernible Ukiyo-e style; structure and content are lost in noise.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, flat color, and ornate frame; structure and source layout preserved well.",4,4,4,Good Ukiyo-e style with decorative elements; slight over-saturation and minor artifacts in shading.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Highly abstracted; loses Renaissance structure and style fidelity.,5,5,5,Excellent Early Renaissance style with strong structural and artifact control.,4,4,4,"Good style and structure, but slightly less refined than D."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,SaMST_e15,4,2,3,2,Overly blurred and washed out; loses both style and structure.,3,5,3,Strong structural fidelity but style is more decorative than Impressionist.,5,4,5,"Best balance: clear Impressionist brushwork, retains key structures, minimal artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,4,5,Strong minimalist abstraction with clean geometry and color blocks; preserves source composition while simplifying effectively.,3,3,3,"Textured, sketchy style introduces artifacts; partially captures minimalism but lacks clarity and control."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Heavy blur and loss of detail; Rococo elements are indistinct.,5,5,5,Excellent Rococo styling with clear structure and minimal artifacts.,4,4,4,Strong Rococo style but slightly less refined than D in structure and clarity.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurry and washed out; loses nearly all structural detail and Ukiyo-e stylistic markers.,5,5,5,"Strong Ukiyo-e aesthetic with clear line work, flat color planes, and compositional fidelity to source; minimal artifacts.",4,4,4,"Good Ukiyo-e styling and structure retention, but slightly less crisp than D; minor smudging in background areas."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and indistinct; loses all structural detail and shows minimal impressionistic brushwork.,5,5,5,"Strong impressionistic rendering with visible brushstrokes, vibrant colors, and clear preservation of original composition and figures.",4,4,4,"Good stylistic adaptation with expressive color and form, but slightly less refined brushwork and minor color bleeding compared to D."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,3,Overly blurred and abstract; loses all structural and stylistic fidelity to minimalism.,5,5,5,"Perfectly captures minimalism through flat color blocks, clean lines, and simplified forms while preserving original composition.",3,3,2,Textured overlay introduces noise; partially retains structure but lacks clean minimal aesthetic.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,SaMST_e15,SaMST_e15,SaMST_e15,SaMST_e15,5,2,2,1,Highly abstracted; loses Rococo elegance and structural clarity; heavy blur and noise artifacts.,4,3,3,Captures Rococo softness and pastel tones well; some structural softening and minor haloing around figures.,5,5,5,"Excellent Rococo styling with ornate framing, soft lighting, and faithful preservation of original composition and figure details; minimal artifacts."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style with bold outlines, flat color planes, and decorative patterns; perfectly preserves source structure and composition.",3,4,4,"Retains structure well but applies a muted, painterly style that lacks the crisp linework and vibrant flatness of true Ukiyo-e."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMST_e15,SaMST_e15,Seedream_repaired750,SaMST_e15,4,2,2,1,"Severely blurred and indistinct; loses facial features and crown detail. Style is vague, structure is collapsed, artifacts dominate.",3,5,4,"Excellent structure preservation — crown, beard, and pose match source precisely. Style is moderately Renaissance but lacks texture depth. Minor softness in background.",5,4,5,"Strong Early Renaissance style: rich color palette, chiaroscuro, detailed drapery and crown texture. Structure slightly altered (hat shape, background), but no artifacts. Best overall style transfer."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all facial and crown structure; no clear impressionist brushwork or color application.",5,5,5,"Strong impressionist brushstrokes, vibrant palette, preserves facial features and crown shape with minimal distortion.",4,4,4,"Good impressionist feel with bold colors and visible strokes, but slight oversaturation and minor edge artifacts around crown."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic detail; minimalism not meaningfully applied.",5,5,5,"Clean lines, bold colors, simplified forms — strong minimalism while preserving source structure and no artifacts.",3,2,3,Textured overlay adds noise; partial minimalism but structure obscured and artifacts present.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Highly abstracted; loses subject identity and Rococo ornamentation entirely.,5,5,5,"Faithfully renders Rococo framing, gilding, and soft modeling while preserving facial structure and crown details.",3,4,3,"Retains structure but applies a heavier, more painterly texture that dilutes Rococo delicacy; minor smudging on beard."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,SaMST_e15,4,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct wash with no discernible features or Ukiyo-e characteristics.",3,5,3,"Strongly preserves the original composition and facial structure. Applies a stylized, graphic look with bold outlines and flat color blocks reminiscent of Ukiyo-e, though slightly over-saturated and lacking fine texture detail.",5,4,5,"Excellent Ukiyo-e style transfer with visible woodblock print textures, hatching, and muted palette. Structure is well-preserved with minor softening. Minimal artifacts; cleanest output overall."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses architectural clarity and stylistic detail of Early Renaissance.,5,5,5,"Excellent match to target style with clear architecture, figures, and color palette; minimal artifacts.",4,4,4,Good style transfer but slightly less refined in texture and edge definition compared to D.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred and indistinct; no clear impressionistic brushwork or color palette; structure nearly lost.,5,4,5,Strong impressionistic brushstrokes and warm palette; figures and architecture preserved with minor softening; clean output.,4,3,4,Vibrant colors and stylized forms suggest impressionism but lean toward decorative; some structural distortion in figures; slight color bleeding.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,2,"Panel C is nearly blank, failing to convey minimalism as a stylistic choice rather than absence of content; no structure or style preserved.",5,5,5,Panel D successfully applies minimalism by simplifying forms and reducing detail while preserving the original composition’s structure and narrative clarity.,3,4,3,"Panel E retains structural elements but introduces excessive line work and texture, diluting minimalism; artifacts from over-processing reduce cleanliness."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and muddy; loses both Rococo elegance and structural clarity.,5,5,5,"Excellent Rococo styling with crisp architecture, soft lighting, and no visible artifacts.",4,4,4,Strong Rococo feel but slightly darker tone and minor loss of fine detail in figures.
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses both style and structure.,5,5,5,Excellent Impressionist brushwork while preserving original composition and clarity.,3,4,3,Stylized with bold colors but less faithful to Impressionist texture; some distortion.
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,Cleanly abstracts source into minimalist forms while preserving key compositional elements and color blocks.,3,3,3,Retains some structure but introduces excessive texture and noise; style is ambiguous between minimalism and sketch.
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMST_e15,Seedream_repaired750,4,2,3,2,Overly blurred and muddy; loses Rococo elegance and structural clarity.,5,4,5,"Strong Rococo ornamentation, soft pastel tones, and clean composition with minimal artifacts.",4,5,4,Preserves original structure well but leans more Baroque than Rococo; slight color saturation issues.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and indistinct; fails to convey Ukiyo-e style or preserve source structure.,5,5,5,"Strong Ukiyo-e aesthetic with clear linework, flat color planes, and faithful composition retention.",4,4,4,Good stylistic match but slightly over-textured and less crisp than D; minor structural distortion.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and abstract; loses Renaissance detail and structure.,5,5,5,Excellent Early Renaissance style match with clear structure and minimal artifacts.,4,4,3,Good style and structure but slight color distortion and minor artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; lacks Impressionist brushwork and color vibrancy.,5,5,5,Strong Impressionist palette and soft edges while preserving original composition and details.,3,4,3,Stylized with bold colors but leans more toward expressionism than Impressionism; some structural distortion.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Overly blurred and abstract; loses all structural and stylistic fidelity to source and target.,5,5,5,"Perfectly captures minimalism with clean geometry, flat colors, and preserved composition; no artifacts.",3,3,2,Retains some structure but introduces noise and texture inconsistent with minimalism; moderate style match.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and abstract; loses Rococo elegance and structural clarity.,5,5,5,"Excellent Rococo styling with ornate details, preserved structure, and clean output.",3,4,3,Retains structure but applies a more Baroque than Rococo aesthetic; minor artifacts in texture.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurry and abstract; loses all structural detail and Ukiyo-e characteristics.,5,5,5,"Excellent Ukiyo-e style with clear linework, flat color, and halftone-like shading; perfectly preserves source structure and has no artifacts.",4,4,4,Strong Ukiyo-e style with bold lines and stylized features; minor texture artifacts but overall high fidelity to source structure.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faded and indistinct; lacks clear Renaissance stylistic markers and structural fidelity.,5,5,5,"Strong Early Renaissance style with clear anatomical detail, architectural framing, and minimal artifacts.",4,4,3,Good style and structure but shows slight over-saturation and minor halo artifacts around edges.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style and structure.,4,5,5,Strong Impressionist brushwork while preserving architectural and figure structure cleanly.,5,3,3,"Highly stylized with vivid colors and loose strokes, but introduces color bleeding and structural distortion."
