case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note,DualPath_e01_style_specificity,DualPath_e01_structure_preservation,DualPath_e01_artifact_control,DualPath_e01_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is nearly identical to source with no Renaissance stylistic elements. Structure preserved but lacks artistic rendering. Heavy blurring and loss of detail.,2,3,2,Minimal style transfer; appears as a faded version of source. No clear Early Renaissance characteristics. Structure intact but visually degraded with smudging artifacts.,5,5,5,"Excellent style transfer matching Early Renaissance fresco aesthetics — warm tones, aged texture, classical composition. Structure perfectly preserved. Clean output with no visible artifacts."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses texture and color fidelity of Impressionism; structure is preserved but visually degraded.,2,3,2,Similar to QEdgePattn — soft focus and muted tones reduce stylistic impact; minor artifacts in background blending.,5,5,5,"Excellent capture of Impressionist brushwork, color harmony, and luminosity; structure intact with no visible artifacts."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; output is overly blurred and hazy, losing both style and structural clarity.",2,3,2,"Similar to QEdgePattn — lacks minimalism, introduces foggy artifacts, and preserves structure poorly due to diffusion blur.",5,4,5,"Strongly adheres to minimalism with flat colors, bold outlines, and simplified forms. Structure is well-preserved with clean edges and no visible artifacts."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly soft and blurry; lacks Renaissance texture and detail. Structure is preserved but style is weak and indistinct.,2,3,2,"Similar to QEdgePattn_e01 — muted, painterly but not distinctly Early Renaissance. Slight color shift toward pinkish tones.",5,5,5,"Excellent match to Early Renaissance style: rich color palette, visible brushwork, atmospheric perspective, and faithful structure preservation. Minimal artifacts."
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely blurred; no structure or style preserved. Appears as a smudged orange-pink wash with no discernible content or Renaissance characteristics.,2,1,1,"Nearly identical to QEdgePattn_e01 — extremely blurry, no structural or stylistic fidelity. Fails to transfer either content or target style.",5,5,5,"Excellent preservation of source structure (portrait orientation, head/shoulders layout) and strong Early Renaissance style transfer: soft chiaroscuro, warm palette, classical drapery, and aged paper texture. Minor artifact at top-left corner (yellow triangle) but otherwise clean."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,3,Preserves structure well but fails to apply Rococo style; output resembles aged paper with faint overlay.,2,5,3,"Identical to QEdgePattn_e01; no stylistic transfer achieved, only structural fidelity.",5,4,5,"Successfully applies Rococo aesthetics (pastels, ornate borders, soft gradients) while preserving source composition and minimizing artifacts."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed out and blurry; loses stylistic intent and structural clarity.,2,3,2,"Similar to QEdgePattn — muted, indistinct, and lacks minimalism’s clean aesthetic.",5,5,5,"Clean lines, balanced composition, faithful to minimalism while preserving source structure and detail."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves structure well but lacks Rococo styling; appears nearly identical to source.,2,5,4,"Similar to QEdgePattn_e01; minimal style transfer, mostly structural fidelity.",5,4,5,Strong Rococo style application with ornate framing and pastel tones; minor structural softening but overall excellent.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Excellent structure and artifact control, but minimal impressionistic style transfer; output is nearly identical to source.",3,4,3,Moderate style application with slight blurring; structure mostly preserved but some softening of edges reduces clarity.,5,4,4,Strongest impressionistic style transfer with visible brushwork and color blending; minor artifacts in background but overall high fidelity to target style while preserving key structures.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,2,Completely washed out; no impressionistic texture or color. Structure barely visible due to extreme over-smoothing.,1,2,2,"Similar to QEdgePattn_e01 — overly smoothed, lacks stylistic fidelity, and fails to preserve content structure.",3,4,5,Preserves source structure well with minimal artifacts. Style is muted but retains subtle tonal variation suggestive of impressionism. Best among options despite low intensity.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,DualPath_e01,4,2,5,4,Preserves structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,2,5,5,"Excellent structure and artifact control, but style transfer is minimal and indistinguishable from source.",4,3,3,"Successfully applies Impressionist style with vibrant colors and texture, though structure is slightly distorted and artifacts are present."
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, lacks Rococo detail and color; structure is preserved but overly blurred.",2,3,2,Nearly identical to QEdgePattn_e01; fails to capture Rococo richness or clarity.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and clear preservation of subject pose and dress details."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimal Rococo styling, heavy motion blur artifacts, structure partially preserved but degraded.",2,3,2,"Similar to QEdgePattn — hazy, low contrast, no clear Rococo elements, structure intact but visually muddy.",5,5,5,"Excellent Rococo framing with ornate border, vibrant colors, clear structure, no visible artifacts — best overall match."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and hazy; lacks impressionistic brushwork and color vibrancy. Structure is preserved but obscured by excessive smoothing.,2,3,2,"Similar to QEdgePattn — muted, foggy output with minimal stylistic fidelity to Impressionism. Structure intact but visually indistinct.",5,5,5,"Excellent impressionistic rendering: visible brushstrokes, vibrant sky, textured ground, and clear subject structure. Minimal artifacts, high stylistic fidelity."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; loses neon glow and text clarity. Minimalist aesthetic is vague, not intentional.",2,3,2,Similar to QEdgePattn — soft focus reduces detail and vibrancy. Structure preserved but style lacks minimalism intent.,5,5,5,"Clean, high-contrast, with sharp edges and vibrant neon against neutral background — embodies minimalism perfectly. No artifacts or distortion."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely lost structure and style; appears as a blurred beige rectangle with no Rococo elements or source content.,2,1,1,"Similar to C — extremely blurry, no discernible structure or Rococo styling; fails to transfer either content or style.",5,4,5,Successfully applies ornate Rococo frame with floral motifs and gilding; preserves the yellow canvas structure of source; clean output with no artifacts.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Renaissance style; retains source structure but lacks stylistic depth; noticeable color bleeding and soft edges.,2,3,2,Similar to QEdgePattn; minimal stylistic shift from source; mild artifacts in water and sky regions.,5,5,5,"Strong Early Renaissance style with appropriate tonal modeling, chiaroscuro hints, and compositional fidelity; cleanest output with no visible artifacts."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",2,3,2,"Similar to QEdgePattn — faint, low-contrast, lacks stylistic clarity and structural definition.",5,5,5,Clean geometric abstraction with bold color blocks and simplified forms; preserves key scene elements while strongly expressing minimalism.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,2,Structure is well preserved but style transfer is weak and washed out; lacks Ukiyo-e color and line quality.,2,5,2,Similar to QEdgePattn — strong structure but poor style fidelity and visible artifacts from over-smoothing.,5,4,5,"Strong Ukiyo-e style with appropriate colors, textures, and line work; minor structural softening but overall excellent."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint impressionistic washes applied but lack color and brushwork fidelity; structure preserved but style is weak and muddy.,2,4,3,"Similar to QEdgePattn — minimal stylistic transfer, mostly desaturated with slight texture; structure intact but no real impressionist character.",5,5,5,"Excellent impressionist rendering: visible brushstrokes, warm palette, soft edges, and atmospheric lighting while preserving original composition and figures flawlessly."
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low contrast and washed-out appearance; minimalism not clearly expressed. Structure is somewhat preserved but lacks definition. High blur/artifacts reduce clarity.,2,3,2,Similar to QEdgePattn — overly soft and indistinct. Fails to convey minimalism’s clean lines or bold simplicity. Structure is faintly visible but degraded by noise/blur.,5,5,5,"Excellent adherence to minimalism: clean geometric framing, high contrast between black line and off-white background, no artifacts. Structure is sharply preserved with precise edges and intentional negative space."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely degraded by foggy artifacts; style and structure nearly lost.,2,3,2,Better than QEdgePattn but still suffers from haze and weak style transfer.,5,5,5,"Excellent Ukiyo-e style with clean lines, proper color palette, and full structural fidelity."
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely degraded by foggy haze; minimalism not achieved, structure blurred, heavy artifacts.",1,2,1,"Identical to QEdgePattn_e01; same foggy degradation, no stylistic or structural fidelity.",5,5,5,Perfectly captures minimalism with flat colors and geometric simplification; preserves all key figures and composition; zero artifacts.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not evident, structure partially preserved but obscured by haze.",2,3,2,"Similar to QEdgePattn — foggy, low contrast, fails to convey minimalism; structure intact but visually degraded.",5,5,5,"Clean geometric shapes, flat colors, simplified forms — strong minimalism; source structure fully preserved with no artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy blur and smearing obscure facial details; style transfer is weak and indistinct, with significant loss of texture and structure.",2,3,2,"Similar to QEdgePattn_e01 — blurred, low-contrast output with poor style fidelity and structural degradation due to over-smoothing.",5,5,5,"Excellent Rococo style integration with ornate frame, soft pastel tones, and delicate brushwork; source structure perfectly preserved with no artifacts."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Ukiyo-e style; appears as a blurred, low-contrast version of the source with no stylistic markers.",2,3,2,Similar to QEdgePattn_e01; lacks Ukiyo-e characteristics and suffers from heavy blurring and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with clear flat colors, bold outlines, and stylized textures. Structure is well-preserved with minimal artifacts."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is nearly identical to source with minimal stylistic influence. Structure preserved but lacks Impressionist texture or brushwork. Heavy blur and smudging artifacts degrade quality.,2,3,2,Similar to QEdgePattn — minimal style application. Output appears as a slightly softened version of source. No visible Impressionist traits. Artifacts include softening and edge bleeding.,5,5,5,"Strong Impressionist style applied: visible brushstroke-like texture, color blending, and atmospheric lighting matching target reference. Structure perfectly preserved. Clean output with no artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,Heavy foggy blur obscures structure and style; Ukiyo-e traits nearly absent.,2,3,1,"Similar to QEdgePattn — ghostly overlay, poor style transfer, structural distortion.",5,5,5,"Excellent Ukiyo-e line work, color palette, and texture; source structure perfectly preserved with no artifacts."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely degraded; image is washed out and blurry, losing all stylistic and structural fidelity.",1,2,1,Nearly identical to QEdgePattn_e01; suffers from same severe blurring and loss of detail.,5,5,5,"Perfectly preserves source structure while applying a clean, minimalist aesthetic with bold colors and simplified forms, matching the target reference's intent."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Severe structural distortion; figures are warped and unrecognizable. Style is vague and lacks Early Renaissance characteristics. Heavy artifacts and loss of detail.,2,3,2,"Identical to QEdgePattn_e01 — same severe distortions, poor structure, and lack of stylistic fidelity. Likely a duplicate or failed run.",5,5,5,"Excellent preservation of source structure and composition. Faithfully applies Early Renaissance style with appropriate color palette, brushwork texture, and atmospheric perspective. Minimal artifacts; high fidelity to both content and target style."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very weak Rococo style; background is blurry and indistinct, lacking ornamental detail. Structure is preserved but edges are soft and smeared. High blur artifacts reduce clarity.",2,3,2,"Similar to QEdgePattn — minimal Rococo influence, mostly just a warm-toned blur. Structure is roughly maintained but lacks definition. Artifacts from over-smoothing are evident.",5,5,5,"Excellent Rococo style transfer: ornate gilded frame, decorative motifs, and period-appropriate color palette. Structure of the stacked boxes is perfectly preserved with sharp edges and realistic material rendering. No visible artifacts."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,"Severely blurred and washed out; minimalism not achieved, structure lost, heavy artifacts.",1,2,1,"Similar to C — extremely hazy, no stylistic coherence, poor structure retention, high artifact presence.",5,5,5,Clean vector-style minimalism applied faithfully; subject structure preserved exactly; zero visible artifacts.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shifts and no ornamental detail.,3,5,5,Good structural fidelity and clean output; mild Rococo color palette applied but lacks ornamental or textural style cues.,5,4,4,"Strongest Rococo styling with ornamental borders, soft pastel tones, and decorative framing — slight structural softening but stylistically dominant."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,3,2,Minimal style transfer; mostly preserves source sketch with faint Renaissance-like texture. Structure intact but lacks stylistic depth. Artifacts from noise and low contrast.,3,5,5,Excellent structure preservation — nearly identical to source. Moderate style application: subtle parchment tone and soft shading. Very clean output with no visible artifacts.,5,4,4,"Strongest style transfer: rich Renaissance portrait aesthetics (skin tones, lighting, brushwork) applied to the face while preserving underlying sketch structure. Minor artifacting in text regions due to over-stylization."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,3,2,"Completely ignores target style; output is a washed-out, blurry version of source with no Renaissance elements. Structure preserved but degraded by heavy blur artifacts.",1,3,2,"Same as QEdgePattn — no style transfer applied. Output is nearly identical to C, with similar blurring and loss of detail. Fails to incorporate any Early Renaissance visual cues.",5,5,5,"Successfully integrates Early Renaissance architectural elements (columns, arches, decorative motifs) while preserving the original red oval pattern’s layout and shape. Clean edges, no visible artifacts, and coherent spatial integration with background."
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and hazy; style is vague and lacks Rococo elegance; structure is preserved but obscured by artifacts.,2,3,2,Similar to QEdgePattn — overly soft and indistinct; minimal stylistic transfer; structure intact but visually degraded.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork; structure perfectly preserved; no visible artifacts."
