case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e12_style_specificity,Hold4TwoStage_e12_structure_preservation,Hold4TwoStage_e12_artifact_control,Hold4TwoStage_e12_note
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Strong geometric abstraction with clean lines and flat color blocks; preserves source composition while fully embracing minimalism.,2,3,2,"Similar to LBM — overly diffuse, lacks defined forms or intentional simplification; artifacts from over-smoothing."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate style transfer with some Early Renaissance texture and color, but lacks depth and atmospheric perspective. Structure is mostly preserved but edges are slightly soft. Some minor artifacts in sky and building textures.",5,5,5,"Excellent Early Renaissance style: rich chiaroscuro, atmospheric perspective, and painterly brushwork. Structure is perfectly preserved with clean lines and accurate proportions. No visible artifacts; seamless integration of style and content.",2,3,2,"Weak style transfer — appears washed out and lacks Renaissance characteristics. Structure is distorted, especially in figures and buildings. Heavy artifacts including smudging, color bleeding, and loss of detail."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; output is blurry and lacks minimalism. Structure is partially preserved but distorted. Heavy artifacts and noise degrade quality.,5,5,5,Excellent minimalism achieved with clean lines and flat colors. Structure perfectly preserved. No visible artifacts.,3,4,3,Moderate minimalism; colors are muted but structure is well preserved. Some softness and slight color bleeding reduce artifact control.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses both style and structural detail.,5,5,5,"Excellent preservation of source structure with clean, minimal aesthetic matching target style.",3,2,3,Moderate style transfer but significant loss of structural clarity and soft artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Preserves source structure well but completely ignores Rococo style; no ornamental or color styling applied.,5,5,5,Excellent Rococo styling with ornate frame and pastel palette; perfectly preserves source object placement and shape; clean output with no artifacts.,2,2,1,Severe structural distortion and heavy artifacts; style is barely recognizable as Rococo due to blurring and noise.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed-out and hazy; minimalism not clearly expressed, structure blurred by excessive diffusion.",5,5,5,Clean geometric abstraction with bold color blocks and sharp edges; faithful to minimalism while preserving source composition.,3,4,3,"Moderate stylization with some color simplification, but retains haze and lacks crisp minimalism; structure mostly preserved."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style transfer barely visible. Structure preserved but overly washed out. Heavy artifacts from poor style application.",5,5,5,Excellent Early Renaissance fresco style with appropriate color palette and texture. Structure perfectly preserved. No visible artifacts.,3,4,3,Moderate style transfer with some Renaissance feel but inconsistent. Structure mostly preserved but slightly distorted. Some blotchy artifacts present.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure is blurred but recognizable; heavy smudging and low contrast reduce clarity.,5,5,5,Excellent impressionist brushwork with rich color and texture; source structure perfectly preserved; no visible artifacts.,2,2,1,Overly washed-out and ghostly; structure is severely degraded; excessive blur and loss of detail indicate poor artifact control.
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; appears as a blurred, low-contrast version of the source with no stylistic reduction or simplification.",5,5,5,"Perfectly captures minimalism through flat colors, bold outlines, and simplified forms while preserving the subject’s pose and composition without artifacts.",2,3,2,"Similar to LBM; lacks stylistic transformation, resulting in a hazy, indistinct output that neither minimizes nor clarifies the original content."
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"The output is heavily distorted with a pinkish, noisy texture that obscures the original scene. It fails to capture the Renaissance style and introduces significant visual artifacts.",5,5,5,"Excellent result. The style of the reference (likely Botticelli) is applied smoothly to the landscape. The structure of the source image is perfectly preserved, and there are no visible artifacts.",1,2,1,"The output is extremely degraded, appearing as a washed-out, high-frequency noise pattern. It loses almost all structural detail and fails to apply the target style effectively."
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely failed to preserve structure or apply style; output is a blurred orange blob with no discernible content.,5,5,5,"Perfectly preserved the source structure (orange background, yellow triangle) while applying the Early Renaissance portrait style from the reference. The result is a coherent, high-quality image.",2,1,1,"Failed to preserve structure or apply style; output is a blurred peach/orange blob, similar to LBM but slightly less saturated."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo style transfer; heavy distortion and loss of detail; artifacts dominate.,5,5,5,"Excellent Rococo aesthetic with soft pastels, ornate framing, and faithful structure; minimal artifacts.",3,2,2,Partial style influence but severe structural degradation and patchy artifacts; inconsistent output.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses structural clarity and minimalism intent. Heavy artifacts from diffusion noise.,5,5,5,"Excellent minimalism: clean lines, muted palette, preserved composition. No visible artifacts or distortion.",3,4,3,Moderate minimalism with slight overexposure and haze. Structure mostly preserved but lacks crispness of target style.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo pastel tones but lacks ornate detail; structure is preserved but washed out; heavy blur and loss of figure definition.,5,5,5,"Excellent Rococo styling with gilded frames, soft pastels, and decorative motifs; source composition and figures are cleanly preserved; no visible artifacts.",3,3,2,Some Rococo color hints but inconsistent application; structure is partially distorted with smearing and ghosting; noticeable artifacts around figures and background.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no impressionistic style—appears nearly identical to source.",5,4,4,Strong impressionistic brushwork and color blending; slight softening of edges but overall structure remains clear and artifacts minimal.,3,2,2,Heavy blur and smearing distort structure significantly; some impressionistic texture present but overwhelmed by artifacts and loss of detail.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,5,5,Completely fails to apply style; output is nearly blank white with no impressionistic texture or color.,4,5,4,"Best overall: applies a warm, textured beige tone that loosely echoes the target’s palette and brushwork feel, while preserving source structure and minimizing artifacts.",2,4,2,Shows some texturing but introduces prominent blue artifacts (likely from source dots) and lacks coherent impressionistic style application.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source.,5,3,3,"Strongly applies Impressionist style with vibrant colors and brushwork, but distorts source geometry (e.g., figure posture, railing alignment) and introduces minor artifacts.",1,4,2,"Fails to convey Impressionism; output is washed out, blurry, and lacks stylistic fidelity while retaining some structural elements."
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out Rococo feel; structure is preserved but lacks detail and color fidelity; heavy blur and low contrast reduce style clarity.",5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and accurate pose preservation; no visible artifacts or distortions.",3,2,1,Strong Rococo color palette but severe structural degradation; large black artifacts obscure figure and background; poor artifact control.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; muted colors and lack of ornamental detail. Structure preserved but overly flat and desaturated. Significant color bleeding and loss of texture.,5,5,5,"Excellent Rococo emulation: ornate frame, soft pastel tones, delicate brushwork feel. Structure perfectly preserved within the stylized frame. No visible artifacts; clean edges and coherent lighting.",3,2,2,"Some Rococo hints (softness, color palette) but lacks ornamental framing or detail. Structure distorted with smearing and halos around figures. Heavy artifacts and loss of fine detail."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low contrast and washed-out appearance; style is vague and lacks Impressionist brushwork or color vibrancy. Structure is faintly preserved but obscured by haze. Significant artifacts from over-smoothing.,5,5,5,"Excellent Impressionist style with visible brushstrokes, vibrant sky, and warm earth tones. Source structure (boy, dog, basket) is perfectly preserved. No visible artifacts; clean and coherent output.",2,2,1,"Severe structural degradation — figure is ghostly and fragmented. Style is indistinct, overly blurred, and lacks Impressionist characteristics. Heavy artifacts and loss of detail throughout."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Excessive glow and halo artifacts distort the neon sign; style is overly saturated and not minimal.,5,5,5,"Clean, faithful reproduction of source structure with muted, minimalist aesthetic matching target reference.",3,4,4,Slightly washed-out colors and soft focus reduce impact; structure preserved but style lacks crisp minimalism.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; mostly washed out with no ornamental detail. Structure preserved but lacks content fidelity. Heavy blur and color bleeding artifacts.,5,5,5,"Excellent Rococo style transfer with ornate floral frame matching target reference. Source yellow rectangle perfectly preserved within frame. Clean edges, no visible artifacts.",3,4,3,"Moderate Rococo influence via warm tones and soft gradients, but lacks ornamental structure. Source shape preserved but distorted at edges. Some vignetting and uneven texture artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Hold4TwoStage_e12,Hold4TwoStage_e12,Hold4TwoStage_e12,Hold4TwoStage_e12,4,3,4,3,"Moderate style transfer with some Early Renaissance color and texture hints, but lacks depth and detail. Structure is mostly preserved but figures appear slightly distorted. Noticeable artifacts in background and water areas.",4,5,4,"Strong structure preservation with clear figure and landscape details. Style transfer is evident with richer tones and shading, though some areas lack the refined texture of Early Renaissance art. Minor artifacts in sky and water.",5,5,5,"Excellent style transfer with clear Early Renaissance characteristics, including soft gradients, muted tones, and textured brushwork. Structure is well-preserved with detailed figures and landscape. Minimal artifacts, clean transitions, and high overall quality."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e12,4,2,3,3,"Overly washed out; minimalism not clearly expressed, structure blurred but intact.",5,5,4,"Strong geometric minimalism, clear structure, minor color banding artifacts.",3,4,5,"Clean output with no visible artifacts, but style is vague and lacks strong minimalism."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low color saturation and muted tones; structure preserved but lacks Ukiyo-e vibrancy and line clarity.,5,5,5,"Excellent Ukiyo-e style transfer with rich colors, clean lines, and faithful structural preservation; minimal artifacts.",3,4,2,Moderate style fidelity but suffers from heavy overexposure and washed-out areas; structure mostly intact but artifacts reduce quality.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic washes; structure mostly preserved but lacks color and brushwork fidelity.",5,5,5,Excellent impressionist brushwork and color harmony; structure fully preserved with no visible artifacts.,3,3,2,Moderate style transfer with some color bleeding and structural blurring; noticeable artifacts in background and figures.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e12,4,2,3,3,Fails to apply minimalism; output is nearly identical to source with no stylistic transformation.,5,5,4,Excellent adherence to minimalism via geometric framing and clean lines. Structure is well-preserved and clearly defined. Minor artifacts in tape rendering.,1,2,5,"No stylistic change applied; output is a faded, low-contrast version of the source. Structure is preserved but degraded by blur/noise. Cleanest of the three but irrelevant to task."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e line work and color blocking. Structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with clear outlines, flat color regions, and appropriate framing. Structure is perfectly preserved with minimal artifacts.",2,2,1,Extremely blurry and indistinct. Fails to capture Ukiyo-e style or preserve facial structure. High level of visual noise/blur artifacts.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean geometry and flat colors; source structure well preserved; no visible artifacts.,2,3,2,"Similar to LBM — hazy, low contrast, minimalism not distinct; structure somewhat retained but obscured by blur."
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimalism not clearly expressed, structure partially preserved but heavily degraded by noise/artifacts.",5,5,5,"Strong minimalism with flat colors, clean geometry, and clear subject structure; no visible artifacts.",3,3,3,"Muted, foggy appearance suggests an attempt at minimalism but lacks clarity; structure is faintly preserved; mild artifacts present."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Rococo detail and color richness. Structure is partially preserved but heavily degraded by blur.,5,5,5,"Excellent Rococo styling with ornate frame, soft lighting, and delicate brushwork. Faithful to source structure with no visible artifacts.",3,2,1,Severe structural distortion and heavy pixelation/artifacts. Style is vague and inconsistent; fails to preserve facial features or crown shape.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is somewhat preserved but blurred. Significant artifacts and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work, flat color areas, and appropriate texture. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e elements present but muted. Structure is mostly preserved but slightly soft. Some minor artifacts and blurring in background.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal style transfer; output resembles source with slight color shift. Structure preserved but lacks Impressionist texture or brushwork.,5,5,5,Strong Impressionist style applied while preserving source structure cleanly. No visible artifacts; colors and textures align well with target reference.,3,4,2,Some Impressionist texture introduced but overly blurred and noisy. Structure mostly preserved but degraded by heavy smoothing and haloing around edges.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; Ukiyo-e style barely perceptible. Structure is somewhat preserved but heavily blurred. Significant artifacts from over-smoothing.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color areas, and stylized shading. Structure is well-preserved. Minimal artifacts; clean output.",3,4,3,"Moderate Ukiyo-e influence with some line work and color blocking, but less defined than Seedream. Structure is reasonably preserved. Some softness and minor artifacts present."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",3,4,3,Moderate minimalism attempt; structure mostly intact but suffers from haze and low contrast.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Severe structural distortion and ghosting; style is vague and inconsistent with Early Renaissance aesthetics.,5,5,5,Excellent preservation of source structure and faithful application of Early Renaissance style with minimal artifacts.,3,3,3,Moderate style transfer with noticeable blurring and softening; structure is preserved but lacks crispness and stylistic fidelity.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style transfer; structure preserved but lacks ornamental detail; heavy vignetting and color bleed artifacts.,5,5,5,Excellent Rococo style integration with ornate frame and gilding; structure perfectly preserved; minimal artifacts.,3,4,2,"Moderate style application; structure mostly intact; noticeable blur and smudging artifacts, especially on edges."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks clean geometry or flat color. Structure is partially preserved but obscured by haze. High artifact presence due to smearing.,5,5,5,"Excellent minimalism: flat colors, simplified shapes, no gradients or textures. Structure perfectly preserved with clean edges. Zero artifacts — crisp, stylized, and faithful to target aesthetic.",2,3,2,"Similar to LBM — overly soft and hazy, failing to convey minimalism’s clarity. Structure is faintly visible but degraded by blur. Artifacts from diffusion-like noise and lack of edge definition."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy black border and low color fidelity; structure is preserved but style transfer is weak and noisy.,5,5,5,"Excellent Rococo style transfer with high color fidelity, clean structure, and no visible artifacts.",3,4,3,Moderate style transfer with some color bleeding and softness; structure is mostly preserved but lacks crispness.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Renaissance style; appears nearly identical to source.,5,4,4,Strongly applies Early Renaissance style with realistic portrait rendering; minor structural distortion in head shape but overall coherent.,3,3,2,Attempts style transfer but introduces heavy artifacts and blurring; structure is partially preserved but degraded by noise and smearing.
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; background remains plain white with no Renaissance elements. Structure preserved well but lacks stylistic integration.,5,5,5,"Excellent style transfer: architectural arches, columns, and figures from target style are cleanly integrated. Source object (red ovals) retains shape and position. No visible artifacts.",1,2,1,"Severe distortion: source object is warped and fragmented. Background is noisy and abstracted, losing both structure and style fidelity. High artifact presence."
