case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e03_style_specificity,QEdgePattn_e03_structure_preservation,QEdgePattn_e03_artifact_control,QEdgePattn_e03_note
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; retains source content with heavy blur and noise artifacts.,5,5,5,Perfectly captures the minimalism style while preserving the source structure with no visible artifacts.,2,3,2,Fails to apply minimalism; retains source content with heavy blur and noise artifacts.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structure.,5,5,5,"Excellent preservation of source structure with clean, minimal aesthetic matching target.",2,3,2,"Similar to LBM — too diffuse, lacks clarity in both style and form."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal Rococo styling; mostly preserves source structure with slight color shift and no ornamental elements.,5,5,5,"Excellent Rococo frame integration, faithful to source layout, clean edges, and rich decorative detail matching target style.",2,4,3,Slight Rococo hint in border but weak; structure preserved well; minor blurring and edge artifacts present.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Clean geometric shapes, flat colors, and simplified forms align well with minimalism; structure and edges are well preserved with no visible artifacts.",2,3,2,Similar to LBM output; overly hazy and lacks clear stylistic definition; structure is faintly visible but obscured by noise-like artifacts.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style transfer barely visible. Structure preserved but overly washed out. High artifact presence due to poor style injection.",5,5,5,"Excellent match to Early Renaissance fresco style — warm tones, aged texture, and classical composition. Structure perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like coloring and texture. Structure mostly intact but slightly blurred. Minor artifacts in background and edges.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very blurry and washed-out; lacks Impressionist brushwork or color vibrancy. Structure is preserved but overly smoothed.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and faithful structure. Minimal artifacts.",3,4,2,Some Impressionist feel but overly hazy and low-contrast. Edges are soft to the point of losing detail; slight smudging artifacts.
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; appears as a blurred, low-contrast version of the source with no stylistic intent.",5,5,5,"Perfectly captures minimalism through flat colors, bold shapes, and simplified forms while preserving the subject’s pose and composition.",2,3,2,Similar to LBM; lacks stylistic transformation and retains source detail without applying minimalism.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Early Renaissance style; heavy texture artifacts and color distortion; structure partially preserved but degraded by noise.,5,5,5,"Excellent Early Renaissance style transfer with accurate color palette, brushwork texture, and compositional fidelity; minimal artifacts.",3,4,3,Moderate style match with some Renaissance-like tones; structure mostly intact but suffers from edge halos and patchy texture artifacts.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely fails to preserve structure or apply style; output is a blurred orange gradient with no discernible content.,5,5,5,"Perfectly preserves the source structure (bear sketch) while applying the Early Renaissance style (warm tones, painterly texture) from the reference portrait. No artifacts.",3,2,2,"Shows some stylistic influence (warm color palette) but fails to preserve the source structure entirely, resulting in a blurry, indistinct image with visible artifacts."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; heavy noise and distortion obscure content.,5,5,5,"Excellent Rococo aesthetic with ornate framing, soft pastels, and faithful structure.",3,3,2,Moderate style transfer; visible artifacts and uneven texture degrade quality.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, strong structure retention, and no visible artifacts.",3,3,3,"Moderate minimalism with some structure preserved, but overly hazy and lacks clarity."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure preserved but colors muted and flat; noticeable blurring and loss of detail.,5,5,5,"Excellent Rococo aesthetic with ornate framing, soft pastels, and decorative elements; structure fully preserved; no visible artifacts.",3,4,3,Moderate Rococo influence with some color shifts and framing; structure mostly intact; slight smudging and edge softening.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves structure perfectly but applies almost no style transfer; output is nearly identical to source.,5,4,4,Strongest impressionistic style with visible brushwork and color washes; minor softening of edges but overall excellent balance.,3,4,4,Moderate style application with some texture; slightly less coherent than Seedream but better than LBM.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,3,Almost entirely blank; no impressionistic texture or color applied. Structure barely preserved due to lack of content rendering.,4,5,5,"Best among candidates: retains source structure (dots, frame) and applies subtle warm-toned textured wash reminiscent of Impressionist brushwork. Minimal artifacts.",2,3,2,Shows faint impressionistic blur but over-smoothed; loses fine structure. Some haloing/artifacts around edges. Style is vague.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,QEdgePattn_e03,4,2,4,4,"Minimal style transfer; retains source aesthetic with faint brushwork hints. Structure well preserved, few artifacts.",5,3,3,"Strong Impressionist style: visible brushstrokes, vibrant colors, atmospheric lighting. Some structural distortion in figure and background elements.",3,5,5,Moderate style application; structure and edges perfectly preserved. Clean output with minimal artifacts but lacks strong Impressionist texture.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture Rococo style; output is a washed-out, low-contrast version of the source with no ornamental or color characteristics of Rococo. Structure is preserved but visually degraded.",5,5,5,"Excellent Rococo style transfer: pastel palette, ornate frame, soft lighting, and decorative elements match the target reference. Source structure (pose, instrument, dress) is perfectly preserved with no artifacts.",2,3,2,"Similar to LBM output — lacks Rococo stylistic markers. Overly desaturated and blurry, with poor color fidelity and no ornamental detail. Structure is recognizable but visually indistinct."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo styling; mostly preserves structure but lacks ornamental detail and color richness.,5,5,5,"Excellent Rococo emulation with ornate frame, soft pastel tones, and faithful structural retention; no visible artifacts.",3,4,2,"Some Rococo-inspired framing and color, but heavy blur and smudging degrade clarity and introduce artifacts."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Impressionist brushwork or color vibrancy. Structure is preserved but overly faded.,5,5,5,"Excellent Impressionist style with visible brushstrokes, vibrant colors, and atmospheric lighting. Source structure perfectly preserved with no artifacts.",2,3,2,Similar to LBM — overly hazy and desaturated. Minimal stylistic transformation; structure is intact but visually degraded by foggy artifacts.
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Excessive glow and halo artifacts distort structure; minimalism not achieved due to visual noise.,5,5,5,"Clean, sharp edges, accurate color fidelity, and faithful structural reproduction with no visible artifacts — ideal minimalism.",3,4,3,Good structure but slight over-smoothing and muted colors reduce stylistic impact; minor artifacts in background.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal Rococo styling; mostly a faded yellow gradient with dark vignette. Structure preserved but lacks ornamental detail. Low artifact presence but also low stylistic fidelity.,5,5,5,"Excellent Rococo style transfer: ornate floral and scrollwork border, gilded frame effect, and soft aged texture. Perfectly preserves the source’s rectangular shape and color field. No visible artifacts.",2,3,4,"Slight warm tone shift and soft blur suggest minimal style influence. Structure intact but no Rococo elements. Clean output with no artifacts, but stylistically underwhelming."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,QEdgePattn_e03,4,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges; minor artifacts in water and sky.,5,4,4,"Strongest Early Renaissance stylistic fidelity — warm tones, chiaroscuro-like shading, and painterly texture; structure well maintained; minimal artifacts.",2,5,5,"Very clean structure and no visible artifacts, but style transfer is weak — retains original image’s aesthetic rather than adopting Early Renaissance traits."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Overly washed-out; minimalism not clearly expressed, structure blurred by excessive smoothing.",5,5,5,Clean geometric abstraction with strong minimalism; preserves key structures and avoids artifacts.,2,3,3,Faded and indistinct; lacks clear stylistic intent and structural clarity.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure preserved but visually indistinct.",5,5,5,"Excellent Ukiyo-e emulation: warm sepia tones, bold outlines, stylized figures, and background elements match target reference closely. Clean output with no artifacts.",2,4,3,Similar to LBM — overly desaturated and sketchy. Fails to convey Ukiyo-e’s characteristic color palette and ink-line aesthetic. Structure intact but stylistically weak.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out impressionistic washes applied; structure preserved but style is weak and indistinct.",5,5,5,Strong impressionist brushwork and color palette applied while perfectly preserving architectural and figure structure; no visible artifacts.,3,4,4,Moderate impressionist texture with some edge softening; structure mostly intact but style less cohesive than Seedream.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but lacks definition.",5,5,5,"Excellent minimalism with clean lines, strong structure preservation, and no visible artifacts.",2,2,3,"Too blurry and indistinct; minimalism and structure are poorly conveyed, though no major artifacts."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by blur.,5,5,5,"Excellent Ukiyo-e style transfer with clear line work, appropriate color palette, and strong structural fidelity to the source portrait. Minimal artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line definition, but overly soft and hazy. Structure is reasonably preserved but lacks crispness; mild artifacts in background."
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric abstraction, faithful to source composition, strong minimalist aesthetic with no artifacts.",2,3,2,"Similar to LBM — blurry, indistinct forms, fails to convey minimalism or preserve structure well."
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Strong minimalism with clean geometry, sharp edges, and faithful structure retention; no visible artifacts.",2,3,2,"Similar to LBM — hazy, low-contrast output; minimalism absent, structure faintly preserved, some smearing artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy blur and loss of detail; structure partially preserved but degraded by artifacts.,5,5,5,Excellent Rococo aesthetic with ornate frame and soft palette; structure perfectly preserved; no visible artifacts.,3,4,3,Moderate Rococo influence with some decorative framing; structure mostly intact but edges softened; minor smudging artifacts.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style transfer is weak and blurry, with poor color fidelity to Ukiyo-e.",5,5,5,Excellent Ukiyo-e style with bold outlines and flat color blocks; structure is well preserved with minimal artifacts.,3,4,3,Moderate style transfer with some color and texture issues; structure is mostly intact but with slight smudging.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source structure with slight texture blur. Lacks Impressionist brushwork or color vibrancy.,5,5,5,"Strong Impressionist style: visible brushstrokes, rich color palette, and atmospheric lighting. Structure of window and wall preserved cleanly. No artifacts.",3,4,2,Some stylistic texture applied but overly smoothed and hazy. Edges bleed slightly; lacks crispness and full Impressionist character.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks clear Ukiyo-e line work or color blocking. Structure is preserved but heavily blurred.",5,5,5,"Excellent adherence to Ukiyo-e style with bold outlines, flat color regions, and stylized texture. Structure is perfectly preserved with no artifacts.",2,3,2,"Similar to LBM, suffers from low contrast and lack of distinct Ukiyo-e features. Structure is maintained but visual quality is poor due to haze/blur."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but with heavy smoothing artifacts.",5,5,5,"Excellent minimalism: clean geometry, bold color blocks, sharp edges. Structure fully preserved with no visible artifacts.",3,4,3,"Moderate minimalism with some edge clarity, but suffers from ghosting and smearing artifacts; structure mostly intact."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; lacks Renaissance texture and color depth. Structure preserved but overly blurred. Heavy artifacts from failed blending.",5,5,5,"Excellent Early Renaissance style match: warm tones, aged canvas texture, chiaroscuro lighting. Perfect structural fidelity to source. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance coloring but inconsistent texture. Structure mostly preserved but edges show slight warping. Minor smudging artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal Rococo styling; structure preserved but lacks ornamental detail; heavy vignetting and color bleed artifacts.,5,5,5,"Excellent Rococo ornamentation (gilded frame, decorative motifs); structure faithfully rendered; clean edges and no visible artifacts.",3,4,3,Some Rococo framing elements present but muted; structure mostly intact; slight color smudging and edge softness near borders.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimal structure retained, style not clearly minimalism.",5,5,5,"Excellent minimalism: clean shapes, flat colors, strong structure preservation, no artifacts.",2,3,2,"Similar to LBM — overly blurred, lacks clear style or structural fidelity."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,3,5,5,Strong structural fidelity and clean edges; Rococo style is faintly suggested via soft color washes but lacks ornamental detail.,5,3,3,"Excellent Rococo styling with ornate borders, pastel tones, and decorative motifs; some structural distortion and minor artifacts in wave/figure regions.",4,4,4,"Good balance of style and structure; visible edge artifacts and slight color bleeding reduce polish, but Rococo elements are more present than in LBM."
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source structure with faint Renaissance-like texture but lacks facial rendering or color depth.,5,5,5,"Excellent Early Renaissance style: rich colors, realistic portrait rendering, coherent lighting, and clean integration of text and figure without artifacts.",3,4,2,"Moderate style attempt with some color washes and edge blending, but suffers from visible artifacts (e.g., smudged text, inconsistent shading) and weak stylistic fidelity."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Minimal style transfer; background remains flat and untextured. Structure preserved but lacks architectural context from target. No artifacts, but also no stylistic integration.",5,5,5,"Excellent Early Renaissance style transfer with architectural elements (columns, arches, figures) matching target reference. Source content (red ovals) preserved in position and shape. Clean edges, no visible artifacts.",3,4,4,Moderate style transfer with subtle texture and lighting changes. Structure well preserved. Some softness/blurring reduces sharpness compared to Seedream. Minor artifacts in gradient transitions.
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; minimal Rococo detail or color; structure barely preserved due to heavy blur.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork; source structure perfectly preserved; no visible artifacts.",2,3,2,"Similar to LBM — overly blurred, lacks Rococo stylistic markers; structure faintly visible but degraded by haze."
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,QEdgePattn_e03,QEdgePattn_e03,Seedream_repaired750,QEdgePattn_e03,4,2,4,3,Minimal style transfer; retains source structure but lacks impressionistic texture or brushwork.,3,5,4,Good structural fidelity and moderate style infusion; slight color saturation but clean edges.,5,4,5,Strong impressionistic brushwork and color blending; preserves key structure with minimal artifacts.
