case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style; heavy smudging and loss of detail; structure partially preserved but distorted.,2,2,1,Very low style fidelity; severe blurring and structural collapse; major artifacts throughout.,5,5,5,Excellent Rococo style transfer with ornate pastel borders and soft lighting; source structure fully preserved; no visible artifacts.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Rococo elements are weakly present; structure is partially preserved but distorted by heavy texture and vignetting artifacts.,1,2,1,Almost no Rococo style detected; structure is heavily blurred and obscured; severe smearing and loss of detail.,5,5,5,Excellent Rococo styling with ornate borders and soft pastel tones; source structure perfectly preserved; clean output with no visible artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out Ukiyo-e texture; structure partially preserved but overly blurred; significant loss of detail and color fidelity.",1,2,1,Extremely blurry and indistinct; almost no recognizable structure or style elements; heavy artifacts and smearing dominate.,5,5,5,"Excellent Ukiyo-e style transfer with clear woodblock textures, bold outlines, and appropriate color palette; structure fully preserved; minimal artifacts."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out Ukiyo-e aesthetic; structure partially preserved but lacks crisp lines and color fidelity; noticeable blurring and low contrast artifacts.",1,1,1,Severely degraded output; almost no recognizable structure or style; heavy smudging and loss of detail indicate poor artifact control and failed style transfer.,5,5,5,"Excellent Ukiyo-e style with bold outlines, flat color planes, and traditional composition; source structure fully preserved; minimal artifacts, clean edges, and faithful color mapping."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Renaissance style with visible texture and color shifts; structure mostly preserved but some blurring in halos and drapery; artifacts include uneven tonal transitions and slight smudging.,2,3,2,"Weak stylistic fidelity — overly diffuse and painterly, losing key Renaissance details; structure significantly degraded with ghosting and loss of facial definition; heavy artifacts including blotchy regions and color bleeding.",5,5,5,"Excellent match to Early Renaissance style — crisp linework, appropriate palette, and iconographic accuracy; structure perfectly preserved with clear facial features and drapery folds; no visible artifacts, clean edges and consistent rendering."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and smearing obscure details; style is vague and lacks Renaissance clarity or texture.,2,2,1,"Severe distortion and loss of structural integrity; artifacts dominate, making content nearly unrecognizable.",5,5,5,"Excellent preservation of source structure with faithful Early Renaissance stylistic rendering — rich colors, clear forms, and appropriate painterly texture without artifacts."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style with muted colors and soft textures; structure preserved but faces and drapery lack detail; noticeable blurring and smudging artifacts.,2,2,1,"Poor style transfer — overly abstract, smoky, and indistinct; structure heavily distorted; severe artifacts including loss of facial features and architectural elements.",5,5,5,"Excellent Early Renaissance style match — rich pigments, clear halos, detailed drapery, and architectural framing; structure perfectly preserved; no visible artifacts."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,5,5,Preserves source structure perfectly but applies no style transfer; appears identical to source sketch.,2,1,2,Fails to preserve structure (bear is unrecognizable) and lacks clear Impressionist characteristics; overly blurred and indistinct.,5,5,5,Excellent Impressionist style with visible brushwork and color blending; perfectly preserves the bear’s anatomy and pose; clean output with no artifacts.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Moderate impressionistic brushwork but lacks color vibrancy and stylistic coherence; structure preserved but with softening artifacts.,1,2,1,Severely degraded output; almost no recognizable style or structure; heavy blurring and loss of detail.,5,5,5,"Excellent impressionistic rendering with rich color, visible brushstrokes, and full preservation of original composition and details."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak impressionist texture; structure partially preserved but colors washed out; noticeable smearing and loss of detail.,1,2,1,Almost no impressionist style applied; structure heavily distorted; severe blurring and artifacting throughout.,5,5,5,Strong impressionist brushwork and color palette; source composition and figures clearly preserved; clean output with minimal artifacts.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork applied; structure mostly preserved but with slight smudging and color bleeding. Style is present but not strongly evocative of Impressionism.,2,2,1,"Heavy over-application of style causes severe loss of structure and introduces significant artifacts (blurring, noise). Style is vague and inconsistent with target.",5,5,5,"Excellent preservation of original composition and figures while applying a convincing Impressionist texture and palette. No visible artifacts; clean, coherent output."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output; minimal style transfer, retains sketch structure but lacks clarity and artistic intent.",1,1,1,"Nearly blank image; complete loss of structure and style, likely a failed or misaligned transfer.",5,5,5,"Clean, geometric minimalism with strong structural fidelity to source bear; no artifacts, excellent style alignment."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic abstraction; structure partially preserved but blurred; noticeable artifacts and low contrast.",1,2,1,Overly diffuse and indistinct; nearly no stylistic or structural fidelity; heavy smearing and loss of detail; poor artifact control.,5,5,5,"Strong minimalist reinterpretation with clean geometry, bold color blocks, and clear figure-ground separation; structure fully preserved; no visible artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic coherence; structure is partially preserved but heavily blurred and low-contrast.",1,2,1,Overly abstracted and smudged; nearly no recognizable structure or style transfer; severe artifacts and loss of detail.,5,5,5,Strong minimalism applied via flat color blocks and simplified geometry; source composition clearly preserved; clean edges and no visible artifacts.
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic alignment with minimalism; structure partially preserved but blurred.",1,2,1,Overly abstracted and smudged; nearly no recognizable structure or stylistic intent; heavy artifacts.,5,5,5,"Clean, bold flat colors and simplified forms perfectly match minimalism; source structure fully preserved; no visible artifacts."
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves source structure well but applies minimal Rococo styling; appears as aged parchment with faint sketch overlay, lacking ornamental detail or color.",1,2,1,"Severely degraded output; almost entirely blurred and indistinct, failing to preserve structure or convey any recognizable style.",5,5,5,"Excellent Rococo styling with ornate borders, soft pastel tones, and decorative flourishes; perfectly preserves the bear’s pose and anatomy; clean, artifact-free rendering."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo style transfer; overly textured and muddy with heavy artifacts. Structure is partially preserved but obscured by noise.,1,2,1,"Fails to capture Rococo aesthetics; extremely blurry and distorted. Structure is nearly lost, and severe artifacts dominate the output.",5,5,5,"Excellent Rococo style transfer with ornate framing, soft colors, and decorative elements. Structure is perfectly preserved, and no visible artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; Rococo elements are barely discernible. Structure is partially preserved but heavily degraded by noise and low contrast.,1,2,1,Extremely dark and muddy; almost no Rococo style applied. Structure is nearly lost in shadow and blur. Severe artifacts and poor color fidelity.,5,5,5,"Excellent Rococo style transfer with ornate frames, soft pastel tones, and decorative motifs. Source structure is perfectly preserved with clear figures and composition. No visible artifacts."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like color washes but lacks ornamental detail; structure is partially preserved but figures are blurred and indistinct; heavy smudging and loss of edge definition.,1,2,1,"Almost no Rococo style transfer; appears as a dark, muddy blur with severe structural collapse and extreme artifacts; fails on all criteria.",4,5,5,"Excellent structure preservation with clear figure outlines and architectural elements; subtle Rococo-inspired softness in drapery and background tones; minimal artifacts, clean output."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Ukiyo-e color washes applied but lack line art and texture; structure partially preserved but details blurred; noticeable smudging and low contrast artifacts.,1,2,1,"Overly diffuse, almost watercolor-blur effect; no clear Ukiyo-e stylistic markers; structure heavily degraded; severe artifacting with loss of form and detail.",5,5,5,"Excellent Ukiyo-e emulation: flat colors, bold outlines, stylized faces and drapery; source composition fully preserved; clean output with minimal artifacts."
Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e influence with soft color washes; structure preserved but lacks crisp line work and stylized details typical of Ukiyo-e.,1,2,1,Severely degraded output; heavy blur and smudging obscure both style and structure. No discernible Ukiyo-e characteristics.,5,5,5,"Excellent preservation of source structure while successfully applying Ukiyo-e stylistic traits: bold outlines, flat color planes, and decorative patterns. Clean, artifact-free result."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Renaissance stylistic elements; appears washed out and indistinct.,1,2,1,Severely degraded output; structure is blurred beyond recognition and no stylistic fidelity achieved.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic rendering; clean, artifact-free result."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance color palette and texture; structure mostly preserved but with softening and minor smearing; some artifacts in background areas.,2,3,2,Weak style transfer — lacks distinct Renaissance characteristics; structure blurred and distorted; significant artifacts and loss of detail throughout.,5,5,5,"Excellent Early Renaissance style match with appropriate palette, texture, and composition; structure fully preserved; no visible artifacts; clean output."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is overly smooth and lacks Renaissance texture or color depth. Structure is preserved but colors are washed out and unnatural.,3,3,2,"Slightly more stylistic than C, with some warm tones and texture hints, but still blurry and indistinct. Artifacts include smudging and loss of fine detail.",5,5,5,"Excellent preservation of source structure and strong Early Renaissance styling: rich reds, dark background, subtle fabric texture, and appropriate lighting. No visible artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very faint impressionistic wash; structure preserved but style is weak and indistinct.,1,2,1,Almost entirely blurred and abstracted; no clear style or structure retained.,5,5,5,Strong impressionist brushwork and color palette applied while perfectly preserving the original figure and architectural structure with minimal artifacts.
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, muddy tones; structure partially preserved but heavily degraded by low-contrast noise; minimal impressionistic brushwork or color vibrancy.",1,2,1,Extremely blurry and indistinct; almost no recognizable structure or stylistic features; appears as a smudged texture with no coherent content or style.,5,5,5,"Excellent preservation of original composition and figures; rich, vibrant colors and visible brushstroke-like textures evoke Impressionism without distorting content; clean output with no artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but applies a generic warm wash rather than true Impressionist brushwork or color palette.,1,2,1,Fails to apply style; image is overly blurred and lacks both structural clarity and stylistic intent.,5,5,5,"Excellent preservation of source structure with clear Impressionist brushwork, color harmony, and atmospheric lighting matching the target."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic wash; structure preserved but style is weak and blurry. Low artifact control due to smearing.,1,2,1,Extremely blurred and indistinct; almost no recognizable style or structure. High artifacts from over-smoothing.,5,5,5,Strong impressionist brushwork and color palette applied faithfully. Structure perfectly preserved with minimal artifacts. Best overall result.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output; minimal stylistic interpretation of minimalism; structure barely preserved; heavy artifacts and loss of detail.",1,1,1,Nearly blank canvas; no discernible style or structure; extreme artifacting and information loss.,5,5,5,"Clean, bold graphic style with strong minimalism; source figure and architecture clearly preserved; no visible artifacts."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly textured and painterly; fails to convey minimalism. Structure partially preserved but obscured by noise-like artifacts.,1,2,1,Extremely blurred and washed out; no stylistic intent visible. Structure nearly lost; heavy artifacts dominate.,5,5,5,"Perfectly captures minimalism through flat color blocks, simplified forms, and clean edges. Source structure fully preserved with zero artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic abstraction; structure partially preserved but blurred.",1,2,1,Overly diffuse and indistinct; nearly loses all structure and style; heavy artifacts.,5,5,5,"Strong minimalist abstraction with clean geometry, bold color blocks, and clear structural fidelity to source composition."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Blurred, low-contrast output; minimalism not clearly expressed; structure preserved but overly diffuse.",1,2,1,Extremely washed out and indistinct; fails to convey minimalism or preserve structure; heavy artifacts.,5,5,5,"Clean, stylized illustration with bold flat colors and simplified forms; perfectly captures minimalism while preserving source structure and showing no artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves source structure well but applies minimal Rococo styling; appears faded and lacks ornamental detail.,1,2,1,Severely degraded output; almost entirely abstracted with no discernible structure or style fidelity.,5,5,5,"Excellent Rococo styling with ornate columns, pastel tones, and decorative motifs; perfectly preserves source figure and architecture; clean, artifact-free rendering."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; structure partially preserved but colors and textures are muddy and inconsistent with target style.,1,2,1,Fails to convey Rococo style; heavy artifacts and loss of structural detail; overly blurred and indistinct.,5,5,5,"Excellent Rococo style transfer with soft pastel tones, ornate framing, and delicate brushwork; structure fully preserved; minimal artifacts."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like softness but lacks ornamental detail; structure preserved but colors muted and blurry; noticeable halo artifacts.,2,3,2,Similar to C but slightly more blurred; minimal Rococo styling; structure intact but degraded by haze; poor artifact control.,5,5,5,"Excellent Rococo ornate frame and pastel palette; source structure perfectly preserved; no visible artifacts; clean, high-fidelity output."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal Ukiyo-e stylistic markers; structure is partially preserved but overly blurred and low-contrast.",1,1,1,Almost entirely obscured by heavy noise/artifacts; no discernible style or structure remains — fails as a style transfer.,5,5,5,"Strong Ukiyo-e aesthetic: bold outlines, flat color fields, decorative patterns, and compositional framing match target style perfectly while preserving source structure cleanly."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure is somewhat preserved but blurred. Heavy artifacts and low contrast.",1,2,1,Extremely blurry and indistinct. No discernible Ukiyo-e style. Structure is heavily distorted. Severe artifacts and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat colors, and decorative patterns matching the reference. Structure is perfectly preserved. No visible artifacts."
Early_Renaissance__piero-della-francesca_portrait-of-a-boy__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is blurry and lacks Ukiyo-e characteristics. Structure is somewhat preserved but obscured by haze. Significant artifacts from over-smoothing.,1,2,1,Almost no style transfer; appears as a heavily blurred version of the source. Structure is poorly preserved due to extreme blur. Severe artifacts and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, line work, and texture. Source structure (profile, hair, garment) is perfectly preserved. No visible artifacts; clean and high-quality output."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves the architectural sketch structure well but fails to apply the Early Renaissance style, appearing as a near-duplicate of the source.",1,2,1,"Completely fails to preserve structure or apply style; the output is a blurry, indistinct wash of color.",5,5,5,"Perfectly captures the Early Renaissance aesthetic (color palette, lighting, texture) while maintaining the exact architectural structure of the source image."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style with poor color fidelity and heavy blurring; structure is partially preserved but obscured by artifacts.",2,3,2,"Similar to C but slightly more coherent in figure outlines; still suffers from low contrast, muddy tones, and significant texture loss.",5,5,5,"Excellent match to Early Renaissance style: rich colors, clear halos, architectural details, and crisp figure rendering. Structure fully preserved with minimal artifacts."
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance texture and color tone applied; structure preserved but lacks stylistic depth; some edge artifacts and uneven aging.,2,3,2,Weak style transfer; heavy blur and smudging obscure structure; minimal Renaissance aesthetic; significant artifacts and loss of detail.,5,5,5,"Excellent Early Renaissance style match with appropriate parchment texture, muted palette, and period-appropriate shading; structure perfectly preserved; no visible artifacts."
