case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e01_style_specificity,EdgeGated_e01_structure_preservation,EdgeGated_e01_artifact_control,EdgeGated_e01_note
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very blurry, low contrast; minimalism not evident, structure partially preserved but heavily degraded.",5,5,5,Strong geometric abstraction with clean edges and flat color blocks; excellent structure retention and no visible artifacts.,2,3,3,Similar to LBM — overly soft and indistinct; lacks stylistic clarity and structural definition.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Style is too flat and lacks Renaissance texture; structure preserved but colors are oversaturated and unnatural.,5,5,5,"Excellent match to Early Renaissance style with appropriate textures, lighting, and color palette; structure fully preserved with no artifacts.",3,4,4,Moderate style transfer; some Renaissance-like shading but lacks depth and texture fidelity; minor color bleeding near edges.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; retains source’s black-and-white grid and red bar. Heavy vignetting and blur degrade structure and introduce artifacts.,5,5,5,"Perfectly applies minimalism via color palette and clean layout. Preserves all structural elements (grid, red bar, text) with no visible artifacts.",3,4,3,Partially applies minimalism with soft colors but retains source’s grid pattern. Slight haloing around edges and muted contrast reduce artifact control.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,EdgeGated_e01,EdgeGated_e01,Seedream_repaired750,EdgeGated_e01,4,2,3,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks definition.",3,5,4,"Excellent structure retention and clean output, but style is too faithful to source — minimalism underemphasized.",5,4,5,Strong minimalism via abstraction and color reduction; structure still recognizable; no visible artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color bleed and no ornamental framing.,5,5,5,"Strong Rococo aesthetic via ornate border, soft color palette, and elegant framing while perfectly preserving the red oval arrangement and background geometry.",3,4,4,Moderate Rococo feel through subtle color wash and edge softening; structure well preserved but lacks explicit decorative elements seen in target.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure is preserved but lacks clarity.",5,5,5,Excellent minimalism with clean geometry and flat colors; structure is well preserved and artifacts are minimal.,2,3,2,"Similar to LBM-Knee_e13; lacks clarity and minimalism, with noticeable artifacts and low contrast."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style transfer is weak and indistinct. Structure is preserved but lacks definition. Artifacts include blurring and loss of detail.",5,5,5,Excellent match to Early Renaissance fresco style with appropriate color palette and texture. Structure is perfectly preserved with clear anatomical and architectural details. No visible artifacts.,3,4,3,Moderate style transfer with some color and texture similarity. Structure is well-preserved but slightly over-sharpened or noisy. Minor artifacts in background texture.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, low contrast; impressionistic texture is minimal and lacks color richness. Structure is preserved but overly blurred.",5,5,5,"Excellent impressionistic rendering with rich color, visible brushwork, and strong adherence to source structure. No visible artifacts.",2,4,4,"Structure is well preserved, but style transfer is weak — image appears faded and lacks the vibrancy or texture of Impressionism. Slight haloing around edges."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; overly blurred and lacks clean geometry or color blocking.,5,5,5,"Excellent minimalism: bold flat colors, simplified shapes, strong structure, no artifacts.",2,3,2,Similar to LBM — too soft and indistinct; does not reflect minimal style intent.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance texture and color depth. Structure is preserved but overly blurred. Heavy noise/artifacts degrade quality.",5,5,5,"Excellent Early Renaissance style: warm earth tones, soft glazing, visible brushwork, and atmospheric perspective. Structure perfectly preserved with no artifacts.",3,4,3,"Moderate style transfer with some Renaissance-like warmth and texture, but inconsistent application. Some edge artifacts and patchy style regions reduce overall fidelity."
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Blurred, low-detail output; style is vague and lacks Renaissance texture or composition; structure preserved but poorly rendered.",5,5,5,"Excellent Early Renaissance style transfer: accurate skin tones, drapery, lighting, and facial features; source structure (portrait orientation) preserved; no visible artifacts.",3,4,3,Moderate style fidelity with some Renaissance color palette; structure mostly preserved but edges are soft; minor smudging and loss of detail in background.
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo pastel tones applied but heavily degraded by noise and structural smearing; poor style fidelity and high artifacts.,5,5,5,"Excellent Rococo style transfer with soft pastels, ornate framing, and faithful preservation of original composition and details; minimal artifacts.",3,4,3,Moderate Rococo styling with some pastel washes and decorative borders; structure mostly preserved but suffers from edge halos and blotchy texture artifacts.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean lines, preserved structure, and no visible artifacts; best overall output.",3,4,3,Moderate minimalism; structure mostly preserved but some over-smoothing and slight color bleed.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Weak Rococo styling; overly desaturated and washed-out colors. Structure is preserved but lacks ornamental detail. Some blurring and loss of texture.,5,5,5,"Excellent Rococo style transfer with ornate framing, soft pastel tones, and decorative elements. Structure is well-preserved with clear figures and architecture. Minimal artifacts.",3,4,4,Moderate Rococo influence with some color softening and framing hints. Structure is mostly intact but slightly muted. Minor artifacts in background and edges.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no impressionistic style — appears nearly identical to source.",5,3,3,Strongest impressionist style transfer with visible brushwork and color blending; slight structural softening and minor halo artifacts around edges.,3,4,4,Moderate style application with some texture; better structure than Seedream but less stylized; minor edge artifacts present.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,3,Completely washed out; no impressionistic texture or color variation. Structure barely visible due to extreme brightness.,4,5,5,Best among candidates: retains source structure with subtle warm tones and faint textural variation suggesting impressionism without over-processing.,1,2,3,Overexposed and flat; lacks any stylistic transfer. Structure preserved but visually indistinct due to high brightness.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e01,EdgeGated_e01,4,2,4,4,Minimal style transfer; retains source structure but lacks Impressionist texture or brushwork.,5,3,3,Strong Impressionist rendering with visible brushstrokes and atmospheric color; some structural distortion in background elements.,3,5,5,Excellent structure preservation and clean output; mild style influence with subtle texturing but not fully Impressionist.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; appears as a faded, low-contrast version of the source with no Rococo elements. Structure is preserved but lacks detail. Heavy artifacts and blurring degrade quality.",5,5,5,"Excellent Rococo style transfer: ornate frame, pastel palette, soft lighting, and decorative motifs match target reference. Source structure (pose, instrument, dress) is perfectly preserved. No visible artifacts; clean, high-fidelity output.",2,3,2,Minimal style transfer; resembles a washed-out or overexposed version of the source. No Rococo characteristics. Structure is roughly preserved but lacks definition. Significant artifacts including haloing and loss of texture.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with minimal artifacts, but applies almost no Rococo style—appears nearly identical to source.",5,3,3,"Strong Rococo styling via ornate frame and soft palette; structure is distorted by framing and cropping, introducing visible artifacts at edges.",3,4,4,Moderate Rococo influence with slight color wash and edge softening; structure mostly preserved but suffers from vignetting and blur artifacts.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low contrast and washed-out appearance; fails to convey Impressionist color or brushwork. Structure is faintly preserved but obscured by haze-like artifacts.,5,5,5,"Excellent Impressionist rendering with vibrant, broken color strokes matching the target reference. Source structure (boy, dog, basket, landscape) is clearly preserved without distortion or artifacts.",2,3,2,"Similar to LBM — overly muted, foggy output that suppresses detail and color. Minimal stylistic transfer; structure is barely visible beneath heavy smoothing."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,EdgeGated_e01,EdgeGated_e01,Seedream_repaired750,EdgeGated_e01,4,2,3,2,Overly blurred and washed-out; loses neon glow and structural clarity. Minimalist intent is diluted by excessive smoothing.,3,5,4,Excellent preservation of source structure and wiring. Style is moderately minimalist — clean background but retains some visual weight from neon glow.,5,4,5,"Strong minimalist aesthetic: soft gradients, muted tones, clean edges. Slight loss in neon vibrancy but overall best balance of style fidelity and artifact control."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal style transfer; mostly preserves source color with slight vignetting. No Rococo elements applied.,5,5,5,"Excellent Rococo ornamental frame applied while preserving the yellow rectangle’s shape and position. Clean edges, no artifacts.",2,3,3,Similar to LBM — slight aging/vignette effect but no Rococo styling. Structure preserved but style absent.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,EdgeGated_e01,EdgeGated_e01,EdgeGated_e01,EdgeGated_e01,4,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges; minor artifacts in water and sky regions.,2,3,2,Weak style transfer — retains too much of source’s flat aesthetic; structure distorted in figures and terrain; noticeable artifacts and unnatural shading.,5,5,5,"Excellent Early Renaissance style match with appropriate chiaroscuro and texture; structure faithfully preserved; minimal artifacts, clean transitions and consistent lighting."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,EdgeGated_e01,EdgeGated_e01,Seedream_repaired750,EdgeGated_e01,4,2,3,3,"Faint, washed-out output with minimal stylistic abstraction; structure is preserved but lacks clarity or intentional simplification.",4,5,4,Strong geometric abstraction and color blocking align well with minimalism; structure is highly preserved with clean edges and no visible artifacts.,5,4,5,Excellent minimalism via soft gradients and reduced detail; structure is slightly softened but still recognizable; virtually no artifacts.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks color and line weight of Ukiyo-e. Structure is preserved but appears ghostly. Low stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style: bold outlines, flat color blocks, warm paper tone, and decorative elements match target reference. Structure fully preserved with no artifacts.",2,4,3,Similar to LBM — overly desaturated and sketchy. Lacks the characteristic ink lines and color palette of Ukiyo-e. Structure intact but stylistically weak.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic washes applied; structure preserved but style is weak and indistinct.",5,5,5,Strong impressionist brushwork and color palette; source structure perfectly preserved with no artifacts.,3,4,4,Moderate impressionist texture; structure intact but style lacks vibrancy and depth compared to Seedream.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e01,4,2,3,3,Fails to apply minimalism; output is nearly identical to source with no stylistic transformation.,5,5,4,Perfectly captures minimalism through clean lines and geometric framing while preserving the source's core structure.,2,3,5,"Produces a clean, artifact-free image but fails to apply the target style, resulting in a washed-out version of the source."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimal Ukiyo-e style transfer, heavy artifacts, poor structure.",5,5,5,"Excellent Ukiyo-e style with clean line art, proper color palette, and well-preserved structure. Minimal artifacts.",3,4,3,Moderate style transfer with some line work but overly hazy and low contrast. Structure preserved but style is weak.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style and structural detail. Minimalist intent is not clearly conveyed.,5,5,5,"Excellent minimalism: clean geometry, flat colors, strong composition. Preserves source structure while applying target style faithfully with no artifacts.",3,4,3,Moderate success — retains some structure but suffers from smudging and color bleeding. Style is partially applied but lacks crispness.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Strong minimalism with clean geometry, sharp edges, and faithful structure; no visible artifacts.",3,3,3,Moderate minimalism with some edge definition; structure preserved but slightly soft; minor artifacts in background.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Rococo detail or color fidelity; structure is recognizable but degraded by heavy smoothing.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork; source structure perfectly preserved with no visible artifacts.",3,4,3,Moderate Rococo influence with some color and texture; structure is well-preserved but suffers from slight blurring and edge halos around the crown and beard.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but overly blurred. Significant artifacts from over-smoothing.",5,5,5,Excellent Ukiyo-e style transfer with bold colors and clear lines. Structure is perfectly preserved. No visible artifacts.,3,4,3,"Moderate style transfer, somewhat faded. Structure is well-preserved. Some minor artifacts and blurring present."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal style transfer; retains source structure but lacks Impressionist texture or color.,5,5,5,Strong Impressionist brushwork and color palette applied while preserving source geometry and clean edges.,2,4,4,"Slight stylistic hint with muted tones, but structure is preserved and artifacts are minimal."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e line work and color blocking. Structure is preserved but heavily degraded by haze.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color regions, and stylized textures. Structure is perfectly preserved with no artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e traits present but overly soft and painterly. Structure is good but lacks crispness. Some smudging artifacts.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism: clean shapes, reduced detail, strong structural fidelity, no artifacts.",3,4,3,Moderate minimalism with some edge preservation; slight haze and loss of color depth; structure mostly intact.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast, and washed-out appearance; lacks Renaissance texture and color depth. Structure is preserved but overly blurred.",5,5,5,"Excellent match to Early Renaissance style with rich colors, proper brushwork texture, and faithful structure. Minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks richness. Structure is mostly preserved with slight edge artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e01,4,2,3,2,Weak Rococo styling; structure preserved but colors muted and flat; noticeable vignetting and edge artifacts.,5,5,4,Strong Rococo aesthetic with ornate frame and warm tones; structure well preserved; minor haloing at edges.,3,4,5,"Moderate Rococo feel via color palette; structure clean and sharp; no visible artifacts, but lacks ornamental detail."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal structure retained; no clear minimalist aesthetic applied.,5,5,5,Clean vector-style simplification with bold flat colors and sharp edges; perfectly captures minimalism while preserving subject identity and pose.,2,3,2,"Similar to LBM — overly diffuse, lacks definition; fails to impose minimalist style or preserve structural clarity."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but minimal Rococo style transfer; appears nearly identical to source.",5,3,3,Strong Rococo aesthetic with ornate borders and soft color palette; some structural distortion and minor artifacts in figures.,3,4,4,Moderate style influence with visible edge artifacts; better structure than Seedream but less stylistic fidelity.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but fails to apply Renaissance style; output remains nearly identical to source with no stylistic transformation.,5,5,5,"Excellent style transfer: skin tones, lighting, and texture match Early Renaissance portraiture. Structure is perfectly preserved with no artifacts or distortions.",3,4,4,"Moderate style application — some color and texture hints of Renaissance style, but less convincing than Seedream. Structure preserved, minor edge artifacts present."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; background remains plain white with no Renaissance elements. Structure preserved but lacks stylistic integration.,5,5,5,Excellent Early Renaissance style applied to background architecture and figures. Source content (red ovals) preserved cleanly. No visible artifacts.,3,4,4,"Subtle architectural elements added, but style is muted and inconsistent with target reference. Some edge artifacts near red ovals."
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and low contrast; style is muted and indistinct, structure is preserved but obscured by haze, artifacts include heavy blur and loss of detail.",5,5,5,Excellent Rococo style transfer with ornate frame and soft pastel tones; structure is perfectly preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — overly blurred, low contrast, style is not clearly Rococo, structure is present but degraded, artifacts include smudging and loss of texture."
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; retains source structure but lacks impressionistic texture or color blending.,5,5,5,Strong impressionistic rendering with soft brushwork and warm tones; preserves figure structure cleanly with no visible artifacts.,3,4,4,Moderate style application; some edge artifacts and inconsistent texture; structure mostly preserved but less refined than Seedream.
