case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,No discernible style transfer; appears as noise or blur.,5,5,5,Strong Impressionist brushwork and color palette while preserving source structure cleanly.,4,3,3,Good style but some structural distortion and color bleeding artifacts.,3,4,4,Moderate style application with minor artifacts; structure mostly preserved.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,2,Completely abstract; no structural or stylistic fidelity to source or target.,5,5,5,Clean minimalism with preserved structure and zero artifacts; ideal style transfer.,3,3,3,Minimalist but overly textured; structure partially obscured by noise-like artifacts.,4,4,4,"Strong style match with minor color shift; structure intact, slight artifacting in borders."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,1,Extremely blurry and indistinct; no clear Rococo elements or structural fidelity.,5,4,4,Strong Rococo styling with ornate frame and soft pastel tones; minor smudging but overall coherent.,4,3,3,Good Rococo feel with aged texture; some distortion in portrait and frame details.,3,5,5,"Highly faithful to source structure; clean lines and minimal artifacts, though less stylized than D."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,1,1,1,Completely lost structure and style; appears as noise or blur.,5,4,4,Strong Ukiyo-e aesthetic with color gradients and line work; minor structural softening but overall faithful.,4,3,3,Good style match but introduces blue artifacts and slight distortion in portrait area.,3,5,5,"Preserves source structure perfectly; style is muted and less distinctly Ukiyo-e, but clean and artifact-free."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,1,"Highly abstracted, loses all structural and stylistic fidelity to source and target.",3,4,3,Preserves arch structure and figure placement; style is somewhat generic Renaissance but lacks Early Renaissance detail.,3,3,2,"Color palette and composition show some stylistic intent, but figures are distorted and structure is loose.",5,5,5,"Excellent match to Early Renaissance style: rich colors, detailed figures, preserved composition and arch structure, minimal artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,1,Extremely blurred and washed out; loses both style and structure.,3,3,3,Moderate impressionistic brushwork but overly saturated colors and some structural distortion.,4,4,4,Strong impressionist palette and visible brushstrokes; minor color bleeding and slight structural softening.,5,5,5,Excellent impressionist texture and color harmony; preserves original composition with minimal artifacts.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,2,Completely abstracted; no structural or stylistic fidelity to source or target.,5,5,5,Strong minimalism via flat color blocks and simplified forms; preserves key compositional elements with clean edges and no artifacts.,2,3,3,Overly linear and schematic; retains some structure but lacks stylistic cohesion with minimalism; minor artifacts in line density.,1,2,2,Retains ornate detail from source; fails to apply minimalism; noisy texture and poor artifact control.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Overly blurred and abstract; loses both Rococo elegance and source structure.,5,5,5,"Excellent Rococo styling with clear architectural framing, soft pastel tones, and faithful composition retention.",4,4,3,Strong Rococo elements but slightly cluttered; minor structural distortion in central figures.,3,3,3,Moderate Rococo influence; some ornamental details present but overall style is less refined and structure slightly warped.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry and washed out; loses nearly all structural and stylistic detail.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color planes, and faithful structure preservation.",4,4,4,Good stylization but slightly over-saturated colors and minor structural distortions in figures.,3,3,3,Partial Ukiyo-e influence but retains too much Western painting texture; some artifacts in background.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,"Highly abstracted, loses all structural fidelity and stylistic coherence; appears as noise or smudge rather than Renaissance style.",4,4,4,Strong Early Renaissance style with good color palette and halos; minor softening in facial features but overall faithful to source structure.,3,3,3,Moderate style transfer with visible artifacts around halos and drapery; structure is recognizable but slightly distorted compared to source.,5,5,5,"Excellent preservation of original composition and anatomy; Early Renaissance style applied cleanly with accurate color, texture, and halo rendering; no visible artifacts."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,1,1,Extremely blurry and abstract; loses all structural detail and style is indistinct.,4,4,4,Strong Impressionist brushwork and color palette; preserves structure well with minor softening.,3,3,3,Moderate style transfer; some color bleeding and slight distortion in facial features.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, vibrant colors, and full preservation of original composition and details."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and abstract; loses stylistic intent and structural clarity.,5,5,5,"Perfect minimalism: clean lines, flat colors, preserved composition, no artifacts.",3,2,3,Textured overlay distorts structure; partial style match but noisy execution.,4,4,4,Good style and structure retention; slight texture artifacts reduce purity.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,2,Heavy blur and loss of detail; Rococo elements barely recognizable.,5,4,3,"Strong Rococo aesthetic with soft pastels, ornate framing, and delicate rendering; slight haloing around halos.",4,4,4,Good Rococo feel with decorative borders and soft tones; minor color bleeding at edges.,3,5,5,"Excellent structural fidelity and clean output; style is more conservative, less overtly Rococo than D or E."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,Extremely blurry and abstract; no discernible Ukiyo-e style or structure.,3,4,3,"Good structural fidelity and some Ukiyo-e color palette, but lacks fine line work and texture typical of the style.",4,4,4,Strong Ukiyo-e influence with bold outlines and flat colors; minor artifacts in halo and background details.,5,5,5,"Excellent Ukiyo-e style transfer with crisp lines, appropriate color blocking, and clean preservation of original composition and details."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,"Extremely blurry and indistinct; loses nearly all facial and crown detail. Style transfer is too aggressive, resulting in heavy artifacts and loss of structure.",3,4,3,Moderate Early Renaissance style with some color shifts and texture. Structure is mostly preserved but slightly softened. Minor artifacts present.,4,4,3,Strong stylistic influence with rich colors and painterly texture. Good structure retention but slight over-saturation and minor haloing around edges.,5,5,5,"Excellent Early Renaissance style with appropriate color palette, brushwork texture, and lighting. Structure is perfectly preserved with no visible artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,1,1,Completely lost structure and style; appears as abstract noise.,3,4,3,Retains structure well but style is inconsistent and slightly muddy.,4,3,3,"Strong impressionistic color and brushwork, but some structural distortion in face and crown.",5,5,5,"Excellent Impressionist style with clear brushstrokes, vibrant colors, and full preservation of original structure and details."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,2,"Overly blurred, loses all structure and style intent; appears as noise rather than minimalism.",5,5,5,"Clean, bold colors and simplified forms preserve source structure while strongly expressing minimalism.",3,2,3,Textured overlay partially obscures structure; style is ambiguous between minimalism and collage.,2,4,4,Preserves structure well but retains too much detail and texture; lacks clear minimalism.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,1,1,1,Extremely blurry; no Ukiyo-e style or structure preserved.,3,3,3,"Some Ukiyo-e color and line hints, but face and crown are distorted with visible artifacts.",4,4,4,Good Ukiyo-e stylization with clear lines and flat colors; minor texture artifacts on beard.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, bold outlines, and faithful structural retention; minimal artifacts."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and washed out; loses architectural detail and stylistic clarity of Early Renaissance.,4,4,4,Good stylistic match with muted tones and composition fidelity; minor softening in figures.,3,3,3,Moderate style transfer; some color distortion and slight structural warping in background arches.,5,5,5,"Excellent preservation of source structure with faithful Early Renaissance palette, texture, and compositional integrity."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,1,1,"Completely lost structure and style; appears as a blurred, indistinct wash with no recognizable features or impressionistic traits.",5,5,5,Excellent impressionistic brushwork and color palette while preserving architectural and figure details cleanly; minimal artifacts.,4,4,4,Strong impressionist style with vibrant colors and visible brushstrokes; slight over-saturation and minor structural softening but still coherent.,3,4,4,Moderate impressionistic feel with some color shifts and texture; structure mostly preserved but lacks the dynamic brushwork of true Impressionism.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,1,2,"Panel C is nearly blank, failing to preserve structure or convey minimalism meaningfully; likely an over-processed or failed output.",2,3,3,Panel D retains source structure but adds decorative elements inconsistent with minimalism; moderate artifacts from color saturation.,3,2,2,Panel E abstracts the scene into line-art reminiscent of minimalism but loses structural clarity and introduces noise/artifacts.,5,5,5,"Panel F cleanly reduces the source to essential forms and muted tones, preserving composition while achieving true minimalism with no visible artifacts."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; fails to convey Rococo elegance or structure.,5,5,5,Excellent Rococo styling with clear architectural structure and minimal artifacts.,4,4,4,Good style and structure but slightly less refined than D; minor artifacts in figures.,4,4,4,Strong Rococo feel and structure; comparable to E but slightly more consistent.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,1,2,1,Extremely blurry and washed out; no discernible Ukiyo-e style or structural detail.,3,5,4,"Good structural fidelity and clean output, but style is more generic fresco than specific Ukiyo-e.",4,4,3,Strong Ukiyo-e influence with visible line work and color blocking; minor artifacts in background details.,5,4,5,"Excellent Ukiyo-e style transfer with bold outlines, flat colors, and decorative patterns; well-preserved structure and minimal artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses Renaissance detail and structure.,5,5,5,"Excellent Early Renaissance style match with clear figures, composition, and minimal artifacts.",4,3,3,Stylized but slightly distorted anatomy and composition; moderate artifacts.,4,4,4,"Good style and structure, but slightly darker and less refined than D."
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,1,2,1,Extremely blurry and abstract; no discernible impressionist brushwork or color palette; structure nearly lost.,3,4,3,"Retains source structure well; shows some warm tones and soft edges suggestive of impressionism, but lacks dynamic brushwork.",4,3,2,"Strong impressionist colors and loose forms; however, structure is distorted and artifacts (color bleeding, halos) are visible.",5,5,5,"Excellent impressionist style with visible brushstrokes, warm palette, and soft focus; perfectly preserves source composition and arch shape; minimal artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structural and stylistic detail; minimalism not meaningfully applied.",5,5,5,Clean geometric abstraction with strong compositional fidelity to source; exemplifies minimalism without distortion.,3,2,2,Textured overlay obscures structure; style feels incidental rather than intentional minimalism.,2,3,2,Retains some structure but adds noise and texture; minimalism not clearly expressed.
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and indistinct; Rococo elements are lost in noise.,5,4,4,Strong Rococo aesthetic with ornate details and soft colors; structure mostly preserved.,3,4,3,Some Rococo flair but overly dark and muddy; structure intact but style diluted.,4,5,5,Excellent structure retention and clean output; Rococo style present but slightly muted.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Extremely blurry and lacks any Ukiyo-e characteristics; structure is nearly lost.,5,5,5,"Excellent Ukiyo-e style with clear lines, flat colors, and traditional composition; structure is well-preserved and artifacts are minimal.",3,4,3,Shows some Ukiyo-e influence but leans more toward Western classical painting; moderate artifacts and less stylized.,2,4,3,"Retains structure but applies a dark, painterly style that diverges from typical Ukiyo-e; some artifacts present."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,2,1,Highly abstracted and blurred; loses both stylistic and structural fidelity.,4,4,4,"Good Renaissance style and structure, but slightly muted color and soft edges reduce impact.",3,3,2,Stylized with heavy color shifts and distortion; structure and artifacts suffer.,5,5,5,"Excellent match to Early Renaissance style, preserves source structure precisely, minimal artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style and structure.,4,5,5,Strong Impressionist brushwork while preserving original composition cleanly.,5,3,3,"Highly stylized with bold colors and expressive strokes, but distorts structure slightly.",3,4,4,Moderate Impressionist texture; retains structure well but lacks vivid stylistic flair.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Overly blurred and washed out; minimalism is implied but not clearly expressed.,5,5,5,"Clean geometric simplification, strong minimalism, faithful structure, no artifacts.",3,4,3,Textured overlay adds noise; style is abstract but less controlled.,2,5,4,Preserves structure well but lacks stylistic transformation; close to original.
