case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e03_style_specificity,EdgeGated_e03_structure_preservation,EdgeGated_e03_artifact_control,EdgeGated_e03_note
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in noise.",5,5,5,Strong geometric abstraction with clean lines and flat color blocks; faithful to minimalism while preserving source composition.,2,3,2,"Similar to LBM — hazy, indistinct forms; fails to convey minimalism or retain structural clarity."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,4,3,4,3,Moderate style transfer with some color shift toward Renaissance tones; structure mostly preserved but edges slightly softened; minor artifacts in sky and building textures.,2,3,2,Weak style adherence — retains too much of original cartoonish aesthetic; structural distortion in figures and buildings; noticeable artifacts in sky and ground areas.,5,5,5,"Excellent Early Renaissance style emulation with appropriate color palette, texture, and lighting; perfect structural fidelity to source; no visible artifacts or distortions."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; introduces heavy blur and halo artifacts. Structure is partially preserved but degraded by noise.,5,5,5,Perfectly captures minimalism with clean lines and flat color blocks. Structure is sharply preserved. No visible artifacts.,3,4,3,Moderate minimalism achieved but lacks the crispness of the target. Structure is mostly preserved. Minor softening and slight color bleed present.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Excellent preservation of source structure with clean, stylized minimalism; no visible artifacts; faithful to target style.",2,3,3,"Similar to LBM-Knee_e13 — overly diffuse, minimalism not well captured, structure faintly retained but low fidelity."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shift and vignette artifacts.,5,5,5,Strong Rococo ornamental frame applied cleanly; source content (red ovals) preserved with high fidelity; no visible artifacts.,2,4,3,"Similar to LBM — minimal style transfer, slight color desaturation, mild edge halos but structurally intact."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out and blurry; minimalism not clearly expressed, structure is preserved but lacks clarity.",5,5,5,"Strong minimalism with clean geometry, sharp edges, and clear structure; no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13; hazy and low contrast, minimalism not well conveyed, structure is somewhat preserved."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is nearly identical to source with minimal stylistic influence. Structure preserved but lacks Renaissance aesthetic. Artifacts include washed-out tones and lack of texture detail.,5,5,5,"Excellent match to Early Renaissance style: warm earth tones, chiaroscuro modeling, and classical drapery. Structure perfectly preserved with clean edges and anatomical fidelity. No visible artifacts or distortions.",3,4,3,"Moderate style transfer — some Renaissance coloring and shading applied, but less cohesive than Seedream. Structure well preserved. Minor artifacts in background texture and slight color bleeding near figure edges."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Very low style transfer; image appears faded and lacks impressionist brushwork or color vibrancy. Structure is preserved but overly blurred.,5,5,5,Excellent impressionist style with rich colors and visible brushstroke texture. Structure is well-preserved with no artifacts.,2,3,3,"Similar to LBM, this output is too washed out and lacks stylistic fidelity. Structure is maintained but details are lost in blur."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; fails to capture minimalism’s clean geometry or bold color blocks. Structure is preserved but degraded by haze.,5,5,5,"Excellent minimalism: flat colors, simplified forms, strong silhouette, no noise or blur. Faithful to source pose while fully adopting target style.",2,3,2,Similar to LBM — overly soft and indistinct. Lacks the crisp edges and graphic quality expected in minimalism. Structure visible but obscured.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly textured, pinkish wash obscures structure; minimal Renaissance stylistic cues.",5,5,5,Excellent Early Renaissance palette and brushwork; clean structure with no artifacts.,3,4,3,Moderate style transfer; some edge artifacts and color bleeding reduce fidelity.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely fails to preserve structure or apply style; output is a blurred orange gradient with no discernible content or Renaissance characteristics.,5,5,5,"Excellent preservation of source structure (portrait orientation, head/shoulders) and strong Early Renaissance style transfer (painterly texture, warm palette, classical composition). No visible artifacts.",2,2,3,"Preserves some structural layout (vertical orientation, triangular element at top) but lacks coherent subject matter. Style is vague — warm tones present but no clear Renaissance painterly quality. Minor blurring artifacts."
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; colors are muted and washed out. Structure is partially preserved but heavily degraded by noise and blur. Significant artifacts and loss of detail.,5,5,5,"Excellent Rococo style transfer with appropriate pastel colors, ornate framing, and soft lighting. Source structure is perfectly preserved with no visible artifacts. Clean and high-quality output.",2,3,2,Minimal style transfer; appears almost identical to source with slight color shifts. Structure is mostly intact but suffers from similar noise and degradation as LBM. Lacks Rococo characteristics.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses structural clarity and minimalism intent.,5,5,5,"Clean, stylized, preserves structure while applying minimal aesthetic with no artifacts.",3,4,3,Moderate style transfer; some overexposure and loss of detail but retains structure.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint Rococo pastel tones but lacks ornamental detail; structure mostly preserved with minor blurring.,5,5,5,"Strong Rococo aesthetic with gilded frames, soft pastels, and decorative motifs; excellent structure and no visible artifacts.",3,4,4,Moderate Rococo influence with some color shifts; structure intact but slightly muted and less ornate than Seedream.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,4,Minimal style transfer; mostly preserves source with slight color wash. Structure intact but no impressionistic texture or brushwork.,5,3,3,"Strong impressionist rendering with visible brushstrokes and soft blending. Some structural distortion in lamp shape and background, but stylistically compelling.",3,5,5,"Excellent structure and artifact control; very clean output. Style is subtle — slight color shift and softening, but lacks strong impressionist texture or brushwork."
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,3,Completely washed out; no impressionistic texture or color. Structure barely visible due to extreme brightness.,4,5,5,Best preservation of source structure with subtle warm tone and faint textural variation suggesting impressionism. Minimal artifacts.,1,2,3,Overexposed and flat; no stylistic transfer evident. Structure obscured by brightness.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,4,Minimal style transfer; mostly preserves source structure with slight color shifts but lacks Impressionist brushwork or texture.,5,3,3,"Strong Impressionist style applied — visible brushstrokes, vibrant colors, atmospheric effects. Some structural distortion in figure and background elements.",3,5,5,Excellent structure and artifact control; minimal style transfer — retains original composition and clean edges but lacks strong Impressionist characteristics.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; appears as a faded, over-smoothed version of source with no Rococo elements. Structure is preserved but lacks detail. Heavy artifacts and loss of texture.",5,5,5,"Excellent Rococo style transfer: ornate frame, pastel palette, decorative motifs, and elegant pose match target. Source structure (pose, instrument) is well preserved. Minimal artifacts; clean rendering.",2,3,2,"Similar to LBM-Knee_e13 — fails to apply Rococo style, resulting in a washed-out, blurry output. Structure is roughly preserved but degraded. Noticeable artifacts and lack of stylistic fidelity."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,3,3,Minimal Rococo influence; mostly preserves original structure with slight color wash and softening. No major artifacts but lacks stylistic fidelity.,5,4,3,"Strong Rococo framing and ornamental border; figures and architecture preserved within oval frame. Slight distortion at edges due to framing, but overall high style transfer success.",3,5,5,Excellent structural fidelity and clean output with no visible artifacts. Style transfer is subtle — slight warm tone and softening suggest Rococo but lacks explicit decorative elements.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal impressionistic texture or color variation. Structure is preserved but lacks definition due to over-blurring.,5,5,5,"Excellent impressionistic style with visible brushwork, vibrant colors, and atmospheric lighting. Source structure (child, dog, basket) is clearly preserved. No visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — overly blurred and desaturated, failing to convey impressionist characteristics. Structure is faintly visible but lacks clarity and detail."
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,EdgeGated_e03,EdgeGated_e03,Seedream_repaired750,EdgeGated_e03,4,2,3,2,Excessive blur and halo artifacts degrade structure; minimalism not well captured due to loss of detail and edge softness.,3,5,4,"Excellent structural fidelity and clean edges; style is somewhat neutral but retains clarity and minimal clutter, aligning with minimalism.",5,4,5,"Strong minimalism: clean background, reduced visual noise, preserved structure with subtle glow; no distracting artifacts."
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Minimal Rococo influence; mostly a faded yellow gradient with dark vignette. Structure preserved but lacks stylistic detail. Some soft artifacts at edges.,5,5,5,"Excellent Rococo style transfer: ornate floral frame, gilded details, and classical composition. Source yellow rectangle preserved as central panel. Clean edges, no visible artifacts.",2,3,4,Similar to LBM — mostly a washed-out yellow with brown border. No clear Rococo motifs. Structure intact but stylistically weak. Very clean rendering with minimal artifacts.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,EdgeGated_e03,4,3,3,2,Moderate style transfer with visible artifacts and structural distortion; lacks fine Renaissance texture detail.,4,4,3,"Good structural fidelity and stylistic alignment, but slight over-smoothing reduces textural richness.",5,5,5,"Excellent preservation of source structure, strong Early Renaissance stylistic emulation, minimal artifacts."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed out and blurry; fails to capture minimalism's clean geometry or color blocking. Structure is preserved but lacks definition.,5,5,5,"Excellent adherence to minimalism: bold flat colors, simplified shapes, strong vertical/horizontal lines. Structure is clean and artifacts are minimal.",2,3,3,Similar to LBM — too faint and indistinct. Minimalist intent is lost in low contrast and lack of defined forms. Structure is vaguely preserved but not enhanced.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,Seedream_repaired750,4,2,4,3,"Very faint, washed-out style; lacks color and texture of Ukiyo-e. Structure is preserved but appears ghostly. Minimal artifacts but poor stylistic fidelity.",5,4,5,"Strong Ukiyo-e aesthetic with appropriate color palette, line work, and paper texture. Structure well preserved. Clean output with no visible artifacts.",3,5,4,"Excellent structural fidelity and clean edges. Style is partially applied — some color and texture hints, but overall too desaturated and lacks full Ukiyo-e character. Minor smudging in background."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic washes; structure mostly preserved but lacks color/brushwork fidelity to target style.",5,5,5,Strong impressionist brushwork and palette applied cleanly; architecture and figures well-preserved with no visible artifacts.,3,4,4,"Moderate impressionist tinting; structure intact but style application is subtle and somewhat uniform, lacking dynamic brush texture."
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Overly washed out; minimalism not clearly expressed beyond color reduction. Structure preserved but lacks intentional framing or edge definition.,5,5,5,"Excellent minimalism: clean geometric framing, precise edges, neutral palette, and strong structural fidelity to source. No artifacts.",2,4,4,Structure well preserved but style is too bland — lacks the deliberate compositional restraint of minimalism. Slight over-smoothing.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Ukiyo-e line work or color blocking. Structure is preserved but heavily degraded by blur. Minimal stylistic fidelity.,5,5,5,"Excellent Ukiyo-e style transfer: clear ink lines, flat color regions, and appropriate framing. Structure is perfectly preserved with no artifacts. Best overall result.",3,4,3,"Moderate style transfer — some linearity and color flattening present, but still retains painterly texture. Structure is well preserved. Some softness/artifacts reduce clarity compared to Seedream."
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Strong minimalism with clean geometry, clear structure retention, and no visible artifacts.",3,3,3,Moderate minimalism with some edge artifacts and structure loss; less coherent than Seedream.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimalism not clearly expressed, structure is preserved but obscured by heavy blur artifacts.",5,5,5,Excellent minimalism with clean geometric shapes and flat colors; structure perfectly preserved; no visible artifacts.,2,3,2,Similar to LBM-Knee_e13 — overly soft and indistinct; fails to convey minimalism clearly; structure faintly visible but degraded by haze.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Rococo detail and color richness. Structure is partially preserved but heavily degraded by blur.,5,5,5,"Excellent Rococo style transfer with ornate frame, soft pastel tones, and faithful preservation of facial structure and crown details. Minimal artifacts.",3,4,3,Moderate style application with some Rococo coloring but lacks refinement. Structure is reasonably preserved but edges are slightly noisy and colors are muted.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks any Ukiyo-e stylistic markers. Structure is preserved but overly blurred.",5,5,5,Excellent application of the Ukiyo-e style with appropriate color palette and texture. Structure is perfectly preserved with no artifacts.,3,4,3,Better than LBM but still lacks the distinct Ukiyo-e aesthetic. Some minor artifacts and color bleeding are visible.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; mostly preserves source structure with slight texture smoothing but no impressionistic brushwork or color variation.,5,5,5,"Strong impressionistic rendering with visible brushstroke-like textures, rich color blending, and full preservation of source geometry and composition. No artifacts.",2,4,4,"Preserves structure well but applies only a faint, uniform wash — lacks true impressionist texture or chromatic variation. Minor edge softening but no major artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks any Ukiyo-e stylistic markers. Structure is preserved but colors are muddy and details are lost.",5,5,5,"Excellent transfer. Captures the flat, graphic quality of woodblock prints while maintaining the source's facial structure and details perfectly.",3,4,3,Better than LBM but still too hazy and painterly. It lacks the crisp lines and distinct color blocking typical of the Ukiyo-e style.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean geometry and color blocks; source structure well preserved; no visible artifacts.,3,4,3,"Some minimalism via simplification, but overly hazy; structure mostly intact; mild artifacts in background."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style is barely perceptible. Structure is preserved but overly blurred. Heavy artifacting and loss of detail.",5,5,5,"Excellent Early Renaissance style transfer with accurate color palette, texture, and lighting. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks depth and richness. Structure is mostly preserved but slightly distorted. Minor artifacts in background and clothing.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; structure is preserved but overly blurred and lacks detail; significant vignetting and color bleeding artifacts.,5,5,5,Excellent Rococo style integration with ornate frame and gilded details; structure perfectly preserved; no visible artifacts.,3,4,3,Moderate Rococo influence via background texture and color; structure well preserved but slightly soft; minor vignetting and edge smearing present.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimalism not clearly expressed, structure is faintly preserved but lacks definition, heavy artifacts from over-smoothing.",5,5,5,"Excellent minimalism: clean geometric shapes, flat colors, simplified forms. Structure well preserved with clear pose and clothing details. No visible artifacts.",2,3,2,"Similar to LBM — overly blurred, low contrast, minimalism not effectively conveyed. Structure is partially retained but obscured by haze/artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,3,2,Weak Rococo influence; heavy dark vignetting and color distortion obscure content and style.,5,4,3,Strong Rococo aesthetic with ornate framing and soft pastel tones; minor structural softening but overall excellent style transfer.,3,5,5,Excellent structure and artifact control; minimal Rococo styling—appears more like a color-shifted version of source than true style transfer.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves source structure well but fails to apply Renaissance style; output remains largely unstyled sketch with minimal color or texture transfer.,5,5,5,"Excellent fusion: retains source geometry while applying rich Early Renaissance painterly style (skin tones, drapery, chiaroscuro) with no visible artifacts.",3,4,4,Moderate style application — adds some color and texture but lacks depth and richness of true Renaissance painting; slight edge bleeding near text areas.
