case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e12_style_specificity,EdgeGated_e12_structure_preservation,EdgeGated_e12_artifact_control,EdgeGated_e12_note
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo influence; mostly preserves source structure with slight color shift and vignette artifacts.,5,5,5,Strong Rococo ornamental frame applied cleanly; source content preserved with high fidelity and no visible artifacts.,2,4,3,"Similar to LBM — minimal style transfer, slight color desaturation, mild edge artifacts, no structural distortion."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Clean geometric shapes, strong minimal aesthetic, excellent structure retention, no visible artifacts.",2,3,2,"Similar to LBM — hazy, low contrast, minimalism underrepresented, structure faintly visible but degraded."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; appears as a faded copy of source with minimal stylistic influence. Structure preserved but lacks Renaissance texture or color palette. Heavy blurring and loss of detail.,5,5,5,"Excellent match to Early Renaissance style: warm earth tones, soft chiaroscuro, aged fresco texture. Structure perfectly preserved with clean edges and anatomical fidelity. No visible artifacts or distortions.",3,4,3,"Moderate style transfer — some Renaissance coloring and texture applied, but less cohesive than Seedream. Structure well preserved. Minor artifacts in background columns and slight over-smoothing on skin tones."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint impressionistic wash; structure preserved but style is weak and blurry, with low contrast and muted color.",5,5,5,"Excellent Impressionist rendering with visible brushwork, rich color, and faithful preservation of source composition and detail.",3,4,3,Moderate impressionistic effect with soft edges and light washes; structure mostly preserved but lacks vibrancy and clear brushstroke texture.
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; overly blurred and lacks clean geometry or flat color blocks. Structure is preserved but degraded by haze.,5,5,5,"Excellent minimalism: bold flat colors, simplified forms, strong silhouette, and clean edges. Faithful to source pose and composition with no artifacts.",2,3,2,Similar to LBM — overly soft and indistinct. Lacks the crispness and graphic quality of minimalism. Structure is recognizable but visually muddy.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly textured, painterly noise dominates; style is vague and not clearly Early Renaissance; structure is partially preserved but obscured by artifacts.",5,5,5,"Excellent capture of Early Renaissance palette, brushwork, and atmospheric depth; structure is cleanly preserved with no visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones; structure is well preserved but suffers from slight edge halos and uneven texture.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and lacks Renaissance detail; structure is preserved but style is weak and artifacts are prominent.,5,5,5,"Excellent Early Renaissance style with clear facial features, period-appropriate clothing, and smooth rendering. Structure is well-preserved and artifacts are minimal.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks fine detail. Structure is mostly preserved but with noticeable blurring and edge artifacts.
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo pastel tones but heavily degraded; structure blurred and artifacts dominate.,5,5,5,"Strong Rococo aesthetic with soft pastels, ornate framing, and clear preservation of source composition and figures.",2,3,2,Minimal style transfer; mostly retains original image with slight color wash and edge artifacts.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structural fidelity, and no visible artifacts.",3,4,3,Moderate minimalism; structure mostly preserved but some overexposure and softness reduce clarity.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint Rococo pastel tones but lacks ornamental detail; structure preserved but style is weak and washed out.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastels, and decorative motifs; structure perfectly preserved with no artifacts.",3,4,4,Moderate Rococo influence with some color softening; structure intact but style less refined than Seedream; minor edge artifacts.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,EdgeGated_e12,4,2,4,4,Minimal style transfer; mostly preserves source structure with negligible impressionistic texture or color.,5,3,3,Strong impressionistic brushwork and color palette applied; some structural softening and minor artifacts in background.,3,5,5,Excellent structure and artifact control; subtle style application with faint impressionistic tones but low stylistic intensity.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,2,3,Almost entirely blank; no impressionistic texture or color applied. Structure barely preserved due to lack of content rendering.,4,5,5,Retains source structure with subtle beige tone and faint dots; minimal artifacts. Style specificity is moderate — lacks strong Impressionist brushwork but avoids over-stylization.,1,2,4,Nearly white output with no stylistic transfer. Structure preserved only by dot positions. Very clean but fails style task.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,EdgeGated_e12,4,2,4,4,"Minimal style transfer; retains source aesthetic with faint brushwork hints. Structure well preserved, few artifacts.",5,3,3,"Strong Impressionist style: visible brushstrokes, vibrant color shifts, atmospheric lighting. Some structural distortion in figure and background elements.",3,5,5,"Excellent structure and artifact control; style applied subtly — slight textural softening and muted color variation, but lacks strong Impressionist character."
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint Rococo feel; structure is preserved but overly blurred and washed out. Lacks color, ornamentation, and clarity.",5,5,5,"Excellent Rococo style transfer with ornate frame, pastel palette, and clear structure. No visible artifacts.",2,3,2,"Similar to LBM-Knee_e13; minimal style transfer, low contrast, and lacks Rococo characteristics."
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,EdgeGated_e12,4,2,3,2,Minimal Rococo influence; structure preserved but lacks stylistic fidelity and shows slight blurring.,5,4,3,Strong Rococo framing and ornamental detail; structure mostly intact with minor edge softening.,3,5,5,Excellent structural and artifact control; moderate Rococo styling with subtle decorative hints.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; impressionistic brushwork barely visible. Structure preserved but washed out. Heavy artifacts from over-smoothing or poor style transfer.",5,5,5,"Excellent impressionist style with visible brushstrokes, vibrant colors, and atmospheric sky. Source structure perfectly preserved. No visible artifacts.",2,3,2,Similar to LBM — overly blurred and desaturated. Impressionist texture is weak. Structure intact but obscured by haze-like artifacts.
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and halo artifacts obscure structure; minimalism not achieved due to loss of detail and excessive softness.,5,5,5,"Excellent preservation of source structure with clean, minimal aesthetic; no visible artifacts; style matches target reference well.",4,4,4,Good structure retention and clean output; slight over-saturation in neon glow reduces minimalism fidelity but remains strong overall.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Rococo style; output is a faded, blurry version of the source with no ornamental detail or stylistic fidelity.",5,5,5,"Perfectly applies Rococo ornate border while preserving the yellow rectangle’s shape and position. Clean, artifact-free, and stylistically precise.",2,3,2,"Similar to LBM — lacks Rococo styling, shows heavy blur and edge artifacts, fails to transfer style meaningfully."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,EdgeGated_e12,EdgeGated_e12,EdgeGated_e12,EdgeGated_e12,4,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges.,2,3,2,"Weak style transfer; noticeable artifacts and structural distortion, especially in figures and background.",5,5,5,"Strong Early Renaissance style fidelity, excellent structure retention, minimal artifacts — best overall performance."
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,4,2,3,3,"Overly washed out; minimalism not clearly expressed, structure blurred but intact.",5,5,4,Strong minimalism with clean geometry and clear structure; slight color blockiness.,3,4,5,Cleanest output with minimal artifacts; style is faint but structure preserved well.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,EdgeGated_e12,4,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e color and line weight. Structure preserved but overly desaturated.",5,3,3,Strong Ukiyo-e aesthetic with appropriate color palette and stylized shading. Some structural distortion in figures and architecture.,3,5,5,"Excellent structure preservation and clean output, but style is too subtle — nearly monochrome with minimal Ukiyo-e characteristics."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Faint, washed-out impressionistic washes; structure mostly preserved but lacks color/brushwork fidelity to target style.",5,5,5,Strong impressionist palette and brushwork applied coherently; architecture and figures retain clear structure with minimal artifacts.,3,4,4,Moderate impressionist tone; edges preserved well but color application is uneven and slightly muted compared to target.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Fails to apply minimalism; output is nearly identical to source with no stylistic transformation.,5,5,5,"Perfectly captures minimalism through clean lines, geometric framing, and restrained color palette while preserving the core structure of the source.",2,3,4,No meaningful style transfer; output is a washed-out version of the source without applying minimalism.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, lacks Ukiyo-e line work and color blocking; structure is preserved but heavily degraded by blur.",5,5,5,"Excellent Ukiyo-e style transfer with clear outlines, flat colors, and circular framing; structure is perfectly preserved with no artifacts.",3,4,3,Moderate style transfer with some line definition but washed-out colors; structure is well-preserved but overall image lacks vibrancy and clarity.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",3,4,3,Moderate minimalism with some edge artifacts and slight over-smoothing; structure mostly preserved.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimalism not clearly expressed, structure is preserved but obscured by noise/artifacts.",5,5,5,Excellent minimalism with clean geometric shapes and flat colors; structure perfectly preserved; no visible artifacts.,2,3,2,"Similar to LBM-Knee_e13 — overly soft, low contrast, lacks clear minimalist styling; structure faintly visible but degraded by haze."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; Rococo style not evident; heavy artifacts and loss of detail.,5,5,5,"Excellent Rococo aesthetic with ornate frame, soft lighting, and refined brushwork; structure perfectly preserved; no visible artifacts.",3,4,3,Moderate Rococo feel with some decorative elements; structure mostly intact but slightly distorted; mild blurring and edge artifacts present.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but details are blurred. Significant artifacts from over-smoothing.",5,5,5,Excellent Ukiyo-e style transfer with bold lines and flat color areas. Structure is perfectly preserved with clear details. No visible artifacts.,3,4,3,"Moderate style transfer, somewhat faded. Structure is well-preserved. Some minor artifacts and blurring present, but less severe than LBM."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source structure with faint texture. Lacks impressionistic brushwork or color vibrancy.,5,5,5,"Strong impressionist rendering with visible brushstrokes, rich color blending, and faithful structural retention. Clean output with no artifacts.",3,4,4,Moderate style application — some textural variation but muted colors and less dynamic brushwork. Structure preserved well; minor edge softening.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e texture or line work; structure is preserved but heavily degraded by haze.,5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color regions, and stylized shading; structure perfectly preserved; no visible artifacts.",3,4,3,"Moderate Ukiyo-e influence with some line emphasis, but overly hazy and low-contrast; structure mostly intact but suffers from smudging and loss of detail."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not achieved, structure partially preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM — overly diffuse, minimalism absent, structure faintly retained but degraded."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; style is ambiguous and lacks Renaissance clarity. Structure is somewhat preserved but blurred. Heavy artifacts and loss of detail.",5,5,5,"Excellent match to Early Renaissance style: clear figures, appropriate color palette, and compositional fidelity. Structure is well-preserved with no visible artifacts.",3,4,3,Moderate style transfer with some Renaissance characteristics but overly smooth and washed out. Structure is mostly preserved but lacks texture. Minor artifacts in background.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,EdgeGated_e12,4,2,3,2,Faint Rococo tones but lacks ornamental detail; structure preserved but colors washed out; noticeable vignetting and blur artifacts.,5,5,4,Strong Rococo aesthetic with gilded frame and ornate cabinet; structure perfectly preserved; minor edge softness but no major artifacts.,3,4,5,"Moderate Rococo color palette; structure well-maintained; cleanest output with minimal artifacts, though style is less distinctive than Seedream."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimal structure retained, style not clearly minimalistic.",5,5,5,"Clean vector-like style, strong structural fidelity, no visible artifacts — best match to minimalism.",2,3,2,"Similar to LBM — overly diffuse, lacks sharpness or clear stylistic intent, moderate structure loss."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very dark vignette and heavy color shift obscure content; minimal Rococo elegance or detail.,5,5,5,"Excellent Rococo styling with ornate framing, soft pastel palette, and preserved source structure; no visible artifacts.",3,4,3,Moderate Rococo influence with some decorative elements; slight color bleeding and edge artifacts reduce polish.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves source sketch with faint Renaissance tint. Structure intact but lacks stylistic depth.,5,5,5,"Excellent Early Renaissance style: rich color palette, painterly texture, and anatomical rendering. Structure perfectly preserved with no artifacts.",3,4,4,"Moderate style application — aged parchment effect and subtle coloring. Structure well maintained, minor edge artifacts near text."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; background remains plain white with no Renaissance elements. Structure preserved but lacks artistic integration.,5,5,5,Excellent Early Renaissance style applied to background architecture and floor pattern. Source object (red ovals) preserved cleanly. No visible artifacts.,3,4,4,Some architectural elements added but weakly rendered. Style is inconsistent and lacks detail compared to target. Minor edge artifacts near object boundary.
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and lacks Rococo characteristics. Structure is preserved but details are lost. Heavy blur and low contrast reduce quality.,5,5,5,Excellent Rococo style transfer with ornate background and soft pastel tones. Structure is well preserved with clear facial features and clothing details. No visible artifacts.,2,3,2,Minimal style transfer; image remains close to source with no Rococo elements. Structure is preserved but lacks refinement. Slight haze and low saturation reduce aesthetic quality.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; retains source structure but lacks Impressionist texture or color blending.,5,5,5,"Excellent Impressionist rendering with soft brushwork, warm palette, and faithful preservation of figure and background structure.",3,4,4,"Moderate style application; some Impressionist traits visible but muted, with slight edge artifacts and reduced color vibrancy."
