case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e02_style_specificity,Hold4TwoStage_e02_structure_preservation,Hold4TwoStage_e02_artifact_control,Hold4TwoStage_e02_note
Ukiyo_e__utagawa-kuniyoshi_tsuchigumo__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and noise obscure content; Rococo elements are barely perceptible.,5,5,5,Excellent Rococo aesthetic with soft pastels and ornate framing; source structure preserved clearly with minimal artifacts.,3,2,2,Overly washed-out and blurry; structure is distorted and style is muted.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks clean lines or simplified forms. Structure is partially preserved but degraded by haze.,5,5,5,"Excellent minimalism: clean geometry, reduced detail, soft gradients, and strong structural fidelity. No visible artifacts.",3,4,3,"Moderate minimalism with some simplification, but overly washed out and low contrast. Structure is mostly intact but lacks crispness."
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is muted and lacks Rococo ornamentation; slight blurring and low contrast reduce visual fidelity.,5,5,5,"Excellent Rococo styling with ornate frames, soft pastels, and decorative elements; structure fully preserved with no visible artifacts.",3,3,2,Some Rococo color palette applied but overly washed out; structure is blurred and details are lost; noticeable smudging and low clarity.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with no artifacts, but applies almost no impressionistic style—appears nearly identical to the source.",5,4,4,Strongly captures Impressionist brushwork and color palette; minor softening of edges but overall structure remains clear and artifacts are minimal.,3,2,2,"Shows some stylistic intent but suffers from heavy blurring, loss of object definition, and visible artifacts—structure is significantly degraded."
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,1,3,2,Completely washed out; no impressionistic texture or color variation. Structure preserved but style absent.,4,5,4,Best approximation of Impressionism among candidates — subtle warm tones and soft blending suggest brushwork. Minor artifacts at edges but overall clean.,2,3,2,"Slight color shift and blur suggest attempted stylization, but lacks texture/detail. Visible halo artifacts around dots."
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but fails to apply Impressionist style; output is nearly identical to source.",5,4,3,"Strongest Impressionist style with vibrant colors and brushwork. Minor artifacts in the sky and slight structural warping, but overall best style transfer.",1,2,1,Severe degradation; image is washed out and lacks detail. Fails to preserve structure or apply style effectively.
Rococo__antoine-watteau_the-delicate-musician__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; appears as a faded, low-contrast version of the source with no Rococo elements. Structure is preserved but lacks detail. Heavy artifacts and blurring degrade quality.",5,5,5,"Excellent Rococo style transfer: ornate frame, pastel palette, soft lighting, and decorative background match target style perfectly. Source structure (pose, instrument, dress) is well preserved. No visible artifacts; clean and polished output.",2,3,2,Minimal style transfer; resembles a washed-out or overexposed version of the source. No Rococo characteristics. Structure is roughly preserved but blurry. Significant artifacts including smudging and loss of texture.
Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Weak Rococo styling; structure preserved but colors muted and details blurred. Minimal artifacts but lacks ornamental flair.,5,5,5,"Excellent Rococo emulation with ornate frame, soft pastel tones, and faithful structure. No visible artifacts; ideal balance.",2,2,2,Heavy blur and smudging obscure structure and style. Poor artifact control; no clear Rococo characteristics.
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faded and low-contrast; impressionistic brushwork is barely perceptible. Structure is preserved but obscured by haze. Heavy artifacts from over-smoothing or failed style transfer.,5,5,5,"Excellent impressionist style with visible brushstrokes, vibrant colors, and atmospheric sky matching the reference. Source structure (boy, dog, basket, path) is perfectly preserved. No visible artifacts.",2,2,1,Extremely washed out and ghostly; style is nearly absent. Structure is barely discernible due to severe fading and blurring. High level of artifacting — appears as if the image was degraded rather than stylized.
Minimalism__bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Poor minimalism; heavy glow and halo artifacts distort structure and reduce clarity.,5,5,5,"Excellent minimalism with clean lines, accurate structure, and no visible artifacts.",3,3,4,Moderate minimalism; structure is somewhat preserved but neon glow is overly diffused and hazy.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Rococo style; output is a faded, blurry version of the source with no ornamental or stylistic elements. Structure is preserved but degraded by artifacts.",5,5,5,Perfectly applies Rococo style via an ornate frame with floral motifs and gilded details. Source yellow rectangle is cleanly preserved within the frame. No visible artifacts.,3,4,3,"Imitates Rococo texture and color palette (aged parchment, dark vignette) but lacks structural ornamentation. Structure is mostly preserved but with soft blurring and uneven tonal artifacts."
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate Early Renaissance style with visible texture artifacts and slight color bleeding; structure mostly preserved but edges are soft.,5,5,5,"Strong Early Renaissance aesthetic with clean rendering, well-preserved composition, and minimal artifacts; best overall result.",2,3,2,Weak style transfer with washed-out colors and heavy blurring; structure is distorted and artifacts are prominent.
Impressionism__william-merritt-chase_at-the-boat-landing__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,"Very clean output with minimal artifacts, but style is too faint and lacks the bold color blocking of minimalism.",5,5,4,Excellent translation of the target style with strong geometric shapes and color blocks. Structure is well-preserved and the image is clean.,1,2,3,"The output is extremely washed out and blurry, failing to capture the style or the structure of the source image."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very low color saturation and muted tones; structure preserved but lacks Ukiyo-e vibrancy and line clarity.,5,5,5,"Excellent Ukiyo-e style transfer with rich colors, clear linework, and faithful structural preservation; minimal artifacts.",2,3,2,Overly desaturated and washed-out; structure partially preserved but with significant blurring and loss of detail; poor style fidelity.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is very washed out and lacks impressionistic texture or color vibrancy; appears faded rather than stylistically transformed.,5,5,5,"Excellent impressionistic style transfer with rich, warm tones and visible brushwork-like texture while perfectly preserving architectural and figure structure. No artifacts.",1,2,1,"Severely degraded output — almost entirely washed out, losing both style and structure. Appears as a failed or corrupted generation with no discernible impressionistic qualities."
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e02,4,2,3,3,Fails to apply minimalism; output is nearly blank white with no stylistic or structural fidelity.,5,5,4,"Excellent minimalism: clean lines, restrained palette, preserves source structure (tape, paper shape) while abstracting texture into flat geometry.",3,2,5,"Overly blurred and washed out; loses structural detail and minimalism intent, but has no harsh artifacts."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal Ukiyo-e stylistic features; structure is preserved but heavily degraded by blur.,5,5,5,Excellent Ukiyo-e line art and color palette; faithful structure preservation; clean output with no visible artifacts.,2,2,1,Extremely blurry and indistinct; almost no stylistic transfer; severe loss of facial and clothing detail; heavy artifacts.
Rococo__pietro-longhi_the-tooth-extractor__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Clean geometric abstraction with flat colors and simplified forms; strong minimalism, excellent structure retention, no visible artifacts.",3,2,3,Soft blur reduces detail; some minimalism implied but structure significantly degraded; mild artifacts from over-smoothing.
Rococo__thomas-gainsborough_john-plampin__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; appears as a faded, low-contrast version of the source with no stylistic reduction or simplification.",5,5,5,"Excellent minimalism: flat colors, bold outlines, simplified forms, and clean composition while preserving subject identity and pose.",2,3,2,Overly blurred and washed-out; lacks stylistic intent and introduces significant artifacts that obscure structure and detail.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; heavy blur and loss of facial detail; ornamental frame present but poorly rendered.,5,5,5,"Excellent Rococo aesthetic with ornate frame, soft lighting, and faithful preservation of source structure and expression.",2,2,1,Severe degradation; almost entirely blurred and washed out; no discernible structure or style fidelity.
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is somewhat preserved but colors are muddy. Significant artifacts from over-smoothing.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color areas, and characteristic composition. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e elements present but muted. Structure is well-preserved. Some blurring and loss of detail in background.
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Minimal style transfer; grid and wall remain nearly photographic. No impressionistic brushwork or color blending. Structure preserved but lacks stylistic intent.,5,5,5,"Strong impressionistic rendering: visible brushstrokes, color variation, and textured surfaces. Grid and wall retain structure while adopting painterly qualities. Clean output with no artifacts.",3,2,2,"Some impressionistic smudging and color bleed, but structure is distorted (grid warps, wall blurs). Artifacts include haloing and loss of edge definition. Style applied inconsistently."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; Ukiyo-e style is barely perceptible. Structure is preserved but heavily degraded by noise/artifacts.,5,5,5,Excellent Ukiyo-e style transfer with clear line work and color palette. Structure is perfectly preserved and no visible artifacts.,1,2,1,Extremely faded and low-contrast; style is almost entirely lost. Structure is barely discernible due to severe blurring and artifacting.
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with clean geometry and flat color; source structure fully preserved; no visible artifacts.,2,3,2,Faint ghosting effect; minimalism implied but poorly rendered; structure barely visible; significant artifacts.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, ghostly rendering; style is barely perceptible and structure is blurred with heavy artifacts.",5,5,5,Excellent preservation of source structure and faithful application of Early Renaissance style with minimal artifacts.,2,2,1,Severe structural distortion and loss of detail; style is washed out and heavily artifacted.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; structure is preserved but overly blurred and lacks detail. Heavy vignetting and color wash reduce fidelity.,5,5,5,Excellent Rococo style transfer with ornate gold frame and decorative motifs matching target. Structure of the cabinet is well-preserved with accurate proportions and textures. No visible artifacts.,3,2,2,Some Rococo color palette applied but lacks stylistic details. Structure is heavily blurred and distorted. Significant smearing and loss of edge definition.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks clean geometry or flat color. Structure is preserved but degraded by haze.,5,5,5,"Excellent minimalism: flat colors, sharp edges, simplified forms. Structure is well-preserved with clean vector-like rendering. No artifacts.",2,2,2,Overly diffuse and smudged; minimalism not achieved. Structure is lost in blur. Heavy artifacts from over-smoothing.
Ukiyo_e__katsushika-hokusai_fishing-in-the-river-kinu__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo influence; heavy vignetting and color distortion obscure structure and style.,5,5,5,"Excellent Rococo aesthetic with ornate framing, soft pastel tones, and faithful structural retention; minimal artifacts.",3,3,3,Moderate Rococo feel but washed-out colors and visible banding artifacts reduce overall quality.
Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,"Preserves source structure well with minimal artifacts, but fails to apply Renaissance style—remains nearly identical to source.",5,5,4,Excellent fusion: retains source geometry while applying rich Early Renaissance portraiture style with natural aging and texture.,3,2,2,"Overly degraded output; structure is blurred and obscured by excessive noise/aging, style is vague and inconsistent."
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; source content dominates with only faint color wash. Structure preserved but lacks Renaissance architectural or painterly cues.,5,5,5,"Excellent Early Renaissance style integration: warm tones, chiaroscuro, architectural framing, and figure-like forms. Source layout preserved with high fidelity and no visible artifacts.",1,2,1,Severe distortion and loss of source structure. Heavy noise and smearing obscure content. No discernible Renaissance style applied.
Rococo__louise-elisabeth-vigee-le-brun_portrait-of-joseph-vernet-1778__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image is overly blurred and lacks Rococo characteristics. Structure is preserved but degraded by heavy blur.,5,5,5,"Excellent Rococo style transfer with ornate background, soft lighting, and pastel tones. Structure is well-preserved with no visible artifacts.",2,3,2,Minimal style transfer; image remains close to source with slight color shift. Structure is preserved but lacks clarity and Rococo elements.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; mostly preserves original line art with faint color wash. Lacks impressionistic texture or brushwork.,5,5,5,"Excellent impressionistic rendering with visible brushstrokes, soft edges, and color blending while preserving figure structure and pose. No artifacts.",3,2,2,Overly faded and washed-out; loses structural detail and color fidelity. Style is vague and lacks impressionistic character.
