kind,dir,path,linked_train_dir,linked_eval_dir,suite,ablation_name,axis,notes,epochs,batch_size,learning_rate,terminal_swd_weight,w_kinetic,w_cycle,w_repulsive,w_low_freq,swd_use_high_freq,checkpoint_count,latest_checkpoint,checkpoint,style_transfer_clip_style,style_transfer_clip_content,style_transfer_lpips,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_lpips,debug_loss,debug_terminal_swd,debug_kinetic,debug_dec_out_grad_swd,debug_attn_top1,debug_attn_entropy_norm,debug_darkest_sample,debug_darkest_ratio
train,o20_d2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d2,o20_d2,,,g0_damping_repulsive20,damping_axes,20-epoch full-band run from L5 with light repulsive damping.,20,32,0.0002,16.0,0.3,0.0,0.2,0.0,False,2,epoch_0020.pt,,,,,,,,,,,,,,,
train,o20_d3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_d3,o20_d3,,,g0_damping_hybrid20,damping_axes,20-epoch full-band run from L5 with light cycle plus repulsive damping.,20,32,0.0002,16.0,0.3,0.15,0.15,0.0,False,2,epoch_0020.pt,,,,,,,,,,,,,,,
train,o20_k3_p135,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_k3_p135,o20_k3_p135,,,g0_kernel3_patch135_hf20,kernel_patch_tune,Smaller low-frequency kernel with tighter SWD patch bank to let global color move more freely while keeping texture local.,20,32,0.0002,10.0,0.3,1.5,0.0,1.0,True,2,epoch_0020.pt,,,,,,,,,,,,,,,
train,o20_k5_p359,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_k5_p359,o20_k5_p359,,,g0_kernel5_patch359_hf20,kernel_patch_tune,Medium low-frequency kernel with broader SWD patch bank to test more coherent brush-structure coupling.,20,32,0.0002,10.0,0.3,1.5,0.0,1.0,True,0,,,,,,,,,,,,,,,,
train,o20_m2_inplace,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20_m2_inplace,o20_m2_inplace,,,g0_blackdot_m2_damped20_inplace,blackdot_mitigation,20-epoch in-place full-eval confirmation run for the M2 black-dot mitigation setting.,20,32,0.0002,10.0,0.45,0.2,0.0,0.0,False,2,epoch_0020.pt,,,,,,,,,,,,,,,
eval,o20a,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20a,o20_adain_val,o20a,,,,,,,,,,,,,,,,o20_adain_val\epoch_0020.pt,0.62985291197896,0.9017605326166667,0.2972855107833333,0.5835618632535139,0.8958920629166667,0.3006985913333333,,,,,,,,
eval,o20cahf,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20cahf,o20_cycle_adain_hf,o20cahf,,,,,,,,,,,,,,,,o20_cycle_adain_hf\epoch_0020.pt,0.6667776547869046,0.7869066353666666,0.4614634960666667,0.6489248196283977,0.7956929575833334,0.47883178108333335,,,,,,,,
eval,o20d1,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d1,o20_d1,o20d1,,,,,,,,,,,,,,,,o20_d1\epoch_0020.pt,0.6959513086080552,0.7287598048999999,0.56406014565,0.6840842430790266,0.7217049341666668,0.5847712051666667,,,,,,,,
eval,o20d2,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d2,o20_d2,o20d2,,,,,,,,,,,,,,,,o20_d2\epoch_0020.pt,0.6985667718946934,0.7193594156166667,0.55941198,0.6893334865570068,0.7129939445,0.5820484331666667,,,,,,,,
eval,o20d3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20d3,o20_d3,o20d3,,,,,,,,,,,,,,,,o20_d3\epoch_0020.pt,0.698373916943868,0.7301672403666666,0.5521082371666667,0.6874847213427225,0.7123606340833333,0.5713772696666667,,,,,,,,
eval,o20k3p135,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20k3p135,o20_k3_p135,o20k3p135,,,,,,,,,,,,,,,,o20_k3_p135\epoch_0020.pt,0.6740492617587248,0.78149165005,0.4496153193333334,0.6473119815190633,0.7919199222499999,0.4475824240833333,,,,,,,,
eval,o30e3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o30e3,orthogonal_phase_space_sweep_30_validation,o30e3,,,,,,,,,,,,,,,,orthogonal_phase_space_sweep_30_validation\g0_universe_center_ste_fix\epoch_0030.pt,0.6406189773976803,0.8799279234833335,0.3302887229166667,0.6005547429124515,0.8569424419999999,0.3336474535,,,,,,,,
train,o_debug_d3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o_debug_d3,o_debug_d3,,,g0_d3_numeric_debug,numeric_debug,One-epoch numeric debug run on pre-HF-branch hybrid damping setup.,1,32,0.0002,16.0,0.3,0.15,0.15,0.0,False,1,epoch_0001.pt,,,,,,,,,,,,,,,
train,o_debug_l5,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o_debug_l5,o_debug_l5,,,g0_l5_numeric_debug,numeric_debug,One-epoch numeric debug run on pre-HF-branch full-band L5 baseline.,1,32,0.0002,16.0,0.3,0.0,0.0,0.0,False,1,epoch_0001.pt,,,,,,,,,,,,,,,
train,o_debug_l5_tanh,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o_debug_l5_tanh,o_debug_l5_tanh,,,g0_l5_numeric_debug_tanhhead,numeric_debug,One-epoch numeric debug run with bounded tanh velocity head on the pre-HF full-band L5 baseline.,1,32,0.0002,16.0,0.3,0.0,0.0,0.0,False,1,epoch_0001.pt,,,,,,,,,,,,,,,
debug_report,d3_epoch20_batch00,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\orthogonal_phase_space_sweep_debug\reports\d3_epoch20_batch00.json,G:\,,orthogonal_phase_space_sweep_debug,,debug,,,,,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\o20_d3\epoch_0020.pt,,,,,,,4.674994945526123,4.389433860778809,0.10177965462207794,7.585163593292236,0.9667754769325256,0.016482928778691747,3,0.0044403076171875
debug_report,l5_epoch10_batch00,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\orthogonal_phase_space_sweep_debug\reports\l5_epoch10_batch00.json,G:\,,orthogonal_phase_space_sweep_debug,,debug,,,,,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\o10_l5\epoch_0010.pt,,,,,,,4.620718002319336,4.50771427154541,0.1130036935210228,8.795900344848633,0.9561728835105896,0.024171925102622817,3,0.006683349609375
