date,family,dataset,scope,method,variant_or_point,checkpoint_or_step,clip_style,content_lpips,delta_idt_full,delta_idt_transfer,artfid_or_aggregate_artfid,train_wall,hardware,status,keep_decision,evidence_path,note,review_required,latest_review_cycle,review_status,claim_safety_band
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__flow_huber__seed42,epoch_0002,0.6986,0.3560,,,,"3 epochs + auto full-eval; train complete 2026-06-03 02:07 +08:00","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/flow_loss_h_base_huber_seed42.json","Automatic full-eval succeeded for all three epochs. e1=0.6965/0.3322, e2=0.6986/0.3560, e3=0.6961/0.3409 (full clip_style/content_lpips). Best raw style at e2; best LPIPS at e1. Post-run config audit shows resolved objective_mode=omf and w_flow=0.0, so this row cannot support the intended loss-kernel claim.",yes,,queued,unsafe
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__flow_l1__seed42,epoch_0002,0.6988,0.3608,,,,"3 epochs + auto full-eval; train complete on remote 3060","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/flow_loss_h_base_l1_seed42.json","Automatic full-eval completed. e1=0.6964/0.3313, e2=0.6988/0.3608, e3=0.6960/0.3415 (full clip_style/content_lpips). Post-run config audit shows resolved objective_mode=omf and w_flow=0.0, so this row is non-probing for the intended loss-kernel claim and should be read as a near-null operational control.",yes,,queued,unsafe
2026-06-03,metric_validation,distinct5_512,full,LBM,endpoint_metric_ablation_repaired,completed,,,,,,,"remote RTX 3060",completed,required,"SchrodingerBridge/docs/experiments/2026-06-03-flow-loss-metric-ablation/README.md","Activated replacement for the invalidated near-null flow-loss trio is now complete for MSE, Huber, and L1. Best repaired points remain clearly worse than the reviewed H mainline on LPIPS: MSE e1=0.6998/0.5170, Huber e1=0.6929/0.3557, and L1 e3=0.6911/0.3552 (full clip_style/content_lpips). The packet therefore supports a negative closure: pure endpoint-only pointwise supervision is not the source of the current W1-style mainline frontier.",yes,R20260603C,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__endpoint_metric_mse__seed42,epoch_0001,0.6997619076,0.5169997306,,,,"completed repaired packet; per-epoch eval wall_total about 95-97s","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_mse_seed42.json","Activated repaired endpoint-metric arm completed on remote 3060. Full: e1=0.6997619076/0.5169997306, e2=0.6971165484/0.5478854412, e3=0.6985144924/0.5201614953. Transfer: e1=0.6847187312/0.5186539203, e2=0.6862729452/0.5501397298, e3=0.6842668918/0.5225907604. Best epoch is e1 by style/LPIPS balance, but all three epochs remain far worse on LPIPS than the reviewed H mainline, so this arm currently argues against pure endpoint-only pointwise supervision as the mainline replacement.",yes,R20260603C,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__endpoint_metric_huber__seed42,epoch_0001,0.6928812635,0.3556942509,,,,"completed repaired packet; train and full-eval complete on remote 3060","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_huber_seed42.json","Activated repaired endpoint-metric Huber arm completed on remote 3060. Full: e1=0.6928812635/0.3556942509, e2=0.6923208323/0.3650320160, e3=0.6909498694/0.3497314371. Transfer: e1=0.6633475696/0.3561823752, e2=0.6638556846/0.3652528899, e3=0.6608838979/0.3499506217. Recommended balance point is e1; e3 is the lowest-LPIPS point. Even the best repaired Huber point remains far worse on LPIPS than the reviewed H mainline, so this arm supports the negative endpoint-only conclusion rather than a local-kernel win.",yes,R20260603C,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__endpoint_metric_l1__seed42,epoch_0003,0.6910941314,0.3552152437,,,,"completed repaired packet; train and full-eval complete on remote 3060","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_l1_seed42.json","Activated repaired endpoint-metric L1 arm completed on remote 3060. Full: e1=0.6932040906/0.3624896984, e2=0.6927190168/0.3715741649, e3=0.6910941314/0.3552152437. Transfer: e1=0.6641346080/0.3630398018, e2=0.6648551672/0.3717617980, e3=0.6613619615/0.3554974833. Best raw style is e1; best LPIPS is e3. As with repaired MSE and Huber, the arm remains materially behind the reviewed H mainline on LPIPS and does not support replacing the W1-style mainline with pure endpoint-only pointwise supervision.",yes,R20260603C,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,sa_swd_semantic_vs_random,semantic_and_random_completed,,,,,,,"remote RTX 3060",completed,required,"SchrodingerBridge/docs/experiments/2026-06-03-saswd-axis-ablation/README.md","Fixed-base semantic-vs-random SA-SWD packet is now fully landed. Semantic arm completed normally; random arm also completed and produced epoch_0001..0003 summaries, but it remained a severe runtime anomaly throughout training and is admissible only as quality-only evidence. Quality-side comparison is not a clean positive closure for semantic axes: semantic retains about +0.01 raw style, while random retains a much stronger LPIPS advantage. Post-landing adversarial review therefore treats Gate B as negatively closed rather than open or positively closed.",yes,R20260603E,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__saswd_semantic__seed42,epoch_0001,0.6963431751,0.3313274828,,,,"train complete; per-epoch summaries collected on remote 3060","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_semantic.json","Matched semantic-axis arm `SB_SASWD_H_SEM_S42` completed on remote 3060. Full: e1=0.6963431751/0.3313274828, e2=0.6987337865/0.3608344315, e3=0.6961391042/0.3415375931. Transfer: e1=0.6650688401/0.3391037583, e2=0.6684234888/0.3702646600, e3=0.6645665071/0.3506202180. Best full-view LPIPS/balance is e1; best raw style is e2. After the landed random-axis pair, this arm remains usable as one side of a negative closure packet, not as stand-alone evidence for semantic-axis superiority.",yes,R20260603E,reviewed,narrow_only
2026-06-03,metric_validation,distinct5_512,full,LBM,H_base__saswd_random__seed42,epoch_0001,0.6860751852,0.2691072983,,,,"runtime-anomalous completion; epoch walls include 971.7s at e1 and 882.4s at e3","remote RTX 3060",completed,required,"SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_random.json","Matched random-axis arm `SB_SASWD_H_RAND_S42` completed and produced full-eval summaries for all three epochs. Full: e1=0.6860751852/0.2691072983, e2=0.6863345393/0.2706820921, e3=0.6863872107/0.2706962664. Transfer: e1=0.6506762915/0.2692665908, e2=0.6507716310/0.2710198916, e3=0.6508313735/0.2713293984. Best full-view LPIPS is e1. The arm is usable only as quality-only evidence because the run sustained severe throughput degradation throughout training; its runtime is inadmissible as normal formal-speed evidence. In the landed pair, this arm undercuts any clean positive semantic-axis superiority reading by retaining a much stronger LPIPS advantage.",yes,R20260603E,reviewed,narrow_only
2026-06-03,theory_validation,distinct5_512,full,LBM,tokenizer_code_to_execution_alignment,H_e1_checkpoint_recovery_pending,,,,,,,"remote RTX 3060",blocked,required,"SchrodingerBridge/docs/experiments/2026-06-03-tokenizer-execution-alignment/README.md","Formal code-vs-executed-output geometry probe for the current style-id tokenizer story. Remote clean worktree was synced to branch head `ebb194669` before launch, but the selected H-family `epoch_0001` checkpoint payload was not found under the searched roots `I:\\Github\\Latent_Style_TokenizerClean\\SchrodingerBridge`, `I:\\Github\\Latent_Style_TokenizerClean`, and `I:\\Github\\Latent_Style`. The surviving family root still contains `config.json` and `logs\\training_20260602_235921.csv`, with `data.data_root=/mnt/i/wikiart_distinct5_samam_512_latents_ema/train`. No substitute checkpoint has been used; packet is blocked on checkpoint recovery or explicit reselection.",yes,,planned,unsafe
2026-06-03,efficiency_validation,distinct5_512,full,LBM_vs_SaMAM_vs_SaMST,time_to_parity_curve,artifact_v1,,,,,,training-only wall clock; see parity CSV,"single normalized full-scope timing packet",completed,required,"SchrodingerBridge/docs/experiments/2026-06-03-time-to-parity/distinct5_time_to_parity_points.csv","Same-scope Distinct5 full timing artifact generated. LBM is represented by reviewed operating-point records, SaMAM by the indexed partial curve, and SaMST by the current e15 operating-point record. This replaces mixed anecdotal speed prose, but the claim boundary remains narrow until reviewer recheck lands and SaMST has a matched curve.",yes,,review_pending,narrow_only
2026-06-03,theory_validation,distinct5_512,path,LBM,path_stability_probe,planned,,,,,,,"remote RTX 3060",planned,required,"SchrodingerBridge/docs/experiments/2026-06-02-aaai2027-paper-update-plan.md","Needed to support the bounded kinetic/path-energy story",yes,,planned,unsafe
