case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note,AttnSA_e08_style_specificity,AttnSA_e08_structure_preservation,AttnSA_e08_artifact_control,AttnSA_e08_note
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Impressionist brushwork and color palette; structure slightly softened but recognizable; minor smudging in background.,3,5,5,Preserves architectural lines and figures well; low stylistic deviation from source; clean output with minimal artifacts.,2,4,4,Very faint impressionist wash; structure mostly intact; low contrast and muted tones reduce stylistic impact.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,High-contrast cartoonish style; loses architectural detail and introduces halos.,5,5,5,Clean monochrome minimalism; preserves structure and edges with no artifacts.,3,2,3,Soft blur reduces detail; structure is vague but no harsh artifacts.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,"Strong Rococo styling with ornate details and pastel tones, but structure is softened and some artifacts appear in background elements.",3,5,5,"Excellent preservation of original structure and minimal artifacts, but style transfer is subtle and lacks strong Rococo characteristics.",2,4,4,"Moderate structure retention with low artifacts, but style transfer is weak and indistinct, failing to convey Rococo aesthetics."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,2,Moderate Ukiyo-e stylization with visible color bleeding and structural distortion; artifacts from over-stylization.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, preserved architecture, and minimal artifacts; best balance overall.",2,4,3,Under-stylized; retains structure but lacks Ukiyo-e texture and line work; mild blurring artifacts.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,5,5,Preserves source structure perfectly but applies minimal Early Renaissance style; appears nearly unchanged.,5,4,3,"Strongly captures Early Renaissance palette, composition, and decorative motifs; slight structural warping and minor artifacts in figures.",3,3,2,Moderate style transfer with noticeable blurring and loss of detail; structure is somewhat distorted and artifacts are visible.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color palette while preserving architectural structure and figure placement; minimal artifacts.,4,4,4,Good stylistic rendering with slight softening of edges; structure mostly intact but less crisp than C; minor smudging in background.,3,3,3,Overly blurred and washed-out; loses structural clarity and introduces haze-like artifacts; style is present but diluted.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,Preserves structure well but lacks minimalism; retains too much detail and color.,5,4,5,"Strong minimalism with clean lines, reduced palette, and no artifacts; slight structure softening.",3,2,2,"Over-blurred, loses structure and introduces haze; minimalism is vague and artifact-prone."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate Rococo flair with soft pastels and ornate arches; structure mostly preserved but some color bleeding and minor blurring in figures.,5,5,5,"Strong Rococo execution: rich palette, gilded details, elegant drapery, and faithful architectural structure with minimal artifacts.",2,3,2,"Weak Rococo interpretation; overly muted tones, loss of detail, heavy blur, and structural distortion in figures and architecture."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Ukiyo-e stylization with clear line work and flat color blocks; architecture and figures preserved well; minimal artifacts.,4,4,4,Good Ukiyo-e influence but slightly over-saturated colors; structure mostly intact; minor smudging in background details.,3,3,3,Faint Ukiyo-e hints but overly blurred; structural elements weakened; noticeable haloing and loss of fine detail.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted Renaissance style; slight color bleed and soft edges reduce stylistic clarity.,5,4,5,Excellent Early Renaissance ornamental detail and line work; clean rendering with minimal artifacts; slight structure softening.,2,3,2,Heavy noise and degradation obscure style and structure; poor artifact control reduces overall quality.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork; slight color bleeding and soft edges reduce style clarity.,5,4,5,Excellent Impressionist texture and color blending; preserves key structural elements with minimal artifacts.,2,3,2,"Overly sketchy, low saturation, and heavy line artifacts obscure both style and structure; poor artifact control."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Clean minimal line art, preserves portrait structure, no artifacts.",3,4,3,"Retains ornate details, slightly noisy texture, moderate style dilution.",2,2,2,"Over-blurred, loses structure and style clarity, heavy artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Preserves structure well but style is muted and lacks Rococo richness; slight color bleeding.,5,4,5,"Strong Rococo styling with ornate details, good structure retention, and clean output.",4,3,2,Style is present but overly dark and noisy; structure distorted with visible artifacts.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,4,3,Strong Ukiyo-e color palette and decorative framing; slight softening of fine lines.,4,5,5,Excellent structural fidelity and clean output; style leans more toward woodcut engraving than classic Ukiyo-e.,2,3,2,Overly desaturated and noisy; loses both style cues and structural clarity.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Early Renaissance style with clear architectural framing, balanced composition, and minimal artifacts; closely matches target style while preserving source structure.",4,4,4,Good stylistic fidelity but slightly more chaotic composition and minor structural distortions; acceptable artifact control.,3,3,3,Weakest style match — overly diffuse lighting and blurred forms; significant structural drift and visible artifacts reduce overall quality.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,"Strong structural fidelity but overly saturated, cartoonish colors reduce Impressionist authenticity; visible halos and flat shading suggest post-processing artifacts.",5,4,5,Excellent brushwork texture and muted palette evoke Impressionism well; minor loss of fine detail in background elements but no distracting artifacts.,4,3,4,"Soft focus and atmospheric haze align with Impressionism, but structure is blurred beyond recognition in places; slight smudging artifacts near edges."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong minimalism: flat colors, simplified forms, clear geometry; preserves original composition and figure placement; no visible artifacts or distortions.",2,3,3,Retains ornate detail and dark tones — not minimalist; structure partially preserved but overly textured; minor smudging and color bleeding present.,1,2,2,"Highly blurred, dreamlike haze — lacks minimalism’s clarity; structure heavily degraded; significant artifacting and loss of form."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure well with minimal artifacts, but style transfer is subtle and lacks strong Rococo ornamentation.",5,4,3,Strong Rococo styling with ornate details and color palette; slight structural distortion and minor artifacts present.,4,3,2,"Moderate Rococo influence but suffers from heavy blurring, loss of detail, and visible artifacts distorting structure."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Ukiyo-e aesthetic with flat color planes and decorative patterns; structure is somewhat distorted due to stylization; minor artifacts in background details.,3,5,5,Preserves original composition and spatial relationships well; minimal artifacts; but style leans more toward Baroque painting than Ukiyo-e.,2,2,2,Very blurry and indistinct; loses both stylistic fidelity and structural clarity; heavy artifacts and loss of detail throughout.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Early Renaissance style fidelity with accurate color palette, halos, and drapery; structure perfectly preserved; minimal artifacts.",4,5,4,Strong stylistic match with good structural integrity; slight softening in facial features and halo edges introduces minor artifacts.,3,3,2,"Weakest style transfer — overly muted, painterly blur obscures details; structural distortion in faces and halos; noticeable smudging and loss of definition."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color blending while preserving original composition and figures with minimal artifacts.,4,4,4,Good stylistic adaptation but slightly less refined brushwork and minor structural softening around edges.,3,3,3,"Overly blurred and washed-out; loses detail and structure, with weak Impressionist texture and visible artifacts."
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Perfectly captures minimalism through flat color blocks, simplified forms, and geometric abstraction while preserving original composition and figures.",3,4,4,"Retains structure but applies a muted, painterly filter rather than true minimalism; lacks bold simplification and flatness.",2,3,2,Overly blurred and indistinct; loses structural clarity and fails to convey minimalism’s intentional reduction — appears degraded rather than stylized.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,"Soft Rococo framing and pastel tones, but structure is blurred and artifacts from over-smoothing are visible.",5,5,5,"Strong Rococo aesthetic with ornate framing, rich color harmony, and clean preservation of original structure without artifacts.",2,3,2,Weak Rococo influence; heavy blurring and smudging introduce artifacts and degrade structural clarity.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted Ukiyo-e styling; visible color banding and flat texture reduce style specificity.,5,4,5,"Clear Ukiyo_e line work, bold flat color blocks, and decorative patterns; clean rendering with minimal artifacts.",2,3,2,Overly soft and painterly; lacks Ukiyo_e linework and graphic quality; noticeable smearing and loss of detail.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate Renaissance styling; structure mostly preserved but slightly softened; minor smudging in beard and crown.,5,5,5,Strong Early Renaissance style with clear chiaroscuro and texture; excellent structural fidelity; minimal artifacts.,2,3,2,"Weak style transfer; structure blurred and distorted; heavy smearing and loss of detail, especially in beard and crown."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork; some color bleeding and soft edges reduce style clarity.,5,4,5,Excellent Impressionist texture and color blending; minor loss in fine facial detail but overall clean and stylistically coherent.,2,3,2,Heavy blur and smudging obscure structure; weak impressionist character with excessive noise and loss of form.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Overly saturated reds and golds distort source; minimalism not achieved.,5,5,5,"Clean lines, muted palette, and simplified forms align with minimalism while preserving facial structure.",3,2,3,"Blurred, hazy effect loses detail; structure degrades significantly despite soft aesthetic."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but Rococo elements are diluted by ornamental framing; some color bleeding and softness reduce stylistic clarity.,5,4,5,"Excellent Rococo styling with rich golds, soft brushwork, and decorative framing; minor haloing around crown edges but overall clean output.",2,3,2,Heavy blur and smudging obscure both structure and style; lacks clear Rococo characteristics and introduces significant artifacts.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,3,4,3,Moderate Ukiyo-e influence with soft edges and muted colors; structure preserved but style lacks bold linework and flat color blocks typical of Ukiyo-e.,5,5,5,"Strong Ukiyo_e style with clear linework, stylized facial features, and decorative crown; excellent preservation of original structure and minimal artifacts.",2,3,2,Very faint Ukiyo_e influence; heavy blur and loss of detail degrade both style and structure; significant artifacts from over-smoothing.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Early Renaissance style transfer with strong architectural detail, color harmony, and faithful structure retention; minimal artifacts.",4,4,4,Good stylistic match but slightly less refined in texture and edge fidelity; minor structural blurring in background elements.,3,3,3,Weakest style adherence; noticeable smudging and loss of fine architectural lines; higher artifact presence.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork; some color bleeding and softness reduce style clarity.,5,4,5,Excellent Impressionist texture and color harmony; minor loss of fine architectural detail but overall clean output.,2,3,2,Overly washed-out and blurry; loses both stylistic intent and structural coherence; significant artifacts.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Excellent Rococo style transfer with high fidelity to source structure and minimal artifacts.,4,4,4,Good style match but slightly less precise in structural alignment and minor artifacts present.,3,3,3,Noticeable loss of detail and structure; artifacts and over-smoothing reduce quality.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Ukiyo-e stylization with clean lines, flat color blocks, and decorative patterns; preserves architectural and figure structure well; minimal artifacts.",3,4,3,Moderate Ukiyo-e influence but retains too much realism; some structural distortion in figures; visible smudging and color bleeding artifacts.,2,3,2,Very weak Ukiyo-e style; overly faded and washed-out; significant loss of structural detail; heavy blurring and noise artifacts throughout.
Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,Moderate Renaissance styling; structure somewhat blurred; minor artifacts.,5,5,5,Strong Early Renaissance style; excellent structure retention; clean output.,4,4,4,Good style match; structure mostly preserved; slight artifacts.
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,AttnSA_e08,AttnSA_e08,Seedream_repaired750,AttnSA_e08,4,3,5,3,Strong structural fidelity but lacks Impressionist brushwork and color diffusion; some artifacts in background.,4,4,4,Good Impressionist texture and color blending; minor structural distortion in figures; clean output.,5,4,5,Best captures Impressionist looseness and palette; slight softening of edges but no visible artifacts; structure mostly preserved.
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,AttnSA_e08,AttnSA_e08,SaMAM_2250,AttnSA_e08,4,2,3,2,Retains source structure but adds decorative elements; fails minimalism with ornate details and color.,3,4,3,Preserves arch shape and figure placement; muted tones approach minimalism but retain texture and complexity.,5,3,5,"Strong minimalism via soft blur, desaturation, and simplified forms; structure is softened but not lost; no artifacts."
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong Rococo styling with ornate drapery and pastel tones; minor structural distortion in figure proportions.,3,5,4,"Excellent preservation of original composition and anatomy; muted, less distinct Rococo styling.",4,4,3,Moderate Rococo influence with some color harmony; visible artifacts and slight blurring in details.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,Strong Ukiyo-e stylization with bold outlines and flat color; preserves source composition well; minimal artifacts.,3,5,4,Retains source structure faithfully but applies less distinct Ukiyo-e style; slight color bleeding and soft edges.,2,3,3,Weak Ukiyo-e interpretation; structure blurred; noticeable smudging and loss of detail.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure well but lacks strong Early Renaissance stylistic cues; clean output with minimal artifacts.,5,4,4,"Strongly captures Early Renaissance style (color palette, brushwork, composition); slight structural distortion and minor artifacts.",4,3,3,Shows stylistic intent but with noticeable blurring and loss of fine detail; moderate structural degradation and visible artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Strong structural fidelity but lacks Impressionist brushwork; appears more like a stylized copy than true style transfer.,5,4,5,Excellent Impressionist texture and color blending; minor softening of edges but overall clean and stylistically faithful.,2,3,3,Overly blurred and washed-out; loses both stylistic detail and structural clarity; artifacts from excessive smoothing.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,Strong minimalism via flat color blocks and simplified forms; retains key structural elements with clean edges and no artifacts.,3,5,4,Preserves original structure well but lacks minimalism — retains texture and detail; minor smudging artifacts present.,2,3,3,Overly blurred and washed out; loses structural clarity and minimal intent; significant loss of detail and soft artifacts.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,5,5,Minimal style transfer; retains source structure and clarity but lacks Rococo characteristics.,5,4,3,Strong Rococo styling with ornate details and color palette; slight loss of fine structural edges.,4,3,2,"Moderate Rococo influence but introduces noticeable blur and artifacts, reducing clarity."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,3,4,3,"Moderate Ukiyo-e influence with soft gradients and stylized features, but lacks strong woodblock texture or linearity; structure mostly preserved; minor smudging in background.",5,5,5,"Strong Ukiyo_e style with bold outlines, flat color planes, and decorative patterns; structure perfectly preserved; no visible artifacts or distortions.",2,3,2,Very faint Ukiyo_e hints; overly washed-out and blurry; structure partially lost; significant artifacts including haloing and loss of detail.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate Early Renaissance style; structure mostly preserved but slightly softened; minor color bleeding and edge smearing.,5,5,5,Strong Early Renaissance stylistic fidelity with clear chiaroscuro and drapery; structure well preserved; minimal artifacts.,2,3,2,Weak style transfer; structure blurred and distorted; significant noise and color artifacts.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork; some color bleeding and soft edges reduce style clarity.,5,4,5,Excellent Impressionist texture and color blending with minimal artifacts; slight loss of fine architectural detail.,2,3,2,Overly blurred and washed-out; lacks distinct Impressionist strokes and introduces significant visual noise.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong minimalism via bold geometry, flat color blocks, and clean lines; source figure and architecture preserved with high fidelity; no visible artifacts.",3,4,4,"Retains source structure but applies muted, painterly tones rather than strict minimalism; minor smudging and low contrast reduce stylistic clarity.",2,2,2,Overly washed-out and blurry; structure heavily degraded; minimalism not evident due to loss of form and detail.
