case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note,AttnSA_e24_style_specificity,AttnSA_e24_structure_preservation,AttnSA_e24_artifact_control,AttnSA_e24_note
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Impressionist brushwork and color palette; some structural distortion in arches and figures.,3,5,5,Excellent preservation of original structure and clean output; minimal stylistic transformation.,2,4,2,Very faint style application; low contrast and washed-out appearance with visible artifacts.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,High structure retention but fails to apply minimalism; retains complex details and color.,5,4,5,Excellent minimalism with clean lines and muted tones; preserves structure well with no artifacts.,3,2,2,Overly blurred and washed out; loses structural integrity and introduces significant artifacts.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,"Strong Rococo styling with ornate details and pastel tones, but structure is distorted and artifacts visible in background.",3,5,5,"Excellent structural fidelity and clean output, but style transfer is muted and lacks Rococo richness.",2,4,4,"Moderate structure preservation and low artifacts, but style is weak and indistinct from source."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Ukiyo-e color and texture but distorts source structure significantly.,4,5,5,"Best balance: preserves architecture and figures clearly with subtle, appropriate Ukiyo-e tonal treatment.",3,4,4,"Muted, sketchy style lacks vivid Ukiyo-e character; structure mostly intact but overly desaturated."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure perfectly but applies minimal stylistic transformation; appears nearly identical to source.,5,4,4,"Strongly captures Early Renaissance style with rich color, architectural detail, and figure rendering; minor structural distortion in figures.",4,3,3,"Shows stylistic intent but suffers from blurring, loss of detail, and structural softening; artifacts reduce fidelity."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork with clear architectural and figure structure; minimal artifacts.,4,4,4,Good style transfer but slightly muted colors and minor structural softening; few artifacts.,3,3,3,"Overly washed-out, low contrast; structure blurred; noticeable smudging artifacts."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Clean, bold lines and flat color blocks strongly reflect minimalism while preserving architectural structure and figures with no visible artifacts.",3,4,4,"Retains structure but applies a painterly, textured style that dilutes minimalism; minor smudging reduces artifact control.",2,2,2,Overly blurred and washed-out; loses structural clarity and minimalism intent; significant artifacts from diffusion haze.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure well but applies a generic pastel Rococo palette without strong stylistic fidelity to target B.,5,4,4,"Strongly captures Rococo ornamental details, color harmony, and brushwork from target B; minor structural distortion in figures.",2,3,2,Heavy blur and smudging obscure both style and structure; fails to convey Rococo characteristics clearly.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,Strong Ukiyo-e stylization with clean lines and flat color; preserves architectural structure well; minimal artifacts.,3,5,4,Preserves source structure best but weak Ukiyo-e style; slight smudging and color bleeding reduce artifact control.,2,3,2,"Very blurry, loses both style and structure; heavy artifacts and loss of detail make it least effective."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,"Moderate Renaissance framing and color, but lacks fine detail and has slight blurring.",5,5,5,"Excellent match to Early Renaissance style with crisp lines, accurate ornamentation, and no visible artifacts.",2,3,2,Overly textured and faded; loses structural clarity and introduces noise-like artifacts.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,Moderate impressionistic color and brushwork; structure is somewhat softened but recognizable; minor color bleeding and edge smearing.,5,5,5,Strong Impressionist palette and texture while preserving original line art and composition; clean edges with no visible artifacts.,2,4,4,"Very faint, washed-out impressionist effect; structure preserved but style is underdeveloped; minimal artifacts due to low saturation."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Clean minimal line art, preserves source structure perfectly, no artifacts.",3,4,3,"Retains ornate details, not truly minimal; slight color bleed and noise.",2,2,2,"Overly blurred, loses structure and style intent; heavy artifacts."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure well but applies a soft, pastel Rococo aesthetic that lacks ornate detail and contrast.",5,4,3,"Strongest Rococo style transfer with high contrast and ornate framing, though slight structural warping is visible.",2,3,2,"Fails to capture Rococo elegance; appears as a degraded, noisy sketch with poor style and structure."
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Ukiyo-e color palette and decorative framing; structure slightly distorted due to stylization; minor artifacts in background gradients.,3,5,5,"Excellent preservation of original composition and clean lines; minimal artifacts; but lacks strong Ukiyo-e stylistic markers (color, texture, motif).",2,4,4,Monochrome sketch-like output; structure mostly preserved; very weak Ukiyo-e style representation; some smudging artifacts.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Excellent Early Renaissance style transfer with clear architectural framing, balanced composition, and faithful preservation of source structure. Minimal artifacts.",4,4,4,Strong stylistic match but slightly over-saturated colors and minor structural distortion in figure placement. Some haloing around figures.,3,2,2,Heavy blur and loss of detail; structure significantly degraded. Style is vague and lacks Renaissance clarity. High artifact presence.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,"Strong structural fidelity but overly saturated, cartoonish colors reduce Impressionist authenticity; visible halos and flat shading.",5,4,5,"Best balance: retains key compositional elements while applying soft brushwork, muted tones, and atmospheric haze characteristic of Impressionism.",4,3,4,"Atmospheric blur and color washes evoke Impressionism well, but structural details are overly diffused, losing clarity in figures and architecture."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong minimalism with bold flat colors and simplified forms; preserves original composition clearly; no visible artifacts.,2,3,3,"Retains ornate detail, contradicting minimalism; structure partially preserved but cluttered; minor smudging artifacts.",3,2,2,Overly blurred and washed out; loses structural clarity; heavy blur artifacts degrade quality.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Rococo styling with ornate details, soft pastel tones, and decorative arches; preserves source composition faithfully with minimal artifacts.",3,4,3,"Retains structure well but applies a darker, more Baroque-like palette; some loss of Rococo lightness and ornamentation; minor smudging in background.",2,3,2,Overly hazy and washed-out; loses fine structural detail and Rococo elegance; significant blur and color bleeding reduce fidelity.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,"Strong Ukiyo-e aesthetic with flat color planes, decorative patterns, and stylized figures; preserves source composition well with minimal artifacts.",3,5,4,"Preserves original structure most faithfully but applies a dark, painterly style that diverges from Ukiyo-e; some halation artifacts near light sources.",2,3,2,Very blurry and washed-out; loses both stylistic detail and structural clarity; heavy smudging and loss of edge definition.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,"Excellent Early Renaissance style transfer with accurate color palette, brushwork texture, and compositional fidelity. Minimal artifacts and strong structural alignment with source.",4,4,4,Strong stylistic match but slightly less refined in halo detail and background texture. Minor structural drift in drapery folds; acceptable artifact levels.,3,3,3,Overly soft and blurred rendering; loses key Renaissance details like facial definition and garment structure. Noticeable smudging and loss of edge clarity.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,Strong Impressionist brushwork and color blending while preserving original composition and figures with minimal artifacts.,4,4,4,Good stylistic adaptation with slight softening of edges; minor loss in fine detail but no major artifacts.,3,2,3,Overly blurred and indistinct; significant structural degradation and heavy artifacting reduce fidelity.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,Strong minimalism via flat color blocks and simplified forms; preserves original composition and figure structure; no visible artifacts or distortions.,3,4,4,Moderate minimalism with muted palette but retains painterly texture; structure mostly preserved; slight softening reduces crispness.,2,2,2,Overly blurred and indistinct; minimalism not clearly expressed; significant loss of structural detail and high artifact presence.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but lacks Rococo ornamentation; soft blur reduces detail.,5,4,5,Excellent Rococo styling with clear structure and minimal artifacts; best balance.,2,3,2,Heavy blur obscures structure and style; poor artifact control and low specificity.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure perfectly; minimal style transfer, appears nearly identical to source.",5,4,4,Strong Early Renaissance style with rich textures and color; slight softening of facial details but overall coherent.,2,2,1,"Heavy blur and loss of detail; structure distorted, style vague, artifacts dominate."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but muted impressionistic brushwork; some color bleeding and soft edges reduce style clarity.,5,4,5,Excellent Impressionist texture and color blending with minimal artifacts; slight loss of fine facial detail but overall superior style transfer.,2,3,2,"Over-blurred, washed-out appearance; poor retention of both style nuance and structure; significant artifacting in beard and crown."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,"High structure retention but minimal style transfer; retains source colors and details, not minimalist.",5,4,5,Strong minimalist style with clean lines and muted tones; preserves key facial structure with minimal artifacts.,3,2,2,"Over-blurred and washed out; loses structural detail and introduces haze artifacts, weak style execution."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,"Strong Rococo framing and ornamental detail, but structure is distorted by heavy stylization and border artifacts.",4,5,5,"Excellent balance: preserves source structure well, applies subtle Rococo color and texture without major artifacts.",2,2,2,Over-blurred and washed out; loses both structural fidelity and stylistic clarity; high artifact presence.
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,3,4,3,Moderate Ukiyo-e influence with soft edges and muted colors; structure preserved but lacks bold linework or flat color blocks typical of Ukiyo_e.,5,5,5,"Strong Ukiyo_e style: bold outlines, flat color regions, stylized facial features, and decorative crown rendering; structure and details well preserved with minimal artifacts.",2,3,2,Very faint Ukiyo_e traits; overly blurred and washed-out appearance; significant loss of detail and structural clarity; high artifact presence.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Early Renaissance style with accurate architectural details, color palette, and figure rendering; preserves source structure well; minimal artifacts.",4,4,4,Good stylistic match but slightly less refined in figure detail and perspective; minor structural distortions; acceptable artifact level.,3,3,3,"Weakest style fidelity — overly faded, low contrast, and blurred figures; structure is preserved but degraded; noticeable artifacts from over-smoothing."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,4,3,Moderate impressionistic brushwork; structure mostly preserved but slightly softened; minor color bleeding and edge smearing.,5,5,5,Strong Impressionist texture with visible brush strokes; excellent preservation of architectural and figure details; clean edges and minimal artifacts.,2,3,2,"Very faded, washed-out appearance; structure blurred and indistinct; significant loss of detail and heavy artifacting (smudging, low contrast)."
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Retains source structure but adds cartoonish colors and exaggerated forms; minimalism not achieved.,5,5,5,"Clean lines, muted palette, simplified forms — strong minimalism while preserving architectural and figure layout.",3,2,3,Overly blurred and washed out; loses structural clarity and introduces haze artifacts.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Excellent Rococo style transfer with high fidelity to source structure and minimal artifacts.,4,4,4,Good style match but slightly less precise in structural alignment and minor color bleeding.,3,3,3,Noticeable loss of detail and structural distortion; style is present but overly blurred.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Ukiyo-e stylization with clear line work and color blocking; preserves architectural and figure structure well; minimal artifacts.,4,4,4,Good style transfer but slightly muted colors and less defined lines; structure mostly preserved; minor smudging in background.,3,3,3,"Faint, washed-out appearance; loses detail and structural clarity; noticeable blurring and loss of edge definition."
Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,Moderate Early Renaissance style; structure somewhat blurred; noticeable artifacts.,5,5,5,Strong Early Renaissance style; excellent structure preservation; minimal artifacts.,4,4,4,Good style match; structure mostly preserved; minor artifacts present.
Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color palette while preserving original composition and figures with minimal artifacts.,4,4,4,Good stylistic adaptation but slightly over-saturated colors and minor structural distortion in figure proportions.,3,3,3,Weaker Impressionist execution; noticeable blurring and loss of detail in facial features and background elements.
Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,5,3,Preserves source structure well but retains too much original detail and color; minimalism not strongly applied.,5,4,5,Strongly applies minimalism via muted tones and simplified forms; clean output with no visible artifacts; slight loss of fine structure.,4,3,4,Achieves minimalism through soft blur and desaturation; some structural ambiguity and mild smudging reduce clarity.
Early_Renaissance__carlo-crivelli_piet-1__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,"Strong Rococo elements (pastel tones, ornate drapery, soft lighting) with minimal artifacts; structure slightly softened but recognizable.",3,5,4,"Excellent structural fidelity to source; style leans more Baroque than Rococo, with muted color palette and less ornamentation.",2,3,3,Weak Rococo interpretation; heavy vignetting and color distortion introduce artifacts; structure blurred and indistinct.
Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Good structural fidelity but weak Ukiyo-e stylization; noticeable color bleeding and soft edges.,5,4,5,"Strong Ukiyo-e aesthetic with clean lines, bold colors, and minimal artifacts; slight structure loss in background.",2,3,2,"Faint, washed-out style; poor structure retention and heavy blurring/artifacts throughout."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves source structure perfectly but applies minimal stylistic transformation; appears nearly identical to source.,5,4,4,"Strongly captures Early Renaissance style with appropriate color palette, brushwork, and tonal depth; minor structural softening but overall faithful.",4,3,3,"Shows stylistic intent with warm tones and texture, but introduces noticeable artifacts (blurring, haloing) and slight structural distortion."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Strong structural fidelity but muted impressionistic brushwork; lacks bold color and texture variation.,5,4,5,"Excellent Impressionist rendering with visible brushstrokes, warm tones, and atmospheric haze; minor softening of edges.",4,3,3,Noticeable over-smoothing and loss of detail; style is present but artifacts degrade overall quality.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,4,5,Strong minimalism with flat colors and simplified forms; preserves key structure and has clean edges.,3,5,4,Retains original structure well but lacks strong minimalism; slight texture artifacts remain.,2,3,3,Overly blurred and washed out; loses both style clarity and structural detail.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves structure perfectly but applies minimal Rococo styling; appears too neutral.,5,4,3,Strong Rococo aesthetic with ornate framing and soft lighting; slight darkening and minor halo artifacts near edges.,4,3,2,Rococo mood present but overly hazy and washed out; significant loss of detail and structural clarity.
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves structure well but lacks strong Ukiyo-e stylistic traits; clean output with minimal artifacts.,5,4,3,Strong Ukiyo-e style transfer with visible brushwork and color palette; slight structural distortion and minor artifacts.,2,3,2,"Weak style transfer, overly faded and blurry; poor structure retention and noticeable artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,3,3,3,Moderate Early Renaissance style with visible texture but lacks architectural detail fidelity; some blurring and color bleed.,5,5,5,"Strongest match to Early Renaissance style: clear anatomical rendering, architectural framing, and aged fresco effect with minimal artifacts.",2,2,2,Overly washed out and blurry; loses structural definition and stylistic nuance; high artifact presence due to excessive smoothing.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color blending while preserving architectural and figure structure with minimal artifacts.,4,4,4,Good style transfer with slight over-smoothing; structure mostly preserved but minor loss of fine detail.,3,3,3,Weakest style adherence; noticeable blurring and structural distortion with visible artifacts.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,"Retains figure and columns but adds bold graphic elements (halo, flat colors) that clash with minimalism; structure partially preserved but stylized heavily.",5,5,5,Cleanly reduces detail while preserving architectural structure and figure silhouette; muted palette and soft edges align well with minimalism; no visible artifacts.,3,2,3,Over-blurred and washed out; loses structural clarity and introduces haze-like artifacts; minimalism achieved through loss of detail rather than intentional simplification.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Rococo elegance with ornate framing, soft pastel tones, and classical figure rendering; structure closely matches source; minimal artifacts.",4,4,4,Good Rococo elements but slightly muted palette and less refined detailing; structure preserved well; minor smudging in background.,3,3,3,"Faint, washed-out appearance; lacks clear Rococo ornamentation; structure blurred; noticeable noise and loss of detail."
